year,month,rank_ME,rank_R11_6,nstocks,ret_vw
1969,2,2,1,148,-10.1576
1969,2,2,2,187,-6.6563
1969,2,2,3,211,-6.7765
1969,2,2,4,239,-8.1553
1969,2,2,5,231,-9.2760
1969,2,3,1,247,-6.0240
1969,2,3,2,345,-4.0449
1969,2,3,3,349,-4.2959
1969,2,3,4,289,-4.8114
1969,2,3,5,175,-7.1224
1969,3,1,1,341,0.0043
1969,3,1,2,316,0.1259
1969,3,1,3,324,1.7893
1969,3,1,4,402,1.8118
1969,3,1,5,478,4.0207
1969,3,2,1,154,-0.1715
1969,3,2,2,182,0.1835
1969,3,2,3,232,1.4153
1969,3,2,4,238,2.5591
1969,3,2,5,236,4.9361
1969,3,3,1,250,1.6301
1969,3,3,2,343,2.2189
1969,3,3,3,351,3.9011
1969,3,3,4,287,4.8307
1969,3,3,5,183,5.6103
1969,4,1,1,346,-1.2528
1969,4,1,2,333,-1.3164
1969,4,1,3,317,-0.0063
1969,4,1,4,391,-0.2253
1969,4,1,5,468,-0.4292
1969,4,2,1,148,-0.0652
1969,4,2,2,177,-0.1052
1969,4,2,3,227,-0.1128
1969,4,2,4,232,-0.5800
1969,4,2,5,239,2.2606
1969,4,3,1,243,2.5544
1969,4,3,2,330,2.5497
1969,4,3,3,344,1.5657
1969,4,3,4,283,1.7869
1969,4,3,5,184,2.8046
1969,5,1,1,365,-1.0899
1969,5,1,2,340,0.4622
1969,5,1,3,335,0.2439
1969,5,1,4,379,0.7406
1969,5,1,5,464,2.0530
1969,5,2,1,167,-1.6416
1969,5,2,2,183,-0.8777
1969,5,2,3,224,0.2240
1969,5,2,4,236,0.3443
1969,5,2,5,250,1.4696
1969,5,3,1,234,-1.1597
1969,5,3,2,339,0.5844
1969,5,3,3,344,1.1311
1969,5,3,4,304,0.6286
1969,5,3,5,192,1.5919
1969,6,1,1,424,-14.3459
1969,6,1,2,356,-12.0625
1969,6,1,3,355,-10.9467
1969,6,1,4,392,-11.5033
1969,6,1,5,438,-14.3248
1969,6,2,1,183,-12.1842
1969,6,2,2,199,-9.3507
1969,6,2,3,223,-9.9187
1969,6,2,4,236,-10.7094
1969,6,2,5,241,-12.5639
1969,6,3,1,232,-5.4739
1969,6,3,2,342,-3.6317
1969,6,3,3,353,-6.5185
1969,6,3,4,334,-7.4138
1969,6,3,5,204,-10.5955
1969,7,1,1,429,-12.4748
1969,7,1,2,386,-10.1185
1969,7,1,3,356,-9.5712
1969,7,1,4,401,-10.0671
1969,7,1,5,432,-11.8780
1969,7,2,1,184,-11.7886
1969,7,2,2,201,-8.3863
1969,7,2,3,227,-7.1316
1969,7,2,4,237,-8.4781
1969,7,2,5,236,-9.4880
1969,7,3,1,223,-8.0241
1969,7,3,2,333,-4.7994
1969,7,3,3,358,-5.9474
1969,7,3,4,333,-6.2012
1969,7,3,5,212,-6.7844
1969,8,1,1,460,3.8873
1969,8,1,2,420,3.7391
1969,8,1,3,357,3.1383
1969,8,1,4,382,4.4558
1969,8,1,5,423,5.6155
