year,month,rank_ME,rank_Abr_12,nstocks,ret_vw
1975,2,2,5,395,6.1888
1975,2,3,1,403,6.7466
1975,2,3,2,494,7.6921
1975,2,3,3,545,6.5386
1975,2,3,4,519,6.2473
1975,2,3,5,455,6.3605
1975,3,1,1,711,12.3024
1975,3,1,2,607,9.8568
1975,3,1,3,616,10.9208
1975,3,1,4,610,8.6130
1975,3,1,5,744,10.5566
1975,3,2,1,353,8.0770
1975,3,2,2,381,6.9266
1975,3,2,3,378,6.2001
1975,3,2,4,382,7.1637
1975,3,2,5,396,6.9098
1975,3,3,1,410,4.1462
1975,3,3,2,516,2.5406
1975,3,3,3,567,2.2135
1975,3,3,4,543,2.6165
1975,3,3,5,469,5.1705
1975,4,1,1,702,2.0161
1975,4,1,2,590,3.2228
1975,4,1,3,591,2.2951
1975,4,1,4,601,5.5338
1975,4,1,5,738,4.2349
1975,4,2,1,342,4.3926
1975,4,2,2,372,4.6121
1975,4,2,3,355,4.6998
1975,4,2,4,361,3.7346
1975,4,2,5,379,5.4362
1975,4,3,1,386,4.5620
1975,4,3,2,481,4.4744
1975,4,3,3,531,4.7550
1975,4,3,4,517,5.8067
1975,4,3,5,442,6.7731
1975,5,1,1,720,7.0329
1975,5,1,2,612,7.6969
1975,5,1,3,592,7.8518
1975,5,1,4,612,8.4543
1975,5,1,5,750,7.8114
1975,5,2,1,359,8.4561
1975,5,2,2,381,7.7928
1975,5,2,3,377,7.1508
1975,5,2,4,372,7.6409
1975,5,2,5,385,7.2086
1975,5,3,1,397,6.4026
1975,5,3,2,516,4.8470
1975,5,3,3,559,5.0040
1975,5,3,4,539,5.4517
1975,5,3,5,473,5.5419
1975,6,1,1,741,9.4738
1975,6,1,2,634,9.5727
1975,6,1,3,603,9.0897
1975,6,1,4,618,8.5462
1975,6,1,5,764,8.4587
1975,6,2,1,364,6.4086
1975,6,2,2,390,7.2808
1975,6,2,3,380,7.1640
1975,6,2,4,380,6.3422
1975,6,2,5,388,5.8144
1975,6,3,1,407,5.5438
1975,6,3,2,518,5.3410
1975,6,3,3,566,4.4375
1975,6,3,4,544,5.4062
1975,6,3,5,484,5.4398
1975,7,1,1,730,-1.2400
1975,7,1,2,620,-2.0427
1975,7,1,3,567,-1.6953
1975,7,1,4,569,-2.7369
1975,7,1,5,732,-1.7075
1975,7,2,1,351,-5.4415
1975,7,2,2,370,-3.2774
1975,7,2,3,364,-3.6384
