year,month,rank_ME,rank_NEI_1,nstocks,ret_vw
1972,5,2,2,45,-3.4863
1972,5,2,3,70,-0.7923
1972,5,2,4,78,-2.7853
1972,5,2,5,48,-2.2205
1972,5,3,1,90,2.2939
1972,5,3,2,73,1.1430
1972,5,3,3,102,2.6872
1972,5,3,4,142,0.8110
1972,5,3,5,104,4.1964
1972,6,1,1,194,-4.2497
1972,6,1,2,128,-3.5186
1972,6,1,3,139,-2.8704
1972,6,1,4,129,-4.4353
1972,6,1,5,32,-0.9786
1972,6,2,1,72,-4.1087
1972,6,2,2,49,-5.2720
1972,6,2,3,78,-2.5100
1972,6,2,4,80,-3.2785
1972,6,2,5,51,-4.9505
1972,6,3,1,91,-3.2184
1972,6,3,2,71,-2.1618
1972,6,3,3,109,-3.3754
1972,6,3,4,139,-1.9475
1972,6,3,5,108,-0.7464
1972,7,1,1,193,-4.1942
1972,7,1,2,128,-1.7917
1972,7,1,3,136,-2.9624
1972,7,1,4,134,-2.8245
1972,7,1,5,33,-4.7105
1972,7,2,1,71,-4.3019
1972,7,2,2,52,-4.1909
1972,7,2,3,74,-2.8279
1972,7,2,4,85,-3.7758
1972,7,2,5,53,-3.2247
1972,7,3,1,95,-2.9640
1972,7,3,2,69,-3.3501
1972,7,3,3,108,-0.3166
1972,7,3,4,136,-0.0191
1972,7,3,5,111,2.2023
1972,8,1,1,202,-0.1164
1972,8,1,2,105,0.4330
1972,8,1,3,152,1.9683
1972,8,1,4,142,0.7398
1972,8,1,5,39,0.3410
1972,8,2,1,83,2.7002
1972,8,2,2,37,3.2841
1972,8,2,3,80,2.2933
1972,8,2,4,82,0.0987
1972,8,2,5,51,0.8725
1972,8,3,1,84,8.0275
1972,8,3,2,48,5.9150
1972,8,3,3,113,5.2301
1972,8,3,4,160,2.6401
1972,8,3,5,121,1.3742
1972,9,1,1,211,-5.2750
1972,9,1,2,97,-3.8111
1972,9,1,3,150,-4.5666
1972,9,1,4,150,-4.0790
1972,9,1,5,43,-3.5630
1972,9,2,1,84,-3.7736
1972,9,2,2,31,-2.3784
1972,9,2,3,73,-1.4143
1972,9,2,4,88,-3.0854
1972,9,2,5,59,-1.3471
1972,9,3,1,88,-1.1683
1972,9,3,2,47,-2.4727
1972,9,3,3,109,-0.5472
1972,9,3,4,165,-1.0486
1972,9,3,5,117,0.0519
