year,month,rank_ME,rank_dEF_12,nstocks,ret_vw
1978,9,3,1,306,0.6188
1978,9,3,2,421,0.0444
1978,9,3,3,435,-1.3431
1978,9,3,4,435,-1.0624
1978,9,3,5,360,-1.8808
1978,10,1,1,167,-25.4388
1978,10,1,2,49,-25.3189
1978,10,1,3,34,-22.1505
1978,10,1,4,48,-24.3255
1978,10,1,5,134,-25.5882
1978,10,2,1,259,-22.3104
1978,10,2,2,200,-20.3467
1978,10,2,3,120,-20.2487
1978,10,2,4,190,-21.2178
1978,10,2,5,301,-21.4824
1978,10,3,1,309,-12.5960
1978,10,3,2,421,-9.5962
1978,10,3,3,441,-8.3114
1978,10,3,4,435,-9.1306
1978,10,3,5,362,-13.1965
1978,11,1,1,193,8.0117
1978,11,1,2,51,8.9285
1978,11,1,3,41,8.5446
1978,11,1,4,54,7.7269
1978,11,1,5,149,13.4213
1978,11,2,1,264,8.5132
1978,11,2,2,208,7.7706
1978,11,2,3,133,7.0719
1978,11,2,4,205,7.2062
1978,11,2,5,307,8.6001
1978,11,3,1,318,3.1949
1978,11,3,2,420,3.0551
1978,11,3,3,452,2.6603
1978,11,3,4,447,3.1216
1978,11,3,5,368,4.4715
1978,12,1,1,213,0.8180
1978,12,1,2,61,0.5364
1978,12,1,3,51,2.9714
1978,12,1,4,57,5.1651
1978,12,1,5,174,4.0968
1978,12,2,1,285,1.9689
1978,12,2,2,225,1.9542
1978,12,2,3,139,2.5564
1978,12,2,4,223,3.3779
1978,12,2,5,316,4.3363
1978,12,3,1,310,0.3826
1978,12,3,2,425,1.0734
1978,12,3,3,457,2.2960
1978,12,3,4,456,0.9584
1978,12,3,5,355,1.5288
1979,1,1,1,235,10.5207
1979,1,1,2,67,9.8629
1979,1,1,3,57,8.8724
1979,1,1,4,64,11.7464
1979,1,1,5,192,9.5673
1979,1,2,1,301,9.0202
1979,1,2,2,242,7.1990
1979,1,2,3,144,6.5703
1979,1,2,4,228,7.1812
1979,1,2,5,327,7.4791
1979,1,3,1,302,7.1474
1979,1,3,2,430,4.7485
1979,1,3,3,452,3.8091
1979,1,3,4,456,4.3272
1979,1,3,5,345,5.3793
1979,2,1,1,255,-3.7685
1979,2,1,2,81,-5.0092
1979,2,1,3,57,-2.8019
1979,2,1,4,71,-2.4493
1979,2,1,5,213,-3.0866
1979,2,2,1,314,-2.9827
1979,2,2,2,244,-4.0585
1979,2,2,3,159,-4.0923
1979,2,2,4,240,-4.0971
1979,2,2,5,344,-3.2052
1979,2,3,1,285,-1.7184
1979,2,3,2,428,-2.5568
1979,2,3,3,459,-3.0784
1979,2,3,4,452,-3.6643
1979,2,3,5,338,-4.1900
1979,3,1,1,266,9.2011
1979,3,1,2,99,11.1374
1979,3,1,3,62,8.2654
1979,3,1,4,76,8.9676
1979,3,1,5,218,10.8712
1979,3,2,1,320,9.9502
1979,3,2,2,256,9.3093
1979,3,2,3,171,10.2757
1979,3,2,4,244,9.2096
1979,3,2,5,344,11.0286
1979,3,3,1,295,8.1872
1979,3,3,2,435,6.0344
1979,3,3,3,467,4.9982
1979,3,3,4,458,5.4023
1979,3,3,5,346,8.1727
1979,4,1,1,282,2.5573
1979,4,1,2,101,2.6752
1979,4,1,3,61,3.5173
1979,4,1,4,84,4.6758
1979,4,1,5,222,2.8292
1979,4,2,1,314,1.5259
1979,4,2,2,265,2.6537
1979,4,2,3,181,2.2312
1979,4,2,4,253,3.5804
1979,4,2,5,341,2.9994
1979,4,3,1,289,-0.2102
1979,4,3,2,429,0.5253
1979,4,3,3,471,0.0232
1979,4,3,4,452,-0.2231
1979,4,3,5,344,0.1160
1979,5,1,1,308,-1.8724
1979,5,1,2,107,-2.9725
1979,5,1,3,65,-3.5269
1979,5,1,4,97,-4.4585
1979,5,1,5,239,-1.9766
1979,5,2,1,327,-1.1049
1979,5,2,2,276,-2.6597
1979,5,2,3,196,-2.8368
1979,5,2,4,275,-2.2947
1979,5,2,5,348,-1.6327
1979,5,3,1,297,-1.2421
1979,5,3,2,441,-1.9782
1979,5,3,3,482,-1.3708
1979,5,3,4,455,-1.9266
1979,5,3,5,349,-2.2996
1979,6,1,1,313,5.0828
1979,6,1,2,106,3.3493
1979,6,1,3,68,6.7858
1979,6,1,4,101,4.6839
1979,6,1,5,250,5.0967
1979,6,2,1,341,5.6071
1979,6,2,2,272,3.7205
1979,6,2,3,212,2.9540
1979,6,2,4,293,3.5788
1979,6,2,5,350,3.4549
1979,6,3,1,299,6.9525
1979,6,3,2,452,4.2265
1979,6,3,3,485,3.1033
1979,6,3,4,451,3.3903
1979,6,3,5,339,4.0620
1979,7,1,1,322,2.0933
1979,7,1,2,107,-0.1342
1979,7,1,3,70,1.8947
1979,7,1,4,108,3.5735
1979,7,1,5,261,3.2260
1979,7,2,1,344,3.7010
1979,7,2,2,270,4.1287
1979,7,2,3,211,3.0199
1979,7,2,4,294,3.7323
1979,7,2,5,352,3.2389
1979,7,3,1,297,2.2016
1979,7,3,2,453,1.0049
1979,7,3,3,489,0.9070
1979,7,3,4,441,1.0011
1979,7,3,5,332,2.2829
1979,8,1,1,334,8.5030
1979,8,1,2,105,9.2358
1979,8,1,3,69,9.4082
1979,8,1,4,106,11.6257
1979,8,1,5,276,9.9514
1979,8,2,1,349,7.3471
1979,8,2,2,275,7.8406
1979,8,2,3,222,9.5530
1979,8,2,4,301,9.6391
1979,8,2,5,351,9.2513
1979,8,3,1,297,6.2226
1979,8,3,2,455,5.8054
1979,8,3,3,486,6.2936
1979,8,3,4,453,6.7945
1979,8,3,5,328,7.5768
1979,9,1,1,352,-1.6279
1979,9,1,2,114,-2.8200
1979,9,1,3,71,-2.4312
1979,9,1,4,111,-2.5778
1979,9,1,5,276,0.1284
1979,9,2,1,358,-0.8249
1979,9,2,2,281,-0.4664
1979,9,2,3,235,0.0126
1979,9,2,4,314,1.3652
1979,9,2,5,355,0.7374
1979,9,3,1,297,-1.1958
1979,9,3,2,460,-0.3260
1979,9,3,3,498,-0.8037
1979,9,3,4,469,1.1514
1979,9,3,5,338,1.5468
1979,10,1,1,348,-11.6211
1979,10,1,2,122,-12.4773
1979,10,1,3,77,-10.0652
1979,10,1,4,114,-10.6480
1979,10,1,5,281,-11.2853
1979,10,2,1,367,-10.1641
1979,10,2,2,287,-9.5411
1979,10,2,3,230,-9.4975
1979,10,2,4,320,-9.1315
1979,10,2,5,363,-10.1836
1979,10,3,1,287,-7.9732
1979,10,3,2,466,-6.5911
1979,10,3,3,509,-6.0189
1979,10,3,4,471,-6.8681
1979,10,3,5,347,-7.7814
1979,11,1,1,351,10.1744
1979,11,1,2,122,6.4209
1979,11,1,3,80,7.5167
1979,11,1,4,118,7.3439
