year,month,rank_ME,rank_ILR_12,nstocks,ret_vw
1968,12,2,4,490,-0.1725
1968,12,2,5,366,0.3860
1968,12,3,1,524,-3.1030
1968,12,3,2,605,-2.6678
1968,12,3,3,610,-3.4330
1968,12,3,4,609,-2.4240
1968,12,3,5,465,-3.1499
1969,1,1,1,747,-0.2966
1969,1,1,2,920,-0.7358
1969,1,1,3,929,-1.1868
1969,1,1,4,903,-0.2931
1969,1,1,5,717,-0.5139
1969,1,2,1,415,-1.2306
1969,1,2,2,505,-0.6184
1969,1,2,3,511,-0.8153
1969,1,2,4,490,-0.5510
1969,1,2,5,391,-1.5822
1969,1,3,1,524,-1.3229
1969,1,3,2,613,-1.9080
1969,1,3,3,618,-1.4941
1969,1,3,4,606,-1.2456
1969,1,3,5,494,-1.2050
1969,2,1,1,748,-10.2853
1969,2,1,2,915,-9.9302
1969,2,1,3,932,-10.3373
1969,2,1,4,911,-9.7625
1969,2,1,5,710,-9.9167
1969,2,2,1,410,-8.3836
1969,2,2,2,497,-8.8373
1969,2,2,3,511,-8.8158
1969,2,2,4,489,-9.1263
1969,2,2,5,382,-9.1635
1969,2,3,1,520,-7.8309
1969,2,3,2,617,-6.1870
1969,2,3,3,622,-5.6652
1969,2,3,4,607,-5.8333
1969,2,3,5,498,-6.9942
1969,3,1,1,790,1.0465
1969,3,1,2,909,2.6547
1969,3,1,3,932,1.7671
1969,3,1,4,907,1.8555
1969,3,1,5,743,1.4313
1969,3,2,1,424,0.6460
1969,3,2,2,494,2.1588
1969,3,2,3,510,2.7741
1969,3,2,4,477,1.3489
1969,3,2,5,405,1.0426
1969,3,3,1,539,0.5994
1969,3,3,2,619,1.5904
1969,3,3,3,623,2.5563
1969,3,3,4,590,2.2401
1969,3,3,5,503,1.9967
1969,4,1,1,785,-0.7908
1969,4,1,2,878,-0.4572
1969,4,1,3,939,-0.3354
1969,4,1,4,908,-0.5079
1969,4,1,5,693,-0.3229
1969,4,2,1,423,-0.3767
1969,4,2,2,479,-0.1712
1969,4,2,3,505,0.9506
1969,4,2,4,491,0.0148
1969,4,2,5,382,0.8863
1969,4,3,1,539,0.4226
1969,4,3,2,596,0.3430
1969,4,3,3,618,1.1524
1969,4,3,4,592,0.6304
1969,4,3,5,473,1.2193
1969,5,1,1,769,0.6601
1969,5,1,2,923,1.0990
1969,5,1,3,941,0.8690
1969,5,1,4,896,0.8340
1969,5,1,5,744,2.6117
1969,5,2,1,415,-1.5220
1969,5,2,2,511,-0.3416
1969,5,2,3,503,0.3842
1969,5,2,4,489,-0.6786
1969,5,2,5,398,-0.7010
1969,5,3,1,493,-1.8439
1969,5,3,2,623,-0.8824
1969,5,3,3,619,-0.5815
1969,5,3,4,582,-0.6775
1969,5,3,5,523,-0.5086
1969,6,1,1,777,-12.8715
1969,6,1,2,931,-13.3061
1969,6,1,3,958,-12.7248
1969,6,1,4,923,-12.5835
1969,6,1,5,753,-13.0215
1969,6,2,1,417,-11.4693
1969,6,2,2,513,-12.0086
1969,6,2,3,517,-11.4680
1969,6,2,4,508,-10.3663
1969,6,2,5,406,-11.6767
1969,6,3,1,495,-9.6577
1969,6,3,2,614,-7.9151
1969,6,3,3,622,-7.9344
1969,6,3,4,594,-7.6302
1969,6,3,5,525,-8.4702
1969,7,1,1,777,-12.0286
1969,7,1,2,927,-11.7652
1969,7,1,3,966,-11.1990
1969,7,1,4,910,-10.2928
1969,7,1,5,718,-10.9013
1969,7,2,1,417,-9.2636
1969,7,2,2,501,-9.0471
1969,7,2,3,520,-8.4658
1969,7,2,4,501,-8.3123
1969,7,2,5,417,-9.1580
1969,7,3,1,498,-6.4971
1969,7,3,2,608,-7.4913
1969,7,3,3,624,-6.2659
1969,7,3,4,586,-5.3523
1969,7,3,5,522,-5.8447
1969,8,1,1,783,5.2981
1969,8,1,2,945,5.0843
1969,8,1,3,931,5.2917
1969,8,1,4,912,4.0512
1969,8,1,5,683,5.3088
1969,8,2,1,411,5.6470
1969,8,2,2,513,5.6022
1969,8,2,3,502,6.5276
1969,8,2,4,498,6.5625
1969,8,2,5,395,7.4926
1969,8,3,1,493,7.1174
1969,8,3,2,619,5.4948
1969,8,3,3,582,5.6605
1969,8,3,4,585,5.8921
1969,8,3,5,495,6.4662
1969,9,1,1,790,-2.2705
1969,9,1,2,966,-2.6697
1969,9,1,3,948,-2.5539
1969,9,1,4,969,-2.1420
1969,9,1,5,645,-0.9816
1969,9,2,1,418,1.2406
1969,9,2,2,514,0.1437
1969,9,2,3,499,-0.2545
1969,9,2,4,523,0.4272
1969,9,2,5,374,0.7906
1969,9,3,1,497,-0.5442
1969,9,3,2,617,-1.6430
1969,9,3,3,589,-1.1584
1969,9,3,4,614,-0.1515
1969,9,3,5,482,-0.3583
1969,10,1,1,804,10.0399
1969,10,1,2,898,9.2807
1969,10,1,3,955,10.4535
1969,10,1,4,962,11.1215
1969,10,1,5,641,10.9742
1969,10,2,1,441,7.2685
1969,10,2,2,486,7.2785
1969,10,2,3,510,7.0625
1969,10,2,4,519,7.7803
1969,10,2,5,370,8.6159
1969,10,3,1,510,7.3790
1969,10,3,2,588,6.6994
1969,10,3,3,595,6.9998
1969,10,3,4,614,7.0689
1969,10,3,5,480,6.9369
1969,11,1,1,815,-6.3128
1969,11,1,2,892,-7.3739
1969,11,1,3,958,-6.6125
1969,11,1,4,924,-6.4931
1969,11,1,5,624,-5.9668
1969,11,2,1,446,-4.9323
1969,11,2,2,496,-4.8476
1969,11,2,3,520,-5.0629
1969,11,2,4,498,-3.9104
1969,11,2,5,367,-3.9871
1969,11,3,1,519,-3.0348
1969,11,3,2,564,-3.6803
1969,11,3,3,602,-3.3283
1969,11,3,4,594,-2.5228
1969,11,3,5,476,-1.9293
1969,12,1,1,763,-7.4215
1969,12,1,2,897,-8.2659
1969,12,1,3,969,-7.5517
1969,12,1,4,929,-6.2010
1969,12,1,5,620,-7.0810
1969,12,2,1,424,-5.2698
1969,12,2,2,502,-6.4112
1969,12,2,3,525,-4.2008
1969,12,2,4,502,-4.6298
1969,12,2,5,359,-5.7061
1969,12,3,1,489,-0.3690
1969,12,3,2,574,-1.9306
1969,12,3,3,607,-1.5179
1969,12,3,4,595,-0.5119
1969,12,3,5,478,-0.3344
1970,1,1,1,698,-2.6931
1970,1,1,2,889,-2.7671
1970,1,1,3,985,-2.6107
1970,1,1,4,967,-3.5875
1970,1,1,5,625,-3.2286
1970,1,2,1,392,-6.5232
1970,1,2,2,494,-5.7472
1970,1,2,3,536,-6.7699
1970,1,2,4,510,-6.6324
1970,1,2,5,367,-4.3141
1970,1,3,1,456,-11.6148
1970,1,3,2,571,-7.6685
1970,1,3,3,615,-6.8903
1970,1,3,4,617,-7.9062
1970,1,3,5,484,-7.8787
1970,2,1,1,640,1.6209
1970,2,1,2,985,2.3039
1970,2,1,3,984,2.8668
1970,2,1,4,920,2.6726
1970,2,1,5,576,2.4306
1970,2,2,1,379,3.1686
1970,2,2,2,534,3.3532
1970,2,2,3,537,2.9103
1970,2,2,4,503,5.0838
1970,2,2,5,338,2.6421
1970,2,3,1,450,3.5919
1970,2,3,2,610,6.3357
1970,2,3,3,622,6.5269
1970,2,3,4,591,4.8487
1970,2,3,5,457,5.5574
1970,3,1,1,654,-3.4766
1970,3,1,2,983,-3.2173
1970,3,1,3,987,-3.6986
1970,3,1,4,935,-3.5310
1970,3,1,5,689,-4.2755
1970,3,2,1,388,-2.5218
1970,3,2,2,542,-2.4512
1970,3,2,3,534,-2.7001
1970,3,2,4,513,-1.9193
1970,3,2,5,394,-3.3738
1970,3,3,1,469,-2.9583
1970,3,3,2,608,-0.6451
1970,3,3,3,621,-0.7286
1970,3,3,4,602,-1.7519
1970,3,3,5,510,-3.4140
1970,4,1,1,632,-20.3879
1970,4,1,2,967,-18.1846
1970,4,1,3,994,-17.6912
1970,4,1,4,943,-17.9141
1970,4,1,5,807,-19.0553
1970,4,2,1,379,-18.2980
1970,4,2,2,503,-16.4940
1970,4,2,3,537,-15.6799
1970,4,2,4,519,-17.1651
1970,4,2,5,434,-17.7240
1970,4,3,1,487,-14.9064
1970,4,3,2,510,-12.0989
1970,4,3,3,630,-11.1254
1970,4,3,4,608,-11.8704
1970,4,3,5,570,-12.1507
1970,5,1,1,674,-9.0768
1970,5,1,2,970,-9.3810
1970,5,1,3,996,-9.5565
1970,5,1,4,941,-8.4171
1970,5,1,5,832,-8.8480
1970,5,2,1,403,-10.7621
1970,5,2,2,504,-10.6953
1970,5,2,3,533,-10.2102
1970,5,2,4,517,-9.6275
1970,5,2,5,456,-9.2932
1970,5,3,1,493,-9.0294
1970,5,3,2,510,-8.5993
1970,5,3,3,627,-8.4640
1970,5,3,4,610,-7.6760
1970,5,3,5,595,-7.8777
1970,6,1,1,757,-8.8308
1970,6,1,2,981,-9.4501
1970,6,1,3,985,-9.5985
1970,6,1,4,988,-7.7080
1970,6,1,5,835,-10.9276
1970,6,2,1,412,-9.0453
1970,6,2,2,500,-7.6318
1970,6,2,3,492,-6.9836
1970,6,2,4,540,-7.4357
1970,6,2,5,463,-6.7743
1970,6,3,1,507,-6.7428
1970,6,3,2,510,-6.1858
1970,6,3,3,546,-5.2169
1970,6,3,4,629,-4.8898
1970,6,3,5,584,-3.4949
1970,7,1,1,729,3.0988
1970,7,1,2,976,3.8122
1970,7,1,3,993,4.2479
1970,7,1,4,986,4.0100
1970,7,1,5,739,5.7186
1970,7,2,1,401,7.8936
1970,7,2,2,500,7.4401
1970,7,2,3,518,6.3549
1970,7,2,4,537,6.9304
1970,7,2,5,418,6.6679
1970,7,3,1,481,9.3676
1970,7,3,2,518,7.9092
1970,7,3,3,632,6.8550
1970,7,3,4,630,6.4886
1970,7,3,5,538,5.5540
1970,8,1,1,742,6.6706
1970,8,1,2,977,6.2105
1970,8,1,3,1024,5.3868
1970,8,1,4,959,4.3515
1970,8,1,5,836,5.5598
1970,8,2,1,398,6.3098
1970,8,2,2,504,6.9591
1970,8,2,3,526,5.6943
1970,8,2,4,522,5.8246
1970,8,2,5,461,4.6088
1970,8,3,1,490,6.9185
1970,8,3,2,512,5.5985
1970,8,3,3,636,4.2698
1970,8,3,4,631,4.7485
1970,8,3,5,571,3.4316
1970,9,1,1,748,16.0692
1970,9,1,2,972,14.9223
1970,9,1,3,1026,14.4398
1970,9,1,4,967,13.5533
1970,9,1,5,941,14.5729
1970,9,2,1,407,15.3396
1970,9,2,2,485,11.6504
1970,9,2,3,526,11.4157
1970,9,2,4,511,11.9013
1970,9,2,5,485,11.8990
1970,9,3,1,502,9.6907
1970,9,3,2,488,6.8233
1970,9,3,3,627,6.1849
1970,9,3,4,621,6.5775
1970,9,3,5,594,7.0206
1970,10,1,1,758,-8.1886
1970,10,1,2,1008,-7.6805
1970,10,1,3,1025,-6.9585
1970,10,1,4,976,-6.8713
1970,10,1,5,1005,-6.9141
1970,10,2,1,398,-6.7044
1970,10,2,2,503,-6.1085
1970,10,2,3,528,-4.8169
1970,10,2,4,506,-4.9236
1970,10,2,5,492,-4.4599
1970,10,3,1,523,-3.5801
1970,10,3,2,508,-3.7659
1970,10,3,3,625,-1.9397
1970,10,3,4,618,-3.3174
1970,10,3,5,606,-2.4369
1970,11,1,1,755,-2.7364
1970,11,1,2,1008,-1.8627
1970,11,1,3,1027,-2.0264
1970,11,1,4,997,-2.0580
1970,11,1,5,1005,-1.6908
1970,11,2,1,404,1.0507
1970,11,2,2,492,1.1411
1970,11,2,3,521,1.9405
1970,11,2,4,523,1.6421
1970,11,2,5,492,0.9846
1970,11,3,1,519,5.2898
1970,11,3,2,510,5.4350
1970,11,3,3,623,4.9363
1970,11,3,4,636,5.4523
1970,11,3,5,608,5.7559
1970,12,1,1,760,8.3406
1970,12,1,2,938,8.6657
1970,12,1,3,1023,8.6978
1970,12,1,4,1006,7.0465
1970,12,1,5,1004,9.1179
1970,12,2,1,393,7.1086
1970,12,2,2,452,8.5993
1970,12,2,3,529,7.7637
1970,12,2,4,531,6.9366
1970,12,2,5,508,8.6077
1970,12,3,1,518,5.0578
1970,12,3,2,506,7.2745
1970,12,3,3,624,6.8041
1970,12,3,4,641,5.9333
1970,12,3,5,621,4.8779
1971,1,1,1,709,14.2043
1971,1,1,2,1035,14.9995
1971,1,1,3,984,15.5866
1971,1,1,4,1013,14.5326
1971,1,1,5,997,14.2369
1971,1,2,1,371,10.8355
1971,1,2,2,490,11.0522
1971,1,2,3,524,10.3220
1971,1,2,4,533,10.2596
1971,1,2,5,502,9.7675
1971,1,3,1,504,8.4400
1971,1,3,2,553,7.2521
1971,1,3,3,624,6.7357
1971,1,3,4,640,5.8949
1971,1,3,5,621,6.4751
1971,2,1,1,720,8.6597
1971,2,1,2,991,5.8527
1971,2,1,3,989,5.5887
1971,2,1,4,1019,6.0994
1971,2,1,5,999,6.6011
1971,2,2,1,380,5.5984
1971,2,2,2,468,3.3334
1971,2,2,3,524,3.4976
1971,2,2,4,523,3.7696
1971,2,2,5,508,4.5387
1971,2,3,1,514,4.6248
1971,2,3,2,527,3.6151
1971,2,3,3,636,2.7699
1971,2,3,4,641,2.7095
1971,2,3,5,621,4.5666
1971,3,1,1,819,7.2232
1971,3,1,2,993,5.6860
1971,3,1,3,964,5.7441
1971,3,1,4,1027,6.2578
1971,3,1,5,953,5.5637
1971,3,2,1,410,6.7954
