year,month,rank_ME,rank_P52W_6,nstocks,ret_vw
1971,4,1,3,374,1.6837
1971,4,1,4,278,0.6554
1971,4,1,5,277,1.3553
1971,4,2,1,193,3.5528
1971,4,2,2,262,3.8556
1971,4,2,3,265,3.1501
1971,4,2,4,223,2.7145
1971,4,2,5,255,4.0271
1971,4,3,1,105,5.1956
1971,4,3,2,237,5.0748
1971,4,3,3,366,2.3029
1971,4,3,4,416,3.1970
1971,4,3,5,442,4.1609
1971,5,1,1,769,-8.0073
1971,5,1,2,620,-6.1872
1971,5,1,3,409,-5.5476
1971,5,1,4,318,-4.5973
1971,5,1,5,325,-4.5054
1971,5,2,1,206,-6.6962
1971,5,2,2,285,-3.7189
1971,5,2,3,293,-4.1596
1971,5,2,4,255,-3.9878
1971,5,2,5,275,-2.8116
1971,5,3,1,135,-3.4297
1971,5,3,2,283,-3.2423
1971,5,3,3,379,-3.4338
1971,5,3,4,443,-3.3454
1971,5,3,5,482,-3.5158
1971,6,1,1,770,-4.4425
1971,6,1,2,640,-2.7062
1971,6,1,3,422,-1.8424
1971,6,1,4,321,-1.5975
1971,6,1,5,358,-1.0964
1971,6,2,1,212,-3.9137
1971,6,2,2,304,-0.6831
1971,6,2,3,297,-0.3242
1971,6,2,4,262,0.8220
1971,6,2,5,293,1.2054
1971,6,3,1,141,-1.7868
1971,6,3,2,300,-0.4569
1971,6,3,3,397,0.2041
1971,6,3,4,459,1.2229
1971,6,3,5,501,0.8413
1971,7,1,1,770,-7.6439
1971,7,1,2,661,-6.3398
1971,7,1,3,437,-5.3299
1971,7,1,4,319,-5.0503
1971,7,1,5,361,-5.4085
1971,7,2,1,214,-7.2210
1971,7,2,2,306,-4.7228
1971,7,2,3,296,-4.9557
1971,7,2,4,264,-4.0029
1971,7,2,5,296,-3.5760
1971,7,3,1,143,-7.3799
1971,7,3,2,300,-4.9859
1971,7,3,3,406,-4.0687
1971,7,3,4,463,-3.0455
1971,7,3,5,482,-4.0887
1971,8,1,1,793,2.7772
1971,8,1,2,648,4.8649
1971,8,1,3,430,5.0571
1971,8,1,4,321,4.8679
1971,8,1,5,318,6.2437
1971,8,2,1,223,4.3935
1971,8,2,2,309,4.9599
1971,8,2,3,299,4.8034
1971,8,2,4,264,4.6149
1971,8,2,5,274,4.7690
1971,8,3,1,154,4.7664
1971,8,3,2,315,2.9778
1971,8,3,3,404,3.4084
1971,8,3,4,453,4.0141
1971,8,3,5,460,4.7527
1971,9,1,1,801,-1.9004
1971,9,1,2,627,0.0274
1971,9,1,3,400,0.8181
1971,9,1,4,298,0.1378
1971,9,1,5,298,1.9663
