year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1970,6,1,2,600,-9.5742
1970,6,1,3,658,-9.0744
1970,6,1,4,543,-7.9681
1970,6,1,5,457,-7.6930
1970,6,2,1,219,-8.5905
1970,6,2,2,282,-7.8701
1970,6,2,3,317,-7.7245
1970,6,2,4,267,-6.3727
1970,6,2,5,239,-5.4717
1970,6,3,1,286,-5.2074
1970,6,3,2,305,-5.8828
1970,6,3,3,376,-6.0673
1970,6,3,4,382,-4.6149
1970,6,3,5,343,-3.4772
1970,7,1,1,439,2.1288
1970,7,1,2,571,4.4970
1970,7,1,3,613,5.0517
1970,7,1,4,551,3.6908
1970,7,1,5,400,6.7740
1970,7,2,1,213,7.9489
1970,7,2,2,263,8.6288
1970,7,2,3,311,7.1911
1970,7,2,4,288,6.3724
1970,7,2,5,205,8.5102
1970,7,3,1,280,4.0059
1970,7,3,2,308,9.2654
1970,7,3,3,372,7.8801
1970,7,3,4,389,8.0418
1970,7,3,5,265,7.1238
1970,8,1,1,483,5.4223
1970,8,1,2,645,5.5944
1970,8,1,3,538,6.1041
1970,8,1,4,727,6.0100
1970,8,1,5,433,6.7598
1970,8,2,1,224,7.1603
1970,8,2,2,295,6.7322
1970,8,2,3,263,8.5552
1970,8,2,4,344,5.2134
1970,8,2,5,217,7.9344
1970,8,3,1,286,4.9434
1970,8,3,2,344,4.3200
1970,8,3,3,344,4.3997
1970,8,3,4,453,4.4618
1970,8,3,5,276,6.0259
1970,9,1,1,513,16.9042
1970,9,1,2,771,15.4595
1970,9,1,3,695,15.4432
1970,9,1,4,780,13.5323
1970,9,1,5,491,13.7119
1970,9,2,1,238,13.5855
1970,9,2,2,349,12.3005
1970,9,2,3,323,12.1144
1970,9,2,4,373,7.7369
1970,9,2,5,207,11.4449
1970,9,3,1,301,6.1718
1970,9,3,2,495,4.0360
1970,9,3,3,418,4.2094
1970,9,3,4,477,2.2080
1970,9,3,5,267,2.8144
1970,10,1,1,525,-8.3095
1970,10,1,2,813,-7.8540
1970,10,1,3,619,-6.9278
1970,10,1,4,791,-5.7833
1970,10,1,5,550,-7.4589
1970,10,2,1,270,-6.5787
1970,10,2,2,361,-4.8611
1970,10,2,3,293,-4.8765
1970,10,2,4,384,-2.9749
1970,10,2,5,223,-5.9407
1970,10,3,1,416,-0.5709
1970,10,3,2,483,-2.4197
1970,10,3,3,378,-1.1110
1970,10,3,4,484,-1.1055
1970,10,3,5,310,-1.2022
1970,11,1,1,532,-2.9326
1970,11,1,2,815,-1.6356
1970,11,1,3,615,-2.0711
1970,11,1,4,762,-0.9145
1970,11,1,5,625,-1.6881
1970,11,2,1,274,1.4419
1970,11,2,2,358,2.3448
1970,11,2,3,287,1.3143
1970,11,2,4,371,3.5180
1970,11,2,5,281,2.6583
1970,11,3,1,414,4.8725
1970,11,3,2,482,5.6275
1970,11,3,3,357,4.6852
1970,11,3,4,458,5.5018
1970,11,3,5,446,5.3283
1970,12,1,1,506,7.8206
1970,12,1,2,808,9.6644
1970,12,1,3,556,9.8955
1970,12,1,4,744,9.4620
1970,12,1,5,559,8.4464
1970,12,2,1,267,7.3088
1970,12,2,2,362,9.6610
1970,12,2,3,259,9.6750
1970,12,2,4,378,8.5465
1970,12,2,5,241,7.5754
1970,12,3,1,411,6.2205
1970,12,3,2,485,7.0682
1970,12,3,3,328,5.1340
1970,12,3,4,463,6.9133
1970,12,3,5,396,6.3828
1971,1,1,1,487,14.6216
1971,1,1,2,681,14.9747
1971,1,1,3,506,15.7287
1971,1,1,4,687,16.5787
1971,1,1,5,582,15.9036
1971,1,2,1,243,10.1173
1971,1,2,2,319,10.0228
1971,1,2,3,230,10.4196
1971,1,2,4,331,9.7945
1971,1,2,5,255,10.1489
1971,1,3,1,368,4.6557
1971,1,3,2,455,5.0717
1971,1,3,3,307,4.0169
1971,1,3,4,414,6.2377
1971,1,3,5,402,4.5173
1971,2,1,1,494,6.4477
1971,2,1,2,675,5.7016
1971,2,1,3,514,5.1602
1971,2,1,4,714,6.4702
1971,2,1,5,593,7.5478
1971,2,2,1,253,3.7162
1971,2,2,2,305,2.6711
1971,2,2,3,230,3.7686
1971,2,2,4,307,3.6887
1971,2,2,5,255,3.2583
1971,2,3,1,376,1.4200
1971,2,3,2,445,0.1054
1971,2,3,3,292,3.5475
1971,2,3,4,376,1.0725
1971,2,3,5,383,0.9752
1971,3,1,1,500,4.0542
1971,3,1,2,620,5.5249
1971,3,1,3,571,6.7911
1971,3,1,4,697,5.7339
1971,3,1,5,590,4.4636
1971,3,2,1,255,5.9329
1971,3,2,2,300,4.5303
1971,3,2,3,247,6.7829
1971,3,2,4,305,6.7799
1971,3,2,5,257,6.1040
1971,3,3,1,377,5.0826
1971,3,3,2,437,3.3307
1971,3,3,3,306,3.7366
1971,3,3,4,407,4.1005
1971,3,3,5,383,5.5082
1971,4,1,1,533,1.7096
1971,4,1,2,574,2.2764
1971,4,1,3,626,1.9545
1971,4,1,4,673,2.3231
1971,4,1,5,570,1.0433
1971,4,2,1,268,2.1463
1971,4,2,2,290,3.2900
1971,4,2,3,253,3.9661
1971,4,2,4,289,3.5468
1971,4,2,5,255,2.5090
1971,4,3,1,372,2.7871
1971,4,3,2,428,2.5023
1971,4,3,3,319,4.9930
1971,4,3,4,398,4.8972
1971,4,3,5,354,3.2683
1971,5,1,1,429,-5.6772
1971,5,1,2,549,-6.1896
1971,5,1,3,662,-6.1749
1971,5,1,4,655,-6.7238
1971,5,1,5,503,-5.9951
1971,5,2,1,243,-4.4162
1971,5,2,2,292,-3.9326
