year,month,rank_ME,rank_SM_1,nstocks,ret_vw
1979,4,2,2,57,3.1613
1979,4,2,3,47,4.3401
1979,4,2,4,49,5.6757
1979,4,2,5,57,1.8222
1979,4,3,1,74,0.2608
1979,4,3,2,73,0.1521
1979,4,3,3,78,1.1493
1979,4,3,4,77,3.5132
1979,4,3,5,73,-0.0517
1979,5,1,1,82,-0.0795
1979,5,1,2,115,1.0372
1979,5,1,3,117,-1.6354
1979,5,1,4,111,0.0644
1979,5,1,5,173,-1.2167
1979,5,2,1,39,-2.4408
1979,5,2,2,52,-2.6854
1979,5,2,3,48,-1.4628
1979,5,2,4,61,-0.1961
1979,5,2,5,57,-0.6392
1979,5,3,1,89,-2.4699
1979,5,3,2,75,-1.6063
1979,5,3,3,82,-1.7879
1979,5,3,4,68,-2.1370
1979,5,3,5,63,-3.2151
1979,6,1,1,142,5.4457
1979,6,1,2,116,4.8513
1979,6,1,3,89,2.7139
1979,6,1,4,131,4.9767
1979,6,1,5,112,9.5024
1979,6,2,1,53,5.5099
1979,6,2,2,53,5.5544
1979,6,2,3,48,4.0938
1979,6,2,4,66,5.6146
1979,6,2,5,41,5.2516
1979,6,3,1,79,2.9328
1979,6,3,2,75,4.9664
1979,6,3,3,71,4.6472
1979,6,3,4,63,5.0664
1979,6,3,5,89,6.5974
1979,7,1,1,179,1.9306
1979,7,1,2,140,0.2906
1979,7,1,3,129,1.9456
1979,7,1,4,168,2.1709
1979,7,1,5,143,4.0553
1979,7,2,1,49,0.9234
1979,7,2,2,67,2.4302
1979,7,2,3,51,4.7490
1979,7,2,4,49,2.6890
1979,7,2,5,79,3.9652
1979,7,3,1,61,1.0514
1979,7,3,2,71,2.0865
1979,7,3,3,81,-0.4392
1979,7,3,4,86,2.4317
1979,7,3,5,97,2.6686
1979,8,1,1,163,8.2120
1979,8,1,2,143,8.6327
1979,8,1,3,111,6.7177
1979,8,1,4,119,9.1458
1979,8,1,5,215,9.4780
1979,8,2,1,58,6.8956
1979,8,2,2,67,9.7841
1979,8,2,3,48,7.0278
1979,8,2,4,60,9.1277
1979,8,2,5,66,9.9138
1979,8,3,1,79,7.0786
1979,8,3,2,85,6.2040
1979,8,3,3,96,8.0209
1979,8,3,4,74,7.3903
1979,8,3,5,59,8.0274
1979,9,1,1,85,-0.8902
1979,9,1,2,119,-1.7451
1979,9,1,3,146,-0.9978
1979,9,1,4,175,-1.3343
1979,9,1,5,221,-0.9130
1979,9,2,1,52,0.6801
1979,9,2,2,67,0.8656
1979,9,2,3,53,-0.3888
1979,9,2,4,59,-0.8654
1979,9,2,5,67,-0.5403
1979,9,3,1,103,2.5732
1979,9,3,2,76,2.4230
1979,9,3,3,84,-2.3243
1979,9,3,4,66,-1.2740
1979,9,3,5,63,1.3800
1979,10,1,1,159,-12.0396
1979,10,1,2,187,-11.3101
1979,10,1,3,180,-11.5498
1979,10,1,4,139,-10.5639
1979,10,1,5,81,-6.4389
1979,10,2,1,53,-12.1393
1979,10,2,2,74,-10.4919
1979,10,2,3,55,-10.8843
1979,10,2,4,50,-10.1172
1979,10,2,5,61,-10.8900
1979,10,3,1,80,-8.7816
1979,10,3,2,53,-7.5436
1979,10,3,3,68,-7.4930
1979,10,3,4,86,-7.2186
1979,10,3,5,106,-3.7458
1979,11,1,1,140,4.7367
1979,11,1,2,162,8.5022
1979,11,1,3,168,8.1890
1979,11,1,4,144,8.3749
1979,11,1,5,124,10.8061
1979,11,2,1,64,6.0430
1979,11,2,2,52,10.3602
1979,11,2,3,54,9.0669
1979,11,2,4,60,9.6864
1979,11,2,5,69,12.1748
1979,11,3,1,79,6.7153
1979,11,3,2,77,4.5636
1979,11,3,3,60,3.0731
1979,11,3,4,73,6.3954
1979,11,3,5,106,8.0980
1979,12,1,1,124,4.9158
1979,12,1,2,126,6.5878
1979,12,1,3,162,8.6592
1979,12,1,4,136,8.2498
1979,12,1,5,183,9.4507
1979,12,2,1,54,5.6867
1979,12,2,2,59,3.3367
1979,12,2,3,56,7.1917
1979,12,2,4,54,4.4300
1979,12,2,5,79,10.5168
1979,12,3,1,74,6.9497
1979,12,3,2,69,3.2985
1979,12,3,3,80,4.8016
1979,12,3,4,84,1.5314
1979,12,3,5,88,2.8309
1980,1,1,1,102,9.8966
1980,1,1,2,157,10.8396
1980,1,1,3,158,11.0130
1980,1,1,4,161,12.0861
1980,1,1,5,135,14.4047
1980,1,2,1,42,5.4058
1980,1,2,2,49,6.7392
1980,1,2,3,79,7.0469
1980,1,2,4,57,9.5083
1980,1,2,5,76,11.3101
1980,1,3,1,96,9.4922
1980,1,3,2,77,4.9007
1980,1,3,3,58,7.1554
1980,1,3,4,81,9.5185
1980,1,3,5,86,9.7725
1980,2,1,1,131,-2.5628
1980,2,1,2,134,-0.4391
1980,2,1,3,173,0.2465
1980,2,1,4,166,-1.8876
1980,2,1,5,100,-1.5689
1980,2,2,1,60,-3.1748
1980,2,2,2,55,0.5200
1980,2,2,3,64,-4.3068
1980,2,2,4,56,-2.3102
1980,2,2,5,67,1.3637
1980,2,3,1,73,-4.0464
1980,2,3,2,85,-3.1550
1980,2,3,3,65,-4.5704
1980,2,3,4,72,-2.1234
1980,2,3,5,103,9.1107
1980,3,1,1,185,-20.1006
1980,3,1,2,144,-17.7252
1980,3,1,3,127,-17.7104
1980,3,1,4,128,-20.4255
1980,3,1,5,110,-20.0804
1980,3,2,1,75,-18.5100
1980,3,2,2,70,-16.5738
1980,3,2,3,54,-16.5378
1980,3,2,4,40,-16.6939
1980,3,2,5,61,-19.6523
1980,3,3,1,60,-11.1789
1980,3,3,2,76,-8.6875
1980,3,3,3,78,-8.6672
1980,3,3,4,78,-10.7249
1980,3,3,5,111,-15.3196
1980,4,1,1,162,4.0558
1980,4,1,2,139,4.1797
1980,4,1,3,122,7.5343
1980,4,1,4,148,5.5368
1980,4,1,5,125,7.4387
1980,4,2,1,76,7.1362
1980,4,2,2,54,4.7044
1980,4,2,3,65,4.4550
1980,4,2,4,53,3.4045
1980,4,2,5,53,6.4047
1980,4,3,1,96,5.0733
1980,4,3,2,79,2.5419
1980,4,3,3,67,4.5588
1980,4,3,4,76,1.4043
1980,4,3,5,76,5.6323
1980,5,1,1,127,4.4446
1980,5,1,2,175,4.8299
1980,5,1,3,138,8.0651
1980,5,1,4,106,5.8530
1980,5,1,5,154,9.1999
1980,5,2,1,49,9.0182
1980,5,2,2,65,8.1191
1980,5,2,3,69,8.5097
1980,5,2,4,59,7.1584
1980,5,2,5,57,9.4130
1980,5,3,1,76,3.7509
1980,5,3,2,62,8.2868
1980,5,3,3,67,5.0393
1980,5,3,4,80,6.8371
1980,5,3,5,106,4.4750
1980,6,1,1,118,1.1514
1980,6,1,2,126,2.4065
1980,6,1,3,138,2.4136
1980,6,1,4,135,5.3639
1980,6,1,5,173,5.2033
1980,6,2,1,48,6.7379
1980,6,2,2,67,5.2581
1980,6,2,3,53,3.3258
1980,6,2,4,63,2.3808
1980,6,2,5,75,3.2124
1980,6,3,1,81,3.6672
1980,6,3,2,75,3.6967
1980,6,3,3,79,2.9168
1980,6,3,4,79,4.5401
1980,6,3,5,76,3.2739
1980,7,1,1,133,12.5166
1980,7,1,2,153,10.1250
1980,7,1,3,152,9.3671
1980,7,1,4,140,11.0782
1980,7,1,5,136,10.0530
1980,7,2,1,61,14.7383
1980,7,2,2,51,12.6537
