year,month,rank_ME,rank_IM_6,nstocks,ret_vw
1969,2,2,2,317,-9.1719
1969,2,2,3,334,-8.2040
1969,2,2,4,320,-8.0630
1969,2,2,5,160,-11.1203
1969,2,3,1,159,-4.7321
1969,2,3,2,442,-5.5423
1969,2,3,3,476,-6.2503
1969,2,3,4,400,-6.9948
1969,2,3,5,175,-7.5580
1969,3,1,1,281,1.2355
1969,3,1,2,621,1.2500
1969,3,1,3,714,1.5769
1969,3,1,4,684,2.6923
1969,3,1,5,352,2.2385
1969,3,2,1,135,1.1614
1969,3,2,2,331,1.5081
1969,3,2,3,372,2.3416
1969,3,2,4,368,1.9203
1969,3,2,5,185,1.9395
1969,3,3,1,155,1.4415
1969,3,3,2,436,2.2770
1969,3,3,3,496,1.9599
1969,3,3,4,457,1.1717
1969,3,3,5,204,2.7836
1969,4,1,1,320,-2.0321
1969,4,1,2,614,0.1459
1969,4,1,3,732,0.1225
1969,4,1,4,671,-0.5776
1969,4,1,5,352,-1.7415
1969,4,2,1,150,-1.7300
1969,4,2,2,330,1.6182
1969,4,2,3,389,-0.1286
1969,4,2,4,372,0.2450
1969,4,2,5,182,1.7158
1969,4,3,1,152,-0.8966
1969,4,3,2,438,1.5301
1969,4,3,3,511,1.4941
1969,4,3,4,481,0.4995
1969,4,3,5,210,2.0416
1969,5,1,1,358,0.3215
1969,5,1,2,641,1.7280
1969,5,1,3,730,1.6609
1969,5,1,4,628,1.5081
1969,5,1,5,325,0.9368
1969,5,2,1,153,-1.4073
1969,5,2,2,330,-0.0898
1969,5,2,3,394,0.1288
1969,5,2,4,364,-0.9002
1969,5,2,5,182,-1.8764
1969,5,3,1,153,-2.7553
1969,5,3,2,449,0.2640
1969,5,3,3,515,-0.4375
1969,5,3,4,458,-0.1908
1969,5,3,5,233,-0.2079
1969,6,1,1,379,-12.0765
1969,6,1,2,682,-12.9460
1969,6,1,3,642,-13.0756
1969,6,1,4,666,-12.6771
1969,6,1,5,374,-11.9424
1969,6,2,1,165,-12.3354
1969,6,2,2,347,-11.1580
1969,6,2,3,360,-10.8122
1969,6,2,4,383,-10.9511
1969,6,2,5,203,-12.6599
1969,6,3,1,171,-8.0153
1969,6,3,2,453,-7.7553
1969,6,3,3,476,-7.8394
1969,6,3,4,494,-7.6943
1969,6,3,5,258,-9.4424
1969,7,1,1,416,-14.4623
1969,7,1,2,693,-11.7310
1969,7,1,3,619,-10.4972
1969,7,1,4,640,-10.3734
1969,7,1,5,432,-12.1371
1969,7,2,1,185,-8.7243
1969,7,2,2,348,-9.3626
1969,7,2,3,348,-8.0293
1969,7,2,4,370,-8.3627
1969,7,2,5,239,-9.1271
1969,7,3,1,181,-6.9230
1969,7,3,2,453,-6.6824
1969,7,3,3,463,-5.4954
1969,7,3,4,484,-5.4491
1969,7,3,5,311,-7.6408
1969,8,1,1,321,6.8526
1969,8,1,2,570,4.8927
1969,8,1,3,632,3.6392
1969,8,1,4,540,4.1654
1969,8,1,5,399,6.2803
1969,8,2,1,143,4.3811
1969,8,2,2,259,5.7069
1969,8,2,3,350,5.6555
1969,8,2,4,313,6.5045
1969,8,2,5,225,8.8025
1969,8,3,1,125,6.9758
1969,8,3,2,262,5.1540
1969,8,3,3,448,5.6204
1969,8,3,4,424,5.2606
1969,8,3,5,307,8.1691
1969,9,1,1,316,-4.2130
1969,9,1,2,554,-2.7214
1969,9,1,3,587,-2.7934
1969,9,1,4,522,-2.9438
1969,9,1,5,326,-1.2158
1969,9,2,1,132,1.7539
1969,9,2,2,239,1.9703
1969,9,2,3,319,0.7656
1969,9,2,4,306,-1.2782
1969,9,2,5,188,1.0440
1969,9,3,1,109,-1.0967
1969,9,3,2,247,-1.2493
1969,9,3,3,369,-0.7521
1969,9,3,4,425,-0.9024
1969,9,3,5,256,-0.2093
1969,10,1,1,274,13.4215
1969,10,1,2,501,9.5919
1969,10,1,3,602,9.5992
1969,10,1,4,581,12.0445
1969,10,1,5,322,10.8553
1969,10,2,1,133,5.8788
1969,10,2,2,226,6.6842
1969,10,2,3,321,9.0565
1969,10,2,4,323,7.8553
1969,10,2,5,187,11.3270
1969,10,3,1,142,10.1562
1969,10,3,2,217,6.9352
1969,10,3,3,366,7.6165
1969,10,3,4,436,7.1936
1969,10,3,5,260,4.7668
1969,11,1,1,302,-8.5390
1969,11,1,2,571,-7.3292
1969,11,1,3,567,-6.7255
1969,11,1,4,585,-7.2614
1969,11,1,5,278,-5.6355
1969,11,2,1,150,-6.0960
1969,11,2,2,261,-5.0659
1969,11,2,3,316,-4.2177
1969,11,2,4,332,-4.3740
1969,11,2,5,158,-1.7915
1969,11,3,1,161,-3.3593
1969,11,3,2,238,-2.5721
1969,11,3,3,352,-3.6742
1969,11,3,4,445,-2.4893
1969,11,3,5,247,-1.2204
1969,12,1,1,277,-9.6110
1969,12,1,2,599,-8.4023
1969,12,1,3,538,-7.3004
1969,12,1,4,576,-7.4840
1969,12,1,5,250,-6.1465
1969,12,2,1,137,-6.5264
1969,12,2,2,295,-5.5273
1969,12,2,3,296,-6.7211
1969,12,2,4,326,-5.6743
1969,12,2,5,134,-2.4378
1969,12,3,1,155,1.0549
1969,12,3,2,334,-2.8175
1969,12,3,3,343,-2.3997
1969,12,3,4,411,-1.0884
1969,12,3,5,195,0.9411
1970,1,1,1,310,-2.6997
1970,1,1,2,498,-2.3383
1970,1,1,3,642,-3.1990
1970,1,1,4,597,-5.4071
1970,1,1,5,270,-5.2904
1970,1,2,1,155,-5.4786
