year,month,rank_ME,rank_PTA,nstocks,ret_vw
1969,2,3,2,97,-3.6687
1969,2,3,3,94,-3.0847
1969,2,3,4,92,-6.1987
1969,2,3,5,96,-6.0914
1969,3,1,1,157,3.6351
1969,3,1,2,84,0.5124
1969,3,1,3,75,3.0636
1969,3,1,4,89,3.5909
1969,3,1,5,133,2.0734
1969,3,2,1,71,2.7371
1969,3,2,2,40,3.8091
1969,3,2,3,42,5.6037
1969,3,2,4,47,2.7917
1969,3,2,5,50,1.5336
1969,3,3,1,52,4.9575
1969,3,3,2,97,4.6861
1969,3,3,3,94,3.4144
1969,3,3,4,92,3.6159
1969,3,3,5,96,1.7551
1969,4,1,1,157,-1.1087
1969,4,1,2,84,-0.7088
1969,4,1,3,75,1.2354
1969,4,1,4,88,0.8211
1969,4,1,5,132,-1.6821
1969,4,2,1,71,2.5911
1969,4,2,2,39,1.7421
1969,4,2,3,42,2.2160
1969,4,2,4,47,1.3484
1969,4,2,5,50,0.3118
1969,4,3,1,52,0.5862
1969,4,3,2,97,1.8858
1969,4,3,3,94,3.2295
1969,4,3,4,91,1.3654
1969,4,3,5,95,3.1153
1969,5,1,1,157,1.1800
1969,5,1,2,84,1.8253
1969,5,1,3,75,0.0656
1969,5,1,4,88,-0.3208
1969,5,1,5,132,2.2718
1969,5,2,1,71,-0.9709
1969,5,2,2,39,-0.1462
1969,5,2,3,42,4.0313
1969,5,2,4,47,1.2028
1969,5,2,5,51,-1.4958
1969,5,3,1,52,0.8774
1969,5,3,2,97,1.8224
1969,5,3,3,94,-0.5565
1969,5,3,4,91,0.7378
1969,5,3,5,94,-1.3063
1969,6,1,1,157,-14.8875
1969,6,1,2,84,-11.6284
1969,6,1,3,75,-13.3983
1969,6,1,4,88,-13.4721
1969,6,1,5,133,-14.6454
1969,6,2,1,71,-11.3048
1969,6,2,2,40,-10.5061
1969,6,2,3,42,-9.2576
1969,6,2,4,47,-10.1872
1969,6,2,5,51,-11.9309
1969,6,3,1,52,-8.7280
1969,6,3,2,97,-5.7589
1969,6,3,3,94,-4.2128
1969,6,3,4,92,-5.6949
1969,6,3,5,94,-6.8157
1969,7,1,1,154,-11.8336
1969,7,1,2,76,-9.8001
1969,7,1,3,74,-10.2460
1969,7,1,4,105,-12.1800
1969,7,1,5,174,-11.5767
1969,7,2,1,55,-8.6608
1969,7,2,2,48,-7.9752
1969,7,2,3,40,-10.2092
1969,7,2,4,59,-10.5387
1969,7,2,5,71,-10.3872
1969,7,3,1,77,-5.4689
1969,7,3,2,94,-6.4893
1969,7,3,3,102,-5.9467
1969,7,3,4,96,-5.5976
1969,7,3,5,82,-7.3789
1969,8,1,1,154,3.5536
1969,8,1,2,76,4.3634
1969,8,1,3,74,3.9384
1969,8,1,4,105,4.0507
1969,8,1,5,174,3.7539
1969,8,2,1,55,5.6735
1969,8,2,2,48,6.3841
1969,8,2,3,40,4.5125
1969,8,2,4,59,6.6289
1969,8,2,5,71,9.0098
1969,8,3,1,77,5.5423
1969,8,3,2,94,4.7114
1969,8,3,3,102,4.1129
1969,8,3,4,96,6.2586
1969,8,3,5,82,7.1791
1969,9,1,1,154,-2.1591
1969,9,1,2,77,-3.5776
1969,9,1,3,74,-3.0888
1969,9,1,4,105,-3.6715
1969,9,1,5,174,-4.3152
1969,9,2,1,55,0.9429
1969,9,2,2,47,-0.2437
1969,9,2,3,40,-0.1481
1969,9,2,4,59,0.7186
1969,9,2,5,71,-1.1486
1969,9,3,1,77,-3.9114
1969,9,3,2,94,-2.6075
1969,9,3,3,102,-2.4286
1969,9,3,4,95,-1.4138
1969,9,3,5,82,-2.5032
1969,10,1,1,154,10.9952
1969,10,1,2,77,8.7489
1969,10,1,3,74,9.1321
1969,10,1,4,104,12.2063
1969,10,1,5,174,12.3739
1969,10,2,1,54,10.4284
1969,10,2,2,47,8.0757
1969,10,2,3,40,4.6253
1969,10,2,4,59,7.4496
1969,10,2,5,71,10.0916
1969,10,3,1,77,5.3457
1969,10,3,2,94,3.5236
1969,10,3,3,102,4.8751
1969,10,3,4,95,5.8402
1969,10,3,5,82,3.8955
1969,11,1,1,154,-7.5652
1969,11,1,2,77,-7.0841
1969,11,1,3,74,-3.8538
1969,11,1,4,104,-6.9766
1969,11,1,5,174,-8.3175
1969,11,2,1,54,-4.7030
1969,11,2,2,47,-4.6235
1969,11,2,3,40,-3.9151
1969,11,2,4,59,-4.8748
1969,11,2,5,70,-5.4743
1969,11,3,1,77,-3.6796
1969,11,3,2,94,-3.1896
1969,11,3,3,102,-1.8838
1969,11,3,4,96,-2.3900
1969,11,3,5,82,-2.8596
1969,12,1,1,154,-10.2329
1969,12,1,2,77,-6.7797
1969,12,1,3,74,-4.4054
1969,12,1,4,105,-5.5949
1969,12,1,5,174,-9.3802
1969,12,2,1,54,-5.0196
1969,12,2,2,47,-3.0841
1969,12,2,3,40,-0.8562
1969,12,2,4,59,-4.8042
1969,12,2,5,70,-6.4753
1969,12,3,1,77,-2.4120
1969,12,3,2,94,-0.0211
1969,12,3,3,102,-3.2118
1969,12,3,4,96,-0.5136
1969,12,3,5,82,-1.9277
1970,1,1,1,154,-0.3233
1970,1,1,2,77,-5.6083
