year,month,rank_ME,rank_DAC,nstocks,ret_vw
1969,2,2,2,33,-8.3529
1969,2,2,3,35,-9.1515
1969,2,2,4,51,-8.9952
1969,2,2,5,52,-8.8395
1969,2,3,1,68,-2.8841
1969,2,3,2,88,-5.1816
1969,2,3,3,94,-4.7111
1969,2,3,4,75,-4.1724
1969,2,3,5,81,-7.3838
1969,3,1,1,127,3.0047
1969,3,1,2,86,4.5440
1969,3,1,3,60,2.4172
1969,3,1,4,70,1.0550
1969,3,1,5,99,3.6090
1969,3,2,1,55,4.3270
1969,3,2,2,33,5.0908
1969,3,2,3,35,6.0410
1969,3,2,4,50,0.9896
1969,3,2,5,52,1.9384
1969,3,3,1,68,4.8591
1969,3,3,2,88,3.6385
1969,3,3,3,94,3.1724
1969,3,3,4,75,4.7539
1969,3,3,5,81,1.6309
1969,4,1,1,126,-1.1844
1969,4,1,2,86,-0.8827
1969,4,1,3,60,-0.0875
1969,4,1,4,69,0.6036
1969,4,1,5,99,-0.2003
1969,4,2,1,55,1.7134
1969,4,2,2,33,2.8315
1969,4,2,3,34,3.8038
1969,4,2,4,50,2.3816
1969,4,2,5,52,-0.1357
1969,4,3,1,67,2.3676
1969,4,3,2,88,1.6557
1969,4,3,3,94,2.7916
1969,4,3,4,75,2.6004
1969,4,3,5,80,2.8154
1969,5,1,1,126,-0.3851
1969,5,1,2,86,2.1350
1969,5,1,3,60,3.4544
1969,5,1,4,69,-1.0616
1969,5,1,5,99,1.4948
1969,5,2,1,55,0.0164
1969,5,2,2,33,0.4471
1969,5,2,3,34,2.2431
1969,5,2,4,51,0.0982
1969,5,2,5,52,-0.8264
1969,5,3,1,67,-0.3106
1969,5,3,2,87,0.6481
1969,5,3,3,94,1.4613
1969,5,3,4,75,1.0254
1969,5,3,5,80,-1.6860
1969,6,1,1,127,-13.3906
1969,6,1,2,86,-11.9940
1969,6,1,3,60,-14.6553
1969,6,1,4,69,-12.8282
1969,6,1,5,99,-14.4582
1969,6,2,1,55,-9.8198
1969,6,2,2,33,-10.9274
1969,6,2,3,35,-9.5826
1969,6,2,4,51,-10.3365
1969,6,2,5,52,-11.9319
1969,6,3,1,67,-1.8978
1969,6,3,2,87,-6.9630
1969,6,3,3,94,-6.6490
1969,6,3,4,75,-7.5878
1969,6,3,5,81,-6.4958
1969,7,1,1,146,-10.3369
1969,7,1,2,58,-9.8264
1969,7,1,3,65,-10.5341
1969,7,1,4,83,-11.6129
1969,7,1,5,140,-12.7476
1969,7,2,1,46,-8.6349
1969,7,2,2,46,-10.2930
1969,7,2,3,36,-7.0473
1969,7,2,4,61,-9.2373
1969,7,2,5,67,-11.4740
1969,7,3,1,86,-5.2410
1969,7,3,2,97,-5.7489
1969,7,3,3,101,-6.6642
1969,7,3,4,79,-7.0096
1969,7,3,5,65,-7.9205
1969,8,1,1,146,3.7029
1969,8,1,2,58,4.1842
1969,8,1,3,65,4.9572
1969,8,1,4,83,4.2877
1969,8,1,5,140,3.4403
1969,8,2,1,46,5.7961
1969,8,2,2,46,6.7159
1969,8,2,3,36,5.0047
1969,8,2,4,61,7.3768
1969,8,2,5,67,7.3274
1969,8,3,1,86,4.9243
1969,8,3,2,97,4.7386
1969,8,3,3,101,6.2827
1969,8,3,4,79,4.9690
1969,8,3,5,65,6.7229
1969,9,1,1,146,-3.5582
1969,9,1,2,59,-3.9086
1969,9,1,3,65,-2.5995
1969,9,1,4,83,-2.7625
1969,9,1,5,140,-4.2877
1969,9,2,1,46,1.2290
1969,9,2,2,46,2.1200
1969,9,2,3,36,0.5831
1969,9,2,4,61,-2.4345
1969,9,2,5,67,-0.7609
1969,9,3,1,86,-0.2257
1969,9,3,2,97,-2.1021
1969,9,3,3,101,-4.2522
1969,9,3,4,79,-4.3002
1969,9,3,5,64,-2.4301
1969,10,1,1,145,12.8671
1969,10,1,2,59,10.4682
1969,10,1,3,65,9.0461
1969,10,1,4,83,10.6720
1969,10,1,5,140,10.0460
1969,10,2,1,46,8.7654
1969,10,2,2,45,6.5578
1969,10,2,3,36,9.1223
1969,10,2,4,61,7.4671
1969,10,2,5,67,9.3305
1969,10,3,1,86,4.7944
1969,10,3,2,97,6.5113
1969,10,3,3,101,4.1110
1969,10,3,4,79,3.0589
1969,10,3,5,64,5.9110
1969,11,1,1,145,-6.5908
1969,11,1,2,59,-7.0284
1969,11,1,3,65,-7.7698
1969,11,1,4,83,-8.1183
1969,11,1,5,140,-6.2235
1969,11,2,1,46,-4.4607
1969,11,2,2,45,-4.6474
1969,11,2,3,36,-5.6007
1969,11,2,4,61,-4.4893
1969,11,2,5,67,-4.6287
1969,11,3,1,86,-2.3690
1969,11,3,2,97,-2.8652
1969,11,3,3,101,-3.6385
1969,11,3,4,79,-1.9492
1969,11,3,5,65,-1.9548
1969,12,1,1,146,-9.2870
1969,12,1,2,59,-5.8437
1969,12,1,3,65,-6.0191
1969,12,1,4,83,-9.2793
1969,12,1,5,140,-6.7780
1969,12,2,1,46,-3.0703
1969,12,2,2,45,-2.5328
1969,12,2,3,36,-4.4729
1969,12,2,4,61,-4.8443
1969,12,2,5,67,-5.5734
1969,12,3,1,86,-0.2858
1969,12,3,2,97,-0.4515
1969,12,3,3,101,-2.7032
1969,12,3,4,79,-3.4045
1969,12,3,5,65,-0.3607
1970,1,1,1,146,-2.7869
1970,1,1,2,59,-4.0157
