year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1970,5,1,1,194,-9.1228
1970,5,1,2,110,-9.5101
1970,5,1,3,91,-8.2994
1970,5,1,4,97,-9.3766
1970,5,1,5,144,-9.0132
1970,5,2,1,56,-7.3082
1970,5,2,2,57,-8.7813
1970,5,2,3,38,-11.1342
1970,5,2,4,61,-11.8074
1970,5,2,5,85,-12.3890
1970,5,3,1,73,-7.9096
1970,5,3,2,97,-5.1545
1970,5,3,3,115,-4.6999
1970,5,3,4,92,-5.2131
1970,5,3,5,86,-9.2507
1970,6,1,1,192,-6.3646
1970,6,1,2,110,-6.7282
1970,6,1,3,91,-10.6427
1970,6,1,4,97,-8.8288
1970,6,1,5,142,-11.7195
1970,6,2,1,56,-6.2340
1970,6,2,2,55,-4.8454
1970,6,2,3,38,-6.3229
1970,6,2,4,61,-9.7039
1970,6,2,5,85,-8.1595
1970,6,3,1,73,-3.5624
1970,6,3,2,97,-4.8207
1970,6,3,3,115,-4.7922
1970,6,3,4,92,-4.7791
1970,6,3,5,86,-7.8372
1970,7,1,1,242,4.2302
1970,7,1,2,83,6.8192
1970,7,1,3,83,8.8031
1970,7,1,4,142,4.5800
1970,7,1,5,180,2.6713
1970,7,2,1,62,6.4346
1970,7,2,2,67,8.0678
1970,7,2,3,52,8.2717
1970,7,2,4,63,8.1198
1970,7,2,5,87,7.7816
1970,7,3,1,66,9.5167
1970,7,3,2,93,8.8362
1970,7,3,3,111,8.2913
1970,7,3,4,92,4.4115
1970,7,3,5,101,5.6142
1970,8,1,1,241,5.6367
1970,8,1,2,83,5.8299
1970,8,1,3,83,7.5163
1970,8,1,4,141,7.2267
1970,8,1,5,179,6.6336
1970,8,2,1,62,8.4252
1970,8,2,2,67,6.1280
1970,8,2,3,52,6.5146
1970,8,2,4,63,6.0260
1970,8,2,5,86,7.6543
1970,8,3,1,66,3.2274
1970,8,3,2,93,5.8667
1970,8,3,3,111,3.8416
1970,8,3,4,92,6.2267
1970,8,3,5,101,6.0193
1970,9,1,1,240,14.7604
1970,9,1,2,83,15.0453
1970,9,1,3,83,11.8498
1970,9,1,4,140,13.5365
1970,9,1,5,179,19.1609
1970,9,2,1,62,10.8931
1970,9,2,2,67,9.7558
1970,9,2,3,52,10.8290
1970,9,2,4,62,10.1479
1970,9,2,5,86,15.3951
1970,9,3,1,66,4.4760
1970,9,3,2,93,3.3107
