year,month,rank_ME,rank_PDA,nstocks,ret_vw
1969,6,2,1,45,-11.6692
1969,6,2,2,43,-10.3987
1969,6,2,3,36,-8.4668
1969,6,2,4,51,-9.5885
1969,6,2,5,51,-12.6064
1969,6,3,1,58,-1.3605
1969,6,3,2,88,-6.1086
1969,6,3,3,105,-6.0116
1969,6,3,4,85,-7.6192
1969,6,3,5,68,-8.7604
1969,7,1,1,156,-10.3501
1969,7,1,2,53,-10.3858
1969,7,1,3,66,-10.0722
1969,7,1,4,64,-11.9451
1969,7,1,5,152,-12.7180
1969,7,2,1,41,-10.2164
1969,7,2,2,49,-9.4341
1969,7,2,3,39,-7.1578
1969,7,2,4,61,-10.4616
1969,7,2,5,66,-10.0765
1969,7,3,1,80,-5.0453
1969,7,3,2,102,-6.5371
1969,7,3,3,102,-5.5685
1969,7,3,4,85,-7.0927
1969,7,3,5,59,-7.8190
1969,8,1,1,156,3.3253
1969,8,1,2,53,4.5546
1969,8,1,3,66,5.3431
1969,8,1,4,64,4.8301
1969,8,1,5,152,3.3157
1969,8,2,1,41,5.3000
1969,8,2,2,49,7.2906
1969,8,2,3,39,6.0322
1969,8,2,4,61,5.3949
1969,8,2,5,66,8.4742
1969,8,3,1,80,4.6463
1969,8,3,2,102,4.5367
1969,8,3,3,102,6.6529
1969,8,3,4,85,4.9680
1969,8,3,5,59,6.6484
1969,9,1,1,157,-3.3706
1969,9,1,2,53,-3.5841
1969,9,1,3,66,-2.5718
1969,9,1,4,64,-2.8970
1969,9,1,5,152,-4.5582
1969,9,2,1,41,1.1861
1969,9,2,2,49,1.5145
1969,9,2,3,39,1.5358
1969,9,2,4,61,-1.9819
1969,9,2,5,66,-1.4175
1969,9,3,1,80,-0.4058
1969,9,3,2,102,-2.1887
1969,9,3,3,102,-2.9886
1969,9,3,4,85,-4.2805
1969,9,3,5,58,-1.7947
1969,10,1,1,157,13.1829
1969,10,1,2,52,8.1591
1969,10,1,3,66,9.5407
1969,10,1,4,64,10.9544
1969,10,1,5,152,10.3043
1969,10,2,1,40,7.8863
1969,10,2,2,49,8.4463
1969,10,2,3,39,8.9370
1969,10,2,4,61,6.9412
1969,10,2,5,66,8.8682
1969,10,3,1,80,4.8243
1969,10,3,2,102,6.3586
1969,10,3,3,102,4.2437
1969,10,3,4,85,3.1413
1969,10,3,5,58,5.9439
1969,11,1,1,157,-7.1904
1969,11,1,2,52,-5.5298
1969,11,1,3,66,-8.0827
1969,11,1,4,64,-6.0383
1969,11,1,5,152,-6.9302
1969,11,2,1,40,-5.7656
1969,11,2,2,49,-4.2046
1969,11,2,3,39,-4.8273
1969,11,2,4,61,-3.6937
1969,11,2,5,66,-5.3099
1969,11,3,1,80,-2.3799
1969,11,3,2,102,-2.9445
1969,11,3,3,102,-3.0330
1969,11,3,4,85,-2.0852
1969,11,3,5,59,-1.9905
1969,12,1,1,157,-9.5020
1969,12,1,2,53,-6.7723
1969,12,1,3,66,-5.3637
1969,12,1,4,64,-7.7579
1969,12,1,5,152,-7.3707
1969,12,2,1,40,-4.7411
1969,12,2,2,49,-1.2914
1969,12,2,3,39,-3.5015
1969,12,2,4,61,-5.0845
1969,12,2,5,66,-5.9342
1969,12,3,1,80,-0.9925
1969,12,3,2,102,-0.4150
1969,12,3,3,102,-1.1413
1969,12,3,4,85,-3.4629
1969,12,3,5,59,-0.6101
1970,1,1,1,157,-3.1808
1970,1,1,2,53,-1.9820
1970,1,1,3,66,-4.6106
1970,1,1,4,64,-4.0659
1970,1,1,5,152,-3.1615
1970,1,2,1,40,-6.2260
1970,1,2,2,49,-6.7808
1970,1,2,3,39,-3.4261
1970,1,2,4,61,-5.6931
1970,1,2,5,66,-7.3804
1970,1,3,1,80,-8.2384
1970,1,3,2,102,-7.6455
1970,1,3,3,102,-9.9117
1970,1,3,4,85,-7.4827
1970,1,3,5,58,-5.9187
1970,2,1,1,157,2.3460
1970,2,1,2,53,2.9483
1970,2,1,3,66,2.7066
1970,2,1,4,64,2.2212
1970,2,1,5,152,4.1604
1970,2,2,1,40,3.8793
1970,2,2,2,49,5.6439
1970,2,2,3,39,3.4584
1970,2,2,4,61,5.3020
1970,2,2,5,66,4.6443
1970,2,3,1,80,2.8831
1970,2,3,2,102,7.0879
1970,2,3,3,102,6.5680
1970,2,3,4,85,5.8344
1970,2,3,5,58,5.7434
1970,3,1,1,157,-2.1849
1970,3,1,2,53,-1.6781
1970,3,1,3,66,-3.7824
1970,3,1,4,64,-2.9599
1970,3,1,5,152,-4.6095
1970,3,2,1,41,-2.6230
1970,3,2,2,49,-2.3999
1970,3,2,3,39,-2.0310
1970,3,2,4,61,-0.9703
1970,3,2,5,66,-2.9804
1970,3,3,1,80,-0.1186
1970,3,3,2,102,-0.0616
1970,3,3,3,102,-1.2848
1970,3,3,4,85,1.1246
1970,3,3,5,59,-1.6621
1970,4,1,1,157,-17.8331
1970,4,1,2,53,-13.1131
1970,4,1,3,66,-17.3873
1970,4,1,4,64,-18.3364
1970,4,1,5,152,-17.8884
1970,4,2,1,41,-17.3986
1970,4,2,2,49,-15.7772
1970,4,2,3,39,-13.8084
1970,4,2,4,61,-13.3685
1970,4,2,5,66,-17.9472
1970,4,3,1,80,-10.2561
1970,4,3,2,102,-7.7807
1970,4,3,3,102,-9.4756
1970,4,3,4,85,-9.1926
1970,4,3,5,59,-12.6055
1970,5,1,1,157,-8.0994
1970,5,1,2,53,-11.9184
1970,5,1,3,66,-9.9282
1970,5,1,4,64,-9.8946
1970,5,1,5,152,-9.2462
1970,5,2,1,41,-7.8698
1970,5,2,2,49,-11.3695
1970,5,2,3,38,-10.1238
1970,5,2,4,61,-11.0465
1970,5,2,5,66,-11.6207
1970,5,3,1,80,-7.3895
1970,5,3,2,102,-6.7018
1970,5,3,3,102,-4.3350
1970,5,3,4,85,-3.4930
1970,5,3,5,59,-8.6563
1970,6,1,1,157,-7.8578
1970,6,1,2,53,-6.2467
1970,6,1,3,66,-6.0654
1970,6,1,4,64,-10.0517
1970,6,1,5,151,-11.3441
1970,6,2,1,41,-6.9194
1970,6,2,2,49,-6.4255
1970,6,2,3,38,-8.3414
1970,6,2,4,61,-5.4697
1970,6,2,5,66,-8.2741
1970,6,3,1,80,-6.8111
1970,6,3,2,102,-2.1639
1970,6,3,3,102,-5.4856
1970,6,3,4,85,-5.3583
1970,6,3,5,59,-5.2996
1970,7,1,1,202,4.7437
1970,7,1,2,78,7.2398
1970,7,1,3,53,2.7396
1970,7,1,4,82,5.3984
1970,7,1,5,179,3.8057
1970,7,2,1,59,9.2981
1970,7,2,2,42,10.9998
1970,7,2,3,53,9.1473
1970,7,2,4,57,6.5147
1970,7,2,5,75,7.7354
1970,7,3,1,66,5.3520
1970,7,3,2,98,7.8370
1970,7,3,3,110,8.1926
1970,7,3,4,104,7.8514
1970,7,3,5,56,5.4304
1970,8,1,1,202,6.9919
1970,8,1,2,77,6.3639
1970,8,1,3,53,8.6896
1970,8,1,4,82,7.1998
1970,8,1,5,179,5.4168
1970,8,2,1,59,7.4070
1970,8,2,2,42,9.5341
1970,8,2,3,53,8.5414
1970,8,2,4,57,6.3523
1970,8,2,5,75,6.1456
1970,8,3,1,66,6.2285
1970,8,3,2,98,3.8102
1970,8,3,3,110,5.1882
1970,8,3,4,104,3.4940
1970,8,3,5,56,8.6336
1970,9,1,1,202,15.3069
1970,9,1,2,77,11.7846
1970,9,1,3,53,12.3631
1970,9,1,4,82,13.8043
1970,9,1,5,179,18.6531
1970,9,2,1,59,12.6701
1970,9,2,2,42,12.4246
1970,9,2,3,53,8.8473
1970,9,2,4,57,11.6260
1970,9,2,5,75,14.5021
1970,9,3,1,66,5.0479
1970,9,3,2,98,3.1906
1970,9,3,3,110,2.9001
1970,9,3,4,104,3.7913
1970,9,3,5,55,8.5846
1970,10,1,1,202,-7.0532
1970,10,1,2,78,-6.7269
1970,10,1,3,53,-7.0990
1970,10,1,4,82,-7.0837
1970,10,1,5,179,-11.0705
1970,10,2,1,59,-5.8102
1970,10,2,2,42,-4.6742
1970,10,2,3,53,-3.9015
1970,10,2,4,57,-5.9901
1970,10,2,5,75,-6.5088
1970,10,3,1,66,-1.2419
1970,10,3,2,98,-1.3952
1970,10,3,3,110,1.0895
1970,10,3,4,104,-2.0996
1970,10,3,5,55,-6.4089
1970,11,1,1,201,-3.5619
1970,11,1,2,78,1.4470
1970,11,1,3,53,-1.9283
1970,11,1,4,82,-0.8820
1970,11,1,5,179,-2.4230
1970,11,2,1,59,3.0289
1970,11,2,2,42,2.5173
1970,11,2,3,53,3.4233
1970,11,2,4,57,2.4623
1970,11,2,5,75,0.8331
1970,11,3,1,66,5.8947
1970,11,3,2,98,4.8969
1970,11,3,3,110,4.7036
1970,11,3,4,104,5.5976
1970,11,3,5,55,3.5476
1970,12,1,1,201,8.8765
1970,12,1,2,78,11.3542
1970,12,1,3,53,12.0689
1970,12,1,4,82,9.4832
1970,12,1,5,179,9.2084
1970,12,2,1,59,7.8957
1970,12,2,2,42,9.1853
1970,12,2,3,53,9.5921
1970,12,2,4,57,8.3203
1970,12,2,5,75,9.2810
1970,12,3,1,66,4.8622
1970,12,3,2,98,6.1417
1970,12,3,3,110,6.1276
1970,12,3,4,104,6.4386
1970,12,3,5,55,4.5731
1971,1,1,1,200,16.3454
1971,1,1,2,78,12.8659
1971,1,1,3,53,14.4981
1971,1,1,4,82,15.3391
1971,1,1,5,179,15.9279
1971,1,2,1,59,11.9826
1971,1,2,2,42,8.7192
1971,1,2,3,53,10.9403
1971,1,2,4,57,9.8105
1971,1,2,5,75,13.0495
1971,1,3,1,66,4.3886
1971,1,3,2,98,6.0254
1971,1,3,3,110,1.5779
1971,1,3,4,104,6.5163
1971,1,3,5,55,6.8034
1971,2,1,1,200,5.7171
1971,2,1,2,78,3.3613
1971,2,1,3,53,5.0517
1971,2,1,4,82,3.3996
1971,2,1,5,179,5.2066
1971,2,2,1,59,4.0769
1971,2,2,2,42,0.8121
1971,2,2,3,53,3.1631
1971,2,2,4,57,2.9111
1971,2,2,5,75,2.2524
1971,2,3,1,66,2.2437
1971,2,3,2,98,2.1641
1971,2,3,3,110,3.3167
1971,2,3,4,104,-0.6056
1971,2,3,5,55,0.2873
1971,3,1,1,200,7.3901
1971,3,1,2,78,7.5077
1971,3,1,3,53,7.0128
1971,3,1,4,82,3.2627
1971,3,1,5,179,6.7456
1971,3,2,1,59,6.0214
1971,3,2,2,42,8.5633
1971,3,2,3,53,6.4452
1971,3,2,4,57,8.0904
1971,3,2,5,74,6.0212
1971,3,3,1,66,5.6082
1971,3,3,2,98,3.6854
1971,3,3,3,110,4.1367
1971,3,3,4,104,2.9425
1971,3,3,5,55,5.1580
1971,4,1,1,200,1.3263
1971,4,1,2,78,1.2952
1971,4,1,3,53,2.3096
