year,month,rank_ME,rank_NXF,nstocks,ret_vw
1975,6,1,3,232,7.4966
1975,6,1,4,220,9.0278
1975,6,1,5,273,8.5768
1975,6,2,1,107,8.9931
1975,6,2,2,83,6.4402
1975,6,2,3,97,5.2561
1975,6,2,4,79,6.8153
1975,6,2,5,110,6.8027
1975,6,3,1,125,3.6265
1975,6,3,2,138,3.5274
1975,6,3,3,121,6.5198
1975,6,3,4,136,5.6793
1975,6,3,5,110,7.4618
1975,7,1,1,337,0.3342
1975,7,1,2,315,-0.2260
1975,7,1,3,366,-1.5145
1975,7,1,4,249,-0.6054
1975,7,1,5,329,-1.1195
1975,7,2,1,111,-3.8072
1975,7,2,2,116,-2.5825
1975,7,2,3,99,-3.1807
1975,7,2,4,116,-2.4859
1975,7,2,5,142,-6.0085
1975,7,3,1,142,-7.2753
1975,7,3,2,115,-6.3814
1975,7,3,3,139,-7.2615
1975,7,3,4,130,-4.5778
1975,7,3,5,125,-6.6502
1975,8,1,1,337,-5.9355
1975,8,1,2,315,-6.6128
1975,8,1,3,366,-6.3428
1975,8,1,4,249,-6.6662
1975,8,1,5,328,-6.0969
1975,8,2,1,111,-3.1660
1975,8,2,2,115,-4.0353
1975,8,2,3,99,-5.0392
1975,8,2,4,116,-3.9385
1975,8,2,5,142,-6.0033
1975,8,3,1,142,-2.1403
1975,8,3,2,115,-0.6053
1975,8,3,3,139,-0.0719
1975,8,3,4,130,-2.0166
1975,8,3,5,125,-2.7942
1975,9,1,1,337,-3.0240
1975,9,1,2,315,-2.3556
1975,9,1,3,365,-3.6764
1975,9,1,4,248,-3.4672
1975,9,1,5,327,-3.8153
1975,9,2,1,111,-3.2624
1975,9,2,2,115,-3.7480
1975,9,2,3,99,-2.8845
1975,9,2,4,116,-3.4765
1975,9,2,5,142,-5.1758
1975,9,3,1,142,-2.7007
1975,9,3,2,115,-4.0350
1975,9,3,3,139,-4.5007
1975,9,3,4,130,-2.5622
1975,9,3,5,125,-5.3954
1975,10,1,1,336,2.0249
1975,10,1,2,315,1.4704
1975,10,1,3,364,2.8406
1975,10,1,4,248,1.4901
1975,10,1,5,327,2.2117
1975,10,2,1,111,4.2092
1975,10,2,2,116,3.7936
1975,10,2,3,99,1.0443
1975,10,2,4,116,3.6070
1975,10,2,5,142,1.3134
1975,10,3,1,142,7.9865
1975,10,3,2,115,6.5998
1975,10,3,3,138,6.7699
1975,10,3,4,130,5.2397
1975,10,3,5,125,6.0977
1975,11,1,1,336,2.7355
1975,11,1,2,315,3.2931
1975,11,1,3,362,3.3054
1975,11,1,4,250,1.8114
1975,11,1,5,328,2.3171
1975,11,2,1,111,4.9829
1975,11,2,2,116,4.0698
1975,11,2,3,99,3.8224
1975,11,2,4,116,0.8994
1975,11,2,5,142,1.9494
1975,11,3,1,142,5.3921
1975,11,3,2,115,1.9594
1975,11,3,3,138,1.6254
1975,11,3,4,130,2.9992
1975,11,3,5,125,1.1797
1975,12,1,1,337,-0.9071
1975,12,1,2,314,-2.0224
1975,12,1,3,362,-1.7551
1975,12,1,4,250,-1.2183
1975,12,1,5,326,-1.2677
1975,12,2,1,111,-1.5164
1975,12,2,2,116,-0.5275
1975,12,2,3,99,-2.2256
1975,12,2,4,116,-0.4107
1975,12,2,5,142,-2.0166
1975,12,3,1,142,-2.7677
1975,12,3,2,115,-1.6319
1975,12,3,3,139,-0.9126
1975,12,3,4,130,-0.3964
1975,12,3,5,125,0.4842
1976,1,1,1,328,20.9112
1976,1,1,2,297,21.8995
1976,1,1,3,351,23.8382
1976,1,1,4,236,22.2772
1976,1,1,5,322,23.7961
1976,1,2,1,110,16.5471
1976,1,2,2,116,19.3024
