year,month,rank_ME,rank_IVG,nstocks,ret_vw
1970,10,2,5,73,-4.6635
1970,10,3,1,73,1.3409
1970,10,3,2,99,-0.8124
1970,10,3,3,99,-1.9006
1970,10,3,4,89,-0.5336
1970,10,3,5,96,-2.5905
1970,11,1,1,216,0.4497
1970,11,1,2,92,-2.4623
1970,11,1,3,83,-2.9974
1970,11,1,4,111,-1.0638
1970,11,1,5,200,-2.3259
1970,11,2,1,61,3.3303
1970,11,2,2,55,4.4591
1970,11,2,3,61,2.8204
1970,11,2,4,61,4.0151
1970,11,2,5,73,0.4386
1970,11,3,1,73,5.2123
1970,11,3,2,99,5.4500
1970,11,3,3,99,5.6099
1970,11,3,4,89,4.4056
1970,11,3,5,96,4.8562
1970,12,1,1,215,6.9350
1970,12,1,2,91,12.2160
1970,12,1,3,83,12.9538
1970,12,1,4,111,11.6681
1970,12,1,5,200,9.2631
1970,12,2,1,61,8.6062
1970,12,2,2,55,9.2560
1970,12,2,3,61,8.5319
1970,12,2,4,61,10.5982
1970,12,2,5,73,7.8083
1970,12,3,1,73,3.7029
1970,12,3,2,99,6.6437
1970,12,3,3,99,6.6078
1970,12,3,4,88,5.3407
1970,12,3,5,96,5.8426
1971,1,1,1,214,15.6972
1971,1,1,2,91,13.8038
1971,1,1,3,83,12.7907
1971,1,1,4,110,14.9199
1971,1,1,5,200,15.4696
1971,1,2,1,60,13.0952
1971,1,2,2,55,9.1609
1971,1,2,3,61,12.1833
1971,1,2,4,61,9.1216
1971,1,2,5,72,11.0332
1971,1,3,1,73,1.2458
1971,1,3,2,99,4.2711
1971,1,3,3,99,3.3092
1971,1,3,4,88,4.9554
1971,1,3,5,96,7.9575
1971,2,1,1,214,4.1041
1971,2,1,2,90,2.8388
1971,2,1,3,81,4.1298
1971,2,1,4,110,5.8713
1971,2,1,5,199,6.1316
1971,2,2,1,60,3.1384
1971,2,2,2,54,2.4983
1971,2,2,3,61,3.7775
1971,2,2,4,61,2.6845
1971,2,2,5,72,1.8956
1971,2,3,1,73,5.5623
1971,2,3,2,99,2.1658
1971,2,3,3,99,1.1115
1971,2,3,4,88,2.7258
1971,2,3,5,95,-1.2956
1971,3,1,1,214,7.8627
1971,3,1,2,90,5.4914
1971,3,1,3,81,6.8214
1971,3,1,4,109,5.5232
1971,3,1,5,199,5.8392
1971,3,2,1,60,8.2084
1971,3,2,2,54,7.3984
1971,3,2,3,60,2.2719
1971,3,2,4,61,6.4952
1971,3,2,5,72,8.4339
1971,3,3,1,72,3.5114
1971,3,3,2,99,3.9375
1971,3,3,3,99,3.2456
1971,3,3,4,87,5.1403
1971,3,3,5,95,4.2865
1971,4,1,1,213,2.6613
1971,4,1,2,90,3.4397
1971,4,1,3,80,3.5713
1971,4,1,4,109,4.3518
1971,4,1,5,199,0.8391
1971,4,2,1,60,3.9045
1971,4,2,2,54,6.3312
1971,4,2,3,59,9.0644
1971,4,2,4,61,2.8165
1971,4,2,5,72,2.6937
1971,4,3,1,72,3.9002
1971,4,3,2,99,5.0008
1971,4,3,3,99,5.2945
1971,4,3,4,87,3.5171
1971,4,3,5,95,3.8562
1971,5,1,1,207,-5.4128
1971,5,1,2,90,-6.2474
1971,5,1,3,80,-6.0706
1971,5,1,4,109,-5.9275
1971,5,1,5,198,-8.0121
1971,5,2,1,60,-4.3258
1971,5,2,2,54,-4.0203
1971,5,2,3,60,-4.3953
1971,5,2,4,60,-5.2665
1971,5,2,5,72,-4.3095
1971,5,3,1,72,-3.5750
1971,5,3,2,99,-1.7140
1971,5,3,3,99,-4.0134
1971,5,3,4,87,-4.7093
1971,5,3,5,95,-3.7473
1971,6,1,1,205,-2.5150
1971,6,1,2,90,-0.4121
1971,6,1,3,80,-3.2598
1971,6,1,4,109,-2.9309
1971,6,1,5,194,-2.3506
1971,6,2,1,60,-0.4383
1971,6,2,2,54,-1.7313
1971,6,2,3,60,0.0869
1971,6,2,4,60,-2.3112
1971,6,2,5,72,-0.3119
1971,6,3,1,72,-0.5675
1971,6,3,2,98,-0.5800
1971,6,3,3,99,-0.3866
1971,6,3,4,87,-0.2936
1971,6,3,5,95,2.2864
1971,7,1,1,258,-6.0687
1971,7,1,2,132,-6.8062
1971,7,1,3,101,-5.1193
1971,7,1,4,123,-6.7557
1971,7,1,5,143,-8.4819
1971,7,2,1,77,-5.3897
1971,7,2,2,54,-4.3237
1971,7,2,3,60,-4.8750
1971,7,2,4,59,-5.3767
1971,7,2,5,79,-5.2698
1971,7,3,1,54,-7.0044
1971,7,3,2,99,-5.6278
1971,7,3,3,112,-3.2381
1971,7,3,4,116,-3.1426
1971,7,3,5,109,-5.0428
1971,8,1,1,257,4.2589
1971,8,1,2,132,4.6598
1971,8,1,3,101,5.4844
1971,8,1,4,123,4.9308
1971,8,1,5,143,2.9646
1971,8,2,1,77,5.2085
1971,8,2,2,54,7.2411
1971,8,2,3,60,2.9274
1971,8,2,4,59,6.8909
1971,8,2,5,79,3.8833
1971,8,3,1,54,5.9756
1971,8,3,2,98,5.1353
1971,8,3,3,112,6.0916
1971,8,3,4,116,3.0699
1971,8,3,5,108,3.8907
1971,9,1,1,257,-0.4107
1971,9,1,2,132,-0.4818
1971,9,1,3,101,1.5797
1971,9,1,4,123,-1.8892
1971,9,1,5,143,-1.2324
