year,month,rank_ME,rank_ACI,nstocks,ret_vw
1970,8,3,5,60,6.9086
1970,9,1,1,96,14.0426
1970,9,1,2,60,12.5374
1970,9,1,3,44,13.8612
1970,9,1,4,36,10.2166
1970,9,1,5,78,14.3077
1970,9,2,1,51,10.1636
1970,9,2,2,39,11.7421
1970,9,2,3,28,9.5171
1970,9,2,4,40,7.4658
1970,9,2,5,62,11.6035
1970,9,3,1,61,6.1315
1970,9,3,2,87,4.0305
1970,9,3,3,107,4.1122
1970,9,3,4,101,2.2243
1970,9,3,5,59,3.6715
1970,10,1,1,97,-8.1705
1970,10,1,2,60,-7.5859
1970,10,1,3,44,-5.2229
1970,10,1,4,36,-7.2944
1970,10,1,5,78,-5.9574
1970,10,2,1,51,-4.8041
1970,10,2,2,39,-6.3276
1970,10,2,3,28,-4.7671
1970,10,2,4,40,-2.7913
1970,10,2,5,62,-8.2918
1970,10,3,1,61,-2.6653
1970,10,3,2,87,0.3222
1970,10,3,3,107,0.9604
1970,10,3,4,101,-3.5705
1970,10,3,5,59,-1.7550
1970,11,1,1,97,-1.6983
1970,11,1,2,60,0.6317
1970,11,1,3,44,0.1590
1970,11,1,4,35,-0.3058
1970,11,1,5,77,3.2741
1970,11,2,1,51,2.0423
1970,11,2,2,38,5.4227
1970,11,2,3,28,2.7694
1970,11,2,4,40,3.9061
1970,11,2,5,62,2.7074
1970,11,3,1,61,6.4962
1970,11,3,2,87,4.2318
1970,11,3,3,107,4.9022
1970,11,3,4,101,5.4000
1970,11,3,5,59,5.7267
1970,12,1,1,96,10.8703
1970,12,1,2,60,14.3152
1970,12,1,3,44,11.1752
1970,12,1,4,35,10.4381
1970,12,1,5,77,12.2119
1970,12,2,1,51,8.1874
1970,12,2,2,38,10.6132
1970,12,2,3,28,12.7158
1970,12,2,4,40,10.2948
1970,12,2,5,62,8.6082
1970,12,3,1,61,5.2239
1970,12,3,2,87,5.1733
1970,12,3,3,107,5.2007
1970,12,3,4,101,7.7914
1970,12,3,5,58,5.4512
1971,1,1,1,96,14.8998
1971,1,1,2,60,12.3700
1971,1,1,3,44,14.9931
1971,1,1,4,35,13.5233
1971,1,1,5,76,13.2894
1971,1,2,1,51,12.3601
1971,1,2,2,38,11.1822
1971,1,2,3,27,10.5484
1971,1,2,4,40,7.2477
1971,1,2,5,62,12.2462
1971,1,3,1,61,7.1978
1971,1,3,2,87,4.2757
1971,1,3,3,107,2.2216
1971,1,3,4,101,6.9842
1971,1,3,5,58,4.3271
1971,2,1,1,96,4.7393
1971,2,1,2,60,4.9556
1971,2,1,3,44,3.5290
1971,2,1,4,34,7.3692
1971,2,1,5,76,2.4713
1971,2,2,1,50,1.7270
1971,2,2,2,38,2.5588
1971,2,2,3,27,5.9226
1971,2,2,4,40,2.1298
1971,2,2,5,62,2.5729
1971,2,3,1,61,-0.1711
1971,2,3,2,87,2.7738
1971,2,3,3,107,3.3062
1971,2,3,4,101,-0.5365
1971,2,3,5,57,1.5989
1971,3,1,1,96,7.0556
1971,3,1,2,60,3.8792
1971,3,1,3,44,7.5413
1971,3,1,4,34,5.4811
1971,3,1,5,76,6.9549
1971,3,2,1,50,4.3542
1971,3,2,2,38,9.0227
1971,3,2,3,26,5.8428
1971,3,2,4,40,5.3521
1971,3,2,5,62,5.1808
1971,3,3,1,61,4.1456
1971,3,3,2,87,4.0690
1971,3,3,3,106,4.4541
1971,3,3,4,100,3.0529
1971,3,3,5,57,4.0350
1971,4,1,1,96,2.8143
1971,4,1,2,59,3.5470
1971,4,1,3,44,6.1156
1971,4,1,4,34,2.5756
1971,4,1,5,76,0.1960
1971,4,2,1,50,7.5561
1971,4,2,2,38,5.2108
1971,4,2,3,26,5.4415
1971,4,2,4,40,4.8239
1971,4,2,5,62,4.1411
1971,4,3,1,61,5.7783
1971,4,3,2,87,3.3897
1971,4,3,3,106,4.0376
1971,4,3,4,100,4.6000
1971,4,3,5,57,5.0633
1971,5,1,1,96,-5.5162
1971,5,1,2,59,-5.6307
1971,5,1,3,44,-6.6797
1971,5,1,4,33,-5.7828
1971,5,1,5,76,-6.2545
1971,5,2,1,50,-3.1570
1971,5,2,2,38,-1.9593
1971,5,2,3,26,-4.8565
1971,5,2,4,40,-4.5104
1971,5,2,5,62,-5.0953
1971,5,3,1,61,-2.7607
1971,5,3,2,87,-5.8997
1971,5,3,3,106,-2.5649
1971,5,3,4,100,-3.1718
1971,5,3,5,57,-3.6547
1971,6,1,1,94,-1.7197
1971,6,1,2,59,-3.3610
1971,6,1,3,44,-0.9285
1971,6,1,4,33,-0.6101
1971,6,1,5,76,-1.1007
1971,6,2,1,50,-0.6145
1971,6,2,2,38,-3.1037
1971,6,2,3,26,-1.5543
1971,6,2,4,40,1.2424
1971,6,2,5,62,-0.4976
1971,6,3,1,60,-1.7966
1971,6,3,2,87,-0.9368
1971,6,3,3,106,1.6788
1971,6,3,4,100,0.7802
1971,6,3,5,57,-1.8402
1971,7,1,1,112,-6.5960
1971,7,1,2,87,-5.2718
1971,7,1,3,44,-5.4083
