year,month,rank_ME,rank_TA,nstocks,ret_vw
1970,6,1,4,99,-7.5085
1970,6,1,5,145,-9.3585
1970,6,2,1,55,-7.8230
1970,6,2,2,48,-6.2931
1970,6,2,3,42,-7.6360
1970,6,2,4,48,-5.2145
1970,6,2,5,78,-7.9496
1970,6,3,1,70,-3.6343
1970,6,3,2,91,-4.6352
1970,6,3,3,100,-2.7718
1970,6,3,4,96,-5.3176
1970,6,3,5,94,-8.4529
1970,7,1,1,183,3.6222
1970,7,1,2,104,4.4023
1970,7,1,3,84,4.7084
1970,7,1,4,108,5.7385
1970,7,1,5,197,5.5730
1970,7,2,1,68,8.8876
1970,7,2,2,58,6.5111
1970,7,2,3,44,6.1907
1970,7,2,4,53,9.5225
1970,7,2,5,83,8.5707
1970,7,3,1,62,8.9043
1970,7,3,2,92,9.6935
1970,7,3,3,100,7.9543
1970,7,3,4,104,6.1345
1970,7,3,5,96,3.6176
1970,8,1,1,182,7.4246
1970,8,1,2,104,6.4064
1970,8,1,3,83,6.1071
1970,8,1,4,107,7.5617
1970,8,1,5,197,5.9463
1970,8,2,1,68,6.4647
1970,8,2,2,58,5.7985
1970,8,2,3,44,9.2707
1970,8,2,4,53,6.0593
1970,8,2,5,83,8.6998
1970,8,3,1,62,5.4974
1970,8,3,2,92,5.6588
1970,8,3,3,100,4.2907
1970,8,3,4,104,5.0737
1970,8,3,5,96,4.5626
1970,9,1,1,181,12.6225
1970,9,1,2,104,14.9677
1970,9,1,3,83,11.3255
1970,9,1,4,107,16.5259
1970,9,1,5,196,18.1967
1970,9,2,1,68,11.6363
1970,9,2,2,58,10.3988
1970,9,2,3,44,11.3242
1970,9,2,4,53,8.2755
1970,9,2,5,83,15.4460
1970,9,3,1,62,4.9783
1970,9,3,2,92,0.1303
1970,9,3,3,100,2.2358
1970,9,3,4,103,6.7251
1970,9,3,5,96,8.6442
1970,10,1,1,181,-6.7884
1970,10,1,2,104,-9.1966
1970,10,1,3,83,-6.4694
1970,10,1,4,108,-7.6343
1970,10,1,5,196,-9.5129
1970,10,2,1,68,-6.1885
1970,10,2,2,58,-5.2965
1970,10,2,3,44,-4.8963
1970,10,2,4,53,-4.8279
1970,10,2,5,83,-5.2974
1970,10,3,1,62,-1.5450
1970,10,3,2,92,-1.9647
1970,10,3,3,100,0.0864
1970,10,3,4,103,-1.6797
1970,10,3,5,96,-0.4823
1970,11,1,1,181,-1.0927
1970,11,1,2,104,-2.8685
1970,11,1,3,83,-0.3771
1970,11,1,4,107,-2.1324
1970,11,1,5,196,-1.6836
1970,11,2,1,68,1.7885
1970,11,2,2,58,4.6002
1970,11,2,3,44,2.5683
1970,11,2,4,53,4.2476
1970,11,2,5,83,0.6531
1970,11,3,1,62,4.7176
1970,11,3,2,92,6.2161
1970,11,3,3,100,5.5339
1970,11,3,4,103,4.6649
1970,11,3,5,96,3.7547
1970,12,1,1,181,8.9970
1970,12,1,2,103,10.5943
1970,12,1,3,83,11.1107
1970,12,1,4,107,10.6733
1970,12,1,5,196,8.9511
1970,12,2,1,68,8.6943
1970,12,2,2,58,9.9161
1970,12,2,3,44,7.9118
1970,12,2,4,53,9.6996
1970,12,2,5,83,8.3546
1970,12,3,1,62,5.9276
1970,12,3,2,92,6.2152
1970,12,3,3,100,5.6766
1970,12,3,4,103,6.2644
1970,12,3,5,96,4.7877
1971,1,1,1,180,16.2224
1971,1,1,2,102,17.3018
1971,1,1,3,83,13.3904
1971,1,1,4,107,15.4091
1971,1,1,5,196,13.2603
1971,1,2,1,68,12.8685
1971,1,2,2,58,11.4417
1971,1,2,3,43,12.5918
1971,1,2,4,53,8.8689
1971,1,2,5,83,9.8255
1971,1,3,1,62,6.2162
1971,1,3,2,92,4.0547
1971,1,3,3,100,2.8544
1971,1,3,4,103,5.7275
1971,1,3,5,96,5.1977
1971,2,1,1,179,5.3561
1971,2,1,2,102,3.0330
1971,2,1,3,83,5.2646
1971,2,1,4,107,2.5474
1971,2,1,5,195,6.3194
1971,2,2,1,68,1.4713
1971,2,2,2,58,2.7945
1971,2,2,3,43,3.2503
1971,2,2,4,53,4.1788
1971,2,2,5,83,2.2729
1971,2,3,1,62,5.4063
1971,2,3,2,92,-0.3719
1971,2,3,3,100,2.0508
1971,2,3,4,103,2.1196
1971,2,3,5,96,2.5084
1971,3,1,1,179,7.4825
1971,3,1,2,102,7.2597
1971,3,1,3,83,8.7683
1971,3,1,4,107,6.2558
1971,3,1,5,194,4.6269
1971,3,2,1,68,6.2687
1971,3,2,2,57,5.3619
1971,3,2,3,43,3.8275
1971,3,2,4,53,7.5861
1971,3,2,5,83,9.1671
1971,3,3,1,61,2.5607
1971,3,3,2,92,2.6518
1971,3,3,3,100,3.8283
1971,3,3,4,103,4.9916
1971,3,3,5,96,6.2085
1971,4,1,1,178,1.7228
1971,4,1,2,102,3.9867
1971,4,1,3,83,0.0970
1971,4,1,4,107,1.5618
1971,4,1,5,194,3.8474
1971,4,2,1,68,5.9801
1971,4,2,2,57,4.5064
1971,4,2,3,43,5.4138
1971,4,2,4,53,3.6122
1971,4,2,5,83,3.0206
1971,4,3,1,61,5.6984
1971,4,3,2,92,3.6369
1971,4,3,3,100,5.3177
1971,4,3,4,103,4.4242
1971,4,3,5,96,3.1874
1971,5,1,1,175,-4.9195
1971,5,1,2,102,-5.2189
1971,5,1,3,83,-6.8430
1971,5,1,4,107,-7.7829
1971,5,1,5,194,-7.0166
1971,5,2,1,68,-6.5052
1971,5,2,2,58,-2.9229
1971,5,2,3,43,-5.7665
1971,5,2,4,52,-3.9076
1971,5,2,5,83,-3.5481
1971,5,3,1,61,-3.7387
1971,5,3,2,92,-4.4722
1971,5,3,3,100,-2.6630
1971,5,3,4,103,-2.3055
1971,5,3,5,96,-4.5679
1971,6,1,1,173,-1.0824
1971,6,1,2,102,-2.4500
1971,6,1,3,83,-1.5141
1971,6,1,4,106,-3.4003
1971,6,1,5,194,-2.6185
1971,6,2,1,68,-1.2912
1971,6,2,2,58,-0.6192
1971,6,2,3,43,-3.2962
1971,6,2,4,52,-0.7143
1971,6,2,5,82,-0.1965
1971,6,3,1,61,-0.1620
1971,6,3,2,92,-0.9505
