year,month,rank_ME,rank_NSI,nstocks,ret_vw
1969,8,1,3,111,2.3076
1969,8,1,4,152,5.6205
1969,8,1,5,181,3.5159
1969,8,2,1,32,4.5248
1969,8,2,2,47,3.1224
1969,8,2,3,64,5.1690
1969,8,2,4,73,5.9179
1969,8,2,5,113,7.6933
1969,8,3,1,61,4.5876
1969,8,3,2,65,1.1528
1969,8,3,3,151,4.0182
1969,8,3,4,133,5.3069
1969,8,3,5,125,7.3333
1969,9,1,1,50,-2.7841
1969,9,1,2,156,-0.8167
1969,9,1,3,111,-2.6762
1969,9,1,4,152,-3.5754
1969,9,1,5,181,-4.3003
1969,9,2,1,32,-0.4231
1969,9,2,2,45,-0.6371
1969,9,2,3,63,0.9312
1969,9,2,4,73,0.2734
1969,9,2,5,113,-1.7948
1969,9,3,1,61,-4.0262
1969,9,3,2,65,-2.4767
1969,9,3,3,151,-2.2012
1969,9,3,4,132,-1.3365
1969,9,3,5,125,-4.9731
1969,10,1,1,50,6.6374
1969,10,1,2,155,8.1429
1969,10,1,3,111,10.6909
1969,10,1,4,152,10.5732
1969,10,1,5,181,12.7981
1969,10,2,1,32,7.8285
1969,10,2,2,45,5.4915
1969,10,2,3,63,6.6843
1969,10,2,4,73,6.4731
1969,10,2,5,112,10.4643
1969,10,3,1,61,4.4733
1969,10,3,2,65,5.8591
1969,10,3,3,151,4.6657
1969,10,3,4,132,5.3535
1969,10,3,5,125,4.5692
1969,11,1,1,50,-4.2264
1969,11,1,2,155,-5.6190
1969,11,1,3,111,-6.7992
1969,11,1,4,152,-5.3712
1969,11,1,5,181,-9.4553
1969,11,2,1,32,-3.7853
1969,11,2,2,46,-4.7658
1969,11,2,3,63,-4.2607
1969,11,2,4,73,-5.1172
1969,11,2,5,111,-5.0763
1969,11,3,1,61,-3.4612
1969,11,3,2,65,-5.0940
1969,11,3,3,151,-3.7077
1969,11,3,4,133,-1.0917
1969,11,3,5,125,-3.3660
1969,12,1,1,50,-5.5917
1969,12,1,2,156,-6.3499
1969,12,1,3,111,-8.1764
1969,12,1,4,152,-6.6396
1969,12,1,5,181,-9.6057
1969,12,2,1,32,-3.9590
1969,12,2,2,46,-4.7611
1969,12,2,3,63,-3.8875
1969,12,2,4,73,-2.8413
1969,12,2,5,111,-5.8183
1969,12,3,1,61,-1.4773
1969,12,3,2,65,-1.4864
1969,12,3,3,151,-0.2079
1969,12,3,4,133,-1.8179
1969,12,3,5,125,-3.5758
1970,1,1,1,50,-2.1485
1970,1,1,2,156,-1.7505
1970,1,1,3,111,-1.4974
1970,1,1,4,152,-3.1682
1970,1,1,5,181,-5.3396
1970,1,2,1,32,-4.0845
1970,1,2,2,46,-2.7509
1970,1,2,3,63,-5.3248
1970,1,2,4,72,-5.8454
1970,1,2,5,112,-7.3073
1970,1,3,1,61,-6.8200
1970,1,3,2,65,-5.6561
1970,1,3,3,151,-8.3132
1970,1,3,4,132,-6.5033
1970,1,3,5,125,-11.4804
1970,2,1,1,50,3.7840
1970,2,1,2,156,3.5860
1970,2,1,3,111,2.2936
1970,2,1,4,151,3.9565
1970,2,1,5,181,1.9572
1970,2,2,1,32,3.8678
1970,2,2,2,46,4.5177
1970,2,2,3,63,5.6916
1970,2,2,4,72,3.9288
1970,2,2,5,111,4.7089
