year,month,rank_ME,rank_IG2,nstocks,ret_vw
1968,12,1,1,76,1.4673
1968,12,1,2,53,0.0673
1968,12,1,3,33,4.6311
1968,12,1,4,44,0.6860
1968,12,1,5,61,0.1484
1968,12,2,1,45,-1.1168
1968,12,2,2,46,-1.6675
1968,12,2,3,38,-0.0241
1968,12,2,4,38,-1.2078
1968,12,2,5,37,-1.8942
1968,12,3,1,57,-3.7698
1968,12,3,2,77,-4.0583
1968,12,3,3,98,-3.9187
1968,12,3,4,93,-5.1219
1968,12,3,5,88,-2.5757
1969,1,1,1,76,-2.0170
1969,1,1,2,53,-2.0985
1969,1,1,3,33,0.5724
1969,1,1,4,44,-0.9946
1969,1,1,5,61,-1.6515
1969,1,2,1,45,-1.5711
1969,1,2,2,46,-0.3085
1969,1,2,3,38,-2.7126
1969,1,2,4,38,-1.4135
1969,1,2,5,37,-0.8757
1969,1,3,1,57,-0.7736
1969,1,3,2,77,0.2572
1969,1,3,3,98,-2.3824
1969,1,3,4,93,-0.4324
1969,1,3,5,87,-2.1027
1969,2,1,1,76,-9.7830
1969,2,1,2,52,-9.0945
1969,2,1,3,32,-9.8454
1969,2,1,4,44,-9.9860
1969,2,1,5,61,-7.7782
1969,2,2,1,45,-8.6901
1969,2,2,2,46,-6.5812
1969,2,2,3,38,-9.2451
1969,2,2,4,38,-5.7341
1969,2,2,5,37,-9.9740
1969,2,3,1,57,-3.8978
1969,2,3,2,77,-4.2359
1969,2,3,3,98,-3.5833
1969,2,3,4,93,-4.2485
1969,2,3,5,87,-7.7052
1969,3,1,1,76,4.1361
1969,3,1,2,52,1.2947
1969,3,1,3,32,4.1527
1969,3,1,4,44,2.5892
1969,3,1,5,61,1.6054
1969,3,2,1,45,1.5322
1969,3,2,2,46,3.4739
1969,3,2,3,38,1.6945
1969,3,2,4,38,0.8419
1969,3,2,5,37,5.0067
1969,3,3,1,57,3.0113
1969,3,3,2,77,2.2923
1969,3,3,3,98,5.4230
1969,3,3,4,93,3.8390
1969,3,3,5,87,1.1982
1969,4,1,1,75,-0.9266
1969,4,1,2,52,-0.8808
1969,4,1,3,32,-2.4362
1969,4,1,4,44,1.6838
1969,4,1,5,61,0.0084
1969,4,2,1,45,-0.2914
1969,4,2,2,46,2.0459
1969,4,2,3,37,0.2615
1969,4,2,4,38,0.1945
1969,4,2,5,37,0.7809
1969,4,3,1,57,0.6860
1969,4,3,2,77,4.2681
1969,4,3,3,97,1.8905
1969,4,3,4,93,2.6770
1969,4,3,5,86,1.5238
1969,5,1,1,75,-0.4195
1969,5,1,2,52,-0.9531
1969,5,1,3,33,-1.5969
1969,5,1,4,44,1.3245
1969,5,1,5,61,0.5057
1969,5,2,1,45,0.2938
1969,5,2,2,46,-0.9240
1969,5,2,3,37,-1.3355
1969,5,2,4,38,1.2686
1969,5,2,5,37,-0.1092
1969,5,3,1,57,1.1264
1969,5,3,2,77,0.2398
1969,5,3,3,97,0.3997
1969,5,3,4,92,1.1799
1969,5,3,5,86,-2.1705
1969,6,1,1,75,-12.7346
1969,6,1,2,52,-11.8555
1969,6,1,3,33,-13.7221
1969,6,1,4,44,-12.6581
1969,6,1,5,61,-12.6096
1969,6,2,1,45,-11.0350
1969,6,2,2,46,-8.7439
1969,6,2,3,38,-9.8711
1969,6,2,4,38,-10.3227
1969,6,2,5,37,-12.1261
1969,6,3,1,56,-6.5493
1969,6,3,2,77,-6.4427
1969,6,3,3,97,-4.2853
1969,6,3,4,92,-5.3662
1969,6,3,5,87,-7.8035
1969,7,1,1,112,-9.6654
1969,7,1,2,53,-10.6483
1969,7,1,3,58,-11.4348
1969,7,1,4,54,-8.7825
1969,7,1,5,108,-12.9300
1969,7,2,1,47,-8.0295
1969,7,2,2,38,-7.6789
1969,7,2,3,45,-9.0384
1969,7,2,4,46,-8.8833
1969,7,2,5,57,-12.0652
1969,7,3,1,65,-6.5821
1969,7,3,2,99,-5.1979
1969,7,3,3,99,-5.8555
1969,7,3,4,96,-7.1011
1969,7,3,5,71,-6.8529
1969,8,1,1,112,3.5675
1969,8,1,2,53,3.5810
1969,8,1,3,58,4.4374
1969,8,1,4,54,4.4616
1969,8,1,5,108,4.9916
1969,8,2,1,47,6.8280
1969,8,2,2,38,6.9984
1969,8,2,3,45,5.5809
1969,8,2,4,46,5.6563
1969,8,2,5,57,7.8088
1969,8,3,1,65,6.5201
1969,8,3,2,99,5.6444
1969,8,3,3,99,3.9076
1969,8,3,4,96,4.9735
1969,8,3,5,71,6.7782
1969,9,1,1,112,-5.0834
1969,9,1,2,53,-2.3549
1969,9,1,3,58,-1.2772
1969,9,1,4,54,-1.8452
1969,9,1,5,108,-3.4657
