year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1969,2,3,1,47,-5.1390
1969,2,3,2,92,-4.0959
1969,2,3,3,86,-4.2629
1969,2,3,4,105,-4.5744
1969,2,3,5,103,-4.4718
1969,3,1,1,225,2.8470
1969,3,1,2,116,3.3861
1969,3,1,3,74,1.9412
1969,3,1,4,70,1.8657
1969,3,1,5,87,2.1489
1969,3,2,1,59,3.8110
1969,3,2,2,52,2.5206
1969,3,2,3,57,3.2440
1969,3,2,4,43,3.1842
1969,3,2,5,60,2.8980
1969,3,3,1,47,0.8683
1969,3,3,2,92,3.8253
1969,3,3,3,86,3.6915
1969,3,3,4,105,4.2307
1969,3,3,5,103,3.4945
1969,4,1,1,224,-0.3386
1969,4,1,2,116,0.0326
1969,4,1,3,74,-2.0742
1969,4,1,4,69,-0.7219
1969,4,1,5,87,-1.5324
1969,4,2,1,59,3.5064
1969,4,2,2,51,0.3798
1969,4,2,3,57,1.9373
1969,4,2,4,43,2.6250
1969,4,2,5,60,0.3903
1969,4,3,1,47,1.3184
1969,4,3,2,92,1.8791
1969,4,3,3,86,2.0250
1969,4,3,4,103,2.5301
1969,4,3,5,103,2.6307
1969,5,1,1,224,1.5961
1969,5,1,2,116,0.3488
1969,5,1,3,74,-1.2941
1969,5,1,4,70,1.4897
1969,5,1,5,87,1.4480
1969,5,2,1,59,1.9162
1969,5,2,2,51,0.0548
1969,5,2,3,57,0.2098
1969,5,2,4,43,1.1173
1969,5,2,5,61,-1.4570
1969,5,3,1,47,-1.5160
1969,5,3,2,92,1.2775
1969,5,3,3,86,-0.0947
1969,5,3,4,102,0.9899
1969,5,3,5,103,-0.5013
1969,6,1,1,224,-14.0144
1969,6,1,2,116,-13.9188
1969,6,1,3,74,-12.1876
1969,6,1,4,71,-12.9230
1969,6,1,5,87,-14.3371
1969,6,2,1,59,-10.7380
1969,6,2,2,52,-9.6532
1969,6,2,3,57,-10.3115
1969,6,2,4,43,-12.5659
1969,6,2,5,61,-11.3569
1969,6,3,1,47,-9.3175
1969,6,3,2,92,-6.0350
1969,6,3,3,86,-6.2815
1969,6,3,4,103,-6.8984
1969,6,3,5,103,-2.5768
1969,7,1,1,214,-11.8264
1969,7,1,2,120,-11.1009
1969,7,1,3,84,-8.5440
1969,7,1,4,88,-12.7735
1969,7,1,5,124,-11.9053
1969,7,2,1,54,-8.3873
1969,7,2,2,55,-9.1765
1969,7,2,3,48,-7.8589
1969,7,2,4,55,-9.5706
1969,7,2,5,81,-11.6208
1969,7,3,1,65,-6.2226
1969,7,3,2,93,-6.9886
1969,7,3,3,106,-6.1507
1969,7,3,4,106,-5.4824
1969,7,3,5,86,-6.5127
1969,8,1,1,213,2.8723
1969,8,1,2,120,3.5102
1969,8,1,3,84,4.0511
1969,8,1,4,88,4.5284
1969,8,1,5,124,4.9144
1969,8,2,1,54,8.2000
1969,8,2,2,55,5.7422
1969,8,2,3,48,4.0562
1969,8,2,4,55,4.4296
1969,8,2,5,81,9.0321
1969,8,3,1,65,6.6144
1969,8,3,2,93,3.9042
1969,8,3,3,106,7.7748
1969,8,3,4,106,4.4329
1969,8,3,5,86,5.7094
1969,9,1,1,213,-2.0592
1969,9,1,2,120,-3.8389
1969,9,1,3,84,-1.5718
1969,9,1,4,88,-4.5775
1969,9,1,5,125,-3.3040
1969,9,2,1,54,1.8619
1969,9,2,2,54,-1.0954
1969,9,2,3,47,1.2834
1969,9,2,4,54,-0.6704
1969,9,2,5,81,-1.1459
1969,9,3,1,64,-0.5905
1969,9,3,2,93,-0.5916
1969,9,3,3,106,-2.9012
1969,9,3,4,106,-3.6744
1969,9,3,5,86,-2.5922
1969,10,1,1,213,9.4071
1969,10,1,2,120,10.1588
1969,10,1,3,84,7.6690
1969,10,1,4,87,10.1355
1969,10,1,5,125,13.1095
1969,10,2,1,54,6.3455
1969,10,2,2,54,9.9116
1969,10,2,3,46,6.1523
1969,10,2,4,54,9.1033
1969,10,2,5,81,9.2341
1969,10,3,1,64,5.1280
1969,10,3,2,93,5.0997
1969,10,3,3,106,6.4967
1969,10,3,4,106,3.8699
1969,10,3,5,86,4.1130
1969,11,1,1,213,-6.9252
1969,11,1,2,120,-5.4504
1969,11,1,3,84,-5.4777
1969,11,1,4,87,-7.3132
1969,11,1,5,125,-7.7629
1969,11,2,1,54,-3.6952
1969,11,2,2,54,-4.6297
1969,11,2,3,46,-3.9032
1969,11,2,4,55,-4.2897
1969,11,2,5,80,-6.4793
1969,11,3,1,65,-2.4034
1969,11,3,2,93,-3.2675
1969,11,3,3,106,-2.7759
1969,11,3,4,106,-2.8203
1969,11,3,5,86,-1.9671
1969,12,1,1,213,-9.1287
1969,12,1,2,120,-7.2935
1969,12,1,3,84,-5.0501
1969,12,1,4,88,-8.0921
1969,12,1,5,125,-7.4174
1969,12,2,1,54,-5.0831
1969,12,2,2,54,-3.6797
1969,12,2,3,46,-2.8708
1969,12,2,4,55,-4.9366
1969,12,2,5,80,-5.5366
1969,12,3,1,65,0.2179
1969,12,3,2,93,-2.6995
1969,12,3,3,106,-1.4926
1969,12,3,4,106,-1.9756
1969,12,3,5,86,-0.7149
1970,1,1,1,213,-0.2170
1970,1,1,2,120,-3.9586
1970,1,1,3,84,-1.0009
1970,1,1,4,88,-4.3486
1970,1,1,5,125,-6.0522
1970,1,2,1,54,-5.9034
1970,1,2,2,54,-4.7992
1970,1,2,3,45,-7.3502
1970,1,2,4,55,-4.1886
