year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1970,1,3,4,125,-6.8274
1970,1,3,5,108,-10.3343
1970,2,1,1,215,3.4925
1970,2,1,2,102,4.7536
1970,2,1,3,78,1.7146
1970,2,1,4,76,3.9448
1970,2,1,5,122,2.0873
1970,2,2,1,58,6.3740
1970,2,2,2,56,2.9234
1970,2,2,3,60,4.8726
1970,2,2,4,45,5.3719
1970,2,2,5,77,4.3084
1970,2,3,1,75,3.3979
1970,2,3,2,104,6.4886
1970,2,3,3,109,4.9755
1970,2,3,4,125,7.1056
1970,2,3,5,108,6.1601
1970,3,1,1,215,-0.0313
1970,3,1,2,102,-5.0750
1970,3,1,3,78,-3.2925
1970,3,1,4,76,-3.8119
1970,3,1,5,122,-5.5945
1970,3,2,1,58,-1.2424
1970,3,2,2,56,1.4725
1970,3,2,3,60,0.6876
1970,3,2,4,47,-3.4314
1970,3,2,5,77,-4.4762
1970,3,3,1,75,-0.1385
1970,3,3,2,105,0.9058
1970,3,3,3,109,-1.0505
1970,3,3,4,125,0.7414
1970,3,3,5,108,-0.8511
1970,4,1,1,215,-16.4600
1970,4,1,2,102,-14.1921
1970,4,1,3,78,-15.8364
1970,4,1,4,76,-18.2225
1970,4,1,5,120,-22.0084
1970,4,2,1,58,-14.6713
1970,4,2,2,56,-11.2513
1970,4,2,3,60,-10.9185
1970,4,2,4,47,-16.4284
1970,4,2,5,78,-19.8968
1970,4,3,1,75,-9.7247
1970,4,3,2,105,-8.2290
1970,4,3,3,109,-9.9691
1970,4,3,4,125,-8.3455
1970,4,3,5,108,-12.1106
1970,5,1,1,215,-9.3587
1970,5,1,2,102,-10.4443
1970,5,1,3,77,-7.5122
1970,5,1,4,76,-12.3808
1970,5,1,5,120,-7.0450
1970,5,2,1,58,-7.3971
1970,5,2,2,56,-8.0825
1970,5,2,3,60,-9.7206
1970,5,2,4,47,-10.8568
1970,5,2,5,77,-12.7207
1970,5,3,1,75,-5.1851
1970,5,3,2,105,-5.5102
1970,5,3,3,109,-4.9015
1970,5,3,4,125,-5.2851
1970,5,3,5,108,-8.3944
1970,6,1,1,214,-6.8743
1970,6,1,2,102,-9.5737
1970,6,1,3,77,-8.5262
1970,6,1,4,76,-8.5700
1970,6,1,5,119,-10.1694
1970,6,2,1,58,-6.2331
1970,6,2,2,56,-6.0506
1970,6,2,3,60,-5.9168
1970,6,2,4,47,-6.4708
1970,6,2,5,77,-8.5718
1970,6,3,1,75,-6.1998
1970,6,3,2,105,-3.4586
1970,6,3,3,109,-6.6586
1970,6,3,4,125,-4.0202
1970,6,3,5,108,-5.9544
1970,7,1,1,230,4.6878
1970,7,1,2,100,6.5224
1970,7,1,3,83,6.9489
1970,7,1,4,97,4.5990
1970,7,1,5,173,2.8846
1970,7,2,1,62,7.0578
1970,7,2,2,65,9.0729
1970,7,2,3,58,7.9274
1970,7,2,4,63,7.7013
1970,7,2,5,78,7.0027
1970,7,3,1,81,7.4953
1970,7,3,2,97,8.6901
1970,7,3,3,125,7.7406
1970,7,3,4,124,6.4978
1970,7,3,5,110,7.3387
1970,8,1,1,228,6.3236
1970,8,1,2,100,6.1228
