year,month,rank_ME,rank_CEI,nstocks,ret_vw
1970,9,2,3,46,8.3676
1970,9,2,4,72,13.3241
1970,9,2,5,71,16.7633
1970,9,3,1,114,0.9823
1970,9,3,2,111,0.7473
1970,9,3,3,122,3.7849
1970,9,3,4,94,7.3078
1970,9,3,5,86,8.5456
1970,10,1,1,77,-1.9003
1970,10,1,2,89,-5.9586
1970,10,1,3,120,-4.2351
1970,10,1,4,219,-11.0669
1970,10,1,5,80,-12.1370
1970,10,2,1,49,-1.5487
1970,10,2,2,56,-2.3047
1970,10,2,3,45,-3.3977
1970,10,2,4,72,-6.4914
1970,10,2,5,71,-8.1994
1970,10,3,1,114,-1.1384
1970,10,3,2,111,-0.2543
1970,10,3,3,122,-0.4303
1970,10,3,4,94,-1.6690
1970,10,3,5,86,-2.1379
1970,11,1,1,76,0.7917
1970,11,1,2,89,1.6742
1970,11,1,3,120,-1.3798
1970,11,1,4,217,-3.3026
1970,11,1,5,80,-0.8096
1970,11,2,1,49,4.0012
1970,11,2,2,56,5.0484
1970,11,2,3,45,4.6366
1970,11,2,4,72,3.5530
1970,11,2,5,71,1.7746
1970,11,3,1,114,6.7149
1970,11,3,2,111,5.6109
1970,11,3,3,122,5.9203
1970,11,3,4,94,4.0196
1970,11,3,5,86,4.3887
1970,12,1,1,76,10.5020
1970,12,1,2,89,13.2787
1970,12,1,3,119,10.6118
1970,12,1,4,217,6.4531
1970,12,1,5,79,8.4182
1970,12,2,1,49,7.1185
1970,12,2,2,56,8.7427
1970,12,2,3,45,8.7863
1970,12,2,4,71,8.1579
1970,12,2,5,71,7.4515
1970,12,3,1,114,5.0809
1970,12,3,2,110,6.5301
1970,12,3,3,122,6.3597
1970,12,3,4,94,5.4655
1970,12,3,5,86,4.5370
1971,1,1,1,76,11.0286
1971,1,1,2,87,11.5555
1971,1,1,3,118,14.9872
1971,1,1,4,217,16.6524
1971,1,1,5,79,16.8119
1971,1,2,1,48,8.5060
1971,1,2,2,55,9.9099
1971,1,2,3,44,9.3548
1971,1,2,4,71,12.3389
1971,1,2,5,71,13.6041
1971,1,3,1,114,2.7369
1971,1,3,2,110,3.7559
1971,1,3,3,122,4.4052
1971,1,3,4,94,4.8269
1971,1,3,5,86,8.5511
1971,2,1,1,76,2.2689
1971,2,1,2,87,5.9298
1971,2,1,3,117,4.2336
