year,month,rank_ME,rank_IVC,nstocks,ret_vw
1971,3,1,5,203,5.5186
1971,3,2,1,59,8.5603
1971,3,2,2,57,3.4327
1971,3,2,3,60,7.2077
1971,3,2,4,67,5.5150
1971,3,2,5,68,8.1227
1971,3,3,1,78,3.4245
1971,3,3,2,106,3.6635
1971,3,3,3,105,3.2478
1971,3,3,4,79,5.2686
1971,3,3,5,85,6.4084
1971,4,1,1,195,3.1024
1971,4,1,2,93,1.0341
1971,4,1,3,94,3.7537
1971,4,1,4,109,3.2911
1971,4,1,5,203,1.9037
1971,4,2,1,59,4.9111
1971,4,2,2,57,6.4444
1971,4,2,3,60,4.8894
1971,4,2,4,66,5.1282
1971,4,2,5,68,2.4898
1971,4,3,1,78,4.1344
1971,4,3,2,106,3.0274
1971,4,3,3,105,5.2418
1971,4,3,4,79,5.7937
1971,4,3,5,85,5.7303
1971,5,1,1,189,-5.1858
1971,5,1,2,93,-7.2099
1971,5,1,3,94,-5.9516
1971,5,1,4,109,-6.9546
1971,5,1,5,202,-7.1876
1971,5,2,1,59,-4.2531
1971,5,2,2,57,-5.0737
1971,5,2,3,60,-3.2406
1971,5,2,4,66,-3.8182
1971,5,2,5,68,-5.5390
1971,5,3,1,78,-3.3641
1971,5,3,2,106,-4.2772
1971,5,3,3,105,-3.6160
1971,5,3,4,79,-2.6197
1971,5,3,5,85,-2.3588
1971,6,1,1,187,-3.0295
1971,6,1,2,93,-2.2219
1971,6,1,3,94,-0.2164
1971,6,1,4,108,-2.7683
1971,6,1,5,199,-2.7835
1971,6,2,1,59,0.1352
1971,6,2,2,57,-2.4386
1971,6,2,3,59,-2.3172
1971,6,2,4,66,-1.4759
1971,6,2,5,68,1.0968
1971,6,3,1,78,-0.8565
1971,6,3,2,105,-0.6674
1971,6,3,3,105,-0.5062
1971,6,3,4,79,2.6645
1971,6,3,5,85,2.0967
1971,7,1,1,253,-6.2783
1971,7,1,2,122,-7.2993
1971,7,1,3,101,-5.3560
1971,7,1,4,99,-7.2079
1971,7,1,5,186,-7.1832
1971,7,2,1,79,-4.8726
1971,7,2,2,60,-4.4697
1971,7,2,3,53,-4.8996
1971,7,2,4,62,-5.8635
1971,7,2,5,76,-5.3627
1971,7,3,1,51,-6.7083
1971,7,3,2,107,-5.2578
1971,7,3,3,124,-3.3456
1971,7,3,4,112,-3.7169
1971,7,3,5,97,-5.2581
1971,8,1,1,252,4.2686
1971,8,1,2,122,3.7206
1971,8,1,3,101,4.6643
1971,8,1,4,99,5.6426
1971,8,1,5,186,3.8624
1971,8,2,1,79,5.2121
1971,8,2,2,60,5.7833
1971,8,2,3,53,2.0815
1971,8,2,4,62,7.0713
1971,8,2,5,76,4.7291
1971,8,3,1,51,5.8531
1971,8,3,2,106,3.5978
1971,8,3,3,124,3.6610
1971,8,3,4,111,5.9311
1971,8,3,5,97,5.7935
1971,9,1,1,252,-0.6566
1971,9,1,2,122,1.0343
1971,9,1,3,101,-0.1861
1971,9,1,4,99,-0.3804
1971,9,1,5,186,-1.6645
