year,month,rank_ME,rank_IG,nstocks,ret_vw
1970,2,1,4,74,5.1059
1970,2,1,5,142,3.0179
1970,2,2,1,52,2.8534
1970,2,2,2,48,3.8878
1970,2,2,3,40,4.5300
1970,2,2,4,59,4.6538
1970,2,2,5,72,6.1344
1970,2,3,1,68,6.2843
1970,2,3,2,103,4.2991
1970,2,3,3,122,6.2941
1970,2,3,4,96,6.5131
1970,2,3,5,64,5.7315
1970,3,1,1,147,-2.2576
1970,3,1,2,68,-2.4893
1970,3,1,3,68,-2.1361
1970,3,1,4,74,-3.9851
1970,3,1,5,142,-3.9671
1970,3,2,1,53,0.8670
1970,3,2,2,48,-1.6259
1970,3,2,3,40,-1.1667
1970,3,2,4,59,-2.0947
1970,3,2,5,73,-4.0121
1970,3,3,1,68,-1.7269
1970,3,3,2,103,0.7457
1970,3,3,3,122,-0.5417
1970,3,3,4,97,-0.1845
1970,3,3,5,64,-1.0452
1970,4,1,1,146,-17.1517
1970,4,1,2,68,-14.4800
1970,4,1,3,68,-17.1268
1970,4,1,4,74,-16.6362
1970,4,1,5,142,-18.5828
1970,4,2,1,53,-11.3612
1970,4,2,2,49,-14.5254
1970,4,2,3,40,-14.4528
1970,4,2,4,59,-14.0505
1970,4,2,5,73,-17.9707
1970,4,3,1,68,-11.4792
1970,4,3,2,103,-8.4584
1970,4,3,3,122,-8.4576
1970,4,3,4,97,-11.1250
1970,4,3,5,64,-12.6546
1970,5,1,1,146,-9.3321
1970,5,1,2,67,-10.6508
1970,5,1,3,68,-10.3107
1970,5,1,4,74,-7.2790
1970,5,1,5,142,-9.0622
1970,5,2,1,53,-10.2135
1970,5,2,2,49,-9.9074
1970,5,2,3,40,-10.9159
1970,5,2,4,58,-9.2312
1970,5,2,5,73,-10.6997
1970,5,3,1,68,-7.9424
1970,5,3,2,103,-6.0778
1970,5,3,3,122,-4.3513
1970,5,3,4,97,-5.7122
1970,5,3,5,64,-7.8858
1970,6,1,1,145,-8.6149
1970,6,1,2,66,-7.9189
1970,6,1,3,66,-8.1088
1970,6,1,4,74,-7.7005
1970,6,1,5,142,-10.3834
1970,6,2,1,53,-5.0371
1970,6,2,2,49,-8.6217
1970,6,2,3,40,-4.6003
1970,6,2,4,58,-7.3019
1970,6,2,5,71,-7.5643
1970,6,3,1,68,-6.4868
1970,6,3,2,103,-4.3424
1970,6,3,3,122,-5.7601
1970,6,3,4,97,-2.7680
1970,6,3,5,64,-7.8515
1970,7,1,1,166,4.7035
1970,7,1,2,96,5.6530
1970,7,1,3,84,7.1564
1970,7,1,4,86,4.7886
1970,7,1,5,183,4.4155
1970,7,2,1,66,7.0379
1970,7,2,2,47,7.9469
1970,7,2,3,55,9.8777
1970,7,2,4,64,7.2484
1970,7,2,5,80,8.8235
1970,7,3,1,71,10.0027
1970,7,3,2,106,7.5312
1970,7,3,3,102,8.6068
1970,7,3,4,103,4.8025
1970,7,3,5,73,6.7625
1970,8,1,1,165,5.6438
1970,8,1,2,96,7.9964
1970,8,1,3,84,6.4902
1970,8,1,4,86,8.3493
1970,8,1,5,183,6.1227
1970,8,2,1,66,10.1415
1970,8,2,2,47,7.5884
1970,8,2,3,55,6.0675
1970,8,2,4,64,6.9310
1970,8,2,5,80,6.2614
1970,8,3,1,71,4.0135
1970,8,3,2,106,3.6902
1970,8,3,3,102,4.4402
1970,8,3,4,103,5.3824
1970,8,3,5,73,7.9060
1970,9,1,1,165,15.4893
1970,9,1,2,96,11.4660
1970,9,1,3,84,11.8036
1970,9,1,4,86,14.6361
1970,9,1,5,183,17.2533
1970,9,2,1,66,11.5063
1970,9,2,2,47,11.0803
1970,9,2,3,55,12.6364
1970,9,2,4,63,10.4775
1970,9,2,5,80,11.7334
1970,9,3,1,71,4.5722
1970,9,3,2,106,3.1642
1970,9,3,3,102,2.3926
1970,9,3,4,103,6.3790
1970,9,3,5,72,4.2172
1970,10,1,1,166,-8.4914
1970,10,1,2,96,-6.7292
1970,10,1,3,84,-9.7621
1970,10,1,4,86,-6.2599
1970,10,1,5,183,-7.0963
1970,10,2,1,66,-5.4681
1970,10,2,2,47,-4.1803
1970,10,2,3,55,-6.0988
1970,10,2,4,63,-5.3035
1970,10,2,5,80,-6.2717
1970,10,3,1,71,-0.7416
1970,10,3,2,106,0.1061
1970,10,3,3,102,-1.2676
1970,10,3,4,103,-0.8848
1970,10,3,5,72,-2.7076
1970,11,1,1,166,-0.5966
1970,11,1,2,96,-1.3988
1970,11,1,3,83,-0.4123
1970,11,1,4,85,-2.5487
1970,11,1,5,182,-0.4613
1970,11,2,1,66,3.0724
1970,11,2,2,47,1.5814
1970,11,2,3,55,2.3581
1970,11,2,4,62,3.4085
1970,11,2,5,80,1.5574
1970,11,3,1,71,6.3959
1970,11,3,2,106,4.6229
1970,11,3,3,102,5.5291
1970,11,3,4,103,3.7083
1970,11,3,5,72,6.3951
1970,12,1,1,165,7.7838
1970,12,1,2,96,13.2632
1970,12,1,3,83,13.3770
1970,12,1,4,85,8.8536
1970,12,1,5,182,9.6136
1970,12,2,1,66,10.0846
1970,12,2,2,47,8.1614
1970,12,2,3,55,9.2314
1970,12,2,4,62,8.0647
1970,12,2,5,80,8.3717
1970,12,3,1,71,4.4515
1970,12,3,2,106,6.1724
1970,12,3,3,102,6.7213
1970,12,3,4,103,5.2836
1970,12,3,5,71,5.1904
1971,1,1,1,165,15.9282
1971,1,1,2,96,14.9122
1971,1,1,3,83,14.2438
1971,1,1,4,85,14.9199
1971,1,1,5,180,14.0184
1971,1,2,1,65,12.4329
1971,1,2,2,47,11.4110
1971,1,2,3,55,11.5461
1971,1,2,4,62,10.9201
1971,1,2,5,80,10.2098
1971,1,3,1,71,5.6489
1971,1,3,2,106,2.8903
1971,1,3,3,102,4.7609
1971,1,3,4,103,4.5101
1971,1,3,5,71,5.5909
1971,2,1,1,165,4.6113
1971,2,1,2,96,7.6165
1971,2,1,3,81,3.4946
1971,2,1,4,85,5.0608
1971,2,1,5,179,4.0652
1971,2,2,1,65,3.3858
1971,2,2,2,46,1.2179
1971,2,2,3,55,3.4309
1971,2,2,4,62,3.1884
1971,2,2,5,80,1.9610
1971,2,3,1,71,1.3122
1971,2,3,2,106,3.1634
1971,2,3,3,102,0.4027
1971,2,3,4,102,2.6145
1971,2,3,5,71,1.6825
1971,3,1,1,165,6.7299
1971,3,1,2,96,3.5598
1971,3,1,3,81,9.0413
1971,3,1,4,85,5.7919
1971,3,1,5,179,6.2096
1971,3,2,1,65,7.5460
1971,3,2,2,46,6.6888
1971,3,2,3,55,4.1660
1971,3,2,4,62,7.1212
1971,3,2,5,79,6.5076
1971,3,3,1,71,3.8836
1971,3,3,2,106,4.2869
1971,3,3,3,101,3.1609
1971,3,3,4,102,5.0066
1971,3,3,5,70,4.0317
1971,4,1,1,165,2.8512
1971,4,1,2,96,4.5750
1971,4,1,3,80,3.9828
1971,4,1,4,84,0.6959
1971,4,1,5,179,1.6758
1971,4,2,1,65,4.1080
1971,4,2,2,46,5.4604
1971,4,2,3,55,5.9774
1971,4,2,4,62,4.9062
1971,4,2,5,79,3.1526
1971,4,3,1,71,5.7766
1971,4,3,2,106,4.4898
1971,4,3,3,101,3.2534
1971,4,3,4,102,3.4201
1971,4,3,5,70,6.5092
1971,5,1,1,165,-5.7568
1971,5,1,2,95,-5.0309
1971,5,1,3,79,-5.5795
1971,5,1,4,83,-5.2317
1971,5,1,5,178,-7.7232
1971,5,2,1,65,-3.7033
1971,5,2,2,46,-2.5868
1971,5,2,3,54,-5.2225
1971,5,2,4,62,-6.4068
1971,5,2,5,80,-4.6255
1971,5,3,1,71,-3.0664
1971,5,3,2,106,-2.7618
1971,5,3,3,101,-3.9503
1971,5,3,4,102,-4.1266
1971,5,3,5,70,-3.5427
1971,6,1,1,162,-2.7201
1971,6,1,2,95,-1.3989
1971,6,1,3,79,-1.4281
1971,6,1,4,83,-1.5250
1971,6,1,5,177,-2.9141
1971,6,2,1,64,-0.4542
1971,6,2,2,46,-4.2514
1971,6,2,3,54,-0.7280
1971,6,2,4,62,0.3583
1971,6,2,5,80,-0.3146
1971,6,3,1,70,-0.9387
1971,6,3,2,106,0.0144
1971,6,3,3,101,1.6517
1971,6,3,4,102,-0.6767
1971,6,3,5,70,-0.4738
1971,7,1,1,235,-6.8068
1971,7,1,2,121,-6.4964
1971,7,1,3,93,-6.3619
1971,7,1,4,103,-4.6036
1971,7,1,5,175,-7.9443
1971,7,2,1,82,-5.7081
1971,7,2,2,60,-3.9708
1971,7,2,3,63,-4.8783
1971,7,2,4,52,-6.0446
1971,7,2,5,79,-5.2056
1971,7,3,1,54,-7.3770
1971,7,3,2,100,-3.1336
1971,7,3,3,114,-3.9024
1971,7,3,4,124,-4.5462
1971,7,3,5,102,-3.8480
1971,8,1,1,235,5.2198
1971,8,1,2,120,5.6744
1971,8,1,3,93,5.2391
1971,8,1,4,103,3.6269
1971,8,1,5,175,2.1047
1971,8,2,1,82,5.6776
1971,8,2,2,60,6.0899
1971,8,2,3,63,5.0134
1971,8,2,4,52,5.3978
1971,8,2,5,79,3.9942
1971,8,3,1,54,4.4380
1971,8,3,2,100,5.6895
1971,8,3,3,114,4.2048
1971,8,3,4,124,4.0835
1971,8,3,5,100,5.9311
1971,9,1,1,235,-0.4894
1971,9,1,2,120,-1.7773
1971,9,1,3,93,0.7943
1971,9,1,4,103,0.5647
1971,9,1,5,175,-0.8968
