year,month,rank_ME,rank_POA,nstocks,ret_vw
1969,11,1,4,90,-4.9296
1969,11,1,5,159,-7.5020
1969,11,2,1,38,-7.5114
1969,11,2,2,41,-6.7941
1969,11,2,3,49,-3.4025
1969,11,2,4,61,-2.8991
1969,11,2,5,73,-4.5036
1969,11,3,1,84,-1.9453
1969,11,3,2,105,-3.6076
1969,11,3,3,104,-2.1286
1969,11,3,4,87,-3.1633
1969,11,3,5,64,-2.8210
1969,12,1,1,132,-8.3626
1969,12,1,2,75,-9.6188
1969,12,1,3,62,-7.3746
1969,12,1,4,90,-5.6199
1969,12,1,5,159,-7.4780
1969,12,2,1,38,-7.1643
1969,12,2,2,41,-4.1579
1969,12,2,3,49,-2.9223
1969,12,2,4,61,-3.2303
1969,12,2,5,73,-4.6868
1969,12,3,1,84,-2.9387
1969,12,3,2,105,-2.0803
1969,12,3,3,104,0.3086
1969,12,3,4,87,-0.4956
1969,12,3,5,64,-2.7384
1970,1,1,1,132,-3.4578
1970,1,1,2,75,-3.3379
1970,1,1,3,62,-1.0721
1970,1,1,4,90,-3.6255
1970,1,1,5,159,-4.2215
1970,1,2,1,38,-6.9415
1970,1,2,2,41,-8.1934
1970,1,2,3,49,-3.7712
1970,1,2,4,61,-3.8525
1970,1,2,5,73,-7.8404
1970,1,3,1,84,-7.1134
1970,1,3,2,105,-8.6989
1970,1,3,3,104,-8.7671
1970,1,3,4,87,-7.1447
1970,1,3,5,63,-10.6917
1970,2,1,1,132,3.0354
1970,2,1,2,75,4.6390
1970,2,1,3,62,1.4683
1970,2,1,4,90,3.3027
1970,2,1,5,159,3.4347
1970,2,2,1,38,4.4103
1970,2,2,2,41,6.7823
1970,2,2,3,49,6.2374
1970,2,2,4,61,3.2341
1970,2,2,5,73,4.0442
1970,2,3,1,84,6.4088
1970,2,3,2,105,3.6565
1970,2,3,3,104,6.7296
1970,2,3,4,87,5.4738
1970,2,3,5,63,5.1456
1970,3,1,1,132,-1.7571
1970,3,1,2,75,-2.1567
1970,3,1,3,62,-2.4659
1970,3,1,4,90,-3.2544
1970,3,1,5,159,-4.8654
1970,3,2,1,38,-2.3167
1970,3,2,2,42,-3.8058
1970,3,2,3,49,0.2080
1970,3,2,4,61,-1.6895
1970,3,2,5,73,-3.8112
1970,3,3,1,84,0.5178
1970,3,3,2,105,0.5297
1970,3,3,3,104,-1.1405
1970,3,3,4,87,0.0069
1970,3,3,5,64,-2.2434
1970,4,1,1,132,-19.1975
1970,4,1,2,75,-14.3987
1970,4,1,3,62,-16.4072
1970,4,1,4,90,-17.0281
1970,4,1,5,159,-18.3673
1970,4,2,1,38,-16.6626
1970,4,2,2,42,-17.0788
1970,4,2,3,49,-12.1260
1970,4,2,4,61,-12.3853
1970,4,2,5,73,-20.2172
1970,4,3,1,84,-9.9012
1970,4,3,2,105,-7.6856
1970,4,3,3,104,-8.6082
1970,4,3,4,87,-10.9115
1970,4,3,5,64,-15.2346
1970,5,1,1,132,-9.1717
1970,5,1,2,75,-9.4700
1970,5,1,3,62,-6.5303
1970,5,1,4,90,-11.5985
1970,5,1,5,159,-9.3239
1970,5,2,1,38,-8.1808
1970,5,2,2,41,-8.9269
1970,5,2,3,49,-10.6063
1970,5,2,4,61,-11.2064
1970,5,2,5,73,-11.8970
1970,5,3,1,84,-5.4489
1970,5,3,2,105,-2.6868
1970,5,3,3,104,-6.6035
1970,5,3,4,87,-8.5134
1970,5,3,5,64,-9.7601
1970,6,1,1,132,-9.3231
1970,6,1,2,75,-6.3422
1970,6,1,3,62,-6.9069
1970,6,1,4,90,-8.9041
1970,6,1,5,158,-10.1572
1970,6,2,1,38,-8.2736
1970,6,2,2,41,-7.0397
1970,6,2,3,49,-6.5680
1970,6,2,4,61,-5.5069
1970,6,2,5,73,-8.5432
1970,6,3,1,84,-7.3112
1970,6,3,2,105,-3.7752
1970,6,3,3,104,-3.3906
1970,6,3,4,87,-4.5792
1970,6,3,5,64,-6.9296
1970,7,1,1,150,3.7916
1970,7,1,2,85,9.4837
1970,7,1,3,78,5.2004
1970,7,1,4,95,3.9844
1970,7,1,5,207,4.0938
1970,7,2,1,57,8.0243
1970,7,2,2,51,9.3274
1970,7,2,3,47,9.4837
1970,7,2,4,67,7.4492
1970,7,2,5,73,8.3811
1970,7,3,1,73,10.2461
1970,7,3,2,112,7.3675
1970,7,3,3,114,5.9835
1970,7,3,4,88,5.8851
1970,7,3,5,59,4.7051
1970,8,1,1,150,8.1367
1970,8,1,2,85,6.1514
1970,8,1,3,78,7.1945
1970,8,1,4,95,5.7141
1970,8,1,5,206,6.0105
1970,8,2,1,57,10.5881
1970,8,2,2,51,4.6992
1970,8,2,3,47,7.6383
1970,8,2,4,67,5.8182
1970,8,2,5,73,8.3407
1970,8,3,1,73,3.8129
1970,8,3,2,112,5.8769
1970,8,3,3,114,3.3118
1970,8,3,4,88,4.6025
1970,8,3,5,59,8.8165
1970,9,1,1,150,14.8992
1970,9,1,2,85,11.3524
1970,9,1,3,78,11.9141
1970,9,1,4,95,14.8550
1970,9,1,5,206,18.7287
1970,9,2,1,57,11.8807
1970,9,2,2,51,10.2989
1970,9,2,3,47,10.9781
1970,9,2,4,67,10.9509
1970,9,2,5,73,14.9925
1970,9,3,1,73,1.6003
1970,9,3,2,112,3.3542
1970,9,3,3,114,3.7656
1970,9,3,4,88,7.3655
1970,9,3,5,58,10.0161
1970,10,1,1,150,-6.7321
1970,10,1,2,85,-5.5245
1970,10,1,3,78,-6.0808
1970,10,1,4,95,-9.0719
1970,10,1,5,207,-10.5368
1970,10,2,1,57,-4.5399
1970,10,2,2,51,-3.7212
1970,10,2,3,47,-6.7530
1970,10,2,4,67,-5.2197
1970,10,2,5,73,-5.9632
1970,10,3,1,73,-2.7880
1970,10,3,2,112,0.3906
1970,10,3,3,114,-0.4671
1970,10,3,4,88,-1.8414
1970,10,3,5,58,-5.8323
1970,11,1,1,149,-0.2894
1970,11,1,2,85,-1.7377
1970,11,1,3,78,-2.2349
1970,11,1,4,95,0.4272
1970,11,1,5,207,-3.3102
1970,11,2,1,57,3.5369
1970,11,2,2,51,3.1317
1970,11,2,3,47,2.6282
1970,11,2,4,67,2.9427
1970,11,2,5,73,0.3431
1970,11,3,1,73,5.3395
1970,11,3,2,112,5.2684
1970,11,3,3,114,4.8355
1970,11,3,4,88,5.7669
1970,11,3,5,58,3.1972
1970,12,1,1,149,8.0754
1970,12,1,2,85,10.2255
1970,12,1,3,78,10.5108
1970,12,1,4,95,12.2437
1970,12,1,5,207,9.5445
1970,12,2,1,57,7.1147
1970,12,2,2,51,8.3357
1970,12,2,3,47,9.3841
1970,12,2,4,67,10.3867
1970,12,2,5,73,8.5550
1970,12,3,1,73,6.6823
1970,12,3,2,112,4.9349
