year,month,rank_ME,rank_dBE,nstocks,ret_vw
1970,12,2,4,61,7.8161
1970,12,2,5,86,7.5131
1970,12,3,1,83,5.9280
1970,12,3,2,108,7.7909
1970,12,3,3,114,5.7104
1970,12,3,4,108,6.1146
1970,12,3,5,115,4.5525
1971,1,1,1,156,18.1955
1971,1,1,2,66,15.5077
1971,1,1,3,97,13.9535
1971,1,1,4,108,12.1832
1971,1,1,5,188,14.7083
1971,1,2,1,54,13.3441
1971,1,2,2,60,8.8743
1971,1,2,3,50,10.7141
1971,1,2,4,61,11.3105
1971,1,2,5,86,9.8879
1971,1,3,1,83,3.1019
1971,1,3,2,108,6.4867
1971,1,3,3,114,2.9078
1971,1,3,4,108,3.9282
1971,1,3,5,115,5.3024
1971,2,1,1,156,3.1123
1971,2,1,2,66,3.8933
1971,2,1,3,97,5.1907
1971,2,1,4,108,4.5088
1971,2,1,5,188,5.7785
1971,2,2,1,54,0.4395
1971,2,2,2,60,3.0921
1971,2,2,3,50,2.1980
1971,2,2,4,61,2.9681
1971,2,2,5,86,3.0357
1971,2,3,1,83,2.7655
1971,2,3,2,108,-1.3775
1971,2,3,3,114,0.8336
1971,2,3,4,108,2.6860
1971,2,3,5,115,2.5879
1971,3,1,1,156,6.1185
1971,3,1,2,66,5.1903
1971,3,1,3,97,10.4471
1971,3,1,4,108,8.2791
1971,3,1,5,188,3.8965
1971,3,2,1,54,6.8299
1971,3,2,2,60,2.0524
1971,3,2,3,49,7.1750
1971,3,2,4,61,5.7355
1971,3,2,5,86,9.2189
1971,3,3,1,83,3.6635
1971,3,3,2,108,1.7063
1971,3,3,3,114,3.5596
1971,3,3,4,108,4.0952
1971,3,3,5,115,6.9623
1971,4,1,1,156,1.8901
1971,4,1,2,66,3.9694
1971,4,1,3,97,0.7667
1971,4,1,4,108,2.9808
1971,4,1,5,188,2.3849
1971,4,2,1,54,5.7519
1971,4,2,2,60,2.6429
1971,4,2,3,49,6.6878
1971,4,2,4,61,3.8107
1971,4,2,5,86,2.2815
1971,4,3,1,83,2.8054
1971,4,3,2,108,2.2256
1971,4,3,3,114,5.0896
1971,4,3,4,108,3.8849
1971,4,3,5,115,3.4099
1971,5,1,1,156,-5.0543
1971,5,1,2,66,-5.3223
1971,5,1,3,97,-5.9334
1971,5,1,4,108,-7.2419
1971,5,1,5,188,-7.2213
1971,5,2,1,54,-4.9118
1971,5,2,2,60,-4.4455
1971,5,2,3,50,-4.1495
1971,5,2,4,61,-5.8040
1971,5,2,5,86,-3.4885
1971,5,3,1,83,-3.3149
1971,5,3,2,108,-4.4530
1971,5,3,3,114,-3.2199
1971,5,3,4,108,-2.9534
1971,5,3,5,115,-3.8434
1971,6,1,1,155,-2.7345
1971,6,1,2,66,0.0666
1971,6,1,3,97,-2.3113
1971,6,1,4,107,-3.5688
1971,6,1,5,188,-1.4439
1971,6,2,1,54,-0.8864
1971,6,2,2,60,-1.1194
1971,6,2,3,50,0.4726
1971,6,2,4,60,-1.5295
1971,6,2,5,86,-1.0917
1971,6,3,1,83,-0.0341
1971,6,3,2,108,1.0761
1971,6,3,3,114,0.0446
1971,6,3,4,108,-0.2187
1971,6,3,5,115,1.8149
1971,7,1,1,248,-6.7885
1971,7,1,2,104,-6.6900
1971,7,1,3,110,-5.9388
1971,7,1,4,115,-4.6162
1971,7,1,5,144,-8.8037
1971,7,2,1,75,-3.8121
1971,7,2,2,69,-3.2642
1971,7,2,3,62,-5.5894
1971,7,2,4,63,-3.1872
1971,7,2,5,83,-5.8611
1971,7,3,1,69,-4.7118
1971,7,3,2,98,-4.4924
1971,7,3,3,114,-3.6805
1971,7,3,4,136,-2.9587
1971,7,3,5,148,-4.9622
1971,8,1,1,248,5.7681
1971,8,1,2,104,4.4188
1971,8,1,3,110,4.0434
1971,8,1,4,115,4.2647
1971,8,1,5,144,3.2591
1971,8,2,1,75,6.5532
1971,8,2,2,69,3.2007
1971,8,2,3,62,5.4443
1971,8,2,4,63,4.4620
1971,8,2,5,83,2.8364
1971,8,3,1,69,8.6006
1971,8,3,2,98,2.5739
1971,8,3,3,114,4.0423
1971,8,3,4,136,2.7370
1971,8,3,5,147,4.4150
1971,9,1,1,248,-1.5197
1971,9,1,2,104,-1.5767
1971,9,1,3,110,-0.6020
1971,9,1,4,115,1.1402
1971,9,1,5,144,0.2877
