year,month,rank_ME,rank_NXF,nstocks,ret_vw
1975,1,1,2,191,25.8652
1975,1,1,3,233,28.1680
1975,1,1,4,224,33.3174
1975,1,1,5,274,31.1755
1975,1,2,1,108,24.1668
1975,1,2,2,83,28.6135
1975,1,2,3,97,24.1750
1975,1,2,4,80,27.2521
1975,1,2,5,110,27.0671
1975,1,3,1,125,11.3204
1975,1,3,2,138,12.6949
1975,1,3,3,121,10.9339
1975,1,3,4,136,14.4848
1975,1,3,5,110,15.9440
1975,2,1,1,179,5.3945
1975,2,1,2,191,2.5496
1975,2,1,3,232,7.4690
1975,2,1,4,223,3.9743
1975,2,1,5,273,4.7739
1975,2,2,1,107,3.2054
1975,2,2,2,83,2.8780
1975,2,2,3,97,3.4192
1975,2,2,4,80,6.1588
1975,2,2,5,110,5.3535
1975,2,3,1,125,9.6041
1975,2,3,2,138,7.5408
1975,2,3,3,121,5.2282
1975,2,3,4,136,5.5773
1975,2,3,5,110,6.4856
1975,3,1,1,180,7.0687
1975,3,1,2,191,10.2811
1975,3,1,3,233,7.2731
1975,3,1,4,222,10.1354
1975,3,1,5,274,9.7607
1975,3,2,1,107,5.0392
1975,3,2,2,83,8.5487
1975,3,2,3,97,8.5636
1975,3,2,4,80,5.6386
1975,3,2,5,110,8.1102
1975,3,3,1,125,3.0192
1975,3,3,2,138,2.3343
1975,3,3,3,121,4.0815
1975,3,3,4,136,2.6900
1975,3,3,5,110,4.6982
1975,4,1,1,180,4.6520
1975,4,1,2,191,5.1041
1975,4,1,3,233,1.4289
1975,4,1,4,221,2.6148
1975,4,1,5,275,5.2052
1975,4,2,1,107,5.8331
1975,4,2,2,83,6.5242
1975,4,2,3,97,3.7263
1975,4,2,4,80,1.7940
1975,4,2,5,110,5.4405
1975,4,3,1,125,6.2969
1975,4,3,2,138,3.2589
1975,4,3,3,121,6.5343
1975,4,3,4,136,2.7716
1975,4,3,5,110,4.6325
1975,5,1,1,180,4.2260
1975,5,1,2,191,8.8679
1975,5,1,3,233,8.1069
1975,5,1,4,220,9.9740
1975,5,1,5,275,7.6867
1975,5,2,1,107,6.8703
1975,5,2,2,83,4.5200
1975,5,2,3,97,9.1787
1975,5,2,4,80,9.0924
1975,5,2,5,110,10.6126
1975,5,3,1,125,6.1888
1975,5,3,2,138,4.5759
1975,5,3,3,121,4.9620
1975,5,3,4,136,4.9885
1975,5,3,5,110,5.2930
1975,6,1,1,180,9.0308
1975,6,1,2,189,5.6403
1975,6,1,3,232,7.5046
1975,6,1,4,220,9.0346
1975,6,1,5,274,8.6729
1975,6,2,1,107,9.0053
1975,6,2,2,83,6.4461
1975,6,2,3,97,5.2745
1975,6,2,4,80,6.7276
1975,6,2,5,110,6.8246
1975,6,3,1,125,3.6297
1975,6,3,2,138,3.5389
1975,6,3,3,121,6.5251
1975,6,3,4,136,5.6863
1975,6,3,5,110,7.4837
1975,7,1,1,337,0.3319
1975,7,1,2,316,-0.2487
1975,7,1,3,367,-1.5109
1975,7,1,4,250,-0.6096
1975,7,1,5,331,-1.1784
1975,7,2,1,111,-3.8109
1975,7,2,2,116,-2.5866
1975,7,2,3,99,-3.1801
1975,7,2,4,116,-2.4887
1975,7,2,5,142,-6.0135
1975,7,3,1,142,-7.2791
1975,7,3,2,115,-6.3848
1975,7,3,3,139,-7.2680
1975,7,3,4,130,-4.5813
1975,7,3,5,125,-6.6542
1975,8,1,1,337,-5.9396
1975,8,1,2,315,-6.6175
1975,8,1,3,367,-6.3385
1975,8,1,4,249,-6.6662
1975,8,1,5,330,-6.1233
1975,8,2,1,111,-3.1582
1975,8,2,2,116,-3.7459
1975,8,2,3,99,-5.0329
1975,8,2,4,116,-3.9375
1975,8,2,5,142,-6.0028
1975,8,3,1,142,-2.1322
1975,8,3,2,115,-0.5927
1975,8,3,3,139,-0.0635
1975,8,3,4,130,-2.0029
1975,8,3,5,125,-2.7873
1975,9,1,1,337,-3.0313
1975,9,1,2,316,-2.3755
1975,9,1,3,367,-3.6735
1975,9,1,4,250,-3.4702
1975,9,1,5,330,-3.7970
1975,9,2,1,111,-3.2675
1975,9,2,2,115,-3.7495
1975,9,2,3,99,-2.8883
1975,9,2,4,116,-3.4813
1975,9,2,5,142,-5.1789
1975,9,3,1,142,-2.7019
1975,9,3,2,115,-4.0373
1975,9,3,3,139,-4.5021
1975,9,3,4,130,-2.5648
1975,9,3,5,125,-5.3997
1975,10,1,1,337,2.0285
1975,10,1,2,315,1.4736
1975,10,1,3,366,2.8113
1975,10,1,4,248,1.4912
1975,10,1,5,328,2.2205
1975,10,2,1,111,4.2141
1975,10,2,2,116,3.7938
1975,10,2,3,99,1.0374
1975,10,2,4,116,3.6097
1975,10,2,5,142,1.3115
1975,10,3,1,142,7.9876
1975,10,3,2,115,6.6009
1975,10,3,3,139,6.7732
1975,10,3,4,130,5.2386
1975,10,3,5,125,6.1047
1975,11,1,1,336,2.7176
1975,11,1,2,315,3.2937
1975,11,1,3,366,3.2575
1975,11,1,4,250,1.8109
1975,11,1,5,329,2.3133
1975,11,2,1,111,4.9886
1975,11,2,2,116,4.0742
1975,11,2,3,99,3.8292
1975,11,2,4,116,0.9030
1975,11,2,5,142,1.9487
1975,11,3,1,142,5.4058
1975,11,3,2,115,1.9668
1975,11,3,3,138,1.6292
1975,11,3,4,130,3.0108
1975,11,3,5,125,1.1817
1975,12,1,1,337,-0.9011
1975,12,1,2,315,-2.0154
1975,12,1,3,364,-1.7420
1975,12,1,4,250,-1.2028
1975,12,1,5,329,-1.2150
1975,12,2,1,111,-1.5007
1975,12,2,2,116,-0.5197
1975,12,2,3,99,-2.2248
1975,12,2,4,116,-0.3994
1975,12,2,5,142,-2.0112
1975,12,3,1,142,-2.7675
1975,12,3,2,115,-1.6293
1975,12,3,3,139,-0.9107
1975,12,3,4,130,-0.3927
1975,12,3,5,125,0.4942
1976,1,1,1,337,21.0034
1976,1,1,2,313,22.0286
1976,1,1,3,364,23.7724
1976,1,1,4,250,22.0354
1976,1,1,5,328,23.7519
1976,1,2,1,111,16.4844
1976,1,2,2,116,19.3246
1976,1,2,3,99,18.6690
1976,1,2,4,116,19.3938
1976,1,2,5,141,18.4763
1976,1,3,1,142,10.9348
1976,1,3,2,115,11.8512
1976,1,3,3,139,15.4991
1976,1,3,4,130,11.3109
1976,1,3,5,125,13.9080
1976,2,1,1,327,10.2418
1976,2,1,2,298,11.5906
1976,2,1,3,354,13.3033
1976,2,1,4,236,11.0192
1976,2,1,5,324,12.1538
1976,2,2,1,110,4.8577
1976,2,2,2,116,9.0429
1976,2,2,3,99,7.5699
1976,2,2,4,116,7.2339
1976,2,2,5,140,7.5268
1976,2,3,1,142,-1.1541
1976,2,3,2,114,-0.2381
1976,2,3,3,139,0.6070
1976,2,3,4,130,0.0601
1976,2,3,5,125,0.4828
1976,3,1,1,336,0.9843
1976,3,1,2,313,0.4370
1976,3,1,3,364,2.7934
1976,3,1,4,250,2.6832
1976,3,1,5,327,1.4275
1976,3,2,1,111,2.3804
1976,3,2,2,116,2.4309
1976,3,2,3,99,-0.3966
1976,3,2,4,116,2.3838
1976,3,2,5,140,0.6934
1976,3,3,1,142,3.8191
