year,month,rank_ME,rank_NDF,nstocks,ret_vw
1974,6,3,5,89,-0.2992
1974,7,1,1,279,-4.8351
1974,7,1,2,207,-5.1009
1974,7,1,3,173,-5.5392
1974,7,1,4,166,-4.3322
1974,7,1,5,287,-4.8004
1974,7,2,1,102,-2.7814
1974,7,2,2,88,-4.5969
1974,7,2,3,89,-3.2812
1974,7,2,4,82,-4.0472
1974,7,2,5,107,-5.5458
1974,7,3,1,106,-6.2806
1974,7,3,2,121,-8.1151
1974,7,3,3,156,-8.3740
1974,7,3,4,134,-7.4185
1974,7,3,5,106,-6.7741
1974,8,1,1,278,-6.5727
1974,8,1,2,207,-6.7692
1974,8,1,3,173,-7.6307
1974,8,1,4,166,-8.0259
1974,8,1,5,287,-8.4203
1974,8,2,1,102,-5.0356
1974,8,2,2,88,-8.3715
1974,8,2,3,88,-9.7820
1974,8,2,4,82,-7.7109
1974,8,2,5,107,-8.2547
1974,8,3,1,106,-9.3248
1974,8,3,2,121,-8.1710
1974,8,3,3,156,-9.1395
1974,8,3,4,134,-6.6673
1974,8,3,5,106,-11.4654
1974,9,1,1,277,-8.0729
1974,9,1,2,206,-7.3300
1974,9,1,3,173,-8.5993
1974,9,1,4,165,-8.4399
1974,9,1,5,287,-10.1750
1974,9,2,1,102,-7.9816
1974,9,2,2,88,-6.6157
1974,9,2,3,89,-7.0470
1974,9,2,4,82,-10.5386
1974,9,2,5,107,-11.5248
1974,9,3,1,106,-11.7779
1974,9,3,2,121,-14.4378
1974,9,3,3,156,-13.2874
1974,9,3,4,134,-7.8133
1974,9,3,5,106,-11.5162
1974,10,1,1,277,8.0151
1974,10,1,2,205,10.2189
1974,10,1,3,170,6.9693
1974,10,1,4,161,8.5933
1974,10,1,5,287,9.8664
1974,10,2,1,102,9.3451
1974,10,2,2,88,11.3046
1974,10,2,3,88,8.5201
1974,10,2,4,81,9.5931
1974,10,2,5,107,10.5864
1974,10,3,1,106,21.0483
1974,10,3,2,121,19.2935
1974,10,3,3,156,15.3797
1974,10,3,4,134,15.5971
1974,10,3,5,106,18.9708
1974,11,1,1,275,-4.9535
1974,11,1,2,206,-5.4954
1974,11,1,3,172,-5.5143
1974,11,1,4,165,-6.5505
1974,11,1,5,287,-8.4981
1974,11,2,1,102,-2.6561
1974,11,2,2,88,-4.7048
1974,11,2,3,88,-5.4502
1974,11,2,4,82,-5.2968
1974,11,2,5,107,-4.7608
1974,11,3,1,106,-1.0315
1974,11,3,2,121,-3.3670
1974,11,3,3,156,-5.3718
1974,11,3,4,134,-4.7179
1974,11,3,5,106,-2.4284
1974,12,1,1,274,-8.6778
1974,12,1,2,206,-5.5415
1974,12,1,3,173,-9.6170
1974,12,1,4,163,-7.1134
1974,12,1,5,285,-9.4625
1974,12,2,1,102,-5.7841
1974,12,2,2,88,-5.5688
1974,12,2,3,88,-5.7859
1974,12,2,4,82,-5.1852
1974,12,2,5,107,-6.8268
1974,12,3,1,106,-3.0368
1974,12,3,2,121,-5.1899
1974,12,3,3,156,-0.4589
1974,12,3,4,134,-0.4957
1974,12,3,5,106,-5.8068
1975,1,1,1,273,30.3451
1975,1,1,2,205,27.2653
1975,1,1,3,173,33.3239
1975,1,1,4,165,26.5542
1975,1,1,5,284,32.1983
1975,1,2,1,102,24.6269
1975,1,2,2,88,24.5496
1975,1,2,3,88,26.7201
1975,1,2,4,82,29.1258
1975,1,2,5,107,26.6208
1975,1,3,1,106,12.9080
1975,1,3,2,121,11.1729
1975,1,3,3,156,12.3008
1975,1,3,4,134,11.5431
1975,1,3,5,106,20.1212
1975,2,1,1,272,4.8027
1975,2,1,2,204,6.0028
1975,2,1,3,173,3.8703
1975,2,1,4,164,4.9321
1975,2,1,5,283,4.0624
1975,2,2,1,102,2.5834
1975,2,2,2,87,5.2064
1975,2,2,3,88,4.8880
1975,2,2,4,82,2.5768
1975,2,2,5,107,5.4516
1975,2,3,1,106,3.8809
1975,2,3,2,121,11.7328
1975,2,3,3,156,7.6821
1975,2,3,4,134,3.7658
1975,2,3,5,106,6.6591
1975,3,1,1,274,9.8495
1975,3,1,2,205,7.3570
1975,3,1,3,172,8.5510
1975,3,1,4,164,9.5861
1975,3,1,5,284,9.2750
1975,3,2,1,102,5.3825
1975,3,2,2,87,8.6196
1975,3,2,3,88,6.3381
1975,3,2,4,82,7.8445
1975,3,2,5,107,7.8096
1975,3,3,1,106,3.9018
