year,month,rank_ME,rank_dNCA,nstocks,ret_vw
1969,2,2,4,44,-7.3398
1969,2,2,5,68,-9.8925
1969,2,3,1,60,-6.2576
1969,2,3,2,93,-3.7549
1969,2,3,3,113,-3.7322
1969,2,3,4,128,-5.0106
1969,2,3,5,119,-5.2948
1969,3,1,1,248,2.9506
1969,3,1,2,126,2.8013
1969,3,1,3,60,3.0099
1969,3,1,4,64,1.1117
1969,3,1,5,97,2.1707
1969,3,2,1,68,3.1837
1969,3,2,2,68,1.8849
1969,3,2,3,55,2.8075
1969,3,2,4,44,1.9887
1969,3,2,5,68,2.5605
1969,3,3,1,60,3.3014
1969,3,3,2,93,3.1059
1969,3,3,3,113,3.2970
1969,3,3,4,128,4.2849
1969,3,3,5,119,2.1941
1969,4,1,1,248,-0.4235
1969,4,1,2,126,0.7966
1969,4,1,3,60,-1.1165
1969,4,1,4,64,-0.3537
1969,4,1,5,97,-2.2508
1969,4,2,1,68,2.4891
1969,4,2,2,68,0.3181
1969,4,2,3,55,3.7742
1969,4,2,4,44,1.8952
1969,4,2,5,67,0.2390
1969,4,3,1,60,0.2190
1969,4,3,2,93,2.1716
1969,4,3,3,113,2.5293
1969,4,3,4,128,2.4028
1969,4,3,5,119,2.3434
1969,5,1,1,247,2.0481
1969,5,1,2,126,-0.6080
1969,5,1,3,61,-0.4968
1969,5,1,4,63,-0.6347
1969,5,1,5,97,2.9906
1969,5,2,1,68,0.4637
1969,5,2,2,67,-1.0113
1969,5,2,3,55,3.3295
1969,5,2,4,44,-0.4743
1969,5,2,5,68,-0.6963
1969,5,3,1,60,-0.7090
1969,5,3,2,93,1.3129
1969,5,3,3,112,0.7461
1969,5,3,4,128,0.2869
1969,5,3,5,118,-0.7060
1969,6,1,1,247,-14.1586
1969,6,1,2,126,-14.0321
1969,6,1,3,61,-11.6790
1969,6,1,4,64,-12.1427
1969,6,1,5,97,-14.2077
1969,6,2,1,68,-11.0045
1969,6,2,2,68,-10.1102
1969,6,2,3,55,-9.1840
1969,6,2,4,44,-10.3331
1969,6,2,5,68,-11.6796
1969,6,3,1,59,-9.1863
1969,6,3,2,93,-5.0758
1969,6,3,3,111,-6.4005
1969,6,3,4,128,-3.2004
1969,6,3,5,119,-7.0576
1969,7,1,1,228,-11.5632
1969,7,1,2,119,-10.4058
1969,7,1,3,95,-10.8924
1969,7,1,4,76,-12.6148
1969,7,1,5,133,-11.8812
1969,7,2,1,68,-7.9308
1969,7,2,2,60,-8.1747
1969,7,2,3,69,-8.7758
1969,7,2,4,47,-8.0025
1969,7,2,5,84,-11.1669
1969,7,3,1,73,-5.1410
1969,7,3,2,106,-5.4742
1969,7,3,3,115,-5.6154
1969,7,3,4,129,-6.0725
1969,7,3,5,111,-7.2083
1969,8,1,1,227,3.5437
1969,8,1,2,119,3.3212
1969,8,1,3,95,5.0155
1969,8,1,4,76,3.5422
1969,8,1,5,132,4.1766
1969,8,2,1,68,7.7677
1969,8,2,2,60,4.6905
1969,8,2,3,69,3.0596
1969,8,2,4,47,4.3485
1969,8,2,5,84,8.6303
1969,8,3,1,73,5.4539
1969,8,3,2,106,5.4054
1969,8,3,3,115,5.2481
1969,8,3,4,129,3.5585
