year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1968,10,1,5,85,0.2211
1968,10,2,1,65,-0.1961
1968,10,2,2,53,1.0898
1968,10,2,3,54,1.1431
1968,10,2,4,41,3.1247
1968,10,2,5,63,0.6356
1968,10,3,1,61,1.0195
1968,10,3,2,94,1.5643
1968,10,3,3,109,2.6247
1968,10,3,4,127,-1.0757
1968,10,3,5,111,-0.0466
1968,11,1,1,230,6.7024
1968,11,1,2,118,8.5544
1968,11,1,3,51,7.1387
1968,11,1,4,63,8.0325
1968,11,1,5,85,6.1471
1968,11,2,1,65,7.3592
1968,11,2,2,53,9.2734
1968,11,2,3,55,6.5751
1968,11,2,4,41,8.6066
1968,11,2,5,63,9.6198
1968,11,3,1,61,5.3965
1968,11,3,2,94,2.2777
1968,11,3,3,109,6.0257
1968,11,3,4,127,6.4683
1968,11,3,5,111,6.4752
1968,12,1,1,230,2.4434
1968,12,1,2,119,1.9461
1968,12,1,3,51,2.0935
1968,12,1,4,63,1.9270
1968,12,1,5,85,0.9963
1968,12,2,1,65,1.0416
1968,12,2,2,53,0.1392
1968,12,2,3,55,-3.0131
1968,12,2,4,41,-2.5435
1968,12,2,5,63,-2.8039
1968,12,3,1,61,-0.9542
1968,12,3,2,94,-3.1373
1968,12,3,3,109,-4.8456
1968,12,3,4,127,-4.3414
1968,12,3,5,111,-4.2403
1969,1,1,1,230,-0.2460
1969,1,1,2,119,-0.9252
1969,1,1,3,51,-1.6332
1969,1,1,4,63,-2.4289
1969,1,1,5,85,-2.5052
1969,1,2,1,65,-1.0033
1969,1,2,2,53,-2.8003
1969,1,2,3,55,-0.8202
1969,1,2,4,41,0.5369
1969,1,2,5,63,-1.9970
1969,1,3,1,60,-0.7738
1969,1,3,2,94,0.1156
1969,1,3,3,109,-0.3349
1969,1,3,4,127,-1.9774
1969,1,3,5,111,-0.7864
1969,2,1,1,229,-11.2681
1969,2,1,2,119,-9.0719
1969,2,1,3,51,-9.0817
