year,month,rank_ME,rank_dWC,nstocks,ret_vw
1969,3,3,1,68,3.7808
1969,3,3,2,100,4.0249
1969,3,3,3,96,4.4906
1969,3,3,4,85,3.2005
1969,3,3,5,94,1.3360
1969,4,1,1,213,-0.2136
1969,4,1,2,74,-1.9880
1969,4,1,3,78,-0.7253
1969,4,1,4,106,0.1670
1969,4,1,5,116,-0.7946
1969,4,2,1,62,4.0844
1969,4,2,2,44,0.5274
1969,4,2,3,50,1.3049
1969,4,2,4,57,1.4409
1969,4,2,5,63,0.7940
1969,4,3,1,68,1.0519
1969,4,3,2,100,3.4543
1969,4,3,3,96,0.7049
1969,4,3,4,85,2.3518
1969,4,3,5,94,3.5273
1969,5,1,1,213,2.5265
1969,5,1,2,74,3.4379
1969,5,1,3,78,-2.5565
1969,5,1,4,105,0.8433
1969,5,1,5,116,0.0588
1969,5,2,1,63,0.8553
1969,5,2,2,43,-2.0051
1969,5,2,3,50,2.3730
1969,5,2,4,57,1.2765
1969,5,2,5,63,-1.4788
1969,5,3,1,68,-0.6971
1969,5,3,2,100,0.9357
1969,5,3,3,95,0.8585
1969,5,3,4,85,-0.0302
1969,5,3,5,93,-1.2877
1969,6,1,1,214,-14.0909
1969,6,1,2,74,-14.0888
1969,6,1,3,78,-12.1359
1969,6,1,4,105,-12.4489
1969,6,1,5,116,-15.1602
1969,6,2,1,63,-11.9611
1969,6,2,2,44,-10.1392
1969,6,2,3,50,-9.9442
1969,6,2,4,57,-9.8210
1969,6,2,5,63,-12.9865
1969,6,3,1,68,-8.0822
1969,6,3,2,99,-3.6625
1969,6,3,3,94,-7.5237
1969,6,3,4,85,-6.4122
1969,6,3,5,94,-4.8457
1969,7,1,1,180,-10.4660
1969,7,1,2,81,-10.4834
1969,7,1,3,79,-9.9344
1969,7,1,4,121,-11.6821
1969,7,1,5,182,-13.4607
1969,7,2,1,49,-9.4218
1969,7,2,2,42,-9.5839
1969,7,2,3,57,-8.3244
1969,7,2,4,65,-8.6166
1969,7,2,5,88,-11.2222
1969,7,3,1,90,-6.4418
1969,7,3,2,115,-6.3484
1969,7,3,3,97,-4.0084
1969,7,3,4,85,-7.3651
1969,7,3,5,76,-8.2970
1969,8,1,1,178,3.1622
1969,8,1,2,81,5.6990
1969,8,1,3,79,1.2857
1969,8,1,4,121,4.2928
1969,8,1,5,182,4.6653
1969,8,2,1,49,6.3734
1969,8,2,2,42,6.1736
1969,8,2,3,57,5.9367
1969,8,2,4,65,5.8968
1969,8,2,5,88,7.8487
1969,8,3,1,90,4.7423
1969,8,3,2,115,5.0132
1969,8,3,3,97,5.7797
1969,8,3,4,85,4.6640
1969,8,3,5,76,8.5180
1969,9,1,1,179,-0.9915
1969,9,1,2,81,-3.5170
1969,9,1,3,79,-2.7495
1969,9,1,4,121,-4.7901
1969,9,1,5,182,-3.5142
1969,9,2,1,48,1.7595
1969,9,2,2,41,0.9190
1969,9,2,3,57,0.6444
1969,9,2,4,65,-1.8082
1969,9,2,5,88,-0.9270
1969,9,3,1,90,-0.9627
1969,9,3,2,115,-4.4233
1969,9,3,3,97,-1.3307
1969,9,3,4,85,-0.2405
1969,9,3,5,76,-2.4980
1969,10,1,1,179,10.3687
1969,10,1,2,81,7.3471
1969,10,1,3,79,11.2287
1969,10,1,4,121,10.7186
1969,10,1,5,182,11.6244
1969,10,2,1,48,10.2352
1969,10,2,2,40,6.4554
1969,10,2,3,57,8.1566
1969,10,2,4,65,7.4516
1969,10,2,5,88,8.6626
1969,10,3,1,90,4.8374
1969,10,3,2,115,2.9875
1969,10,3,3,97,6.2256
1969,10,3,4,85,6.4187
1969,10,3,5,75,6.9709
1969,11,1,1,179,-6.1504
1969,11,1,2,80,-6.8892
1969,11,1,3,79,-6.3560
1969,11,1,4,121,-6.5363
