year,month,rank_ME,rank_IVG,nstocks,ret_vw
1968,11,1,5,110,6.6030
1968,11,2,1,53,8.2646
1968,11,2,2,52,8.9368
1968,11,2,3,49,6.6866
1968,11,2,4,55,8.5137
1968,11,2,5,62,8.1651
1968,11,3,1,61,5.1594
1968,11,3,2,86,3.0428
1968,11,3,3,97,6.3684
1968,11,3,4,100,4.9305
1968,11,3,5,95,7.1138
1968,12,1,1,186,2.9163
1968,12,1,2,112,1.8643
1968,12,1,3,83,0.8920
1968,12,1,4,77,2.0252
1968,12,1,5,110,0.6084
1968,12,2,1,53,-1.8093
1968,12,2,2,52,1.5995
1968,12,2,3,49,-0.5627
1968,12,2,4,55,-1.8378
1968,12,2,5,62,-2.5551
1968,12,3,1,61,-4.4721
1968,12,3,2,86,-3.3256
1968,12,3,3,97,-4.7280
1968,12,3,4,100,-3.7367
1968,12,3,5,95,-3.8189
1969,1,1,1,186,-1.7454
1969,1,1,2,112,-0.9685
1969,1,1,3,83,-1.1074
1969,1,1,4,77,-1.5276
1969,1,1,5,110,-0.2867
1969,1,2,1,53,-2.2129
1969,1,2,2,52,-1.8073
1969,1,2,3,49,-1.5562
1969,1,2,4,55,-1.6000
1969,1,2,5,62,-0.5231
1969,1,3,1,61,0.5060
1969,1,3,2,86,-1.5236
1969,1,3,3,96,-1.3954
1969,1,3,4,100,-1.5606
1969,1,3,5,95,-1.8876
1969,2,1,1,185,-10.6095
1969,2,1,2,112,-9.6266
1969,2,1,3,82,-9.0122
1969,2,1,4,77,-7.9518
1969,2,1,5,110,-11.2513
1969,2,2,1,53,-8.1078
1969,2,2,2,52,-8.1327
1969,2,2,3,49,-5.8363
1969,2,2,4,55,-9.3405
1969,2,2,5,62,-10.0529
1969,2,3,1,61,-4.3918
1969,2,3,2,86,-4.3367
1969,2,3,3,96,-3.5729
1969,2,3,4,100,-4.4367
1969,2,3,5,95,-6.5778
1969,3,1,1,184,3.4900
1969,3,1,2,112,1.4481
1969,3,1,3,82,2.4887
1969,3,1,4,77,2.4311
1969,3,1,5,110,2.3183
1969,3,2,1,53,2.6431
1969,3,2,2,52,3.9788
1969,3,2,3,49,2.6636
1969,3,2,4,55,1.8555
1969,3,2,5,62,3.5277
1969,3,3,1,61,1.8304
1969,3,3,2,86,4.4356
1969,3,3,3,96,5.5191
1969,3,3,4,100,3.3357
1969,3,3,5,95,1.1585
1969,4,1,1,184,-1.1126
1969,4,1,2,112,-1.8652
1969,4,1,3,82,1.6353
1969,4,1,4,77,1.1295
1969,4,1,5,110,-1.5433
1969,4,2,1,53,2.0705
1969,4,2,2,52,2.4031
1969,4,2,3,49,0.1819
1969,4,2,4,54,1.6726
1969,4,2,5,62,1.7598
1969,4,3,1,61,3.8376
1969,4,3,2,86,1.7767
1969,4,3,3,96,2.0714
1969,4,3,4,100,1.8777
1969,4,3,5,95,2.7484
1969,5,1,1,185,2.6312
1969,5,1,2,112,1.9453
1969,5,1,3,82,0.3081
1969,5,1,4,76,-0.0665
1969,5,1,5,109,-1.1476
1969,5,2,1,53,-0.3812
1969,5,2,2,51,0.2217
1969,5,2,3,49,0.6251
1969,5,2,4,55,0.3306
1969,5,2,5,62,0.7137
1969,5,3,1,61,-0.6533
1969,5,3,2,86,1.3801
1969,5,3,3,96,1.1289
1969,5,3,4,98,-0.1384
1969,5,3,5,95,-1.1133
1969,6,1,1,185,-14.9092
1969,6,1,2,112,-11.8892
1969,6,1,3,82,-13.1319
1969,6,1,4,77,-13.2665
1969,6,1,5,109,-14.7414
1969,6,2,1,53,-11.4164
1969,6,2,2,52,-10.3938
1969,6,2,3,49,-9.5479
1969,6,2,4,55,-11.1662
1969,6,2,5,62,-12.3079
1969,6,3,1,60,-6.4512
1969,6,3,2,86,-6.3340
1969,6,3,3,95,-2.7723
1969,6,3,4,99,-8.3355
1969,6,3,5,95,-5.6794
1969,7,1,1,191,-10.8289
1969,7,1,2,70,-10.7809
1969,7,1,3,93,-10.2548
1969,7,1,4,115,-11.3080
1969,7,1,5,152,-13.7493
1969,7,2,1,61,-8.9623
1969,7,2,2,41,-6.0932
1969,7,2,3,52,-8.8437
1969,7,2,4,56,-9.9463
1969,7,2,5,81,-11.8556
1969,7,3,1,79,-7.4606
1969,7,3,2,102,-5.7758
1969,7,3,3,92,-6.6766
1969,7,3,4,100,-5.2494
1969,7,3,5,82,-7.2301
1969,8,1,1,189,2.4445
1969,8,1,2,70,6.1055
1969,8,1,3,93,3.3740
1969,8,1,4,115,4.4417
1969,8,1,5,152,4.4355
1969,8,2,1,61,5.0539
1969,8,2,2,41,6.1594
1969,8,2,3,52,6.0907
1969,8,2,4,56,5.6516
1969,8,2,5,81,8.6898
1969,8,3,1,79,5.0225
1969,8,3,2,102,5.0111
1969,8,3,3,92,5.7831
1969,8,3,4,100,4.9202
1969,8,3,5,82,6.5712
1969,9,1,1,190,-1.8565
1969,9,1,2,70,-3.7160
1969,9,1,3,93,-3.7198
1969,9,1,4,115,-0.9178
1969,9,1,5,152,-5.2423
1969,9,2,1,60,3.0129
1969,9,2,2,40,0.9577
1969,9,2,3,52,-0.3339
1969,9,2,4,56,-0.7506
1969,9,2,5,81,-2.7610
1969,9,3,1,79,-1.0113
1969,9,3,2,102,-2.6014
1969,9,3,3,92,-2.7171
1969,9,3,4,100,-2.8926
1969,9,3,5,82,-1.7132
1969,10,1,1,190,9.7380
1969,10,1,2,70,10.0685
1969,10,1,3,93,10.3409
1969,10,1,4,115,12.4827
1969,10,1,5,152,10.7074
1969,10,2,1,60,9.0870
1969,10,2,2,40,7.6533
1969,10,2,3,52,4.9030
1969,10,2,4,56,6.9517
1969,10,2,5,80,10.3011
1969,10,3,1,79,7.4725
1969,10,3,2,102,2.7714
1969,10,3,3,92,5.0772
1969,10,3,4,99,5.9433
1969,10,3,5,82,6.5906
1969,11,1,1,190,-6.3612
1969,11,1,2,70,-5.7991
1969,11,1,3,93,-6.3863
1969,11,1,4,115,-6.2319
1969,11,1,5,151,-8.3583
1969,11,2,1,59,-3.7603
1969,11,2,2,40,-2.7004
1969,11,2,3,52,-4.2064
1969,11,2,4,56,-6.8161
1969,11,2,5,81,-6.2223
1969,11,3,1,79,-2.5182
1969,11,3,2,102,-3.5050
1969,11,3,3,92,-3.1198
1969,11,3,4,100,-1.0125
1969,11,3,5,82,-2.3077
1969,12,1,1,190,-8.7853
1969,12,1,2,70,-7.6102
1969,12,1,3,93,-7.4275
1969,12,1,4,115,-5.0857
1969,12,1,5,152,-8.4580
1969,12,2,1,59,-4.6210
1969,12,2,2,40,-1.7328
1969,12,2,3,52,-3.6029
1969,12,2,4,56,-5.0391
1969,12,2,5,81,-6.5723
1969,12,3,1,79,-1.8333
1969,12,3,2,102,-0.5056
1969,12,3,3,92,-0.6722
1969,12,3,4,100,-3.3935
1969,12,3,5,82,-3.1991
1970,1,1,1,190,-0.6704
1970,1,1,2,70,-2.4828
1970,1,1,3,93,-2.8522
1970,1,1,4,115,-3.5245
1970,1,1,5,152,-6.3335
1970,1,2,1,59,-5.1302
1970,1,2,2,40,-6.6938
