year,month,rank_ME,rank_IVC,nstocks,ret_vw
1968,12,2,1,56,-1.5838
1968,12,2,2,48,0.8210
1968,12,2,3,48,-0.3591
1968,12,2,4,49,-1.7269
1968,12,2,5,70,-2.0729
1968,12,3,1,57,-2.9662
1968,12,3,2,99,-4.7397
1968,12,3,3,98,-3.6864
1968,12,3,4,103,-3.1845
1968,12,3,5,82,-4.5286
1969,1,1,1,189,-1.3664
1969,1,1,2,89,-0.8278
1969,1,1,3,67,-0.8629
1969,1,1,4,87,-2.4415
1969,1,1,5,138,-0.6358
1969,1,2,1,56,-2.0045
1969,1,2,2,48,-1.2336
1969,1,2,3,48,0.1024
1969,1,2,4,49,-2.1890
1969,1,2,5,70,-1.9159
1969,1,3,1,57,-0.5422
1969,1,3,2,99,-1.5325
1969,1,3,3,98,-0.1127
1969,1,3,4,102,-1.7558
1969,1,3,5,82,-3.0206
1969,2,1,1,188,-10.7351
1969,2,1,2,89,-10.0625
1969,2,1,3,67,-8.8633
1969,2,1,4,86,-8.5547
1969,2,1,5,138,-10.5250
1969,2,2,1,56,-8.1622
1969,2,2,2,48,-8.3852
1969,2,2,3,48,-9.0059
1969,2,2,4,49,-6.9388
1969,2,2,5,70,-9.2350
1969,2,3,1,57,-5.4424
1969,2,3,2,99,-3.3666
1969,2,3,3,98,-4.5199
1969,2,3,4,102,-6.0079
1969,2,3,5,82,-5.5523
1969,3,1,1,187,3.5605
1969,3,1,2,89,0.4106
1969,3,1,3,67,4.0065
1969,3,1,4,86,2.2062
1969,3,1,5,138,2.4187
1969,3,2,1,56,2.4299
1969,3,2,2,48,6.9865
1969,3,2,3,48,1.3634
1969,3,2,4,49,0.9763
1969,3,2,5,70,2.7946
1969,3,3,1,57,3.8538
1969,3,3,2,99,3.7833
1969,3,3,3,98,4.5360
1969,3,3,4,102,2.9776
1969,3,3,5,82,1.7519
1969,4,1,1,187,-1.0967
1969,4,1,2,89,-2.2968
1969,4,1,3,67,1.1192
1969,4,1,4,86,1.8633
1969,4,1,5,138,-1.5109
1969,4,2,1,56,1.8440
1969,4,2,2,48,5.2516
1969,4,2,3,47,0.6675
1969,4,2,4,49,-0.7381
1969,4,2,5,70,0.9178
1969,4,3,1,57,1.4627
1969,4,3,2,99,2.8105
1969,4,3,3,98,1.5861
1969,4,3,4,102,2.4659
1969,4,3,5,82,3.1919
1969,5,1,1,188,2.8088
1969,5,1,2,89,1.1745
1969,5,1,3,66,-0.0815
1969,5,1,4,85,-0.0650
1969,5,1,5,138,-0.1837
1969,5,2,1,56,-0.3693
1969,5,2,2,47,3.0822
1969,5,2,3,48,-0.9111
1969,5,2,4,49,-0.1777
1969,5,2,5,70,-0.2814
1969,5,3,1,57,-2.3738
1969,5,3,2,99,0.9379
1969,5,3,3,98,1.1547
1969,5,3,4,101,0.9379
1969,5,3,5,81,-1.7011
1969,6,1,1,188,-15.0113
1969,6,1,2,89,-12.7569
1969,6,1,3,67,-12.4452
1969,6,1,4,85,-13.2203
1969,6,1,5,138,-14.1265
1969,6,2,1,56,-11.4607
1969,6,2,2,48,-11.3085
1969,6,2,3,48,-11.2977
1969,6,2,4,49,-8.1074
1969,6,2,5,70,-12.2373
1969,6,3,1,56,-7.5054
1969,6,3,2,99,-4.1393
1969,6,3,3,97,-6.5594
1969,6,3,4,101,-6.9634
1969,6,3,5,82,-5.0468
1969,7,1,1,191,-10.8289
1969,7,1,2,59,-11.3001
1969,7,1,3,83,-10.0314
1969,7,1,4,115,-10.4809
1969,7,1,5,178,-13.6447
1969,7,2,1,61,-8.9623
1969,7,2,2,40,-6.2327
1969,7,2,3,46,-8.2716
1969,7,2,4,62,-9.7340
1969,7,2,5,83,-12.4105
1969,7,3,1,79,-7.4606
1969,7,3,2,116,-6.1691
1969,7,3,3,102,-5.2307
1969,7,3,4,91,-5.2620
1969,7,3,5,68,-8.5227
1969,8,1,1,189,2.4445
1969,8,1,2,59,6.5283
1969,8,1,3,83,2.1043
1969,8,1,4,115,4.7142
1969,8,1,5,178,4.7906
1969,8,2,1,61,5.0539
1969,8,2,2,40,7.3586
1969,8,2,3,46,7.5120
1969,8,2,4,62,4.3351
1969,8,2,5,83,8.3036
1969,8,3,1,79,5.0225
1969,8,3,2,116,4.9054
1969,8,3,3,102,4.8065
1969,8,3,4,91,6.0581
1969,8,3,5,68,8.8240
1969,9,1,1,190,-1.8565
1969,9,1,2,59,-2.7022
1969,9,1,3,83,-3.5798
1969,9,1,4,115,-3.7115
1969,9,1,5,178,-3.8741
1969,9,2,1,60,3.0129
1969,9,2,2,39,0.9501
1969,9,2,3,46,-1.1613
1969,9,2,4,62,-1.1950
1969,9,2,5,83,-1.7425
1969,9,3,1,79,-1.0113
1969,9,3,2,116,-3.9338
1969,9,3,3,102,-0.0221
1969,9,3,4,91,-1.4859
1969,9,3,5,68,-2.6223
1969,10,1,1,190,9.7380
1969,10,1,2,59,10.9300
1969,10,1,3,83,10.3287
1969,10,1,4,115,9.8894
1969,10,1,5,178,11.9784
1969,10,2,1,60,9.0870
1969,10,2,2,39,7.4494
1969,10,2,3,46,7.8076
1969,10,2,4,61,4.7539
1969,10,2,5,83,10.1622
1969,10,3,1,79,7.4725
1969,10,3,2,116,2.7992
1969,10,3,3,102,5.0624
1969,10,3,4,91,7.3451
1969,10,3,5,67,7.3115
1969,11,1,1,190,-6.3612
1969,11,1,2,59,-8.7547
1969,11,1,3,83,-6.0191
1969,11,1,4,114,-6.1178
1969,11,1,5,178,-7.6668
1969,11,2,1,59,-3.7603
1969,11,2,2,39,-3.9709
1969,11,2,3,46,-5.4211
1969,11,2,4,62,-5.2866
1969,11,2,5,83,-5.4019
1969,11,3,1,79,-2.5182
1969,11,3,2,116,-2.8183
1969,11,3,3,102,-2.6003
1969,11,3,4,91,-2.5970
1969,11,3,5,68,-3.0537
1969,12,1,1,190,-8.7853
1969,12,1,2,59,-7.5057
1969,12,1,3,83,-8.0464
1969,12,1,4,115,-6.0647
1969,12,1,5,178,-7.4082
1969,12,2,1,59,-4.6210
1969,12,2,2,39,-2.1534
1969,12,2,3,46,-3.8259
1969,12,2,4,62,-5.5329
1969,12,2,5,82,-5.6769
1969,12,3,1,79,-1.8333
1969,12,3,2,116,-1.3951
1969,12,3,3,102,-0.9246
1969,12,3,4,91,-2.1649
1969,12,3,5,68,-2.6064
1970,1,1,1,190,-0.6704
1970,1,1,2,59,-2.8611
1970,1,1,3,83,-3.8067
1970,1,1,4,115,-3.2991
1970,1,1,5,178,-5.6539
1970,1,2,1,59,-5.1302
1970,1,2,2,39,-6.4102
1970,1,2,3,46,-4.5601
1970,1,2,4,62,-3.1217
1970,1,2,5,83,-9.4194
1970,1,3,1,79,-6.9028
1970,1,3,2,116,-8.2614
1970,1,3,3,102,-7.2683
1970,1,3,4,91,-8.3578
1970,1,3,5,68,-10.6242
1970,2,1,1,190,2.6117
1970,2,1,2,59,3.0947
1970,2,1,3,82,1.4699
1970,2,1,4,115,5.4312
1970,2,1,5,178,2.0952
1970,2,2,1,59,6.5495
1970,2,2,2,39,4.0604
1970,2,2,3,46,4.0636
1970,2,2,4,62,4.3059
1970,2,2,5,82,3.6619
1970,2,3,1,79,6.7456
1970,2,3,2,116,5.0851
1970,2,3,3,102,5.1622
1970,2,3,4,91,7.3402
1970,2,3,5,67,5.2514
1970,3,1,1,190,-2.2311
1970,3,1,2,59,-1.2474
1970,3,1,3,82,-2.3166
1970,3,1,4,115,-4.1573
1970,3,1,5,178,-4.7707
1970,3,2,1,60,-1.1567
1970,3,2,2,39,0.0646
1970,3,2,3,45,-1.2866
1970,3,2,4,62,-1.1212
1970,3,2,5,83,-4.9037
1970,3,3,1,79,-0.7438
1970,3,3,2,116,0.2417
1970,3,3,3,102,0.2388
1970,3,3,4,91,-0.9363
1970,3,3,5,68,-1.8879
1970,4,1,1,189,-18.3362
1970,4,1,2,59,-15.7560
1970,4,1,3,81,-15.1098
1970,4,1,4,115,-16.0660
1970,4,1,5,178,-20.4270
1970,4,2,1,60,-15.1542
1970,4,2,2,39,-11.7179
1970,4,2,3,46,-13.1517
1970,4,2,4,61,-13.9524
1970,4,2,5,83,-19.4390
1970,4,3,1,79,-9.1947
1970,4,3,2,116,-9.0468
1970,4,3,3,102,-8.1544
1970,4,3,4,91,-10.8936
1970,4,3,5,68,-13.7562
1970,5,1,1,188,-9.1644
1970,5,1,2,59,-10.5957
1970,5,1,3,81,-9.9762
1970,5,1,4,114,-8.5201
1970,5,1,5,178,-8.8425
1970,5,2,1,60,-8.2064
1970,5,2,2,39,-10.6751
1970,5,2,3,46,-8.4680
1970,5,2,4,61,-12.1937
1970,5,2,5,83,-12.1654
1970,5,3,1,79,-8.6961
1970,5,3,2,116,-3.7457
1970,5,3,3,102,-5.8566
1970,5,3,4,91,-7.8972
1970,5,3,5,68,-9.7903
1970,6,1,1,186,-6.4858
1970,6,1,2,59,-10.3861
1970,6,1,3,81,-6.0905
1970,6,1,4,113,-10.0464
1970,6,1,5,178,-10.7883
1970,6,2,1,60,-5.8350
1970,6,2,2,39,-7.6606
1970,6,2,3,45,-4.6241
1970,6,2,4,60,-5.6556
1970,6,2,5,82,-10.5191
1970,6,3,1,79,-3.5987
1970,6,3,2,116,-5.2775
1970,6,3,3,102,-4.3370
1970,6,3,4,91,-4.8009
1970,6,3,5,68,-7.5449
1970,7,1,1,201,5.4778
1970,7,1,2,95,5.2433
1970,7,1,3,99,8.3101
1970,7,1,4,114,2.1679
1970,7,1,5,205,3.8781
1970,7,2,1,60,6.9492
1970,7,2,2,58,7.4842
1970,7,2,3,61,9.9867
1970,7,2,4,68,9.5738
1970,7,2,5,71,6.1255
1970,7,3,1,79,8.1469
1970,7,3,2,106,7.6389
1970,7,3,3,105,8.2618
1970,7,3,4,80,7.6101
1970,7,3,5,88,2.7527
1970,8,1,1,201,7.0354
1970,8,1,2,95,6.0783
1970,8,1,3,99,5.7903
1970,8,1,4,113,7.4281
1970,8,1,5,204,6.1729
1970,8,2,1,60,9.3064
1970,8,2,2,58,6.3518
1970,8,2,3,61,5.1125
1970,8,2,4,68,5.9544
1970,8,2,5,70,7.9285
1970,8,3,1,79,5.3304
1970,8,3,2,106,4.5543
1970,8,3,3,105,4.8941
1970,8,3,4,80,3.9723
1970,8,3,5,88,7.2573
1970,9,1,1,200,15.1566
1970,9,1,2,95,11.8638
1970,9,1,3,99,14.4248
1970,9,1,4,111,14.8926
1970,9,1,5,204,17.5170
1970,9,2,1,60,12.9762
1970,9,2,2,58,9.0382
1970,9,2,3,61,11.4895
1970,9,2,4,68,9.4339
1970,9,2,5,69,14.6425
1970,9,3,1,79,3.5401
1970,9,3,2,106,2.9544
1970,9,3,3,105,3.0674
1970,9,3,4,80,5.5947
1970,9,3,5,87,8.8852
1970,10,1,1,199,-4.9767
1970,10,1,2,95,-6.8242
1970,10,1,3,99,-5.9805
1970,10,1,4,112,-8.1920
1970,10,1,5,204,-11.7363
1970,10,2,1,60,-4.9420
1970,10,2,2,58,-5.3574
1970,10,2,3,61,-5.7609
1970,10,2,4,68,-6.3316
1970,10,2,5,69,-5.9069
1970,10,3,1,79,1.0957
1970,10,3,2,106,-1.0263
1970,10,3,3,105,-1.4807
1970,10,3,4,80,-1.4311
1970,10,3,5,87,-2.6232
1970,11,1,1,198,-0.1597
1970,11,1,2,95,-1.3394
1970,11,1,3,97,-2.4325
1970,11,1,4,112,-1.6182
1970,11,1,5,204,-2.2028
1970,11,2,1,60,3.6868
1970,11,2,2,58,4.0596
1970,11,2,3,60,2.9953
1970,11,2,4,68,2.9397
1970,11,2,5,69,0.3916
1970,11,3,1,79,5.2302
1970,11,3,2,106,5.4249
1970,11,3,3,105,5.3731
1970,11,3,4,80,4.1721
1970,11,3,5,87,4.5299
1970,12,1,1,197,6.6428
1970,12,1,2,93,9.2483
1970,12,1,3,97,9.7887
1970,12,1,4,112,12.4778
1970,12,1,5,204,11.2251
1970,12,2,1,60,7.7484
1970,12,2,2,58,9.0125
1970,12,2,3,60,8.7240
1970,12,2,4,68,11.0838
1970,12,2,5,69,7.9321
1970,12,3,1,79,3.8318
1970,12,3,2,106,5.9372
1970,12,3,3,105,6.4153
1970,12,3,4,79,6.4058
1970,12,3,5,87,5.9415
1971,1,1,1,196,16.4583
1971,1,1,2,93,13.1153
1971,1,1,3,97,13.1468
1971,1,1,4,111,11.6578
1971,1,1,5,204,17.1106
1971,1,2,1,59,13.2316
1971,1,2,2,58,11.6102
1971,1,2,3,60,9.5437
1971,1,2,4,68,8.5336
1971,1,2,5,68,11.8189
1971,1,3,1,79,1.7362
1971,1,3,2,106,4.4192
1971,1,3,3,105,4.2142
1971,1,3,4,79,5.4801
1971,1,3,5,87,7.7761
1971,2,1,1,196,4.0133
1971,2,1,2,93,5.7020
1971,2,1,3,95,2.4234
1971,2,1,4,110,5.7499
1971,2,1,5,203,5.8601
1971,2,2,1,59,2.3966
1971,2,2,2,57,2.8487
1971,2,2,3,60,3.5587
1971,2,2,4,68,3.7562
1971,2,2,5,68,1.5433
1971,2,3,1,79,5.3028
1971,2,3,2,106,0.3586
1971,2,3,3,105,1.4022
1971,2,3,4,79,2.9977
1971,2,3,5,86,1.9626
1971,3,1,1,196,7.8743
1971,3,1,2,93,5.0162
1971,3,1,3,95,5.5171
1971,3,1,4,109,7.8117
1971,3,1,5,203,5.5195
1971,3,2,1,59,8.5684
1971,3,2,2,57,3.4301
1971,3,2,3,60,7.2164
1971,3,2,4,68,5.3233
1971,3,2,5,68,8.1325
1971,3,3,1,78,3.4256
1971,3,3,2,106,3.6650
1971,3,3,3,105,3.2526
1971,3,3,4,79,5.2704
1971,3,3,5,85,6.4117
1971,4,1,1,195,2.5066
1971,4,1,2,93,1.0342
1971,4,1,3,94,3.7557
1971,4,1,4,109,3.2918
1971,4,1,5,203,1.9042
1971,4,2,1,59,4.9132
1971,4,2,2,57,6.4447
1971,4,2,3,60,4.8888
1971,4,2,4,66,5.1316
1971,4,2,5,68,2.4877
1971,4,3,1,78,4.1342
1971,4,3,2,106,3.0267
1971,4,3,3,105,5.2437
1971,4,3,4,79,5.7941
1971,4,3,5,85,5.7337
1971,5,1,1,190,-5.2862
1971,5,1,2,93,-7.2067
1971,5,1,3,94,-5.9542
1971,5,1,4,109,-6.9567
1971,5,1,5,203,-7.1866
1971,5,2,1,59,-4.2578
1971,5,2,2,57,-5.0814
1971,5,2,3,60,-3.2437
1971,5,2,4,66,-3.8193
1971,5,2,5,68,-5.5423
1971,5,3,1,78,-3.3827
1971,5,3,2,106,-4.2881
1971,5,3,3,105,-3.6325
1971,5,3,4,79,-2.6221
1971,5,3,5,85,-2.3606
1971,6,1,1,188,-3.0415
1971,6,1,2,93,-2.2245
1971,6,1,3,94,-0.2217
1971,6,1,4,108,-2.7713
1971,6,1,5,200,-2.9248
1971,6,2,1,59,0.1340
1971,6,2,2,57,-2.4384
1971,6,2,3,59,-2.3211
1971,6,2,4,66,-1.4857
1971,6,2,5,68,1.0950
1971,6,3,1,78,-0.8583
1971,6,3,2,105,-0.6678
1971,6,3,3,105,-0.5087
1971,6,3,4,79,2.6638
1971,6,3,5,85,2.0968
1971,7,1,1,253,-6.2817
1971,7,1,2,122,-7.3012
1971,7,1,3,101,-5.3577
1971,7,1,4,99,-7.2116
1971,7,1,5,186,-7.1834
1971,7,2,1,79,-4.8796
1971,7,2,2,60,-4.4737
1971,7,2,3,53,-4.9019
1971,7,2,4,62,-5.8657
1971,7,2,5,76,-5.3665
1971,7,3,1,51,-6.7119
1971,7,3,2,107,-5.2603
1971,7,3,3,124,-3.3490
1971,7,3,4,112,-3.7201
1971,7,3,5,97,-5.2598
1971,8,1,1,252,4.2781
1971,8,1,2,122,3.7270
1971,8,1,3,101,4.6657
1971,8,1,4,99,5.6658
1971,8,1,5,186,3.8687
1971,8,2,1,79,5.2218
1971,8,2,2,60,5.7939
1971,8,2,3,53,2.0880
1971,8,2,4,62,7.0766
1971,8,2,5,76,4.7378
1971,8,3,1,51,5.8593
1971,8,3,2,106,3.5931
1971,8,3,3,124,3.6731
1971,8,3,4,111,5.9510
1971,8,3,5,97,5.7984
1971,9,1,1,252,-0.6596
1971,9,1,2,122,1.0335
1971,9,1,3,101,-0.1859
1971,9,1,4,99,-0.3837
1971,9,1,5,186,-1.6692
