year,month,rank_ME,rank_dBE,nstocks,ret_vw
1969,11,1,3,69,-6.2159
1969,11,1,4,108,-5.1991
1969,11,1,5,148,-8.1897
1969,11,2,1,50,-6.1148
1969,11,2,2,38,-5.1035
1969,11,2,3,54,-4.9354
1969,11,2,4,61,-4.3272
1969,11,2,5,82,-3.6231
1969,11,3,1,83,-4.9328
1969,11,3,2,112,-3.0255
1969,11,3,3,105,-3.6698
1969,11,3,4,103,-2.8418
1969,11,3,5,111,-1.4550
1969,12,1,1,108,-9.7961
1969,12,1,2,87,-4.2138
1969,12,1,3,69,-6.6450
1969,12,1,4,108,-6.5016
1969,12,1,5,148,-8.6869
1969,12,2,1,50,-4.3097
1969,12,2,2,38,-5.4006
1969,12,2,3,54,-2.8494
1969,12,2,4,61,-4.5694
1969,12,2,5,82,-3.8047
1969,12,3,1,83,-3.2814
1969,12,3,2,112,-3.2105
1969,12,3,3,105,-1.8902
1969,12,3,4,103,0.7438
1969,12,3,5,111,-0.4129
1970,1,1,1,108,-0.3307
1970,1,1,2,87,-2.4594
1970,1,1,3,69,-2.1078
1970,1,1,4,108,-2.5711
1970,1,1,5,148,-6.7377
1970,1,2,1,50,-1.2757
1970,1,2,2,38,-4.8032
1970,1,2,3,54,-3.7287
1970,1,2,4,61,-7.1726
1970,1,2,5,82,-7.6329
1970,1,3,1,83,-5.0643
1970,1,3,2,112,-5.6885
1970,1,3,3,105,-9.7251
1970,1,3,4,103,-7.6838
1970,1,3,5,111,-9.3417
1970,2,1,1,108,2.9400
1970,2,1,2,87,5.1630
1970,2,1,3,69,2.8087
1970,2,1,4,108,3.9701
1970,2,1,5,148,2.3199
1970,2,2,1,50,5.1286
1970,2,2,2,38,6.8748
1970,2,2,3,54,3.2032
1970,2,2,4,61,3.8176
1970,2,2,5,82,5.5327
1970,2,3,1,83,8.4636
1970,2,3,2,112,6.0818
1970,2,3,3,105,7.9776
1970,2,3,4,103,5.8257
1970,2,3,5,110,3.1416
1970,3,1,1,108,-1.2806
1970,3,1,2,87,-0.7519
1970,3,1,3,69,-3.7306
1970,3,1,4,108,-3.9047
1970,3,1,5,148,-4.5595
