year,month,rank_ME,rank_CEI,nstocks,ret_vw
1971,1,2,4,74,12.4339
1971,1,2,5,71,13.5633
1971,1,3,1,114,2.6543
1971,1,3,2,114,4.0132
1971,1,3,3,123,4.1819
1971,1,3,4,94,4.8289
1971,1,3,5,88,8.6412
1971,2,1,1,83,2.2789
1971,2,1,2,91,6.1973
1971,2,1,3,116,3.5735
1971,2,1,4,226,6.2399
1971,2,1,5,80,7.1968
1971,2,2,1,51,0.6970
1971,2,2,2,53,2.0263
1971,2,2,3,44,3.8915
1971,2,2,4,74,1.0389
1971,2,2,5,71,2.1599
1971,2,3,1,114,1.8023
1971,2,3,2,114,0.1546
1971,2,3,3,123,1.3019
1971,2,3,4,94,3.0969
1971,2,3,5,87,1.3294
1971,3,1,1,83,5.8093
1971,3,1,2,91,7.0761
1971,3,1,3,116,4.8668
1971,3,1,4,226,5.0985
1971,3,1,5,80,5.3166
1971,3,2,1,51,2.6652
1971,3,2,2,53,5.0886
1971,3,2,3,44,6.4158
1971,3,2,4,73,4.8010
1971,3,2,5,71,8.6595
1971,3,3,1,114,3.1455
1971,3,3,2,113,2.0059
1971,3,3,3,123,3.8032
1971,3,3,4,93,6.3894
1971,3,3,5,87,5.2044
1971,4,1,1,82,1.6831
1971,4,1,2,91,2.0873
1971,4,1,3,116,0.5553
1971,4,1,4,224,1.5184
1971,4,1,5,79,3.7501
1971,4,2,1,51,2.6993
1971,4,2,2,52,4.6612
1971,4,2,3,44,3.0038
1971,4,2,4,72,4.3011
1971,4,2,5,70,5.0415
1971,4,3,1,114,3.3445
1971,4,3,2,113,3.3509
1971,4,3,3,123,4.2369
1971,4,3,4,93,3.3610
1971,4,3,5,87,4.1596
1971,5,1,1,81,-4.3552
1971,5,1,2,91,-4.7905
1971,5,1,3,113,-6.8488
1971,5,1,4,224,-7.5840
1971,5,1,5,79,-8.1387
1971,5,2,1,51,-3.1597
1971,5,2,2,52,-2.2457
1971,5,2,3,44,-2.1254
1971,5,2,4,72,-5.3289
1971,5,2,5,69,-5.2044
1971,5,3,1,114,-4.3407
1971,5,3,2,113,-4.0808
1971,5,3,3,123,-1.8773
1971,5,3,4,93,-4.4115
1971,5,3,5,87,-3.4673
1971,6,1,1,81,0.3353
1971,6,1,2,91,-0.2892
1971,6,1,3,112,-3.7493
1971,6,1,4,222,-2.9862
1971,6,1,5,78,-1.7482
1971,6,2,1,50,-0.7914
1971,6,2,2,52,-1.0203
1971,6,2,3,44,-0.4336
1971,6,2,4,72,-1.7718
1971,6,2,5,69,-0.4172
1971,6,3,1,114,-1.6343
1971,6,3,2,113,1.1874
1971,6,3,3,123,1.5781
1971,6,3,4,93,-0.2754
1971,6,3,5,86,0.2730
1971,7,1,1,86,-2.8718
1971,7,1,2,96,-3.6526
1971,7,1,3,118,-6.1334
1971,7,1,4,234,-7.8695
1971,7,1,5,93,-6.7224
1971,7,2,1,70,-2.9732
1971,7,2,2,57,-4.1416
1971,7,2,3,49,-1.3297
1971,7,2,4,66,-5.0090
1971,7,2,5,66,-6.6092
1971,7,3,1,95,-2.3905
1971,7,3,2,116,-3.2707
1971,7,3,3,122,-4.8041
1971,7,3,4,105,-4.8919
1971,7,3,5,96,-6.2334
1971,8,1,1,86,4.6956
1971,8,1,2,96,3.2605
1971,8,1,3,118,4.1095
1971,8,1,4,233,4.3432
1971,8,1,5,93,4.3550
1971,8,2,1,70,3.7682
1971,8,2,2,57,5.8880
1971,8,2,3,49,3.7634
1971,8,2,4,66,5.7130
1971,8,2,5,66,6.0640
1971,8,3,1,95,2.1516
1971,8,3,2,115,4.0353
1971,8,3,3,122,5.2874
1971,8,3,4,105,3.7457
1971,8,3,5,96,4.9730
1971,9,1,1,86,-0.7874
1971,9,1,2,96,-0.4652
1971,9,1,3,117,-0.9719
1971,9,1,4,233,-0.9133
1971,9,1,5,93,-1.9475
1971,9,2,1,70,-1.2949
