year,month,rank_ME,rank_POA,nstocks,ret_vw
1969,5,1,5,113,0.9819
1969,5,2,1,47,-1.1039
1969,5,2,2,37,0.5299
1969,5,2,3,48,3.6211
1969,5,2,4,46,0.0105
1969,5,2,5,58,-1.7930
1969,5,3,1,65,-0.0318
1969,5,3,2,102,1.4347
1969,5,3,3,89,1.3654
1969,5,3,4,85,-0.6493
1969,5,3,5,77,-1.9425
1969,6,1,1,146,-14.2288
1969,6,1,2,69,-14.5392
1969,6,1,3,74,-12.0868
1969,6,1,4,64,-11.7625
1969,6,1,5,113,-13.9320
1969,6,2,1,47,-11.8174
1969,6,2,2,37,-11.3123
1969,6,2,3,49,-7.6311
1969,6,2,4,46,-10.2146
1969,6,2,5,58,-12.5201
1969,6,3,1,64,-2.5765
1969,6,3,2,102,-7.3272
1969,6,3,3,89,-7.0073
1969,6,3,4,85,-4.4220
1969,6,3,5,78,-7.4697
1969,7,1,1,132,-10.4713
1969,7,1,2,75,-9.3210
1969,7,1,3,62,-8.6844
1969,7,1,4,90,-11.0404
1969,7,1,5,159,-13.5886
1969,7,2,1,38,-9.6282
1969,7,2,2,42,-9.9820
1969,7,2,3,49,-7.5264
1969,7,2,4,61,-9.3764
1969,7,2,5,73,-11.0414
1969,7,3,1,84,-5.6679
1969,7,3,2,105,-6.9918
1969,7,3,3,104,-5.4745
1969,7,3,4,87,-6.2802
1969,7,3,5,64,-8.7884
1969,8,1,1,131,3.4756
1969,8,1,2,75,4.1258
1969,8,1,3,62,1.5937
1969,8,1,4,90,6.0877
1969,8,1,5,159,3.5453
1969,8,2,1,38,5.3271
1969,8,2,2,42,8.5262
1969,8,2,3,49,4.7334
1969,8,2,4,61,6.2093
1969,8,2,5,73,7.8937
1969,8,3,1,84,4.0302
1969,8,3,2,105,5.8952
1969,8,3,3,104,5.5524
1969,8,3,4,87,4.7347
1969,8,3,5,64,9.5059
1969,9,1,1,132,-2.4990
1969,9,1,2,75,-1.9943
1969,9,1,3,62,-4.1462
1969,9,1,4,90,-4.2552
1969,9,1,5,159,-4.1064
1969,9,2,1,38,-0.1908
1969,9,2,2,42,0.3919
1969,9,2,3,49,2.8433
1969,9,2,4,61,-1.4799
1969,9,2,5,73,-1.1233
1969,9,3,1,84,-2.6092
1969,9,3,2,105,-4.4969
1969,9,3,3,104,-1.2870
1969,9,3,4,87,-1.0265
1969,9,3,5,64,-0.7672
1969,10,1,1,132,13.2326
1969,10,1,2,75,9.4621
1969,10,1,3,62,7.7758
1969,10,1,4,90,8.9159
1969,10,1,5,159,12.0366
1969,10,2,1,38,7.3682
1969,10,2,2,42,6.5407
1969,10,2,3,49,9.5191
1969,10,2,4,61,6.3979
1969,10,2,5,73,10.0375
1969,10,3,1,84,3.4513
1969,10,3,2,105,3.2806
1969,10,3,3,104,6.0602
1969,10,3,4,87,6.5410
1969,10,3,5,63,7.3549
1969,11,1,1,132,-8.9731
1969,11,1,2,75,-6.4100
1969,11,1,3,61,-5.7477
1969,11,1,4,90,-4.9433
1969,11,1,5,159,-7.5070
1969,11,2,1,38,-7.5181
1969,11,2,2,41,-6.8071
1969,11,2,3,49,-3.4195
1969,11,2,4,61,-2.9061
1969,11,2,5,73,-4.5075
1969,11,3,1,84,-1.9584
1969,11,3,2,105,-3.6343
1969,11,3,3,104,-2.1489
1969,11,3,4,87,-3.1694
1969,11,3,5,64,-2.8264
1969,12,1,1,132,-8.3620
1969,12,1,2,75,-9.6230
1969,12,1,3,62,-7.3777
1969,12,1,4,90,-5.6215
1969,12,1,5,159,-7.4792
1969,12,2,1,38,-7.1668
1969,12,2,2,41,-4.1545
1969,12,2,3,49,-2.9283
1969,12,2,4,61,-3.2294
1969,12,2,5,73,-4.6844
1969,12,3,1,84,-2.9437
1969,12,3,2,105,-2.0808
1969,12,3,3,104,0.3093
1969,12,3,4,87,-0.4953
1969,12,3,5,64,-2.7333
1970,1,1,1,132,-3.4623
1970,1,1,2,75,-3.3450
