year,month,rank_ME,rank_NOA,nstocks,ret_vw
1969,2,2,2,39,-9.8895
1969,2,2,3,47,-7.0642
1969,2,2,4,52,-8.0633
1969,2,2,5,50,-11.5479
1969,2,3,1,74,-3.4103
1969,2,3,2,83,-4.3486
1969,2,3,3,84,-4.4820
1969,2,3,4,85,-4.0775
1969,2,3,5,96,-5.9000
1969,3,1,1,157,2.9405
1969,3,1,2,101,2.7968
1969,3,1,3,73,2.0175
1969,3,1,4,59,2.1278
1969,3,1,5,76,3.4602
1969,3,2,1,50,3.3628
1969,3,2,2,39,1.2490
1969,3,2,3,47,2.0549
1969,3,2,4,52,4.3036
1969,3,2,5,50,5.0804
1969,3,3,1,74,3.7401
1969,3,3,2,83,4.1194
1969,3,3,3,84,5.4743
1969,3,3,4,85,2.6583
1969,3,3,5,96,2.0201
1969,4,1,1,157,-0.9124
1969,4,1,2,101,0.3180
1969,4,1,3,73,0.6291
1969,4,1,4,59,-1.4375
1969,4,1,5,76,-0.4418
1969,4,2,1,50,2.1164
1969,4,2,2,39,2.3613
1969,4,2,3,47,0.4215
1969,4,2,4,52,2.4838
1969,4,2,5,49,1.5141
1969,4,3,1,74,2.5479
1969,4,3,2,83,1.8265
1969,4,3,3,84,1.7472
1969,4,3,4,85,1.0407
1969,4,3,5,96,4.5222
1969,5,1,1,157,1.6518
1969,5,1,2,99,1.0273
1969,5,1,3,73,1.2782
1969,5,1,4,59,0.1207
1969,5,1,5,76,1.6704
1969,5,2,1,50,0.1891
1969,5,2,2,39,-0.7649
1969,5,2,3,46,0.6140
1969,5,2,4,52,0.6856
1969,5,2,5,50,0.4638
1969,5,3,1,73,0.4929
1969,5,3,2,83,0.4466
1969,5,3,3,84,-0.3451
1969,5,3,4,85,1.2067
1969,5,3,5,95,0.3217
1969,6,1,1,157,-13.4437
1969,6,1,2,100,-11.9823
1969,6,1,3,73,-12.5459
1969,6,1,4,59,-14.8561
1969,6,1,5,76,-15.3613
1969,6,2,1,50,-8.9038
1969,6,2,2,39,-12.7224
1969,6,2,3,47,-9.1284
1969,6,2,4,52,-10.4085
1969,6,2,5,50,-12.5338
1969,6,3,1,73,-5.2632
1969,6,3,2,82,-5.5462
1969,6,3,3,84,-4.1139
1969,6,3,4,85,-6.7207
1969,6,3,5,96,-6.9635
1969,7,1,1,148,-10.6187
1969,7,1,2,93,-11.8677
1969,7,1,3,84,-9.1058
1969,7,1,4,87,-10.7962
1969,7,1,5,103,-12.9230
1969,7,2,1,39,-7.5151
1969,7,2,2,41,-9.6069
1969,7,2,3,44,-8.2936
1969,7,2,4,64,-9.8784
1969,7,2,5,73,-11.3605
1969,7,3,1,94,-5.2550
