year,month,rank_ME,rank_ACI,nstocks,ret_vw
1969,1,1,4,27,0.1524
1969,1,1,5,44,-1.3999
1969,1,2,1,40,-2.0431
1969,1,2,2,37,-1.2355
1969,1,2,3,25,-0.0514
1969,1,2,4,33,-0.8405
1969,1,2,5,32,-2.6808
1969,1,3,1,50,-1.0904
1969,1,3,2,80,-2.4946
1969,1,3,3,98,-0.5516
1969,1,3,4,87,-0.7636
1969,1,3,5,78,-1.0845
1969,2,1,1,58,-8.7690
1969,2,1,2,29,-9.0819
1969,2,1,3,27,-10.3675
1969,2,1,4,27,-7.4704
1969,2,1,5,44,-7.7987
1969,2,2,1,40,-9.7221
1969,2,2,2,37,-6.8401
1969,2,2,3,25,-7.4920
1969,2,2,4,33,-6.5336
1969,2,2,5,32,-6.9631
1969,2,3,1,50,-6.9686
1969,2,3,2,80,-3.0375
1969,2,3,3,98,-3.9778
1969,2,3,4,87,-4.7077
1969,2,3,5,78,-4.9965
1969,3,1,1,58,3.5458
1969,3,1,2,29,0.2819
1969,3,1,3,27,3.0211
1969,3,1,4,26,1.4292
1969,3,1,5,44,1.1571
1969,3,2,1,40,3.6894
1969,3,2,2,37,2.3366
1969,3,2,3,25,3.1065
1969,3,2,4,33,0.8256
1969,3,2,5,32,4.1086
1969,3,3,1,50,2.1232
1969,3,3,2,80,4.6865
1969,3,3,3,98,3.9758
1969,3,3,4,87,2.8898
1969,3,3,5,78,3.5019
1969,4,1,1,58,-1.6110
1969,4,1,2,29,-3.8744
1969,4,1,3,27,-1.2599
1969,4,1,4,26,0.6295
1969,4,1,5,44,0.0972
1969,4,2,1,40,2.0964
1969,4,2,2,37,-0.1314
1969,4,2,3,25,2.3553
1969,4,2,4,33,0.4051
1969,4,2,5,32,-0.9643
1969,4,3,1,50,0.9304
1969,4,3,2,80,2.4792
1969,4,3,3,98,3.2277
1969,4,3,4,87,1.6593
1969,4,3,5,78,1.8975
1969,5,1,1,57,-0.7770
1969,5,1,2,29,0.1397
1969,5,1,3,27,-2.9803
1969,5,1,4,27,0.7054
1969,5,1,5,44,1.1150
1969,5,2,1,40,-1.3582
1969,5,2,2,37,0.8652
1969,5,2,3,25,-0.7953
1969,5,2,4,32,0.4794
1969,5,2,5,32,0.4205
1969,5,3,1,50,0.4508
1969,5,3,2,80,-0.1813
1969,5,3,3,97,1.5624
1969,5,3,4,87,0.5395
1969,5,3,5,77,-1.9777
1969,6,1,1,57,-13.4531
1969,6,1,2,29,-11.5125
1969,6,1,3,27,-11.1422
1969,6,1,4,27,-12.4399
1969,6,1,5,44,-11.9465
1969,6,2,1,40,-12.2062
1969,6,2,2,37,-9.8423
1969,6,2,3,25,-8.5233
1969,6,2,4,33,-10.7577
1969,6,2,5,32,-9.9301
1969,6,3,1,49,-10.5350
1969,6,3,2,80,-1.7529
1969,6,3,3,97,-6.4775
1969,6,3,4,86,-5.5351
1969,6,3,5,78,-7.5387
1969,7,1,1,66,-10.0543
1969,7,1,2,39,-9.2502
1969,7,1,3,32,-14.3193
1969,7,1,4,38,-11.1666
1969,7,1,5,57,-11.0541
1969,7,2,1,38,-7.9729
1969,7,2,2,44,-9.4032
1969,7,2,3,29,-7.1076
1969,7,2,4,27,-9.3605
1969,7,2,5,48,-10.1969
1969,7,3,1,64,-5.0559
1969,7,3,2,74,-6.1426
1969,7,3,3,96,-5.3050
1969,7,3,4,103,-6.8254
1969,7,3,5,70,-7.2588
1969,8,1,1,66,4.3502
1969,8,1,2,39,2.3973
1969,8,1,3,32,3.4413
1969,8,1,4,38,6.6749
1969,8,1,5,57,2.2048
1969,8,2,1,38,8.1245
1969,8,2,2,44,5.4059
1969,8,2,3,29,6.2514
1969,8,2,4,27,6.1412
1969,8,2,5,48,6.4363
1969,8,3,1,64,5.7618
1969,8,3,2,74,5.0699
1969,8,3,3,96,5.0001
1969,8,3,4,103,4.7376
1969,8,3,5,70,5.2135
1969,9,1,1,66,-4.2786
1969,9,1,2,39,-2.0071
1969,9,1,3,32,0.8497
1969,9,1,4,38,-4.0275
1969,9,1,5,57,-3.8876
1969,9,2,1,38,-2.3613
1969,9,2,2,44,-0.3847
1969,9,2,3,29,-2.1603
1969,9,2,4,27,-3.2978
1969,9,2,5,48,3.2673
1969,9,3,1,64,-0.2481
1969,9,3,2,74,-2.0199
1969,9,3,3,96,-3.4117
1969,9,3,4,103,-3.5878
1969,9,3,5,70,-2.1130
1969,10,1,1,66,9.0615
1969,10,1,2,39,6.1073
1969,10,1,3,32,7.3129
1969,10,1,4,38,10.6400
1969,10,1,5,57,8.4980
1969,10,2,1,38,10.2987
1969,10,2,2,43,5.1088
1969,10,2,3,29,6.6931
1969,10,2,4,27,7.4441
1969,10,2,5,48,8.8433
1969,10,3,1,64,5.8296
1969,10,3,2,74,4.1420
1969,10,3,3,95,3.4997
1969,10,3,4,103,5.9635
1969,10,3,5,70,3.6463
1969,11,1,1,66,-7.6152
1969,11,1,2,39,-6.4493
1969,11,1,3,32,-5.1827
1969,11,1,4,38,-5.5347
1969,11,1,5,57,-7.0068
1969,11,2,1,38,-5.9060
1969,11,2,2,44,-3.7389
1969,11,2,3,29,-4.5501
1969,11,2,4,27,-4.4460
1969,11,2,5,48,-6.8256
1969,11,3,1,64,-1.4757
1969,11,3,2,74,-3.4737
1969,11,3,3,96,-1.4896
1969,11,3,4,103,-3.3936
1969,11,3,5,70,-4.4097
1969,12,1,1,66,-8.6895
1969,12,1,2,39,-6.8789
1969,12,1,3,32,-4.9859
1969,12,1,4,38,-5.4703
1969,12,1,5,57,-6.6164
1969,12,2,1,38,-6.8178
1969,12,2,2,44,-2.9422
1969,12,2,3,29,-3.0411
1969,12,2,4,27,-3.7734
1969,12,2,5,48,-6.5993
1969,12,3,1,64,-0.1143
1969,12,3,2,74,-1.9688
1969,12,3,3,96,-3.5831
1969,12,3,4,103,0.6141
1969,12,3,5,70,-2.8901
1970,1,1,1,66,-0.2738
1970,1,1,2,39,-4.6927
1970,1,1,3,32,-2.2969
