year,month,rank_ME,rank_DAC,nstocks,ret_vw
1970,6,3,3,101,-5.6048
1970,6,3,4,79,-5.4917
1970,6,3,5,65,-5.4020
1970,7,1,1,194,3.9267
1970,7,1,2,79,8.6719
1970,7,1,3,64,3.1493
1970,7,1,4,88,3.8695
1970,7,1,5,169,4.6250
1970,7,2,1,62,8.6674
1970,7,2,2,41,11.4704
1970,7,2,3,51,9.5031
1970,7,2,4,60,6.6805
1970,7,2,5,72,7.6056
1970,7,3,1,76,4.7630
1970,7,3,2,94,7.5042
1970,7,3,3,99,9.8615
1970,7,3,4,99,9.0145
1970,7,3,5,66,2.7814
1970,8,1,1,194,6.8662
1970,8,1,2,79,6.4169
1970,8,1,3,64,8.2738
1970,8,1,4,88,6.1722
1970,8,1,5,169,6.0208
1970,8,2,1,62,7.6093
1970,8,2,2,41,9.2875
1970,8,2,3,51,8.1563
1970,8,2,4,60,6.5485
1970,8,2,5,72,6.3853
1970,8,3,1,76,5.8372
1970,8,3,2,94,3.3668
1970,8,3,3,99,6.5249
1970,8,3,4,99,3.6647
1970,8,3,5,66,6.1861
1970,9,1,1,194,15.6279
1970,9,1,2,79,11.5802
1970,9,1,3,63,13.2083
1970,9,1,4,88,12.8085
1970,9,1,5,169,19.1881
1970,9,2,1,62,12.5954
1970,9,2,2,41,12.6538
1970,9,2,3,51,8.6870
1970,9,2,4,60,10.7039
1970,9,2,5,72,15.1706
1970,9,3,1,76,5.3267
1970,9,3,2,94,1.9369
1970,9,3,3,99,3.4864
1970,9,3,4,98,2.8043
1970,9,3,5,66,9.4075
1970,10,1,1,194,-7.5769
1970,10,1,2,79,-6.3011
1970,10,1,3,64,-6.9283
1970,10,1,4,88,-8.6329
1970,10,1,5,169,-10.3209
1970,10,2,1,62,-6.7620
1970,10,2,2,41,-3.8778
1970,10,2,3,51,-3.9070
1970,10,2,4,60,-6.0409
1970,10,2,5,72,-6.1226
1970,10,3,1,76,-1.1134
1970,10,3,2,94,-1.2042
1970,10,3,3,99,0.9825
1970,10,3,4,98,-1.6546
1970,10,3,5,66,-3.4940
1970,11,1,1,194,-2.9553
1970,11,1,2,79,0.3113
1970,11,1,3,64,-2.2787
1970,11,1,4,88,-1.0062
1970,11,1,5,169,-2.3404
1970,11,2,1,62,2.7459
1970,11,2,2,41,3.1328
1970,11,2,3,51,3.2758
1970,11,2,4,60,2.7782
1970,11,2,5,72,0.6632
1970,11,3,1,76,5.7169
1970,11,3,2,94,5.1706
1970,11,3,3,99,4.8796
1970,11,3,4,98,5.4614
1970,11,3,5,66,3.6472
1970,12,1,1,193,8.8173
1970,12,1,2,79,11.4336
1970,12,1,3,64,11.7702
1970,12,1,4,88,9.1758
1970,12,1,5,169,9.2345
1970,12,2,1,62,8.5225
1970,12,2,2,41,8.2053
1970,12,2,3,51,9.7868
1970,12,2,4,60,9.8991
1970,12,2,5,72,8.1237
1970,12,3,1,76,5.3296
1970,12,3,2,94,6.1953
1970,12,3,3,99,5.1784
1970,12,3,4,98,6.6651
1970,12,3,5,66,5.9555
1971,1,1,1,192,16.8791
1971,1,1,2,79,12.8956
1971,1,1,3,64,13.9613
1971,1,1,4,88,16.3523
1971,1,1,5,169,15.3148
1971,1,2,1,62,12.0673
1971,1,2,2,41,9.2173
1971,1,2,3,51,11.2162
1971,1,2,4,60,9.9877
1971,1,2,5,72,12.3869
1971,1,3,1,76,4.0965
1971,1,3,2,94,5.3840
1971,1,3,3,99,2.6378
1971,1,3,4,98,4.7543
1971,1,3,5,66,6.7918
1971,2,1,1,192,6.2180
1971,2,1,2,79,4.1792
1971,2,1,3,64,2.5283
1971,2,1,4,88,2.8987
1971,2,1,5,169,5.7063
1971,2,2,1,62,2.9446
1971,2,2,2,41,2.7909
1971,2,2,3,51,2.9103
1971,2,2,4,60,2.2163
1971,2,2,5,72,2.7177
1971,2,3,1,76,2.1938
1971,2,3,2,94,1.5714
1971,2,3,3,99,4.2258
1971,2,3,4,98,-0.6726
1971,2,3,5,66,1.8249
1971,3,1,1,192,8.5080
1971,3,1,2,79,5.6387
1971,3,1,3,64,5.9714
1971,3,1,4,88,4.4809
1971,3,1,5,169,6.4681
1971,3,2,1,62,7.3183
1971,3,2,2,41,7.8932
1971,3,2,3,51,5.4303
1971,3,2,4,60,6.4827
1971,3,2,5,72,7.1621
1971,3,3,1,76,5.3758
1971,3,3,2,94,4.7010
1971,3,3,3,99,3.5867
1971,3,3,4,98,2.8690
1971,3,3,5,66,4.1094
1971,4,1,1,192,0.4377
1971,4,1,2,79,3.9886
1971,4,1,3,64,1.7563
1971,4,1,4,88,3.5281
1971,4,1,5,169,3.2572
1971,4,2,1,62,3.3267
1971,4,2,2,41,3.8228
1971,4,2,3,51,5.3262
1971,4,2,4,60,8.0443
1971,4,2,5,71,1.5646
1971,4,3,1,76,4.3883
1971,4,3,2,94,4.1858
1971,4,3,3,99,5.1756
1971,4,3,4,98,3.1115
1971,4,3,5,66,5.4416
1971,5,1,1,192,-6.5645
1971,5,1,2,79,-3.8991
1971,5,1,3,64,-5.5319
1971,5,1,4,88,-5.3535
1971,5,1,5,169,-7.6019
1971,5,2,1,62,-4.1060
1971,5,2,2,41,-4.2058
1971,5,2,3,51,-3.5696
1971,5,2,4,60,-4.1895
1971,5,2,5,72,-6.1021
1971,5,3,1,76,-5.2280
1971,5,3,2,94,-2.2485
1971,5,3,3,99,-3.4127
1971,5,3,4,98,-3.4743
1971,5,3,5,66,-2.4920
1971,6,1,1,192,-4.4311
1971,6,1,2,79,0.3498
1971,6,1,3,64,-0.6981
1971,6,1,4,88,-1.7066
1971,6,1,5,169,-3.4847
1971,6,2,1,62,1.2909
1971,6,2,2,41,-1.6588
1971,6,2,3,51,-0.6454
1971,6,2,4,60,-2.1314
1971,6,2,5,71,-2.2222
1971,6,3,1,76,-1.1148
1971,6,3,2,94,0.1982
1971,6,3,3,99,0.3521
1971,6,3,4,98,1.1699
1971,6,3,5,66,1.0151
1971,7,1,1,204,-7.3405
1971,7,1,2,102,-6.8268
1971,7,1,3,93,-5.2393
1971,7,1,4,122,-6.5139
1971,7,1,5,169,-6.9242
1971,7,2,1,75,-4.4401
1971,7,2,2,51,-4.3929
1971,7,2,3,63,-4.1848
1971,7,2,4,49,-6.3405
1971,7,2,5,73,-4.6534
1971,7,3,1,75,-5.3281
1971,7,3,2,108,-4.1303
1971,7,3,3,97,-3.2520
