year,month,rank_ME,rank_IG2,nstocks,ret_vw
1970,3,2,5,57,-3.6238
1970,3,3,1,65,0.0093
1970,3,3,2,99,0.6958
1970,3,3,3,99,-0.1903
1970,3,3,4,96,-0.1439
1970,3,3,5,71,-2.3981
1970,4,1,1,111,-15.0353
1970,4,1,2,52,-13.9018
1970,4,1,3,58,-15.8719
1970,4,1,4,54,-12.9202
1970,4,1,5,108,-19.4390
1970,4,2,1,46,-12.1404
1970,4,2,2,38,-12.1833
1970,4,2,3,45,-13.3530
1970,4,2,4,46,-14.6463
1970,4,2,5,57,-17.3980
1970,4,3,1,65,-7.6872
1970,4,3,2,99,-9.3515
1970,4,3,3,99,-8.9433
1970,4,3,4,96,-9.1183
1970,4,3,5,71,-11.6457
1970,5,1,1,111,-9.5376
1970,5,1,2,52,-9.5800
1970,5,1,3,57,-10.1128
1970,5,1,4,54,-8.8378
1970,5,1,5,108,-9.3627
1970,5,2,1,46,-9.7577
1970,5,2,2,38,-6.7484
1970,5,2,3,45,-10.3383
1970,5,2,4,46,-8.8530
1970,5,2,5,57,-12.6664
1970,5,3,1,65,-4.9335
1970,5,3,2,99,-6.4517
1970,5,3,3,99,-4.6132
1970,5,3,4,96,-4.5492
1970,5,3,5,71,-8.3125
1970,6,1,1,109,-7.0624
1970,6,1,2,52,-8.3707
1970,6,1,3,56,-9.8365
1970,6,1,4,54,-6.8505
1970,6,1,5,108,-11.5681
1970,6,2,1,45,-7.7443
1970,6,2,2,38,-6.5294
1970,6,2,3,45,-6.0708
1970,6,2,4,46,-5.6809
1970,6,2,5,56,-7.0952
1970,6,3,1,65,-4.5825
1970,6,3,2,99,-6.2356
1970,6,3,3,99,-3.9269
1970,6,3,4,96,-3.3212
1970,6,3,5,71,-7.2096
1970,7,1,1,142,5.5229
1970,7,1,2,85,4.2501
1970,7,1,3,69,1.7406
1970,7,1,4,62,7.1989
1970,7,1,5,140,6.7234
1970,7,2,1,54,7.2167
1970,7,2,2,49,9.4295
1970,7,2,3,36,6.3943
1970,7,2,4,59,8.9439
1970,7,2,5,77,9.7758
1970,7,3,1,67,8.1926
1970,7,3,2,97,7.3677
1970,7,3,3,114,7.2326
1970,7,3,4,95,7.1303
1970,7,3,5,60,7.9054
1970,8,1,1,142,6.6302
1970,8,1,2,85,6.1943
1970,8,1,3,69,8.6820
1970,8,1,4,62,6.9543
1970,8,1,5,140,6.1835
1970,8,2,1,54,9.3587
1970,8,2,2,49,5.8830
1970,8,2,3,36,7.7395
