year,month,rank_ME,rank_dFNL,nstocks,ret_vw
1970,1,2,4,47,-5.8779
1970,1,2,5,90,-8.3513
1970,1,3,1,97,-8.6774
1970,1,3,2,109,-7.5687
1970,1,3,3,109,-6.8106
1970,1,3,4,113,-8.4224
1970,1,3,5,87,-9.1838
1970,2,1,1,210,2.8940
1970,2,1,2,102,4.2191
1970,2,1,3,69,1.8705
1970,2,1,4,83,4.0010
1970,2,1,5,144,3.0128
1970,2,2,1,54,5.0571
1970,2,2,2,58,6.3172
1970,2,2,3,63,5.4145
1970,2,2,4,47,3.9512
1970,2,2,5,90,3.4350
1970,2,3,1,97,3.3567
1970,2,3,2,109,6.8247
1970,2,3,3,108,5.7010
1970,2,3,4,113,8.5769
1970,2,3,5,87,5.1795
1970,3,1,1,210,-2.3975
1970,3,1,2,102,-2.5082
1970,3,1,3,69,-1.8794
1970,3,1,4,83,-3.8036
1970,3,1,5,144,-4.9322
1970,3,2,1,54,-2.5912
1970,3,2,2,58,0.6814
1970,3,2,3,63,-2.1562
1970,3,2,4,46,-1.9589
1970,3,2,5,91,-2.6253
1970,3,3,1,97,-1.1659
1970,3,3,2,109,0.3308
1970,3,3,3,109,0.7110
1970,3,3,4,113,0.5598
1970,3,3,5,87,-0.8562
1970,4,1,1,209,-18.1147
1970,4,1,2,102,-14.9418
1970,4,1,3,69,-16.1395
1970,4,1,4,82,-17.0246
1970,4,1,5,144,-19.8982
1970,4,2,1,54,-13.3982
1970,4,2,2,58,-11.3510
1970,4,2,3,63,-13.8861
1970,4,2,4,47,-12.6676
1970,4,2,5,90,-20.0038
1970,4,3,1,97,-11.4676
1970,4,3,2,109,-7.2073
1970,4,3,3,109,-8.1760
1970,4,3,4,113,-10.4659
1970,4,3,5,87,-12.7471
1970,5,1,1,209,-7.9258
1970,5,1,2,101,-11.6902
1970,5,1,3,69,-10.1770
1970,5,1,4,82,-9.5634
1970,5,1,5,143,-8.0035
1970,5,2,1,54,-8.7804
1970,5,2,2,58,-8.5934
1970,5,2,3,63,-8.5934
1970,5,2,4,47,-9.5947
1970,5,2,5,90,-12.8744
1970,5,3,1,97,-5.9942
1970,5,3,2,109,-5.8722
1970,5,3,3,109,-4.0763
1970,5,3,4,113,-5.7637
1970,5,3,5,87,-8.8137
1970,6,1,1,208,-6.8830
1970,6,1,2,100,-8.5478
1970,6,1,3,68,-9.4455
1970,6,1,4,82,-7.3729
1970,6,1,5,143,-11.6282
1970,6,2,1,53,-7.1814
1970,6,2,2,57,-4.3775
1970,6,2,3,63,-7.3610
1970,6,2,4,46,-7.1165
1970,6,2,5,90,-8.1760
1970,6,3,1,97,-7.2314
1970,6,3,2,109,-2.7998
1970,6,3,3,109,-4.6628
1970,6,3,4,113,-5.0645
1970,6,3,5,87,-6.9599
1970,7,1,1,220,6.6134
1970,7,1,2,108,4.5607
1970,7,1,3,85,4.6767
1970,7,1,4,90,5.7185
1970,7,1,5,198,2.2039
1970,7,2,1,87,8.0183
1970,7,2,2,53,6.9805
1970,7,2,3,48,7.1016
1970,7,2,4,70,8.6809
1970,7,2,5,84,6.3748
1970,7,3,1,83,8.0814
1970,7,3,2,123,6.0621
1970,7,3,3,129,9.4432
1970,7,3,4,104,8.5342
1970,7,3,5,86,5.8731
1970,8,1,1,220,6.0218
1970,8,1,2,108,5.4702
1970,8,1,3,85,7.9850
1970,8,1,4,90,6.0542
1970,8,1,5,197,7.2286
1970,8,2,1,87,8.1271
1970,8,2,2,53,5.9676
1970,8,2,3,48,7.5134
1970,8,2,4,70,7.1911
1970,8,2,5,83,5.4180
1970,8,3,1,83,5.1803
1970,8,3,2,123,4.7918
1970,8,3,3,129,4.4799
1970,8,3,4,104,4.5587
1970,8,3,5,86,6.0225
1970,9,1,1,218,14.8855
1970,9,1,2,107,13.6477
1970,9,1,3,85,13.6535
1970,9,1,4,90,12.6331
1970,9,1,5,197,18.2786
1970,9,2,1,86,9.3937
1970,9,2,2,53,8.7240
1970,9,2,3,48,10.0667
1970,9,2,4,70,11.9008
1970,9,2,5,83,14.3398
1970,9,3,1,83,4.9484
1970,9,3,2,123,4.1025
1970,9,3,3,129,2.1973
1970,9,3,4,104,1.2612
1970,9,3,5,85,7.6425
1970,10,1,1,219,-6.7174
1970,10,1,2,107,-6.7891
1970,10,1,3,85,-7.6299
1970,10,1,4,90,-7.2148
1970,10,1,5,196,-10.4157
1970,10,2,1,86,-4.8497
1970,10,2,2,53,-5.2187
1970,10,2,3,48,-4.2333
1970,10,2,4,69,-5.8441
1970,10,2,5,83,-6.2220
1970,10,3,1,83,-0.0915
1970,10,3,2,123,0.1562
1970,10,3,3,129,-1.4662
1970,10,3,4,104,-2.6858
1970,10,3,5,85,-2.0477
1970,11,1,1,218,0.2993
1970,11,1,2,107,-2.3888
1970,11,1,3,85,-0.4689
1970,11,1,4,89,-1.1338
1970,11,1,5,195,-3.2265
1970,11,2,1,86,2.0792
1970,11,2,2,52,4.0773
1970,11,2,3,48,5.2386
1970,11,2,4,69,3.2234
