year,month,rank_ME,rank_dNOA,nstocks,ret_vw
1969,7,1,5,112,-12.3817
1969,7,2,1,33,-6.5783
1969,7,2,2,49,-8.8331
1969,7,2,3,38,-7.7926
1969,7,2,4,55,-9.7261
1969,7,2,5,84,-12.0634
1969,7,3,1,84,-5.2659
1969,7,3,2,87,-6.6065
1969,7,3,3,107,-6.1859
1969,7,3,4,83,-5.3507
1969,7,3,5,82,-8.3973
1969,8,1,1,150,3.6526
1969,8,1,2,71,3.6984
1969,8,1,3,80,4.3920
1969,8,1,4,98,3.6174
1969,8,1,5,112,4.0778
1969,8,2,1,33,5.9788
1969,8,2,2,49,6.4295
1969,8,2,3,38,4.2049
1969,8,2,4,55,5.2354
1969,8,2,5,84,9.2035
1969,8,3,1,84,6.2255
1969,8,3,2,87,4.6310
1969,8,3,3,107,4.5014
1969,8,3,4,83,5.7624
1969,8,3,5,82,7.6324
1969,9,1,1,150,-1.8004
1969,9,1,2,71,-2.0511
1969,9,1,3,80,-6.5985
1969,9,1,4,99,-3.8055
1969,9,1,5,112,-3.7060
1969,9,2,1,33,3.4540
1969,9,2,2,49,1.0528
1969,9,2,3,38,-0.8530
1969,9,2,4,55,0.3693
1969,9,2,5,84,-1.9345
1969,9,3,1,84,-0.8028
1969,9,3,2,87,-2.4052
1969,9,3,3,107,-3.2873
1969,9,3,4,83,-2.3934
1969,9,3,5,82,-3.0564
1969,10,1,1,150,10.2593
1969,10,1,2,71,9.1093
1969,10,1,3,80,10.6440
1969,10,1,4,99,10.5690
1969,10,1,5,112,12.8864
1969,10,2,1,33,7.4881
1969,10,2,2,49,8.4035
1969,10,2,3,38,7.3925
1969,10,2,4,55,5.0135
1969,10,2,5,84,10.4020
1969,10,3,1,84,5.8422
1969,10,3,2,87,3.3670
1969,10,3,3,107,4.7051
1969,10,3,4,82,4.5758
1969,10,3,5,82,5.9570
1969,11,1,1,150,-7.9606
1969,11,1,2,71,-5.0237
1969,11,1,3,80,-5.7918
1969,11,1,4,98,-6.0791
1969,11,1,5,112,-9.0108
1969,11,2,1,33,-4.6649
1969,11,2,2,49,-4.0250
1969,11,2,3,37,-4.3683
