year,month,rank_ME,rank_dCOA,nstocks,ret_vw
1969,7,3,2,115,-6.9274
1969,7,3,3,97,-4.3932
1969,7,3,4,93,-5.1529
1969,7,3,5,75,-8.8823
1969,8,1,1,189,2.8704
1969,8,1,2,69,3.1345
1969,8,1,3,89,2.5960
1969,8,1,4,118,6.1220
1969,8,1,5,176,4.4576
1969,8,2,1,45,4.9121
1969,8,2,2,53,5.4427
1969,8,2,3,52,5.4991
1969,8,2,4,61,6.8763
1969,8,2,5,90,8.6200
1969,8,3,1,83,3.5443
1969,8,3,2,115,4.7304
1969,8,3,3,97,6.3005
1969,8,3,4,93,5.8920
1969,8,3,5,75,8.4029
1969,9,1,1,190,-1.2080
1969,9,1,2,69,-3.8922
1969,9,1,3,89,-4.3680
1969,9,1,4,118,-3.0220
1969,9,1,5,176,-3.6998
1969,9,2,1,44,1.2999
1969,9,2,2,52,2.1547
1969,9,2,3,52,0.9449
1969,9,2,4,61,-1.3992
1969,9,2,5,90,-1.9739
1969,9,3,1,83,-3.6309
1969,9,3,2,115,-4.0018
1969,9,3,3,97,-0.8441
1969,9,3,4,93,0.3375
1969,9,3,5,75,-1.7213
1969,10,1,1,190,10.2708
1969,10,1,2,69,8.1680
1969,10,1,3,89,6.5808
1969,10,1,4,118,14.2366
1969,10,1,5,176,11.0086
1969,10,2,1,44,8.7834
1969,10,2,2,51,7.0358
1969,10,2,3,52,8.4961
1969,10,2,4,61,5.3276
1969,10,2,5,90,10.5539
1969,10,3,1,83,4.4058
1969,10,3,2,115,3.0427
1969,10,3,3,97,6.1863
1969,10,3,4,92,5.7674
1969,10,3,5,75,7.6241
1969,11,1,1,190,-7.1584
1969,11,1,2,69,-5.8760
1969,11,1,3,89,-4.6116
1969,11,1,4,117,-6.4119
1969,11,1,5,176,-8.2549
1969,11,2,1,44,-4.0661
1969,11,2,2,51,-5.7747
1969,11,2,3,52,-3.6080
1969,11,2,4,61,-5.1204
1969,11,2,5,90,-4.9345
1969,11,3,1,83,-2.0826
1969,11,3,2,115,-3.6586
1969,11,3,3,97,-2.1029
1969,11,3,4,93,-1.7221
1969,11,3,5,75,-3.1943
1969,12,1,1,190,-8.8009
1969,12,1,2,69,-9.9224
1969,12,1,3,89,-8.8915
1969,12,1,4,118,-4.4005
1969,12,1,5,176,-7.6214
1969,12,2,1,44,-5.7434
1969,12,2,2,51,-4.1485
1969,12,2,3,52,-4.0874
1969,12,2,4,61,-3.6603
1969,12,2,5,89,-5.2934
1969,12,3,1,83,-4.0742
1969,12,3,2,115,-1.2114
1969,12,3,3,97,-0.5787
1969,12,3,4,93,-0.3876
1969,12,3,5,75,-2.8084
1970,1,1,1,190,-0.5029
1970,1,1,2,69,-1.0315
1970,1,1,3,89,-3.0565
1970,1,1,4,118,-3.6643
1970,1,1,5,176,-5.9835
1970,1,2,1,44,-5.6396
1970,1,2,2,51,-4.1985
1970,1,2,3,52,-4.6474
1970,1,2,4,61,-5.7288
1970,1,2,5,90,-8.7456
1970,1,3,1,83,-4.8507
1970,1,3,2,115,-9.0962
1970,1,3,3,97,-7.9228
1970,1,3,4,93,-8.1099
1970,1,3,5,75,-10.9789
1970,2,1,1,190,2.6531
1970,2,1,2,69,3.2506
1970,2,1,3,88,2.8566
1970,2,1,4,118,4.3811
1970,2,1,5,176,2.2967
1970,2,2,1,44,5.3916
1970,2,2,2,51,4.4333
1970,2,2,3,52,6.3066
1970,2,2,4,61,4.5533
1970,2,2,5,89,3.3374
1970,2,3,1,83,7.7690
1970,2,3,2,115,5.9820
1970,2,3,3,97,5.4637
1970,2,3,4,93,3.0250
1970,2,3,5,74,4.9364
1970,3,1,1,190,-1.9116
1970,3,1,2,69,-0.2126
1970,3,1,3,88,-3.2866
1970,3,1,4,118,-3.9467
1970,3,1,5,176,-5.2532
1970,3,2,1,44,-2.4097
1970,3,2,2,51,-1.2044
1970,3,2,3,52,-0.6861
1970,3,2,4,61,-0.7300
1970,3,2,5,90,-4.8528
1970,3,3,1,83,1.4305
1970,3,3,2,115,1.0021
1970,3,3,3,97,-1.5259
1970,3,3,4,93,-1.9873
1970,3,3,5,75,-2.0532
1970,4,1,1,190,-18.7997
1970,4,1,2,69,-13.7120
1970,4,1,3,87,-14.1851
1970,4,1,4,118,-18.2285
1970,4,1,5,175,-20.1194
1970,4,2,1,44,-16.4214
1970,4,2,2,52,-13.2340
1970,4,2,3,52,-11.5129
1970,4,2,4,61,-15.1246
1970,4,2,5,89,-20.2185
1970,4,3,1,83,-8.4138
1970,4,3,2,115,-7.3189
1970,4,3,3,97,-10.7134
1970,4,3,4,93,-11.7351
1970,4,3,5,75,-14.0917
1970,5,1,1,190,-8.3239
1970,5,1,2,69,-11.0826
1970,5,1,3,85,-8.2371
1970,5,1,4,118,-9.1225
1970,5,1,5,175,-9.6571
1970,5,2,1,44,-8.1022
1970,5,2,2,52,-8.0809
1970,5,2,3,52,-10.6610
1970,5,2,4,61,-11.1201
1970,5,2,5,89,-12.2855
1970,5,3,1,83,-3.7743
1970,5,3,2,115,-3.9932
1970,5,3,3,97,-6.9885
1970,5,3,4,93,-8.0002
1970,5,3,5,75,-10.6098
1970,6,1,1,188,-7.6794
1970,6,1,2,69,-6.7052
1970,6,1,3,85,-8.6855
1970,6,1,4,117,-7.4591
1970,6,1,5,175,-11.6969
1970,6,2,1,44,-7.4224
1970,6,2,2,51,-5.5184
1970,6,2,3,52,-5.5286
1970,6,2,4,60,-6.6746
1970,6,2,5,88,-9.6132
1970,6,3,1,83,-6.6973
1970,6,3,2,115,-2.4747
1970,6,3,3,97,-6.4585
1970,6,3,4,93,-6.5757
1970,6,3,5,75,-6.7504
1970,7,1,1,195,4.3998
1970,7,1,2,74,7.5526
1970,7,1,3,112,7.5853
1970,7,1,4,116,2.9701
1970,7,1,5,233,3.8127
1970,7,2,1,59,6.1621
1970,7,2,2,55,8.5245
1970,7,2,3,65,9.8065
1970,7,2,4,72,8.0231
1970,7,2,5,80,6.4788
1970,7,3,1,84,10.4195
1970,7,3,2,104,7.8178
1970,7,3,3,94,5.7514
1970,7,3,4,84,4.7350
1970,7,3,5,97,5.6048
1970,8,1,1,195,7.1595
1970,8,1,2,73,6.9480
1970,8,1,3,112,5.5457
1970,8,1,4,116,7.8167
1970,8,1,5,232,5.6063
1970,8,2,1,59,7.5539
1970,8,2,2,55,7.6025
1970,8,2,3,65,6.3685
1970,8,2,4,72,5.4227
1970,8,2,5,79,8.1801
1970,8,3,1,84,3.9743
1970,8,3,2,104,5.6950
1970,8,3,3,94,4.4297
1970,8,3,4,84,4.5189
1970,8,3,5,97,6.8918
1970,9,1,1,194,14.2042
1970,9,1,2,73,10.6640
1970,9,1,3,111,13.1830
1970,9,1,4,115,16.8866
1970,9,1,5,232,17.7361
1970,9,2,1,59,10.9906
1970,9,2,2,55,10.6620
1970,9,2,3,65,9.6154
1970,9,2,4,72,11.8460
1970,9,2,5,78,14.5184
1970,9,3,1,84,2.3809
1970,9,3,2,104,1.3918
1970,9,3,3,94,6.1810
1970,9,3,4,84,5.8556
1970,9,3,5,96,8.3419
1970,10,1,1,193,-5.3383
1970,10,1,2,73,-5.9303
1970,10,1,3,112,-6.9363
1970,10,1,4,115,-9.1754
1970,10,1,5,232,-10.3674
1970,10,2,1,58,-5.3431
1970,10,2,2,55,-4.6475
1970,10,2,3,65,-4.4717
1970,10,2,4,72,-7.7378
1970,10,2,5,78,-5.1781
1970,10,3,1,84,-0.2180
1970,10,3,2,104,-0.9304
1970,10,3,3,94,-0.5930
1970,10,3,4,84,-1.6436
1970,10,3,5,96,-2.8624
1970,11,1,1,192,0.8413
1970,11,1,2,73,-1.1327
1970,11,1,3,110,-2.3067
1970,11,1,4,115,-0.9111
1970,11,1,5,232,-3.0272
1970,11,2,1,58,4.4071
1970,11,2,2,54,2.3665
1970,11,2,3,65,3.6299
1970,11,2,4,72,2.8943
1970,11,2,5,78,0.3691
1970,11,3,1,84,5.5871
1970,11,3,2,104,5.9942
1970,11,3,3,94,4.6986
1970,11,3,4,84,3.7648
1970,11,3,5,96,4.2990
1970,12,1,1,191,7.4601
1970,12,1,2,73,10.5990
1970,12,1,3,109,12.4984
1970,12,1,4,115,10.0883
