year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1969,11,2,4,61,-5.0439
1969,11,2,5,87,-6.3959
1969,11,3,1,73,-2.7326
1969,11,3,2,97,-2.6340
1969,11,3,3,115,-2.6414
1969,11,3,4,92,-2.8096
1969,11,3,5,86,-3.0809
1969,12,1,1,195,-9.3388
1969,12,1,2,111,-8.3718
1969,12,1,3,91,-5.8229
1969,12,1,4,99,-5.9470
1969,12,1,5,145,-8.2493
1969,12,2,1,56,-5.1607
1969,12,2,2,56,-2.5354
1969,12,2,3,38,-4.5974
1969,12,2,4,61,-3.8717
1969,12,2,5,86,-6.2681
1969,12,3,1,73,-1.7831
1969,12,3,2,97,0.0129
1969,12,3,3,115,-2.6019
1969,12,3,4,92,-1.1103
1969,12,3,5,86,-2.8280
1970,1,1,1,195,0.2080
1970,1,1,2,111,-2.2486
1970,1,1,3,91,-2.4789
1970,1,1,4,99,-3.8595
1970,1,1,5,145,-7.0740
1970,1,2,1,56,-5.4421
1970,1,2,2,56,-5.6019
1970,1,2,3,38,-1.4755
1970,1,2,4,61,-5.7001
1970,1,2,5,87,-9.3758
1970,1,3,1,73,-6.7502
1970,1,3,2,97,-8.1314
1970,1,3,3,115,-7.2622
1970,1,3,4,92,-9.0503
1970,1,3,5,86,-10.7644
1970,2,1,1,195,2.6313
1970,2,1,2,111,3.8165
1970,2,1,3,91,3.9030
1970,2,1,4,98,2.0573
1970,2,1,5,145,2.7020
1970,2,2,1,56,5.2016
1970,2,2,2,56,5.1582
1970,2,2,3,38,4.9653
1970,2,2,4,61,3.2363
1970,2,2,5,86,4.7251
1970,2,3,1,73,5.7869
1970,2,3,2,97,5.8728
1970,2,3,3,115,4.9984
1970,2,3,4,91,5.6044
1970,2,3,5,86,6.8733
1970,3,1,1,195,-1.9334
1970,3,1,2,111,-1.8434
1970,3,1,3,91,-3.8969
1970,3,1,4,98,-5.5322
1970,3,1,5,145,-3.8079
1970,3,2,1,56,-1.7192
1970,3,2,2,57,0.5536
1970,3,2,3,38,-2.4139
1970,3,2,4,60,-2.5338
1970,3,2,5,87,-4.4281
1970,3,3,1,73,0.8663
1970,3,3,2,97,0.0997
1970,3,3,3,115,0.3475
1970,3,3,4,92,-0.9933
1970,3,3,5,86,-2.4465
1970,4,1,1,194,-18.5627
1970,4,1,2,110,-13.8125
1970,4,1,3,91,-16.3299
1970,4,1,4,98,-18.5169
1970,4,1,5,145,-20.4170
1970,4,2,1,56,-14.1514
1970,4,2,2,57,-12.9878
1970,4,2,3,38,-13.9708
1970,4,2,4,61,-16.3530
1970,4,2,5,86,-19.3937
1970,4,3,1,73,-9.0188
1970,4,3,2,97,-9.4017
1970,4,3,3,115,-7.7929
1970,4,3,4,92,-10.5433
1970,4,3,5,86,-13.2568
1970,5,1,1,194,-9.1280
1970,5,1,2,110,-9.5103
1970,5,1,3,91,-8.3013
1970,5,1,4,97,-9.3714
1970,5,1,5,144,-9.0070
1970,5,2,1,56,-7.2943
1970,5,2,2,57,-8.7889
1970,5,2,3,38,-11.1341
1970,5,2,4,61,-11.8276
1970,5,2,5,86,-12.4423
1970,5,3,1,73,-7.9032
1970,5,3,2,97,-5.1543
1970,5,3,3,115,-4.6762
1970,5,3,4,92,-5.2063
1970,5,3,5,86,-9.2577
1970,6,1,1,192,-6.3769
1970,6,1,2,110,-6.7515
1970,6,1,3,91,-10.6604
1970,6,1,4,97,-8.8499
1970,6,1,5,143,-11.7371
1970,6,2,1,56,-6.2424
1970,6,2,2,55,-4.8579
1970,6,2,3,38,-6.3636
1970,6,2,4,61,-9.7335
1970,6,2,5,85,-8.1741
1970,6,3,1,73,-3.5706
1970,6,3,2,97,-4.8283
1970,6,3,3,115,-4.7946
1970,6,3,4,92,-4.7910
1970,6,3,5,86,-7.8532
1970,7,1,1,242,4.2370
1970,7,1,2,83,6.8190
1970,7,1,3,83,8.8049
1970,7,1,4,142,4.5903
1970,7,1,5,180,2.6725
1970,7,2,1,62,6.4369
1970,7,2,2,67,8.0779
1970,7,2,3,52,8.2877
1970,7,2,4,63,8.1341
1970,7,2,5,87,7.7875
1970,7,3,1,66,9.5201
1970,7,3,2,93,8.8403
1970,7,3,3,111,8.2914
1970,7,3,4,92,4.4197
1970,7,3,5,101,5.6153
1970,8,1,1,242,5.6380
1970,8,1,2,83,5.8522
1970,8,1,3,83,7.5381
1970,8,1,4,141,7.2401
1970,8,1,5,179,6.6426
1970,8,2,1,62,8.4720
1970,8,2,2,67,6.1428
1970,8,2,3,52,6.5431
1970,8,2,4,63,6.0496
1970,8,2,5,86,7.6597
1970,8,3,1,66,3.2569
1970,8,3,2,93,5.9007
1970,8,3,3,111,3.8794
1970,8,3,4,92,6.2448
1970,8,3,5,101,6.0287
1970,9,1,1,240,14.7743
1970,9,1,2,83,15.0691
1970,9,1,3,83,11.8668
1970,9,1,4,140,13.5428
1970,9,1,5,179,19.1681
1970,9,2,1,62,10.9010
1970,9,2,2,67,9.7562
1970,9,2,3,52,10.8416
1970,9,2,4,62,10.1605
1970,9,2,5,86,15.4072
1970,9,3,1,66,4.4795
1970,9,3,2,93,3.3146
1970,9,3,3,111,1.5909
1970,9,3,4,92,6.3647
1970,9,3,5,100,7.8022
1970,10,1,1,240,-6.2563
1970,10,1,2,83,-6.9491
1970,10,1,3,83,-6.7725
1970,10,1,4,140,-7.4695
1970,10,1,5,179,-11.3787
1970,10,2,1,62,-5.9859
1970,10,2,2,67,-5.1307
1970,10,2,3,52,-5.9253
1970,10,2,4,61,-5.0023
1970,10,2,5,86,-5.7565
1970,10,3,1,66,-0.5495
1970,10,3,2,93,0.1173
1970,10,3,3,111,-1.1161
1970,10,3,4,92,-1.4085
1970,10,3,5,100,-1.7748
1970,11,1,1,240,-0.1202
1970,11,1,2,82,-0.9038
1970,11,1,3,82,-3.0371
1970,11,1,4,139,-0.3247
1970,11,1,5,179,-3.2689
1970,11,2,1,62,0.4163
1970,11,2,2,67,3.2718
1970,11,2,3,51,5.1076
1970,11,2,4,61,3.5905
1970,11,2,5,86,1.3679
1970,11,3,1,66,6.9506
1970,11,3,2,93,4.5361
1970,11,3,3,111,5.1638
1970,11,3,4,92,5.4142
1970,11,3,5,100,4.3147
1970,12,1,1,238,8.0761
1970,12,1,2,82,10.4414
1970,12,1,3,82,11.4923
1970,12,1,4,139,11.0466
1970,12,1,5,178,9.2474
1970,12,2,1,62,8.5101
1970,12,2,2,67,9.8489
1970,12,2,3,51,9.8490
1970,12,2,4,61,8.5611
1970,12,2,5,86,7.8393
1970,12,3,1,66,5.1551
1970,12,3,2,93,5.5431
1970,12,3,3,110,6.4574
1970,12,3,4,92,5.4756
1970,12,3,5,100,5.1206
1971,1,1,1,237,14.8173
1971,1,1,2,82,13.6722
1971,1,1,3,82,12.9110
1971,1,1,4,139,14.8833
1971,1,1,5,176,16.4423
1971,1,2,1,61,13.3813
1971,1,2,2,67,11.9877
1971,1,2,3,51,9.1185
1971,1,2,4,60,12.2673
1971,1,2,5,86,9.2297
1971,1,3,1,66,5.5414
1971,1,3,2,93,2.7064
1971,1,3,3,110,4.2953
1971,1,3,4,92,4.2154
1971,1,3,5,100,6.7610
1971,2,1,1,237,5.2714
1971,2,1,2,81,1.4947
1971,2,1,3,81,5.5882
1971,2,1,4,139,4.7096
1971,2,1,5,174,5.8706
1971,2,2,1,61,2.3436
1971,2,2,2,66,3.3057
1971,2,2,3,51,3.8628
1971,2,2,4,60,3.0578
1971,2,2,5,86,1.3965
1971,2,3,1,66,0.7325
1971,2,3,2,93,4.2689
1971,2,3,3,110,0.5316
1971,2,3,4,91,2.6904
1971,2,3,5,100,1.8528
