year,month,rank_ME,rank_IG,nstocks,ret_vw
1970,3,2,1,53,0.8723
1970,3,2,2,48,-1.6306
1970,3,2,3,40,-1.1713
1970,3,2,4,59,-2.0983
1970,3,2,5,73,-4.0142
1970,3,3,1,68,-1.7268
1970,3,3,2,103,0.7433
1970,3,3,3,122,-0.5439
1970,3,3,4,97,-0.1840
1970,3,3,5,64,-1.0464
1970,4,1,1,146,-17.1588
1970,4,1,2,68,-14.4915
1970,4,1,3,68,-17.1332
1970,4,1,4,74,-16.6451
1970,4,1,5,142,-18.5854
1970,4,2,1,53,-11.3657
1970,4,2,2,49,-14.5298
1970,4,2,3,40,-14.4531
1970,4,2,4,59,-14.0549
1970,4,2,5,73,-17.9874
1970,4,3,1,68,-11.4838
1970,4,3,2,103,-8.4610
1970,4,3,3,122,-8.4575
1970,4,3,4,97,-11.1320
1970,4,3,5,64,-12.6639
1970,5,1,1,146,-9.3320
1970,5,1,2,67,-10.6477
1970,5,1,3,68,-10.3230
1970,5,1,4,74,-7.2709
1970,5,1,5,142,-9.0562
1970,5,2,1,53,-10.2156
1970,5,2,2,49,-9.9066
1970,5,2,3,40,-10.9151
1970,5,2,4,59,-9.3499
1970,5,2,5,73,-10.6973
1970,5,3,1,68,-7.9313
1970,5,3,2,103,-6.0865
1970,5,3,3,122,-4.3214
1970,5,3,4,97,-5.7056
1970,5,3,5,64,-7.8900
1970,6,1,1,145,-8.6302
1970,6,1,2,66,-7.9273
1970,6,1,3,67,-8.1753
1970,6,1,4,74,-7.7094
1970,6,1,5,142,-10.4077
1970,6,2,1,53,-5.0589
1970,6,2,2,49,-8.6393
1970,6,2,3,40,-4.6265
1970,6,2,4,58,-7.3331
1970,6,2,5,71,-7.5714
1970,6,3,1,68,-6.5017
1970,6,3,2,103,-4.3447
1970,6,3,3,122,-5.7686
1970,6,3,4,97,-2.7784
1970,6,3,5,64,-7.8670
1970,7,1,1,166,4.7076
1970,7,1,2,96,5.6660
1970,7,1,3,84,7.1624
1970,7,1,4,86,4.7918
1970,7,1,5,183,4.4176
1970,7,2,1,66,7.0500
1970,7,2,2,47,7.9570
1970,7,2,3,55,9.8792
1970,7,2,4,64,7.2631
1970,7,2,5,80,8.8330
1970,7,3,1,71,10.0125
1970,7,3,2,106,7.5341
1970,7,3,3,102,8.6088
1970,7,3,4,103,4.8044
1970,7,3,5,73,6.7636
1970,8,1,1,166,5.6449
1970,8,1,2,96,8.0233
1970,8,1,3,84,6.5157
1970,8,1,4,86,8.3603
1970,8,1,5,183,6.1311
1970,8,2,1,66,10.1657
1970,8,2,2,47,7.6263
1970,8,2,3,55,6.0796
1970,8,2,4,64,6.9551
1970,8,2,5,80,6.2823
1970,8,3,1,71,4.0335
1970,8,3,2,106,3.7271
1970,8,3,3,102,4.4678
1970,8,3,4,103,5.3933
1970,8,3,5,73,7.9564
1970,9,1,1,165,15.5065
1970,9,1,2,96,11.4605
1970,9,1,3,84,11.8239
1970,9,1,4,86,14.6534
1970,9,1,5,183,17.2654
1970,9,2,1,66,11.5130
1970,9,2,2,47,11.0887
1970,9,2,3,55,12.6401
1970,9,2,4,63,10.4912
1970,9,2,5,80,11.7451
1970,9,3,1,71,4.5697
1970,9,3,2,106,3.1709
1970,9,3,3,102,2.3961
1970,9,3,4,103,6.3867
1970,9,3,5,72,4.2189
1970,10,1,1,166,-8.4925
1970,10,1,2,96,-6.7305
1970,10,1,3,84,-9.7757
1970,10,1,4,86,-6.2638
1970,10,1,5,183,-7.1037
1970,10,2,1,66,-5.4716
1970,10,2,2,47,-4.1821
1970,10,2,3,55,-6.1066
1970,10,2,4,63,-5.3049
1970,10,2,5,80,-6.2787
1970,10,3,1,71,-0.7477
1970,10,3,2,106,0.1067
1970,10,3,3,102,-1.2709
1970,10,3,4,103,-0.8861
1970,10,3,5,72,-2.7060
1970,11,1,1,166,-0.5922
1970,11,1,2,96,-1.4046
1970,11,1,3,84,-0.3916
1970,11,1,4,85,-2.5287
1970,11,1,5,182,-0.4570
1970,11,2,1,66,3.0801
1970,11,2,2,47,1.6027
1970,11,2,3,55,2.3648
1970,11,2,4,62,3.4171
1970,11,2,5,80,1.5660
1970,11,3,1,71,6.4108
1970,11,3,2,106,4.6393
1970,11,3,3,102,5.5558
1970,11,3,4,103,3.7125
1970,11,3,5,72,6.4228
1970,12,1,1,165,7.7957
1970,12,1,2,96,13.2777
1970,12,1,3,83,13.3905
1970,12,1,4,85,8.8672
1970,12,1,5,182,9.6224
1970,12,2,1,66,10.0953
1970,12,2,2,47,8.1742
1970,12,2,3,55,9.2445
1970,12,2,4,62,8.0708
1970,12,2,5,80,8.3907
1970,12,3,1,71,4.4531
1970,12,3,2,106,6.1787
1970,12,3,3,102,6.7239
1970,12,3,4,103,5.2890
1970,12,3,5,71,5.1923
1971,1,1,1,165,15.9309
1971,1,1,2,96,14.9299
1971,1,1,3,83,14.2480
1971,1,1,4,85,14.9203
1971,1,1,5,180,14.0234
1971,1,2,1,65,12.4357
1971,1,2,2,47,11.4179
1971,1,2,3,55,11.5523
1971,1,2,4,62,10.9231
1971,1,2,5,80,10.2160
1971,1,3,1,71,5.6570
1971,1,3,2,106,2.8926
1971,1,3,3,102,4.7626
1971,1,3,4,103,4.5110
1971,1,3,5,71,5.5937
1971,2,1,1,165,4.6100
1971,2,1,2,96,7.6222
1971,2,1,3,81,3.4970
1971,2,1,4,85,5.0580
1971,2,1,5,179,4.0671
1971,2,2,1,65,3.3898
1971,2,2,2,46,1.2147
1971,2,2,3,55,3.4340
1971,2,2,4,62,3.1904
1971,2,2,5,80,1.9593
1971,2,3,1,71,1.3069
1971,2,3,2,106,3.1808
1971,2,3,3,102,0.4049
1971,2,3,4,102,2.6166
1971,2,3,5,71,1.6829
1971,3,1,1,165,6.7344
1971,3,1,2,96,3.5579
1971,3,1,3,81,9.0512
1971,3,1,4,85,5.7932
1971,3,1,5,179,6.2102
1971,3,2,1,65,7.5516
1971,3,2,2,46,6.6991
1971,3,2,3,55,4.1718
1971,3,2,4,62,7.1220
1971,3,2,5,80,6.3426
1971,3,3,1,71,3.8825
1971,3,3,2,106,4.2912
1971,3,3,3,101,3.1635
1971,3,3,4,102,5.0082
1971,3,3,5,70,4.0342
1971,4,1,1,165,2.8527
1971,4,1,2,96,4.5738
1971,4,1,3,80,3.9814
1971,4,1,4,84,-0.4212
1971,4,1,5,179,1.6768
1971,4,2,1,65,4.1088
1971,4,2,2,46,5.4590
1971,4,2,3,55,5.9769
1971,4,2,4,62,4.9096
1971,4,2,5,79,3.1518
1971,4,3,1,71,5.7764
1971,4,3,2,106,4.4894
1971,4,3,3,101,3.2543
1971,4,3,4,102,3.4200
1971,4,3,5,70,6.5122
1971,5,1,1,165,-5.7587
1971,5,1,2,95,-5.0272
1971,5,1,3,80,-5.5810
1971,5,1,4,83,-5.2325
1971,5,1,5,178,-7.7277
1971,5,2,1,65,-3.7058
1971,5,2,2,46,-2.5954
1971,5,2,3,54,-5.2282
1971,5,2,4,62,-6.4136
1971,5,2,5,80,-4.6252
1971,5,3,1,71,-3.0781
1971,5,3,2,106,-2.7751
1971,5,3,3,101,-3.9559
1971,5,3,4,102,-4.1371
1971,5,3,5,70,-3.5605
1971,6,1,1,163,-2.7284
1971,6,1,2,95,-1.4023
1971,6,1,3,79,-1.4325
1971,6,1,4,83,-1.5313
1971,6,1,5,178,-3.0689
1971,6,2,1,64,-0.4583
1971,6,2,2,46,-4.2603
1971,6,2,3,54,-0.7290
1971,6,2,4,62,0.3579
1971,6,2,5,80,-0.3190
1971,6,3,1,70,-0.9437
1971,6,3,2,106,0.0127
1971,6,3,3,101,1.6533
1971,6,3,4,102,-0.6790
1971,6,3,5,70,-0.4739
1971,7,1,1,235,-6.8088
1971,7,1,2,121,-6.4988
1971,7,1,3,93,-6.3632
1971,7,1,4,103,-4.6057
1971,7,1,5,175,-7.9466
1971,7,2,1,82,-5.7136
1971,7,2,2,60,-3.9725
1971,7,2,3,63,-4.8874
1971,7,2,4,52,-6.0468
1971,7,2,5,79,-5.2068
1971,7,3,1,54,-7.3838
1971,7,3,2,100,-3.1364
1971,7,3,3,114,-3.9062
1971,7,3,4,124,-4.5474
1971,7,3,5,102,-3.8518
1971,8,1,1,235,5.2294
1971,8,1,2,120,5.6835
1971,8,1,3,93,5.2537
1971,8,1,4,103,3.6409
1971,8,1,5,175,2.1074
1971,8,2,1,82,5.6828
1971,8,2,2,60,6.0944
1971,8,2,3,63,5.0226
1971,8,2,4,52,5.4132
1971,8,2,5,79,4.0037
1971,8,3,1,54,4.4544
1971,8,3,2,100,5.7054
1971,8,3,3,114,4.1973
1971,8,3,4,124,4.1039
1971,8,3,5,100,5.9429
1971,9,1,1,235,-0.4922
1971,9,1,2,120,-1.7776
1971,9,1,3,93,0.7895
1971,9,1,4,103,0.5680
1971,9,1,5,175,-0.9009
