year,month,rank_ME,rank_PDA,nstocks,ret_vw
1968,11,3,3,106,5.1035
1968,11,3,4,84,6.4059
1968,11,3,5,68,6.7021
1968,12,1,1,146,3.5845
1968,12,1,2,71,0.6177
1968,12,1,3,54,1.8596
1968,12,1,4,60,1.5156
1968,12,1,5,112,1.3367
1968,12,2,1,45,-0.7618
1968,12,2,2,43,-1.7897
1968,12,2,3,35,-0.1375
1968,12,2,4,52,0.1498
1968,12,2,5,51,-3.0340
1968,12,3,1,59,-5.6597
1968,12,3,2,89,-3.4405
1968,12,3,3,106,-4.0436
1968,12,3,4,84,-3.7455
1968,12,3,5,68,-2.4960
1969,1,1,1,146,-1.7505
1969,1,1,2,71,-2.3583
1969,1,1,3,54,-1.9265
1969,1,1,4,60,-1.1185
1969,1,1,5,112,0.2457
1969,1,2,1,45,-1.6457
1969,1,2,2,43,-2.6822
1969,1,2,3,35,-2.5780
1969,1,2,4,52,-0.7396
1969,1,2,5,51,-0.5862
1969,1,3,1,59,-3.1510
1969,1,3,2,89,-1.1353
1969,1,3,3,106,0.2066
1969,1,3,4,84,-0.6574
1969,1,3,5,68,-2.7681
1969,2,1,1,145,-10.7205
1969,2,1,2,71,-7.5793
1969,2,1,3,54,-9.8203
1969,2,1,4,60,-10.3498
1969,2,1,5,112,-11.0835
1969,2,2,1,45,-8.3283
1969,2,2,2,43,-6.9450
1969,2,2,3,35,-9.1754
1969,2,2,4,52,-7.9768
1969,2,2,5,51,-9.9335
1969,2,3,1,59,-3.2389
1969,2,3,2,89,-4.3735
1969,2,3,3,106,-4.1644
1969,2,3,4,84,-5.3625
1969,2,3,5,68,-7.5620
1969,3,1,1,145,3.1552
1969,3,1,2,71,5.5027
1969,3,1,3,54,1.7880
1969,3,1,4,60,0.6813
1969,3,1,5,112,3.4389
1969,3,2,1,45,4.4963
1969,3,2,2,43,3.8731
1969,3,2,3,35,7.0252
1969,3,2,4,52,0.9649
1969,3,2,5,51,1.6961
1969,3,3,1,59,4.5065
1969,3,3,2,89,4.5453
1969,3,3,3,106,2.4231
1969,3,3,4,84,5.8758
1969,3,3,5,68,0.6653
1969,4,1,1,145,-0.5199
1969,4,1,2,71,-0.4013
1969,4,1,3,54,-0.9655
1969,4,1,4,60,1.7480
1969,4,1,5,112,-0.9656
1969,4,2,1,45,2.4136
1969,4,2,2,43,2.2429
1969,4,2,3,35,3.7017
1969,4,2,4,52,2.2405
1969,4,2,5,50,-0.4474
1969,4,3,1,59,3.1917
1969,4,3,2,89,0.8287
1969,4,3,3,106,3.3186
1969,4,3,4,84,2.3092
1969,4,3,5,68,1.6521
1969,5,1,1,144,1.3494
1969,5,1,2,71,1.1335
1969,5,1,3,54,3.0021
1969,5,1,4,60,-2.2873
1969,5,1,5,111,1.6252
1969,5,2,1,45,-0.5248
1969,5,2,2,43,0.7025
1969,5,2,3,34,2.2914
1969,5,2,4,52,1.0010
1969,5,2,5,51,-1.9259
1969,5,3,1,58,-1.6999
1969,5,3,2,89,1.9201
1969,5,3,3,106,1.1094
1969,5,3,4,84,0.8380
1969,5,3,5,67,-1.5990
1969,6,1,1,145,-13.1462
1969,6,1,2,71,-12.3994
1969,6,1,3,54,-12.5613
1969,6,1,4,60,-13.1634
1969,6,1,5,111,-14.9996
1969,6,2,1,45,-11.6829
1969,6,2,2,43,-10.3380
1969,6,2,3,35,-8.2947
1969,6,2,4,52,-9.9357
1969,6,2,5,51,-12.3572
1969,6,3,1,58,-1.3792
1969,6,3,2,88,-6.1477
1969,6,3,3,106,-5.9941
1969,6,3,4,84,-7.6334
1969,6,3,5,68,-8.7700
1969,7,1,1,157,-10.3495
1969,7,1,2,53,-10.3993
1969,7,1,3,66,-10.0783
1969,7,1,4,64,-11.9555
1969,7,1,5,152,-12.7212
1969,7,2,1,41,-10.2243
1969,7,2,2,49,-9.4407
1969,7,2,3,39,-7.1637
1969,7,2,4,61,-10.4612
1969,7,2,5,66,-10.0830
1969,7,3,1,80,-5.0449
1969,7,3,2,102,-6.5380
1969,7,3,3,102,-5.5687
1969,7,3,4,85,-7.0932
1969,7,3,5,59,-7.8240
1969,8,1,1,156,3.3242
1969,8,1,2,53,4.5567
1969,8,1,3,66,5.3456
1969,8,1,4,64,4.8384
1969,8,1,5,152,3.3162
1969,8,2,1,41,5.3024
1969,8,2,2,49,7.2951
1969,8,2,3,39,6.0324
1969,8,2,4,61,5.3983
1969,8,2,5,66,8.4782
1969,8,3,1,80,4.6520
1969,8,3,2,102,4.5364
1969,8,3,3,102,6.6662
1969,8,3,4,85,4.9730
1969,8,3,5,59,6.6505
1969,9,1,1,157,-3.3682
1969,9,1,2,53,-3.5838
1969,9,1,3,66,-2.5716
1969,9,1,4,64,-2.8969
1969,9,1,5,152,-4.5608
1969,9,2,1,41,1.1864
1969,9,2,2,49,1.5134
1969,9,2,3,39,1.5380
1969,9,2,4,61,-1.9918
1969,9,2,5,66,-1.4186
1969,9,3,1,80,-0.4056
1969,9,3,2,102,-2.1900
1969,9,3,3,102,-2.9868
1969,9,3,4,85,-4.2814
1969,9,3,5,59,-1.7213
1969,10,1,1,157,13.1886
1969,10,1,2,53,7.9653
1969,10,1,3,66,9.5427
1969,10,1,4,64,10.9592
1969,10,1,5,152,10.3075
1969,10,2,1,41,7.4758
1969,10,2,2,49,8.4562
1969,10,2,3,39,8.9501
1969,10,2,4,61,6.9480
1969,10,2,5,66,8.8685
1969,10,3,1,80,4.8241
1969,10,3,2,102,6.3616
1969,10,3,3,102,4.2440
1969,10,3,4,85,3.1446
1969,10,3,5,58,5.9516
1969,11,1,1,157,-7.1948
