year,month,rank_ME,rank_IA,nstocks,ret_vw
1971,8,1,3,84,3.6815
1971,8,1,4,91,7.9051
1971,8,1,5,179,2.0407
1971,8,2,1,87,6.5512
1971,8,2,2,75,3.7917
1971,8,2,3,46,3.1449
1971,8,2,4,70,4.4134
1971,8,2,5,95,4.2409
1971,8,3,1,46,8.5297
1971,8,3,2,111,6.9464
1971,8,3,3,147,2.7113
1971,8,3,4,135,3.3698
1971,8,3,5,130,3.3322
1971,9,1,1,310,-1.4817
1971,9,1,2,126,1.1455
1971,9,1,3,84,-1.9845
1971,9,1,4,91,-0.1389
1971,9,1,5,179,-0.1144
1971,9,2,1,87,-1.2010
