year,month,rank_ME,rank_EP,nstocks,ret_vw
1969,7,2,3,65,-9.4040
1969,7,2,4,54,-6.6351
1969,7,2,5,64,-6.1638
1969,7,3,1,117,-3.9396
1969,7,3,2,108,-5.8183
1969,7,3,3,102,-6.8290
1969,7,3,4,114,-5.7947
1969,7,3,5,112,-7.4963
1969,8,1,1,274,4.2529
1969,8,1,2,113,5.1187
1969,8,1,3,109,5.3772
1969,8,1,4,89,4.1798
1969,8,1,5,90,2.8235
1969,8,2,1,103,8.3853
1969,8,2,2,72,5.9530
1969,8,2,3,65,5.6576
1969,8,2,4,54,4.0794
1969,8,2,5,64,3.1607
1969,8,3,1,117,7.7247
1969,8,3,2,108,5.6540
1969,8,3,3,102,4.4202
1969,8,3,4,114,2.4662
1969,8,3,5,112,3.1263
1969,9,1,1,274,-3.2225
1969,9,1,2,113,-3.0362
1969,9,1,3,109,-3.4117
1969,9,1,4,89,-3.9530
1969,9,1,5,90,-2.0365
1969,9,2,1,102,1.4809
1969,9,2,2,71,-2.3192
1969,9,2,3,65,-1.0177
1969,9,2,4,54,-1.0299
1969,9,2,5,64,-0.9809
1969,9,3,1,117,0.2446
1969,9,3,2,108,-1.6390
1969,9,3,3,102,-4.3901
1969,9,3,4,114,-3.8604
1969,9,3,5,112,-4.3194
1969,10,1,1,274,13.1674
1969,10,1,2,113,10.7663
1969,10,1,3,109,7.9840
1969,10,1,4,89,7.4129
1969,10,1,5,90,5.9026
1969,10,2,1,102,10.9550
1969,10,2,2,71,6.6036
1969,10,2,3,65,7.9912
1969,10,2,4,54,7.0059
1969,10,2,5,63,5.6672
1969,10,3,1,116,6.2667
1969,10,3,2,108,5.5318
1969,10,3,3,102,6.8325
1969,10,3,4,114,3.8385
1969,10,3,5,112,3.1970
1969,11,1,1,274,-7.4778
1969,11,1,2,113,-6.7631
1969,11,1,3,109,-7.1033
1969,11,1,4,88,-5.2309
1969,11,1,5,90,-4.9771
1969,11,2,1,102,-4.3426
1969,11,2,2,71,-5.0464
1969,11,2,3,65,-5.5710
1969,11,2,4,54,-2.7657
1969,11,2,5,64,-4.0947
1969,11,3,1,117,-1.2041
1969,11,3,2,108,-3.3260
1969,11,3,3,102,-3.8151
1969,11,3,4,114,-1.9887
1969,11,3,5,112,-4.8144
1969,12,1,1,274,-8.7358
1969,12,1,2,113,-6.5152
1969,12,1,3,109,-8.7651
