year,month,rank_ME,rank_DP,nstocks,ret_vw
1969,10,1,3,93,7.9381
1969,10,1,4,85,7.3041
1969,10,1,5,75,4.7359
1969,10,2,1,78,7.9557
1969,10,2,2,65,7.1179
1969,10,2,3,68,5.7590
1969,10,2,4,58,8.2303
1969,10,2,5,50,5.0543
1969,10,3,1,121,5.8135
1969,10,3,2,112,6.5524
1969,10,3,3,93,5.2843
1969,10,3,4,101,3.7672
1969,10,3,5,114,3.3947
1969,11,1,1,110,-7.7971
1969,11,1,2,107,-4.1613
1969,11,1,3,92,-5.8711
1969,11,1,4,85,-5.9672
1969,11,1,5,74,-5.2385
1969,11,2,1,77,-4.3613
1969,11,2,2,65,-3.8994
1969,11,2,3,68,-4.4376
1969,11,2,4,59,-5.3988
1969,11,2,5,50,-3.1589
1969,11,3,1,121,-1.8067
1969,11,3,2,112,-2.3869
1969,11,3,3,94,-3.2062
1969,11,3,4,101,-3.1943
1969,11,3,5,114,-4.5308
1969,12,1,1,110,-7.8744
1969,12,1,2,106,-3.2832
1969,12,1,3,90,-7.3272
1969,12,1,4,85,-7.1074
1969,12,1,5,75,-6.3294
1969,12,2,1,76,-0.8034
1969,12,2,2,65,-4.5131
1969,12,2,3,68,-5.1691
1969,12,2,4,59,-4.2183
1969,12,2,5,50,-6.4983
1969,12,3,1,121,0.2704
1969,12,3,2,112,-0.0353
1969,12,3,3,94,-2.0950
1969,12,3,4,101,-3.5263
1969,12,3,5,114,-2.1949
1970,1,1,1,109,-6.5662
1970,1,1,2,106,-4.5770
1970,1,1,3,90,-0.2803
1970,1,1,4,83,-1.1232
1970,1,1,5,75,-0.7027
1970,1,2,1,75,-7.2763
1970,1,2,2,65,-5.3099
1970,1,2,3,68,-5.0664
1970,1,2,4,57,-2.9356
1970,1,2,5,49,-0.6770
1970,1,3,1,121,-8.2919
1970,1,3,2,112,-8.5403
1970,1,3,3,94,-7.5313
1970,1,3,4,101,-7.4360
1970,1,3,5,114,-5.0498
1970,2,1,1,108,4.4967
1970,2,1,2,106,2.0692
1970,2,1,3,90,1.4849
1970,2,1,4,81,4.6902
1970,2,1,5,75,3.1949
1970,2,2,1,73,3.8102
1970,2,2,2,65,3.7704
1970,2,2,3,68,5.7110
1970,2,2,4,57,3.6485
1970,2,2,5,49,4.9572
1970,2,3,1,120,2.9972
1970,2,3,2,112,7.2484
1970,2,3,3,94,5.9212
1970,2,3,4,101,7.3839
1970,2,3,5,114,6.6362
1970,3,1,1,108,-6.9546
1970,3,1,2,106,-3.2055
1970,3,1,3,90,-2.8578
1970,3,1,4,79,-0.0170
1970,3,1,5,75,1.3567
1970,3,2,1,75,-3.5117
1970,3,2,2,65,0.8960
1970,3,2,3,68,-2.1627
1970,3,2,4,57,2.7987
1970,3,2,5,49,2.0520
1970,3,3,1,121,-2.5836
1970,3,3,2,112,-1.6762
1970,3,3,3,94,0.8828
1970,3,3,4,100,1.4716
1970,3,3,5,114,3.7591
