year,month,rank_ME,rank_CPq_6,nstocks,ret_vw
1970,12,3,5,118,8.3688
1971,1,1,1,76,14.4433
1971,1,1,2,58,13.2681
1971,1,1,3,75,13.0296
1971,1,1,4,89,13.8070
1971,1,1,5,165,14.1862
1971,1,2,1,70,8.3115
1971,1,2,2,65,8.7892
1971,1,2,3,69,9.3693
1971,1,2,4,70,9.9241
1971,1,2,5,87,11.2582
1971,1,3,1,121,3.5544
1971,1,3,2,126,1.5449
1971,1,3,3,122,4.0788
1971,1,3,4,113,3.7681
1971,1,3,5,83,5.9400
1971,2,1,1,84,4.7784
1971,2,1,2,63,5.7554
1971,2,1,3,78,3.1866
1971,2,1,4,99,3.3051
1971,2,1,5,173,6.1706
1971,2,2,1,79,2.9367
1971,2,2,2,72,1.0846
1971,2,2,3,72,0.7889
1971,2,2,4,71,2.5728
1971,2,2,5,92,2.1465
1971,2,3,1,133,1.1387
1971,2,3,2,142,1.1981
1971,2,3,3,129,0.7242
1971,2,3,4,124,2.0408
1971,2,3,5,90,1.7324
1971,3,1,1,90,5.1354
1971,3,1,2,70,5.8315
1971,3,1,3,81,7.1767
1971,3,1,4,103,5.2207
1971,3,1,5,169,5.7837
1971,3,2,1,79,7.8556
1971,3,2,2,70,6.9008
1971,3,2,3,73,2.5063
1971,3,2,4,70,2.0708
1971,3,2,5,90,5.0898
1971,3,3,1,134,3.8019
1971,3,3,2,143,2.4983
1971,3,3,3,129,3.2614
1971,3,3,4,124,3.4764
1971,3,3,5,96,3.5125
1971,4,1,1,89,0.0619
1971,4,1,2,65,2.4408
1971,4,1,3,69,-0.0477
1971,4,1,4,104,1.2176
1971,4,1,5,166,1.9537
1971,4,2,1,74,5.4494
1971,4,2,2,67,3.3442
1971,4,2,3,71,0.3282
1971,4,2,4,62,1.4317
1971,4,2,5,82,4.8250
1971,4,3,1,126,4.1197
1971,4,3,2,130,3.4443
1971,4,3,3,122,3.1893
1971,4,3,4,110,3.3108
1971,4,3,5,77,7.4192
1971,5,1,1,133,-5.9228
1971,5,1,2,110,-5.8309
1971,5,1,3,112,-6.2495
1971,5,1,4,196,-4.0784
1971,5,1,5,274,-6.7919
1971,5,2,1,91,-3.1497
1971,5,2,2,98,-3.4687
1971,5,2,3,101,-4.9373
1971,5,2,4,105,-4.5544
1971,5,2,5,138,-6.8378
1971,5,3,1,194,-3.4705
1971,5,3,2,188,-4.2237
1971,5,3,3,164,-3.7962
1971,5,3,4,172,-4.8378
1971,5,3,5,114,-2.9824
1971,6,1,1,143,-3.4637
1971,6,1,2,117,-4.2122
1971,6,1,3,122,-1.9082
1971,6,1,4,207,-1.1338
1971,6,1,5,289,-2.9107
1971,6,2,1,96,-0.7187
1971,6,2,2,104,0.6035
1971,6,2,3,105,-0.8478
1971,6,2,4,105,-2.4656
1971,6,2,5,142,-3.4169
1971,6,3,1,196,0.0883
1971,6,3,2,191,0.0795
1971,6,3,3,170,0.8814
1971,6,3,4,178,1.1814
1971,6,3,5,115,-2.7317
1971,7,1,1,134,-6.1482
1971,7,1,2,128,-6.5738
1971,7,1,3,126,-4.8350
1971,7,1,4,194,-4.9619
1971,7,1,5,253,-5.3937
1971,7,2,1,91,-3.9727
1971,7,2,2,95,-3.1245
1971,7,2,3,100,-3.1836
1971,7,2,4,101,-3.8960
1971,7,2,5,125,-5.2595
1971,7,3,1,187,-3.0614
1971,7,3,2,181,-3.8145
1971,7,3,3,166,-3.6800
1971,7,3,4,163,-3.5291
1971,7,3,5,105,-7.4752
1971,8,1,1,144,1.4421
1971,8,1,2,135,5.1344
1971,8,1,3,131,5.9214
1971,8,1,4,196,4.2080
1971,8,1,5,267,5.9534
1971,8,2,1,101,2.6941
1971,8,2,2,102,3.8012
1971,8,2,3,108,3.0839
1971,8,2,4,109,4.6999
1971,8,2,5,141,5.7844
1971,8,3,1,199,5.6345
1971,8,3,2,191,4.0252
1971,8,3,3,185,1.5391
1971,8,3,4,178,2.6866
1971,8,3,5,121,7.4576
1971,9,1,1,150,-0.6245
1971,9,1,2,142,0.7469
1971,9,1,3,134,-0.2355
1971,9,1,4,191,-0.4554
1971,9,1,5,273,-0.1434
