year,month,rank_ME,rank_OP,nstocks,ret_vw
1974,10,3,5,85,3.3064
1974,11,1,1,145,-8.1550
1974,11,1,2,140,-4.1052
1974,11,1,3,151,-5.1713
1974,11,1,4,141,-5.9696
1974,11,1,5,159,-6.0623
1974,11,2,1,63,-5.5441
1974,11,2,2,83,-4.1630
1974,11,2,3,94,-3.2106
1974,11,2,4,72,-4.6511
1974,11,2,5,83,-4.9321
1974,11,3,1,172,-5.1081
1974,11,3,2,136,-3.6236
1974,11,3,3,105,-4.4860
1974,11,3,4,109,-2.1249
1974,11,3,5,85,-3.7667
1974,12,1,1,145,-8.6357
1974,12,1,2,139,-8.6215
1974,12,1,3,149,-6.8419
1974,12,1,4,141,-5.7130
1974,12,1,5,160,-8.1205
1974,12,2,1,63,-9.5968
1974,12,2,2,83,-7.3686
1974,12,2,3,94,-2.9949
1974,12,2,4,72,-3.6996
1974,12,2,5,84,-5.1317
1974,12,3,1,172,-4.8182
1974,12,3,2,135,-1.5444
1974,12,3,3,105,1.4403
1974,12,3,4,109,-2.2473
1974,12,3,5,85,0.7835
1975,1,1,1,144,28.2167
1975,1,1,2,139,27.7269
1975,1,1,3,150,26.5969
1975,1,1,4,140,26.8113
1975,1,1,5,159,29.9297
1975,1,2,1,63,24.9451
1975,1,2,2,83,28.7930
1975,1,2,3,94,23.8950
1975,1,2,4,72,24.7712
1975,1,2,5,84,28.5619
1975,1,3,1,172,9.5155
1975,1,3,2,136,9.7098
1975,1,3,3,105,14.0230
1975,1,3,4,109,20.1300
1975,1,3,5,85,22.6121
1975,2,1,1,143,4.3074
1975,2,1,2,139,3.7516
1975,2,1,3,150,3.6651
1975,2,1,4,140,0.7194
1975,2,1,5,159,3.6944
1975,2,2,1,63,6.7502
1975,2,2,2,83,4.4747
1975,2,2,3,94,3.1845
1975,2,2,4,71,0.9048
1975,2,2,5,84,1.5588
1975,2,3,1,172,11.5661
1975,2,3,2,136,6.2542
1975,2,3,3,105,4.5824
1975,2,3,4,109,1.4718
1975,2,3,5,85,0.9628
1975,3,1,1,144,10.3673
1975,3,1,2,140,9.4218
1975,3,1,3,150,6.6805
1975,3,1,4,140,6.7941
1975,3,1,5,159,7.8302
1975,3,2,1,63,8.3414
1975,3,2,2,83,8.7931
1975,3,2,3,94,8.9159
1975,3,2,4,71,3.5528
1975,3,2,5,84,5.1703
1975,3,3,1,172,2.8338
1975,3,3,2,136,4.7360
1975,3,3,3,105,0.4304
1975,3,3,4,109,2.3484
1975,3,3,5,85,4.5850
1975,4,1,1,144,5.1326
1975,4,1,2,140,2.4549
1975,4,1,3,150,4.0584
1975,4,1,4,140,1.1844
1975,4,1,5,158,4.3151
1975,4,2,1,63,4.8130
1975,4,2,2,83,7.2435
1975,4,2,3,94,4.0626
1975,4,2,4,71,2.4503
1975,4,2,5,84,3.5502
1975,4,3,1,172,5.9266
1975,4,3,2,136,5.7332
1975,4,3,3,105,2.9915
1975,4,3,4,109,1.8077
1975,4,3,5,85,3.0666
1975,5,1,1,144,8.2704
1975,5,1,2,140,9.9564
1975,5,1,3,149,6.0133
1975,5,1,4,140,6.1608
1975,5,1,5,159,5.5941
1975,5,2,1,63,12.3888
1975,5,2,2,83,8.8287
1975,5,2,3,94,4.9242
1975,5,2,4,71,6.6057
1975,5,2,5,84,6.1825
1975,5,3,1,172,5.0841
1975,5,3,2,136,4.8110
1975,5,3,3,105,6.6008
1975,5,3,4,109,6.0049
1975,5,3,5,85,3.8051
1975,6,1,1,144,7.6254
1975,6,1,2,138,7.5542
1975,6,1,3,148,7.7082
1975,6,1,4,140,7.6974
1975,6,1,5,157,7.8075
1975,6,2,1,63,7.3210
1975,6,2,2,83,4.8826
1975,6,2,3,94,6.5853
1975,6,2,4,71,7.1289
1975,6,2,5,84,9.4156
1975,6,3,1,172,2.3737
1975,6,3,2,136,6.7955
1975,6,3,3,105,5.1480
1975,6,3,4,109,7.5087
1975,6,3,5,85,9.8131
1975,7,1,1,236,-0.8881
1975,7,1,2,203,0.6097
1975,7,1,3,151,-0.7228
1975,7,1,4,217,-0.6755
1975,7,1,5,252,-0.4095
1975,7,2,1,94,-4.9813
1975,7,2,2,97,-2.4013
1975,7,2,3,100,-4.2688
1975,7,2,4,96,-0.6140
1975,7,2,5,88,-4.1858
1975,7,3,1,184,-8.5839
1975,7,3,2,149,-6.4401
1975,7,3,3,113,-5.0867
1975,7,3,4,110,-2.7682
1975,7,3,5,77,-3.8052
1975,8,1,1,236,-6.5759
1975,8,1,2,202,-4.9860
1975,8,1,3,150,-5.7925
1975,8,1,4,217,-5.7141
1975,8,1,5,252,-5.0711
1975,8,2,1,94,-5.2405
1975,8,2,2,97,-4.7905
1975,8,2,3,100,-3.3687
1975,8,2,4,96,-4.1235
1975,8,2,5,88,-3.1695
1975,8,3,1,184,-2.3290
1975,8,3,2,149,-0.4624
1975,8,3,3,113,-1.5654
1975,8,3,4,110,-1.5104
1975,8,3,5,77,-0.8645
1975,9,1,1,236,-3.8998
1975,9,1,2,203,-2.6909
1975,9,1,3,151,-2.0019
1975,9,1,4,217,-2.0590
1975,9,1,5,252,-2.6070
1975,9,2,1,94,-6.0491
1975,9,2,2,97,-3.3474
1975,9,2,3,99,-3.1251
1975,9,2,4,96,-2.1704
1975,9,2,5,88,-2.5807
1975,9,3,1,184,-4.3816
1975,9,3,2,149,-4.3299
1975,9,3,3,113,-1.3343
1975,9,3,4,110,-1.6043
1975,9,3,5,77,-3.1338
1975,10,1,1,236,0.4558
1975,10,1,2,203,2.0126
1975,10,1,3,151,1.9027
1975,10,1,4,215,3.5376
1975,10,1,5,252,2.2139
1975,10,2,1,94,1.0776
1975,10,2,2,97,1.5762
1975,10,2,3,100,3.7855
1975,10,2,4,96,7.3209
1975,10,2,5,88,4.1274
1975,10,3,1,184,6.5399
1975,10,3,2,149,5.9030
1975,10,3,3,113,6.4127
1975,10,3,4,110,6.7422
1975,10,3,5,77,7.2346
1975,11,1,1,235,2.3881
1975,11,1,2,202,3.4523
1975,11,1,3,151,3.2688
1975,11,1,4,216,2.5765
1975,11,1,5,252,3.8953
1975,11,2,1,94,1.9939
1975,11,2,2,97,1.8287
1975,11,2,3,100,3.6250
1975,11,2,4,96,5.2856
1975,11,2,5,88,5.4321
1975,11,3,1,184,2.9359
1975,11,3,2,149,2.6333
1975,11,3,3,112,2.1207
1975,11,3,4,109,3.2572
1975,11,3,5,77,5.0943
1975,12,1,1,236,-0.7235
1975,12,1,2,202,-2.0330
1975,12,1,3,150,-1.4835
1975,12,1,4,216,-0.7526
1975,12,1,5,252,-1.8099
1975,12,2,1,94,-4.1218
1975,12,2,2,97,-0.2982
1975,12,2,3,100,0.1002
1975,12,2,4,96,-1.2943
1975,12,2,5,88,0.0621
1975,12,3,1,184,-2.4881
1975,12,3,2,149,-2.0734
1975,12,3,3,113,0.8535
1975,12,3,4,110,0.2781
1975,12,3,5,77,0.9301
1976,1,1,1,235,22.5990
1976,1,1,2,201,21.2812
1976,1,1,3,151,22.6180
1976,1,1,4,217,20.5938
1976,1,1,5,252,20.6595
1976,1,2,1,93,16.9632
1976,1,2,2,97,19.4188
1976,1,2,3,100,17.1709
1976,1,2,4,96,20.1344
1976,1,2,5,88,17.1826
1976,1,3,1,183,11.2435
1976,1,3,2,149,14.2264
1976,1,3,3,113,10.6463
1976,1,3,4,110,13.5715
1976,1,3,5,77,10.8490
1976,2,1,1,233,12.3916
1976,2,1,2,198,11.9864
1976,2,1,3,143,9.9979
1976,2,1,4,208,9.5325
1976,2,1,5,240,9.9041
1976,2,2,1,93,8.2737
1976,2,2,2,97,6.8929
1976,2,2,3,99,7.0178
1976,2,2,4,96,6.5941
1976,2,2,5,87,5.7999
1976,2,3,1,184,-2.8159
1976,2,3,2,149,0.8289
1976,2,3,3,113,1.5127
1976,2,3,4,109,1.8739
1976,2,3,5,77,0.2770
1976,3,1,1,235,3.2087
1976,3,1,2,201,2.0243
1976,3,1,3,150,1.6790
1976,3,1,4,217,0.3895
1976,3,1,5,250,0.8667
1976,3,2,1,93,2.3220
1976,3,2,2,97,-0.2115
1976,3,2,3,100,2.7065
1976,3,2,4,96,2.4746
1976,3,2,5,87,1.9203
1976,3,3,1,183,3.4355
1976,3,3,2,149,1.3868
1976,3,3,3,113,2.6554
1976,3,3,4,109,3.6807
1976,3,3,5,77,2.8492
1976,4,1,1,230,-2.4924
1976,4,1,2,196,-0.8683
1976,4,1,3,148,1.2530
1976,4,1,4,212,-0.3214
1976,4,1,5,243,0.3214
1976,4,2,1,93,-3.6936
1976,4,2,2,96,-0.1515
1976,4,2,3,99,-0.4721
1976,4,2,4,95,0.0836
1976,4,2,5,87,0.1506
1976,4,3,1,183,-2.5600
1976,4,3,2,149,-0.7538
1976,4,3,3,113,0.4591
1976,4,3,4,109,0.5176
1976,4,3,5,77,2.0163
1976,5,1,1,233,-2.5672
1976,5,1,2,200,-1.8913
1976,5,1,3,150,-3.3002
1976,5,1,4,215,-1.9481
1976,5,1,5,248,-2.9669
1976,5,2,1,93,0.0202
1976,5,2,2,97,-2.1657
1976,5,2,3,98,-1.6042
1976,5,2,4,95,-3.2182
1976,5,2,5,86,-2.4905
1976,5,3,1,183,-0.8755
1976,5,3,2,149,-0.4162
1976,5,3,3,113,0.1887
1976,5,3,4,109,-1.6847
1976,5,3,5,77,-3.1580
1976,6,1,1,230,2.4581
1976,6,1,2,201,3.0398
1976,6,1,3,149,2.9316
1976,6,1,4,216,2.4744
1976,6,1,5,247,1.4536
1976,6,2,1,93,5.3789
1976,6,2,2,97,5.6631
1976,6,2,3,98,4.1841
1976,6,2,4,95,3.1149
1976,6,2,5,86,4.3861
1976,6,3,1,183,4.7062
1976,6,3,2,148,3.2738
1976,6,3,3,112,4.7969
1976,6,3,4,109,4.0724
1976,6,3,5,77,4.1252
1976,7,1,1,307,-1.1268
1976,7,1,2,221,-0.6400
1976,7,1,3,203,1.2292
1976,7,1,4,217,1.5726
1976,7,1,5,272,1.4865
1976,7,2,1,110,-1.1739
1976,7,2,2,99,-0.6399
1976,7,2,3,95,0.4984
1976,7,2,4,93,1.3050
1976,7,2,5,90,1.7723
1976,7,3,1,165,-1.8561
1976,7,3,2,143,-1.6391
1976,7,3,3,119,-0.2640
1976,7,3,4,113,0.5506
1976,7,3,5,91,1.1228
1976,8,1,1,305,-2.7621
1976,8,1,2,220,-1.8381
1976,8,1,3,202,-2.6015
1976,8,1,4,216,-0.4725
1976,8,1,5,271,-0.0122
1976,8,2,1,109,-3.3443
1976,8,2,2,99,-2.5817
1976,8,2,3,95,-1.4463
1976,8,2,4,93,-0.6770
1976,8,2,5,90,1.1002
1976,8,3,1,165,-0.6798
1976,8,3,2,143,0.0811
1976,8,3,3,119,-0.4316
1976,8,3,4,112,1.5237
1976,8,3,5,91,2.4817
1976,9,1,1,285,1.6776
1976,9,1,2,189,1.3862
1976,9,1,3,186,2.3025
1976,9,1,4,183,2.8307
1976,9,1,5,238,1.9027
1976,9,2,1,104,6.0135
1976,9,2,2,98,3.1006
1976,9,2,3,91,3.1979
1976,9,2,4,89,2.7033
1976,9,2,5,90,2.6052
1976,9,3,1,165,1.9578
1976,9,3,2,143,2.1971
1976,9,3,3,118,4.3529
1976,9,3,4,112,2.7587
1976,9,3,5,90,4.1695
1976,10,1,1,304,-2.7825
1976,10,1,2,218,-3.2151
1976,10,1,3,203,-1.5128
1976,10,1,4,214,-0.4005
1976,10,1,5,269,-0.9214
1976,10,2,1,106,-3.6309
1976,10,2,2,99,-2.8196
1976,10,2,3,94,-1.5572
1976,10,2,4,91,-0.9385
1976,10,2,5,90,-1.5470
1976,10,3,1,165,-2.6513
1976,10,3,2,143,-2.3982
1976,10,3,3,119,-3.2524
1976,10,3,4,111,-0.2938
1976,10,3,5,91,-1.6699
1976,11,1,1,304,4.5731
1976,11,1,2,216,2.9048
1976,11,1,3,202,4.4020
1976,11,1,4,214,2.2797
1976,11,1,5,264,2.1869
1976,11,2,1,105,3.4893
1976,11,2,2,98,3.7568
1976,11,2,3,91,3.0096
