year,month,rank_ME,rank_OCP,nstocks,ret_vw
1974,12,3,2,145,-1.3087
1974,12,3,3,125,-0.6953
1974,12,3,4,103,0.9671
1974,12,3,5,66,-1.6092
1975,1,1,1,127,28.2634
1975,1,1,2,175,26.0644
1975,1,1,3,190,27.8938
1975,1,1,4,194,29.7491
1975,1,1,5,306,31.9265
1975,1,2,1,77,23.7137
1975,1,2,2,98,26.0186
1975,1,2,3,99,22.1950
1975,1,2,4,84,25.7373
1975,1,2,5,87,30.9961
1975,1,3,1,200,9.2129
1975,1,3,2,146,13.0583
1975,1,3,3,125,12.7364
1975,1,3,4,103,19.0066
1975,1,3,5,66,24.0102
1975,2,1,1,125,6.5705
1975,2,1,2,175,5.6362
1975,2,1,3,189,3.9358
1975,2,1,4,194,4.4327
1975,2,1,5,305,4.1255
1975,2,2,1,77,6.9312
1975,2,2,2,98,3.0825
1975,2,2,3,98,4.8636
1975,2,2,4,84,5.0030
1975,2,2,5,87,0.6020
1975,2,3,1,200,11.1268
1975,2,3,2,146,5.0820
1975,2,3,3,125,4.3178
1975,2,3,4,103,2.6187
1975,2,3,5,66,-0.5566
1975,3,1,1,125,11.3940
1975,3,1,2,174,7.3528
1975,3,1,3,190,6.3818
1975,3,1,4,195,7.8693
1975,3,1,5,306,9.8016
1975,3,2,1,77,6.9921
1975,3,2,2,98,7.7476
1975,3,2,3,98,7.4901
1975,3,2,4,84,5.5425
1975,3,2,5,87,6.1238
1975,3,3,1,200,3.0781
1975,3,3,2,146,2.4769
1975,3,3,3,125,1.7536
1975,3,3,4,103,2.9036
1975,3,3,5,66,5.8031
1975,4,1,1,125,2.0783
1975,4,1,2,173,6.0262
1975,4,1,3,190,3.3479
1975,4,1,4,195,4.2512
1975,4,1,5,306,2.2908
1975,4,2,1,77,4.6719
1975,4,2,2,98,6.7051
1975,4,2,3,98,5.8755
1975,4,2,4,84,3.5497
1975,4,2,5,87,3.7839
1975,4,3,1,200,4.8773
1975,4,3,2,146,8.6622
1975,4,3,3,125,1.5957
1975,4,3,4,103,2.6325
1975,4,3,5,66,3.1477
1975,5,1,1,125,11.7965
1975,5,1,2,174,8.7744
1975,5,1,3,188,6.9089
1975,5,1,4,195,6.9419
1975,5,1,5,306,6.9109
1975,5,2,1,77,8.2333
1975,5,2,2,98,10.3211
1975,5,2,3,98,6.8379
1975,5,2,4,84,8.8668
1975,5,2,5,87,3.6383
1975,5,3,1,200,5.2145
1975,5,3,2,146,5.9970
1975,5,3,3,125,3.8565
1975,5,3,4,103,6.4156
1975,5,3,5,66,5.0099
1975,6,1,1,125,5.6122
1975,6,1,2,174,8.2278
1975,6,1,3,186,8.1575
1975,6,1,4,194,9.2848
1975,6,1,5,305,7.3223
1975,6,2,1,77,6.4511
1975,6,2,2,98,5.5844
1975,6,2,3,98,6.3777
1975,6,2,4,84,8.6267
1975,6,2,5,87,7.0025
1975,6,3,1,200,2.8134
1975,6,3,2,146,6.1048
1975,6,3,3,125,5.4862
1975,6,3,4,103,8.0783
1975,6,3,5,66,9.2895
1975,7,1,1,208,-0.6395
1975,7,1,2,245,-1.6765
1975,7,1,3,262,-0.0733
1975,7,1,4,284,0.0360
1975,7,1,5,401,-0.2247
1975,7,2,1,104,-4.9959
1975,7,2,2,117,-1.7378
1975,7,2,3,115,-2.6011
1975,7,2,4,103,-4.7076
1975,7,2,5,82,-4.0614
1975,7,3,1,197,-9.1689
1975,7,3,2,157,-5.3899
1975,7,3,3,129,-2.9131
1975,7,3,4,97,-4.4825
1975,7,3,5,75,-4.8922
