year,month,rank_ME,rank_CP,nstocks,ret_vw
1970,10,2,1,106,-6.7692
1970,10,2,2,73,-4.3944
1970,10,2,3,70,-5.0680
1970,10,2,4,67,-5.0519
1970,10,2,5,70,-2.9909
1970,10,3,1,146,-0.3032
1970,10,3,2,114,-1.3667
1970,10,3,3,112,-0.2010
1970,10,3,4,112,-1.5100
1970,10,3,5,86,-3.0889
1970,11,1,1,217,-5.1502
1970,11,1,2,166,-0.9365
1970,11,1,3,133,0.4185
1970,11,1,4,124,-2.1784
1970,11,1,5,151,1.7509
1970,11,2,1,106,0.2951
1970,11,2,2,73,2.0715
1970,11,2,3,69,3.3598
1970,11,2,4,67,2.7588
1970,11,2,5,70,6.9477
1970,11,3,1,146,5.1884
1970,11,3,2,114,4.0750
1970,11,3,3,112,5.6824
1970,11,3,4,112,6.7804
1970,11,3,5,86,4.6315
1970,12,1,1,216,6.3298
1970,12,1,2,166,9.6400
1970,12,1,3,133,11.8638
1970,12,1,4,123,12.6981
1970,12,1,5,150,10.6161
1970,12,2,1,106,7.8772
1970,12,2,2,73,8.1804
1970,12,2,3,69,8.8670
1970,12,2,4,67,8.6237
1970,12,2,5,70,8.2029
1970,12,3,1,145,4.4099
1970,12,3,2,114,7.6206
1970,12,3,3,112,6.9210
1970,12,3,4,112,5.9538
1970,12,3,5,86,7.1447
1971,1,1,1,216,16.1980
1971,1,1,2,165,14.7245
1971,1,1,3,132,13.1560
1971,1,1,4,123,15.5110
1971,1,1,5,150,13.9702
1971,1,2,1,105,8.3803
1971,1,2,2,73,12.2979
1971,1,2,3,69,9.9485
1971,1,2,4,66,10.8853
1971,1,2,5,70,11.6505
1971,1,3,1,145,4.3608
1971,1,3,2,114,4.7479
1971,1,3,3,112,4.5033
1971,1,3,4,112,3.3478
1971,1,3,5,86,6.4769
1971,2,1,1,216,7.1856
1971,2,1,2,164,5.1891
1971,2,1,3,129,6.1027
1971,2,1,4,123,2.6089
1971,2,1,5,150,5.2563
1971,2,2,1,105,2.9976
1971,2,2,2,73,3.1095
1971,2,2,3,69,3.7586
1971,2,2,4,66,0.6826
1971,2,2,5,69,2.0954
1971,2,3,1,144,2.1139
1971,2,3,2,114,2.8628
1971,2,3,3,112,1.2054
1971,2,3,4,112,-0.2205
1971,2,3,5,86,2.2880
1971,3,1,1,215,6.4957
1971,3,1,2,164,6.8975
1971,3,1,3,129,4.9463
1971,3,1,4,123,6.0118
1971,3,1,5,150,6.3803
1971,3,2,1,105,9.2272
1971,3,2,2,73,8.9036
1971,3,2,3,69,4.1108
1971,3,2,4,66,6.5398
1971,3,2,5,69,2.3651
1971,3,3,1,143,6.3495
1971,3,3,2,114,4.0465
1971,3,3,3,112,3.1461
1971,3,3,4,111,1.9855
1971,3,3,5,86,3.0658
1971,4,1,1,215,2.0179
1971,4,1,2,163,2.6829
1971,4,1,3,129,1.5580
1971,4,1,4,123,1.1166
1971,4,1,5,150,3.6694
1971,4,2,1,104,5.0865
1971,4,2,2,72,2.5977
1971,4,2,3,69,4.3157
1971,4,2,4,66,2.2232
1971,4,2,5,68,4.7175
1971,4,3,1,143,3.3599
1971,4,3,2,114,4.2651
1971,4,3,3,112,3.6591
1971,4,3,4,111,2.7571
1971,4,3,5,86,5.6307
1971,5,1,1,215,-7.1305
1971,5,1,2,163,-5.3320
1971,5,1,3,128,-5.8353
1971,5,1,4,121,-4.6354
1971,5,1,5,150,-6.7291
1971,5,2,1,104,-2.0572
1971,5,2,2,72,-5.6951
1971,5,2,3,69,-4.1376
1971,5,2,4,66,-4.6861
