year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1970,12,1,4,331,10.4628
1970,12,1,5,368,7.3626
1970,12,2,1,96,7.4675
1970,12,2,2,139,8.6985
1970,12,2,3,186,9.0413
1970,12,2,4,205,7.9833
1970,12,2,5,194,7.2013
1970,12,3,1,214,6.8272
1970,12,3,2,278,5.3943
1970,12,3,3,271,6.6881
1970,12,3,4,226,5.1880
1970,12,3,5,169,4.6657
1971,1,1,1,189,16.9891
1971,1,1,2,257,14.2219
1971,1,1,3,319,13.7125
1971,1,1,4,343,13.6036
1971,1,1,5,358,15.7645
1971,1,2,1,99,10.5291
1971,1,2,2,147,9.8033
1971,1,2,3,188,9.5979
1971,1,2,4,197,10.8102
1971,1,2,5,192,10.3814
1971,1,3,1,210,5.2664
1971,1,3,2,288,3.4114
1971,1,3,3,276,4.1010
1971,1,3,4,233,4.0906
1971,1,3,5,170,6.3141
1971,2,1,1,196,6.5524
1971,2,1,2,272,3.6395
1971,2,1,3,331,3.8490
1971,2,1,4,343,4.1523
1971,2,1,5,344,6.5611
1971,2,2,1,113,0.2642
1971,2,2,2,154,1.4072
1971,2,2,3,194,2.4829
1971,2,2,4,199,2.7278
1971,2,2,5,193,3.1256
1971,2,3,1,212,-0.3566
1971,2,3,2,301,2.4641
1971,2,3,3,286,1.9008
1971,2,3,4,247,1.7268
1971,2,3,5,178,2.6787
1971,3,1,1,221,5.0476
1971,3,1,2,289,5.8013
1971,3,1,3,340,5.8435
1971,3,1,4,350,6.1802
1971,3,1,5,335,4.3878
1971,3,2,1,117,1.3666
1971,3,2,2,164,4.4608
1971,3,2,3,198,5.8689
1971,3,2,4,194,6.6498
1971,3,2,5,188,7.2978
1971,3,3,1,211,2.3204
1971,3,3,2,300,3.3934
1971,3,3,3,302,2.9045
1971,3,3,4,249,5.0731
1971,3,3,5,183,6.2592
1971,4,1,1,232,1.9880
1971,4,1,2,294,1.8151
1971,4,1,3,345,2.5750
1971,4,1,4,352,1.4136
1971,4,1,5,336,0.3166
1971,4,2,1,119,4.1657
1971,4,2,2,162,2.5683
1971,4,2,3,198,4.1278
1971,4,2,4,191,3.5949
1971,4,2,5,178,3.8552
1971,4,3,1,209,4.4542
1971,4,3,2,302,2.8604
1971,4,3,3,312,4.6738
1971,4,3,4,255,3.6859
1971,4,3,5,181,3.9751
1971,5,1,1,248,-6.9724
1971,5,1,2,316,-6.4255
1971,5,1,3,358,-5.2712
1971,5,1,4,369,-6.7587
1971,5,1,5,336,-7.3967
1971,5,2,1,123,-4.8111
1971,5,2,2,171,-3.9252
1971,5,2,3,206,-4.2533
1971,5,2,4,199,-3.9979
1971,5,2,5,177,-3.6380
1971,5,3,1,209,-3.5024
1971,5,3,2,309,-3.8312
1971,5,3,3,327,-3.6415
1971,5,3,4,269,-2.6776
1971,5,3,5,191,-3.5856
1971,6,1,1,253,-3.6613
1971,6,1,2,336,-1.8337
1971,6,1,3,357,-1.3876
1971,6,1,4,372,-3.0886
