year,month,rank_ME,rank_VHP,nstocks,ret_vw
1971,1,3,4,98,1.1810
1971,1,3,5,79,4.4314
1971,2,1,1,140,4.5722
1971,2,1,2,95,2.6504
1971,2,1,3,67,5.6754
1971,2,1,4,77,4.5291
1971,2,1,5,150,4.4762
1971,2,2,1,59,3.0739
1971,2,2,2,58,2.5821
1971,2,2,3,55,2.3108
1971,2,2,4,57,1.8722
1971,2,2,5,63,3.3511
1971,2,3,1,125,2.2805
1971,2,3,2,104,1.7424
1971,2,3,3,107,-2.0386
1971,2,3,4,98,2.5781
1971,2,3,5,79,2.4994
1971,3,1,1,140,5.4090
1971,3,1,2,95,8.4855
1971,3,1,3,67,6.9799
1971,3,1,4,77,4.9350
1971,3,1,5,150,6.0166
1971,3,2,1,59,8.1540
1971,3,2,2,58,9.1578
1971,3,2,3,55,6.9977
1971,3,2,4,57,3.8653
1971,3,2,5,63,3.5437
1971,3,3,1,125,5.9863
1971,3,3,2,104,4.2756
1971,3,3,3,107,2.2438
1971,3,3,4,98,2.5125
1971,3,3,5,79,4.0535
1971,4,1,1,140,1.9325
1971,4,1,2,95,4.2004
1971,4,1,3,67,1.8261
1971,4,1,4,77,2.4877
1971,4,1,5,150,1.3824
1971,4,2,1,58,5.0914
1971,4,2,2,58,2.4308
1971,4,2,3,55,3.6920
1971,4,2,4,57,3.1146
1971,4,2,5,63,3.4873
1971,4,3,1,125,3.6774
1971,4,3,2,104,3.5684
1971,4,3,3,107,1.8937
1971,4,3,4,98,4.2576
1971,4,3,5,79,4.8493
1971,5,1,1,140,-5.5566
1971,5,1,2,95,-7.6483
1971,5,1,3,67,-4.2792
1971,5,1,4,77,-6.6988
1971,5,1,5,150,-6.3254
1971,5,2,1,59,-2.3937
1971,5,2,2,58,-3.7541
1971,5,2,3,55,-5.2951
1971,5,2,4,57,-4.8058
1971,5,2,5,63,-4.4419
1971,5,3,1,125,-2.7867
1971,5,3,2,104,-2.7103
1971,5,3,3,107,-3.9244
1971,5,3,4,98,-4.4297
1971,5,3,5,79,-5.0943
1971,6,1,1,140,-3.2920
1971,6,1,2,95,-1.8959
1971,6,1,3,67,1.4466
1971,6,1,4,77,-3.5705
1971,6,1,5,150,-1.3818
1971,6,2,1,58,0.0196
1971,6,2,2,58,0.4801
1971,6,2,3,55,0.4783
1971,6,2,4,57,-1.0976
1971,6,2,5,63,-3.1588
1971,6,3,1,125,1.1995
1971,6,3,2,104,0.8246
1971,6,3,3,107,1.1701
1971,6,3,4,98,-0.8056
1971,6,3,5,79,0.0877
1971,7,1,1,119,-8.8500
1971,7,1,2,71,-8.3204
1971,7,1,3,78,-5.5417
1971,7,1,4,81,-6.1594
1971,7,1,5,200,-5.1415
1971,7,2,1,68,-5.9979
1971,7,2,2,39,-4.4015
1971,7,2,3,63,-4.7166
1971,7,2,4,67,-3.3698
1971,7,2,5,86,-3.9169
1971,7,3,1,128,-5.0121
1971,7,3,2,140,-3.2776
1971,7,3,3,111,-4.0084
1971,7,3,4,93,-2.9418
1971,7,3,5,58,-5.0726
1971,8,1,1,119,1.4899
1971,8,1,2,71,3.1211
1971,8,1,3,78,4.9962
1971,8,1,4,81,3.3617
1971,8,1,5,200,5.6461
1971,8,2,1,68,3.2369
1971,8,2,2,39,4.2895
1971,8,2,3,63,5.2319
1971,8,2,4,67,2.9010
1971,8,2,5,86,5.0344
1971,8,3,1,128,6.0344
1971,8,3,2,140,4.4263
1971,8,3,3,111,3.5469
1971,8,3,4,92,-0.6703
1971,8,3,5,58,3.0068
1971,9,1,1,119,-2.6973
1971,9,1,2,71,1.1694
1971,9,1,3,78,-0.7553
1971,9,1,4,81,1.3734
1971,9,1,5,200,0.2162
