year,month,rank_ME,rank_Dur,nstocks,ret_vw
1969,11,3,2,98,-4.2841
1969,11,3,3,111,-3.7240
1969,11,3,4,109,-3.5998
1969,11,3,5,114,-1.2395
1969,12,1,1,101,-8.2995
1969,12,1,2,64,-6.0545
1969,12,1,3,85,-5.9623
1969,12,1,4,104,-8.0899
1969,12,1,5,161,-8.1096
1969,12,2,1,54,-4.2742
1969,12,2,2,52,-3.4861
1969,12,2,3,42,-4.4577
1969,12,2,4,60,-3.6061
1969,12,2,5,76,-4.3898
1969,12,3,1,79,-4.5580
1969,12,3,2,98,-3.0610
1969,12,3,3,111,-1.6083
1969,12,3,4,109,-1.7365
1969,12,3,5,114,1.3110
1970,1,1,1,101,-1.4624
1970,1,1,2,64,-1.4287
1970,1,1,3,85,-2.8420
1970,1,1,4,104,-5.2812
1970,1,1,5,161,-4.3236
1970,1,2,1,54,-2.5271
1970,1,2,2,52,-2.6964
1970,1,2,3,42,-7.7907
1970,1,2,4,60,-8.3379
1970,1,2,5,76,-5.3345
1970,1,3,1,79,-4.4871
1970,1,3,2,98,-9.8742
1970,1,3,3,111,-7.9381
1970,1,3,4,109,-7.9265
1970,1,3,5,114,-8.3591
1970,2,1,1,101,3.8554
1970,2,1,2,64,2.2571
1970,2,1,3,85,5.0805
1970,2,1,4,104,3.3881
1970,2,1,5,161,2.2790
1970,2,2,1,54,4.8945
1970,2,2,2,52,6.8747
1970,2,2,3,42,3.8250
1970,2,2,4,60,4.4197
1970,2,2,5,76,4.1869
1970,2,3,1,79,7.5110
1970,2,3,2,98,6.1474
1970,2,3,3,111,8.6347
1970,2,3,4,108,5.4472
1970,2,3,5,114,3.7701
1970,3,1,1,101,-0.0600
1970,3,1,2,64,-0.7445
1970,3,1,3,85,-2.3155
1970,3,1,4,104,-2.5164
1970,3,1,5,161,-6.2799
1970,3,2,1,54,1.5321
1970,3,2,2,52,0.2742
1970,3,2,3,42,0.8649
1970,3,2,4,60,-0.8542
1970,3,2,5,77,-6.2053
1970,3,3,1,79,1.9367
1970,3,3,2,98,1.0591
1970,3,3,3,111,2.6734
1970,3,3,4,109,-0.1195
1970,3,3,5,114,-2.5784
1970,4,1,1,101,-11.5890
1970,4,1,2,64,-12.2812
1970,4,1,3,85,-14.7727
1970,4,1,4,104,-19.5311
1970,4,1,5,161,-22.8225
1970,4,2,1,54,-10.7723
1970,4,2,2,52,-9.5302
1970,4,2,3,42,-11.1205
1970,4,2,4,60,-14.8259
1970,4,2,5,77,-22.7855
1970,4,3,1,79,-7.9037
1970,4,3,2,98,-8.1988
1970,4,3,3,111,-8.5608
1970,4,3,4,109,-10.0036
1970,4,3,5,114,-10.6882
1970,5,1,1,101,-8.9926
1970,5,1,2,64,-8.4364
1970,5,1,3,85,-9.7080
1970,5,1,4,104,-10.0207
1970,5,1,5,161,-9.7180
1970,5,2,1,54,-7.4444
1970,5,2,2,52,-8.2931
1970,5,2,3,42,-11.3908
1970,5,2,4,60,-10.8473
1970,5,2,5,77,-11.3607
1970,5,3,1,79,-3.5784
1970,5,3,2,98,-1.4367
1970,5,3,3,111,-5.7379
1970,5,3,4,109,-6.7159
1970,5,3,5,114,-8.2078
1970,6,1,1,101,-6.1924
1970,6,1,2,64,-6.2450
1970,6,1,3,85,-7.4475
1970,6,1,4,104,-9.1848
1970,6,1,5,161,-12.0150
1970,6,2,1,54,-4.5055
1970,6,2,2,52,-6.9989
1970,6,2,3,42,-6.9939
1970,6,2,4,60,-5.3161
1970,6,2,5,76,-9.0447
1970,6,3,1,79,-7.5040
1970,6,3,2,98,-3.2976
1970,6,3,3,111,-2.7146
1970,6,3,4,109,-3.9921
1970,6,3,5,114,-6.8449
1970,7,1,1,122,6.4879
1970,7,1,2,89,6.0899
1970,7,1,3,103,6.4200
1970,7,1,4,116,4.0247
1970,7,1,5,182,3.0451
1970,7,2,1,61,8.6410
1970,7,2,2,54,7.1042
1970,7,2,3,52,5.9486
1970,7,2,4,60,6.9637
1970,7,2,5,84,10.5819
1970,7,3,1,76,8.0743
1970,7,3,2,103,10.5217
1970,7,3,3,115,8.3092
1970,7,3,4,110,9.3212
1970,7,3,5,122,4.3360
1970,8,1,1,122,5.7180
1970,8,1,2,89,6.3908
1970,8,1,3,103,6.2886
1970,8,1,4,116,7.9233
1970,8,1,5,182,6.1665
1970,8,2,1,61,5.6331
1970,8,2,2,54,6.0827
1970,8,2,3,52,7.8221
1970,8,2,4,60,8.0909
1970,8,2,5,84,7.9444
1970,8,3,1,76,6.9481
1970,8,3,2,103,4.6596
1970,8,3,3,115,6.1070
1970,8,3,4,110,4.2032
1970,8,3,5,122,4.2550
1970,9,1,1,122,11.0414
1970,9,1,2,88,11.5687
1970,9,1,3,103,11.5716
1970,9,1,4,116,15.9426
1970,9,1,5,182,21.4269
1970,9,2,1,61,9.2039
1970,9,2,2,54,6.6417
1970,9,2,3,52,6.9859
1970,9,2,4,60,14.7992
1970,9,2,5,84,15.7200
1970,9,3,1,76,2.6117
1970,9,3,2,103,0.8021
1970,9,3,3,115,0.9650
1970,9,3,4,109,3.0092
1970,9,3,5,122,7.3056
1970,10,1,1,122,-3.8815
1970,10,1,2,89,-6.5856
1970,10,1,3,103,-7.2471
1970,10,1,4,116,-7.8313
1970,10,1,5,182,-11.7564
1970,10,2,1,61,-3.2846
1970,10,2,2,54,-5.0342
1970,10,2,3,52,-3.5008
1970,10,2,4,60,-5.8035
1970,10,2,5,84,-6.0737
1970,10,3,1,76,-2.4920
1970,10,3,2,103,-0.2760
1970,10,3,3,115,-2.6338
1970,10,3,4,109,-1.2315
1970,10,3,5,122,-0.2344
1970,11,1,1,122,0.5141
1970,11,1,2,89,0.0791
1970,11,1,3,103,0.3710
1970,11,1,4,116,-0.9245
1970,11,1,5,182,-5.4054
1970,11,2,1,61,3.7963
1970,11,2,2,54,3.9073
1970,11,2,3,52,4.1941
1970,11,2,4,60,1.3522
1970,11,2,5,84,1.7795
1970,11,3,1,76,5.2974
1970,11,3,2,103,5.7914
1970,11,3,3,115,6.5028
1970,11,3,4,109,6.0052
1970,11,3,5,122,4.8256
1970,12,1,1,122,11.6363
1970,12,1,2,89,13.1622
1970,12,1,3,103,12.7762
1970,12,1,4,116,8.4163
1970,12,1,5,181,6.0633
1970,12,2,1,61,9.8107
1970,12,2,2,54,8.6215
1970,12,2,3,52,8.9027
1970,12,2,4,60,9.3299
1970,12,2,5,84,6.6011
1970,12,3,1,76,7.4134
1970,12,3,2,103,5.9189
1970,12,3,3,115,6.9639
1970,12,3,4,109,7.2805
1970,12,3,5,122,4.6701
1971,1,1,1,122,13.3614
1971,1,1,2,89,13.3638
1971,1,1,3,103,16.2146
1971,1,1,4,116,15.2026
1971,1,1,5,180,16.2621
1971,1,2,1,61,9.6447
1971,1,2,2,54,8.7347
1971,1,2,3,52,10.7755
1971,1,2,4,60,12.3068
1971,1,2,5,84,11.3277
1971,1,3,1,76,5.4574
1971,1,3,2,103,3.0570
1971,1,3,3,115,4.7954
1971,1,3,4,109,5.5921
1971,1,3,5,122,4.2009
1971,2,1,1,122,3.2433
1971,2,1,2,89,4.2249
1971,2,1,3,103,3.3827
1971,2,1,4,116,5.1908
1971,2,1,5,180,6.5264
1971,2,2,1,61,2.0499
1971,2,2,2,54,1.4199
1971,2,2,3,52,3.4949
1971,2,2,4,60,2.3692
1971,2,2,5,84,2.7529
1971,2,3,1,76,2.6559
1971,2,3,2,103,0.4427
1971,2,3,3,115,0.6663
1971,2,3,4,109,0.5616
1971,2,3,5,122,2.3872
1971,3,1,1,122,4.5584
1971,3,1,2,89,5.2045
1971,3,1,3,103,10.4342
1971,3,1,4,116,5.5287
1971,3,1,5,180,7.3276
1971,3,2,1,61,3.1428
1971,3,2,2,54,5.1290
1971,3,2,3,52,3.8079
1971,3,2,4,60,6.4409
1971,3,2,5,84,10.9297
1971,3,3,1,76,2.6874
1971,3,3,2,103,1.8037
1971,3,3,3,115,3.6458
1971,3,3,4,109,4.3856
1971,3,3,5,122,5.9647
1971,4,1,1,122,2.3419
1971,4,1,2,89,3.1655
1971,4,1,3,103,4.2525
1971,4,1,4,116,1.4754
1971,4,1,5,180,1.0547
1971,4,2,1,61,4.0662
1971,4,2,2,54,2.6270
1971,4,2,3,52,4.9024
1971,4,2,4,60,3.0493
1971,4,2,5,83,4.7092
1971,4,3,1,76,6.4386
1971,4,3,2,103,1.6368
1971,4,3,3,115,4.3177
1971,4,3,4,109,4.3707
1971,4,3,5,122,3.5367
1971,5,1,1,122,-6.7755
1971,5,1,2,89,-5.2622
1971,5,1,3,103,-4.6618
1971,5,1,4,116,-6.5592
1971,5,1,5,180,-7.3340
1971,5,2,1,61,-5.2727
1971,5,2,2,54,-5.3356
1971,5,2,3,52,-4.8921
1971,5,2,4,60,-4.3713
1971,5,2,5,84,-3.3441
1971,5,3,1,76,-4.3162
1971,5,3,2,103,-4.8771
1971,5,3,3,115,-3.9630
1971,5,3,4,109,-2.3726
1971,5,3,5,122,-2.7661
1971,6,1,1,122,-1.3193
1971,6,1,2,89,-0.6169
1971,6,1,3,103,-2.5413
1971,6,1,4,116,-2.9560
1971,6,1,5,180,-3.0143
1971,6,2,1,61,-2.3357
1971,6,2,2,54,-0.5227
1971,6,2,3,52,-1.3671
1971,6,2,4,60,0.3568
1971,6,2,5,83,-0.8364
1971,6,3,1,76,-0.5649
1971,6,3,2,103,1.0726
1971,6,3,3,115,-1.3784
1971,6,3,4,109,1.4894
1971,6,3,5,122,1.1051
1971,7,1,1,212,-4.7229
1971,7,1,2,156,-7.0399
1971,7,1,3,103,-6.5144
1971,7,1,4,108,-7.4294
1971,7,1,5,137,-8.5743
1971,7,2,1,77,-4.9188
1971,7,2,2,75,-3.2429
1971,7,2,3,70,-4.1374
1971,7,2,4,64,-3.6310
1971,7,2,5,64,-6.0886
1971,7,3,1,56,-7.9016
1971,7,3,2,84,-3.7535
1971,7,3,3,116,-2.5479
1971,7,3,4,143,-4.0062
1971,7,3,5,164,-4.5014
1971,8,1,1,212,7.4082
1971,8,1,2,156,4.6314
1971,8,1,3,103,2.1661
1971,8,1,4,108,4.5735
1971,8,1,5,137,0.8072
1971,8,2,1,77,7.3545
1971,8,2,2,75,4.0180
1971,8,2,3,70,4.2549
1971,8,2,4,64,4.1568
1971,8,2,5,64,1.5655
