year,month,rank_ME,rank_NOP,nstocks,ret_vw
1974,4,3,5,82,-3.9069
1974,5,1,1,204,-8.1887
1974,5,1,2,123,-8.9946
1974,5,1,3,90,-6.6382
1974,5,1,4,89,-7.1314
1974,5,1,5,106,-5.3325
1974,5,2,1,75,-9.0148
1974,5,2,2,59,-6.0002
1974,5,2,3,52,-8.3521
1974,5,2,4,65,-5.5584
1974,5,2,5,67,-5.6781
1974,5,3,1,92,-1.9847
1974,5,3,2,120,-1.0485
1974,5,3,3,102,-2.4779
1974,5,3,4,88,-5.7303
1974,5,3,5,82,-1.5397
1974,6,1,1,203,-3.2390
1974,6,1,2,123,-2.1309
1974,6,1,3,88,-3.4545
1974,6,1,4,89,-2.1401
1974,6,1,5,107,-1.4693
1974,6,2,1,75,-4.8550
1974,6,2,2,59,0.5239
1974,6,2,3,52,0.3672
1974,6,2,4,65,-1.4188
1974,6,2,5,67,-0.9162
1974,6,3,1,92,-4.4354
1974,6,3,2,120,-0.6313
1974,6,3,3,102,-0.7459
1974,6,3,4,88,0.1847
1974,6,3,5,82,-1.0032
1974,7,1,1,272,-6.3569
1974,7,1,2,137,-5.5730
1974,7,1,3,166,-5.0521
1974,7,1,4,161,-3.9616
1974,7,1,5,193,-1.8642
1974,7,2,1,103,-8.1027
1974,7,2,2,68,-5.7314
1974,7,2,3,97,-3.2206
1974,7,2,4,97,-2.0331
1974,7,2,5,93,-2.5861
1974,7,3,1,137,-7.5643
1974,7,3,2,182,-11.0075
1974,7,3,3,129,-3.4329
1974,7,3,4,101,-5.0007
1974,7,3,5,88,-7.1925
1974,8,1,1,272,-8.9907
1974,8,1,2,136,-7.8182
1974,8,1,3,166,-6.2921
1974,8,1,4,161,-6.3536
1974,8,1,5,193,-5.7961
1974,8,2,1,103,-7.1330
1974,8,2,2,67,-8.4879
1974,8,2,3,97,-10.2071
1974,8,2,4,97,-7.6172
1974,8,2,5,93,-5.7479
1974,8,3,1,137,-9.0025
1974,8,3,2,182,-9.7812
1974,8,3,3,129,-11.3352
1974,8,3,4,101,-3.6660
1974,8,3,5,88,-4.5906
1974,9,1,1,270,-10.1647
1974,9,1,2,136,-10.3107
1974,9,1,3,166,-6.9634
1974,9,1,4,161,-7.9289
1974,9,1,5,193,-6.7115
1974,9,2,1,103,-13.6595
1974,9,2,2,68,-10.3007
1974,9,2,3,97,-7.5724
1974,9,2,4,97,-5.6916
1974,9,2,5,93,-6.4230
1974,9,3,1,137,-13.4381
1974,9,3,2,182,-15.1718
1974,9,3,3,129,-8.7632
1974,9,3,4,101,-5.5739
1974,9,3,5,88,-7.4487
1974,10,1,1,269,11.5704
1974,10,1,2,136,11.9054
1974,10,1,3,163,5.4799
1974,10,1,4,159,7.4891
1974,10,1,5,190,8.4636
1974,10,2,1,102,16.8564
1974,10,2,2,68,11.3089
1974,10,2,3,96,9.1415
1974,10,2,4,97,7.3090
1974,10,2,5,92,6.9619
1974,10,3,1,137,19.6139
1974,10,3,2,182,20.8592
1974,10,3,3,129,15.9584
1974,10,3,4,101,13.2387
1974,10,3,5,88,3.2125
1974,11,1,1,271,-7.5128
1974,11,1,2,135,-5.4449
1974,11,1,3,165,-6.2334
1974,11,1,4,161,-5.6088
1974,11,1,5,192,-5.0185
1974,11,2,1,103,-5.1837
1974,11,2,2,68,-5.9429
1974,11,2,3,96,-3.6049
1974,11,2,4,97,-4.1068
1974,11,2,5,92,-4.5502
1974,11,3,1,137,-2.5883
1974,11,3,2,182,-4.8838
1974,11,3,3,129,-4.4250
1974,11,3,4,101,-3.4945
1974,11,3,5,88,-3.9622
1974,12,1,1,270,-8.1929
1974,12,1,2,135,-8.7521
1974,12,1,3,162,-8.2686
1974,12,1,4,161,-6.5876
1974,12,1,5,193,-6.2060
1974,12,2,1,103,-7.0887
1974,12,2,2,68,-9.2828
1974,12,2,3,96,-4.5374
1974,12,2,4,97,-3.4128
1974,12,2,5,93,-5.3146
1974,12,3,1,137,-5.4821
1974,12,3,2,181,-4.2916
1974,12,3,3,129,1.1727
1974,12,3,4,101,0.3049
1974,12,3,5,88,0.6933
1975,1,1,1,270,33.6000
1975,1,1,2,134,26.3159
1975,1,1,3,163,28.8372
1975,1,1,4,160,27.4763
1975,1,1,5,192,25.8239
1975,1,2,1,103,27.1364
1975,1,2,2,68,27.3861
1975,1,2,3,96,26.0202
1975,1,2,4,97,23.0255
1975,1,2,5,93,27.7707
1975,1,3,1,137,14.7142
1975,1,3,2,182,10.2881
1975,1,3,3,129,11.2015
1975,1,3,4,101,15.2939
1975,1,3,5,88,20.4239
1975,2,1,1,270,7.1244
1975,2,1,2,133,2.8028
1975,2,1,3,164,4.4444
1975,2,1,4,160,0.8587
1975,2,1,5,192,4.2678
1975,2,2,1,103,7.1341
1975,2,2,2,68,5.5508
1975,2,2,3,96,3.9226
1975,2,2,4,96,2.0208
1975,2,2,5,93,1.6079
1975,2,3,1,137,7.9095
1975,2,3,2,182,10.6569
1975,2,3,3,129,3.0851
1975,2,3,4,101,3.7651
1975,2,3,5,88,1.5676
1975,3,1,1,270,11.9776
1975,3,1,2,134,8.0767
1975,3,1,3,164,8.4535
1975,3,1,4,160,8.0078
1975,3,1,5,192,5.5151
1975,3,2,1,103,7.5535
1975,3,2,2,68,9.3956
1975,3,2,3,96,9.4490
1975,3,2,4,96,5.1674
1975,3,2,5,93,5.4302
1975,3,3,1,137,3.9171
1975,3,3,2,182,2.7043
1975,3,3,3,129,4.6269
1975,3,3,4,101,1.8346
1975,3,3,5,88,4.4009
1975,4,1,1,269,5.4567
1975,4,1,2,134,4.0592
1975,4,1,3,164,2.4621
1975,4,1,4,160,2.6438
1975,4,1,5,192,4.5113
1975,4,2,1,103,5.7634
1975,4,2,2,68,8.8025
1975,4,2,3,96,4.3282
1975,4,2,4,96,3.8669
1975,4,2,5,93,3.1633
1975,4,3,1,137,6.4539
1975,4,3,2,182,4.6816
1975,4,3,3,129,6.6037
1975,4,3,4,101,2.5582
1975,4,3,5,88,2.7954
1975,5,1,1,269,9.8235
1975,5,1,2,134,7.4009
1975,5,1,3,164,8.9338
1975,5,1,4,159,5.9003
1975,5,1,5,192,5.2373
1975,5,2,1,103,11.6320
1975,5,2,2,68,9.2077
1975,5,2,3,96,6.9708
1975,5,2,4,96,5.2260
1975,5,2,5,93,6.4713
1975,5,3,1,137,5.4222
1975,5,3,2,182,5.3565
1975,5,3,3,129,6.1729
1975,5,3,4,101,3.9061
1975,5,3,5,88,4.0824
1975,6,1,1,270,8.3240
1975,6,1,2,133,8.7532
1975,6,1,3,162,7.1253
1975,6,1,4,159,7.7901
1975,6,1,5,190,6.8607
1975,6,2,1,103,6.0668
1975,6,2,2,68,7.8512
1975,6,2,3,96,5.8583
1975,6,2,4,96,7.3717
1975,6,2,5,93,7.6304
1975,6,3,1,137,7.1043
1975,6,3,2,182,3.0178
1975,6,3,3,129,6.5364
1975,6,3,4,101,5.0766
1975,6,3,5,88,8.5394
1975,7,1,1,350,-1.6862
1975,7,1,2,199,0.0884
1975,7,1,3,201,0.3584
1975,7,1,4,219,-1.0328
1975,7,1,5,296,-0.2341
1975,7,2,1,154,-5.5594
1975,7,2,2,92,-2.4911
1975,7,2,3,108,-3.1713
1975,7,2,4,95,-2.7895
1975,7,2,5,116,-2.9396
1975,7,3,1,163,-7.2779
1975,7,3,2,173,-8.4180
1975,7,3,3,140,-4.3557
1975,7,3,4,114,-5.2215
1975,7,3,5,70,-1.1855
1975,8,1,1,349,-7.0780
1975,8,1,2,199,-7.1525
1975,8,1,3,200,-4.8192
1975,8,1,4,218,-5.4519
1975,8,1,5,296,-5.4125
1975,8,2,1,154,-5.6851
1975,8,2,2,92,-4.8861
1975,8,2,3,108,-4.3888
1975,8,2,4,95,-3.0016
1975,8,2,5,116,-3.4670
1975,8,3,1,163,-3.0584
1975,8,3,2,173,-1.4663
1975,8,3,3,140,-1.1531
1975,8,3,4,114,-0.2855
1975,8,3,5,70,-2.3133
1975,9,1,1,349,-4.6841
1975,9,1,2,199,-4.6219
1975,9,1,3,201,-1.5773
1975,9,1,4,219,-2.0488
1975,9,1,5,296,-2.1782
1975,9,2,1,154,-4.6254
1975,9,2,2,92,-3.8776
1975,9,2,3,108,-3.6111
1975,9,2,4,94,-2.6203
1975,9,2,5,116,-2.3174
1975,9,3,1,163,-4.2678
1975,9,3,2,173,-3.6844
1975,9,3,3,140,-3.8601
1975,9,3,4,114,-2.0194
1975,9,3,5,70,-2.6583
1975,10,1,1,347,1.5471
1975,10,1,2,199,0.6951
1975,10,1,3,201,1.2105
1975,10,1,4,218,4.0615
1975,10,1,5,295,2.3371
1975,10,2,1,154,1.4277
1975,10,2,2,92,1.7178
1975,10,2,3,108,2.8750
1975,10,2,4,95,5.9996
1975,10,2,5,116,4.7611
1975,10,3,1,163,3.8695
1975,10,3,2,173,7.8893
1975,10,3,3,140,6.5484
1975,10,3,4,114,6.1598
1975,10,3,5,70,7.4216
1975,11,1,1,349,1.5029
1975,11,1,2,198,3.6018
1975,11,1,3,200,2.9652
1975,11,1,4,218,3.0591
1975,11,1,5,296,3.6931
1975,11,2,1,154,0.7077
1975,11,2,2,92,2.5055
1975,11,2,3,108,3.1032
1975,11,2,4,95,4.0679
1975,11,2,5,116,5.9176
1975,11,3,1,163,2.5402
1975,11,3,2,173,3.3354
1975,11,3,3,140,3.2884
1975,11,3,4,113,2.3168
1975,11,3,5,70,3.8975
1975,12,1,1,349,-1.9110
1975,12,1,2,199,-1.0039
1975,12,1,3,200,-0.7740
1975,12,1,4,218,-1.4657
1975,12,1,5,296,-1.6228
1975,12,2,1,154,-2.4711
1975,12,2,2,92,-3.3512
1975,12,2,3,108,0.3552
1975,12,2,4,95,-1.5386
1975,12,2,5,116,0.0286
1975,12,3,1,163,-1.5539
1975,12,3,2,173,-2.5116
1975,12,3,3,140,-0.3190
1975,12,3,4,114,0.2473
1975,12,3,5,70,0.5020
1976,1,1,1,346,22.8073
1976,1,1,2,199,21.2181
1976,1,1,3,199,21.6883
1976,1,1,4,219,20.9875
1976,1,1,5,296,20.7914
1976,1,2,1,154,18.2461
1976,1,2,2,91,17.8791
1976,1,2,3,108,19.7727
1976,1,2,4,95,17.5493
1976,1,2,5,116,18.5486
1976,1,3,1,162,10.8408
1976,1,3,2,173,12.1437
1976,1,3,3,140,12.7932
1976,1,3,4,114,15.3148
1976,1,3,5,70,12.6655
1976,2,1,1,341,13.0211
1976,2,1,2,197,12.4956
1976,2,1,3,194,11.4641
1976,2,1,4,207,9.7409
1976,2,1,5,282,9.9184
1976,2,2,1,153,8.0370
1976,2,2,2,91,8.8197
1976,2,2,3,108,5.5591
1976,2,2,4,94,7.4230
1976,2,2,5,115,6.1871
1976,2,3,1,163,-2.1860
1976,2,3,2,173,-1.6071
1976,2,3,3,140,1.9297
1976,2,3,4,113,1.7250
1976,2,3,5,70,2.5056
1976,3,1,1,347,2.5357
1976,3,1,2,197,2.7442
1976,3,1,3,199,2.0698
1976,3,1,4,219,0.5775
1976,3,1,5,294,1.1902
1976,3,2,1,153,0.6977
1976,3,2,2,91,2.2897
1976,3,2,3,108,1.1081
1976,3,2,4,95,3.5968
1976,3,2,5,115,2.0669
1976,3,3,1,162,3.0612
1976,3,3,2,173,2.7143
1976,3,3,3,140,1.2987
1976,3,3,4,113,2.7645
1976,3,3,5,70,4.4616
1976,4,1,1,343,-3.4071
1976,4,1,2,194,-1.5851
1976,4,1,3,195,-0.5859
1976,4,1,4,214,0.4536
1976,4,1,5,285,0.2596
1976,4,2,1,153,-1.9631
1976,4,2,2,91,-2.2296
1976,4,2,3,106,-0.1377
1976,4,2,4,94,-0.7028
1976,4,2,5,115,0.3004
1976,4,3,1,162,-1.3695
1976,4,3,2,173,-2.3906
1976,4,3,3,140,0.5973
1976,4,3,4,113,-0.5368
1976,4,3,5,70,1.3942
1976,5,1,1,344,-3.3928
1976,5,1,2,196,-3.3455
1976,5,1,3,198,-2.6885
1976,5,1,4,217,-2.4518
1976,5,1,5,293,-2.5233
1976,5,2,1,152,0.5649
1976,5,2,2,91,-1.0165
1976,5,2,3,107,-2.9429
1976,5,2,4,93,-1.7361
1976,5,2,5,114,-2.8452
1976,5,3,1,162,-0.6664
1976,5,3,2,173,-1.5080
1976,5,3,3,140,-0.3843
1976,5,3,4,113,-0.6103
1976,5,3,5,70,-2.9458
1976,6,1,1,342,4.1206
1976,6,1,2,195,1.6280
1976,6,1,3,198,3.0744
1976,6,1,4,218,2.2693
1976,6,1,5,291,1.6828
1976,6,2,1,152,5.0617
1976,6,2,2,91,5.6274
1976,6,2,3,107,5.4497
1976,6,2,4,94,3.2928
1976,6,2,5,113,3.6545
1976,6,3,1,161,5.0037
1976,6,3,2,173,4.8623
1976,6,3,3,138,2.5690
1976,6,3,4,113,5.4189
1976,6,3,5,70,4.0155
1976,7,1,1,351,-1.0854
1976,7,1,2,240,-0.7793
1976,7,1,3,241,0.4447
1976,7,1,4,225,1.3660
1976,7,1,5,398,1.1586
1976,7,2,1,134,-1.3892
1976,7,2,2,99,-0.0969
1976,7,2,3,106,-0.6002
1976,7,2,4,110,0.6205
1976,7,2,5,113,1.5040
1976,7,3,1,143,-1.0753
1976,7,3,2,178,-1.3181
1976,7,3,3,144,-1.1587
1976,7,3,4,112,0.4869
1976,7,3,5,85,-0.5765
1976,8,1,1,348,-3.3746
1976,8,1,2,240,-2.0986
1976,8,1,3,240,-2.4530
1976,8,1,4,223,-1.8530
1976,8,1,5,397,-0.1607
1976,8,2,1,132,-4.1607
1976,8,2,2,99,-2.5300
1976,8,2,3,106,-2.3552
1976,8,2,4,110,-1.5093
1976,8,2,5,113,-0.0250
1976,8,3,1,143,-0.2368
1976,8,3,2,178,-0.1233
1976,8,3,3,144,0.8828
1976,8,3,4,112,-0.7417
1976,8,3,5,85,0.3646
1976,9,1,1,330,1.4359
1976,9,1,2,222,1.3824
1976,9,1,3,205,2.1021
1976,9,1,4,205,2.4725
1976,9,1,5,341,2.2568
1976,9,2,1,131,3.6895
1976,9,2,2,94,5.3570
1976,9,2,3,105,3.0270
1976,9,2,4,103,3.2085
1976,9,2,5,113,1.9907
1976,9,3,1,143,2.9782
1976,9,3,2,177,2.1376
1976,9,3,3,144,2.4583
1976,9,3,4,112,4.3661
1976,9,3,5,84,2.8701
1976,10,1,1,343,-3.2915
1976,10,1,2,240,-2.6135
1976,10,1,3,238,-3.0442
1976,10,1,4,224,-0.9080
1976,10,1,5,393,-0.8725
1976,10,2,1,132,-3.5540
1976,10,2,2,96,-3.5122
1976,10,2,3,106,-1.9727
1976,10,2,4,108,-1.5496
1976,10,2,5,113,-1.1282
1976,10,3,1,143,-2.3630
1976,10,3,2,178,-2.6644
1976,10,3,3,144,-1.0504
1976,10,3,4,111,-3.5822
1976,10,3,5,85,-2.1871
1976,11,1,1,342,3.6492
1976,11,1,2,239,4.6775
1976,11,1,3,236,3.0399
1976,11,1,4,223,4.0482
1976,11,1,5,388,2.2832
1976,11,2,1,132,4.4922
1976,11,2,2,95,3.2080
1976,11,2,3,104,3.7797
1976,11,2,4,106,3.4172
1976,11,2,5,113,4.2431
1976,11,3,1,143,2.6030
1976,11,3,2,177,-1.5474
1976,11,3,3,144,0.7193
1976,11,3,4,111,0.8280
1976,11,3,5,85,1.9112
1976,12,1,1,346,10.6122
1976,12,1,2,237,9.2974
1976,12,1,3,236,8.8216
1976,12,1,4,224,10.0266
1976,12,1,5,392,8.6420
1976,12,2,1,132,8.5053
1976,12,2,2,96,9.6337
1976,12,2,3,106,9.5625
1976,12,2,4,108,10.6116
1976,12,2,5,113,7.3481
1976,12,3,1,143,3.8592
1976,12,3,2,178,3.8206
1976,12,3,3,144,5.8870
1976,12,3,4,111,6.9540
1976,12,3,5,85,7.8832
1977,1,1,1,344,3.5978
1977,1,1,2,234,3.1120
1977,1,1,3,236,4.5035
1977,1,1,4,223,2.6483
1977,1,1,5,390,4.6768
1977,1,2,1,131,2.5827
1977,1,2,2,94,-1.1426
1977,1,2,3,106,1.3595
1977,1,2,4,108,0.7611
1977,1,2,5,113,2.6635
1977,1,3,1,143,-4.7092
1977,1,3,2,177,-6.9335
1977,1,3,3,144,-4.4687
1977,1,3,4,111,-1.9462
1977,1,3,5,85,1.7332
1977,2,1,1,339,-1.4196
1977,2,1,2,231,-0.2898
1977,2,1,3,233,0.1469
1977,2,1,4,220,0.2507
1977,2,1,5,385,-0.2427
1977,2,2,1,127,-2.9017
1977,2,2,2,93,-0.8191
1977,2,2,3,104,-0.7452
1977,2,2,4,108,1.2043
1977,2,2,5,113,-1.6706
1977,2,3,1,143,-2.7971
1977,2,3,2,177,-1.3967
1977,2,3,3,142,-0.7083
1977,2,3,4,110,-2.1243
1977,2,3,5,85,-2.4286
