year,month,rank_ME,rank_EM,nstocks,ret_vw
1969,11,2,5,85,-5.0553
1969,11,3,1,83,-2.6172
1969,11,3,2,81,-3.8382
1969,11,3,3,99,-3.7473
1969,11,3,4,92,-2.3082
1969,11,3,5,105,-1.1170
1969,12,1,1,128,-6.7941
1969,12,1,2,75,-4.7396
1969,12,1,3,86,-9.2285
1969,12,1,4,94,-6.4467
1969,12,1,5,206,-8.8278
1969,12,2,1,46,-4.4574
1969,12,2,2,56,-4.4001
1969,12,2,3,51,-2.6409
1969,12,2,4,57,-6.7936
1969,12,2,5,85,-4.3670
1969,12,3,1,83,-4.1890
1969,12,3,2,81,-3.1871
1969,12,3,3,99,-1.6589
1969,12,3,4,92,1.2829
1969,12,3,5,105,-0.3532
1970,1,1,1,128,-2.5050
1970,1,1,2,75,-3.3072
1970,1,1,3,86,-4.3803
1970,1,1,4,94,-5.0707
1970,1,1,5,206,-3.5735
1970,1,2,1,46,-2.9281
1970,1,2,2,56,-5.1951
1970,1,2,3,51,-5.7351
1970,1,2,4,57,-5.0545
1970,1,2,5,85,-7.9008
1970,1,3,1,83,-6.9472
1970,1,3,2,81,-9.9184
1970,1,3,3,99,-6.7808
1970,1,3,4,92,-8.1913
1970,1,3,5,105,-9.3024
1970,2,1,1,128,1.6455
1970,2,1,2,75,2.5059
1970,2,1,3,86,4.3450
1970,2,1,4,94,2.7331
1970,2,1,5,206,3.3983
1970,2,2,1,46,5.5415
1970,2,2,2,56,6.0558
1970,2,2,3,51,1.4332
1970,2,2,4,57,5.1990
1970,2,2,5,84,3.7843
1970,2,3,1,83,6.4351
1970,2,3,2,81,7.8047
1970,2,3,3,99,5.8976
1970,2,3,4,92,5.1769
1970,2,3,5,104,3.7131
1970,3,1,1,128,-0.9061
1970,3,1,2,75,-3.2486
1970,3,1,3,86,-2.3612
1970,3,1,4,94,-4.4191
1970,3,1,5,206,-5.8537
1970,3,2,1,46,0.1273
1970,3,2,2,56,-1.1468
1970,3,2,3,51,-0.7908
1970,3,2,4,57,-2.7044
1970,3,2,5,86,-5.9999
1970,3,3,1,83,3.2011
1970,3,3,2,81,-0.1881
1970,3,3,3,99,-0.4387
1970,3,3,4,92,-1.1658
1970,3,3,5,105,-3.3517
1970,4,1,1,128,-10.0930
1970,4,1,2,75,-15.4587
1970,4,1,3,86,-15.9191
1970,4,1,4,94,-17.6656
1970,4,1,5,206,-23.7398
1970,4,2,1,46,-11.4402
1970,4,2,2,56,-11.5019
1970,4,2,3,51,-14.0902
1970,4,2,4,57,-15.5465
1970,4,2,5,86,-22.7342
1970,4,3,1,83,-7.3489
1970,4,3,2,81,-8.5168
1970,4,3,3,99,-10.2593
1970,4,3,4,92,-9.8957
1970,4,3,5,105,-11.4657
1970,5,1,1,128,-9.2885
1970,5,1,2,75,-8.1037
1970,5,1,3,86,-8.1044
1970,5,1,4,94,-12.0734
1970,5,1,5,206,-9.9188
1970,5,2,1,46,-8.7847
1970,5,2,2,56,-8.2879
1970,5,2,3,51,-11.3690
1970,5,2,4,57,-13.9524
1970,5,2,5,86,-11.5756
1970,5,3,1,83,-2.5274
1970,5,3,2,81,-4.0476
1970,5,3,3,99,-5.7628
1970,5,3,4,92,-7.8895
1970,5,3,5,105,-8.0369
1970,6,1,1,128,-5.6409
1970,6,1,2,75,-7.2892
1970,6,1,3,86,-9.6908
1970,6,1,4,94,-11.3942
1970,6,1,5,206,-10.4245
1970,6,2,1,46,-3.9622
1970,6,2,2,56,-5.7215
1970,6,2,3,51,-8.5028
1970,6,2,4,57,-7.8617
1970,6,2,5,85,-9.7669
1970,6,3,1,83,-4.6896
1970,6,3,2,81,-3.6593
1970,6,3,3,99,-3.3232
1970,6,3,4,92,-5.6125
1970,6,3,5,105,-6.4624
1970,7,1,1,185,5.2503
1970,7,1,2,117,7.8629
1970,7,1,3,113,5.1754
1970,7,1,4,117,5.1890
1970,7,1,5,171,2.8738
1970,7,2,1,60,7.3437
1970,7,2,2,55,9.8854
1970,7,2,3,71,8.9979
1970,7,2,4,62,10.1544
1970,7,2,5,84,5.1530
1970,7,3,1,69,9.2444
1970,7,3,2,94,10.0069
1970,7,3,3,89,7.9243
1970,7,3,4,97,9.9594
1970,7,3,5,123,3.1054
1970,8,1,1,185,6.7261
1970,8,1,2,117,4.5604
1970,8,1,3,113,6.5100
1970,8,1,4,117,8.1058
1970,8,1,5,171,5.4812
1970,8,2,1,60,6.9573
1970,8,2,2,55,7.6347
1970,8,2,3,71,8.4143
1970,8,2,4,62,6.6932
1970,8,2,5,84,7.5882
1970,8,3,1,69,7.2919
1970,8,3,2,94,4.2456
1970,8,3,3,89,5.9856
1970,8,3,4,97,3.6707
1970,8,3,5,123,4.3750
1970,9,1,1,185,10.7380
1970,9,1,2,117,14.3664
1970,9,1,3,112,16.7480
1970,9,1,4,117,15.2514
1970,9,1,5,171,21.0394
1970,9,2,1,60,5.2226
1970,9,2,2,55,10.1666
1970,9,2,3,71,14.3368
1970,9,2,4,62,13.1361
1970,9,2,5,84,17.2626
1970,9,3,1,69,0.4031
1970,9,3,2,94,1.6783
1970,9,3,3,88,2.3744
1970,9,3,4,97,5.0054
1970,9,3,5,123,7.9583
1970,10,1,1,185,-4.8524
1970,10,1,2,117,-7.0809
1970,10,1,3,113,-8.8874
1970,10,1,4,117,-8.0418
1970,10,1,5,171,-11.5540
1970,10,2,1,60,-2.0792
1970,10,2,2,55,-5.1256
1970,10,2,3,71,-4.3865
1970,10,2,4,62,-7.2528
1970,10,2,5,84,-5.8287
1970,10,3,1,69,-1.4525
1970,10,3,2,94,-1.8532
1970,10,3,3,88,-1.5858
1970,10,3,4,97,-0.2798
1970,10,3,5,123,-0.5529
1970,11,1,1,185,0.6152
1970,11,1,2,117,-0.3501
1970,11,1,3,113,-0.9748
1970,11,1,4,117,-2.1729
1970,11,1,5,171,-5.8205
1970,11,2,1,60,3.4042
1970,11,2,2,55,4.0465
1970,11,2,3,71,2.7138
1970,11,2,4,62,1.1158
1970,11,2,5,84,1.1431
1970,11,3,1,69,5.9409
1970,11,3,2,94,5.8363
1970,11,3,3,88,4.9018
1970,11,3,4,97,4.3535
1970,11,3,5,123,4.7217
1970,12,1,1,185,11.7908
1970,12,1,2,117,12.7140
1970,12,1,3,113,9.6164
1970,12,1,4,117,9.5916
1970,12,1,5,170,6.0059
1970,12,2,1,60,8.9725
1970,12,2,2,55,11.5940
1970,12,2,3,71,7.3204
1970,12,2,4,62,9.3759
1970,12,2,5,84,6.3835
1970,12,3,1,69,5.9296
1970,12,3,2,94,5.7722
1970,12,3,3,88,8.2203
1970,12,3,4,97,6.3635
1970,12,3,5,123,4.5608
1971,1,1,1,185,13.3864
1971,1,1,2,117,15.2707
1971,1,1,3,113,14.7726
1971,1,1,4,117,16.5002
1971,1,1,5,169,16.4366
1971,1,2,1,60,10.3489
1971,1,2,2,55,8.2219
1971,1,2,3,71,12.4280
1971,1,2,4,62,11.8944
1971,1,2,5,84,9.9200
1971,1,3,1,69,2.2734
1971,1,3,2,94,6.2225
1971,1,3,3,88,4.4683
1971,1,3,4,97,5.3409
1971,1,3,5,123,4.2822
1971,2,1,1,185,6.0172
1971,2,1,2,117,4.4830
1971,2,1,3,113,5.7040
1971,2,1,4,117,5.3161
1971,2,1,5,169,6.0557
1971,2,2,1,60,2.5911
1971,2,2,2,55,4.5505
1971,2,2,3,71,2.1631
1971,2,2,4,62,2.0594
1971,2,2,5,84,3.6550
1971,2,3,1,69,2.1457
1971,2,3,2,94,0.2989
1971,2,3,3,88,2.1736
1971,2,3,4,97,3.6140
1971,2,3,5,123,1.7310
1971,3,1,1,185,5.3307
1971,3,1,2,117,7.7108
1971,3,1,3,113,6.3016
1971,3,1,4,117,6.2162
1971,3,1,5,168,6.7141
1971,3,2,1,60,4.7248
1971,3,2,2,55,5.9178
1971,3,2,3,71,6.4967
1971,3,2,4,62,8.0920
1971,3,2,5,84,8.9633
1971,3,3,1,69,1.9472
1971,3,3,2,94,2.8626
1971,3,3,3,87,2.9857
1971,3,3,4,97,4.5240
1971,3,3,5,123,6.4592
1971,4,1,1,185,1.7306
1971,4,1,2,117,3.1436
1971,4,1,3,113,2.2386
1971,4,1,4,117,4.0510
1971,4,1,5,168,1.5849
1971,4,2,1,60,5.1880
1971,4,2,2,55,4.1811
1971,4,2,3,71,1.3736
1971,4,2,4,62,4.0800
1971,4,2,5,83,5.6600
1971,4,3,1,69,6.1852
1971,4,3,2,94,2.7130
1971,4,3,3,87,5.7493
1971,4,3,4,97,5.7022
1971,4,3,5,123,3.1072
1971,5,1,1,185,-5.1732
1971,5,1,2,117,-4.0952
