year,month,rank_ME,rank_BM,nstocks,ret_vw
1970,12,1,5,199,10.0560
1970,12,2,1,102,6.6953
1970,12,2,2,81,9.9372
1970,12,2,3,65,8.7446
1970,12,2,4,55,7.6906
1970,12,2,5,66,8.9718
1970,12,3,1,158,4.8606
1970,12,3,2,115,6.5295
1970,12,3,3,111,7.7766
1970,12,3,4,111,5.7886
1970,12,3,5,68,7.2381
1971,1,1,1,145,15.3442
1971,1,1,2,146,13.5278
1971,1,1,3,145,15.2461
1971,1,1,4,157,14.9301
1971,1,1,5,198,15.4387
1971,1,2,1,101,8.4366
1971,1,2,2,81,11.1344
1971,1,2,3,65,12.5747
1971,1,2,4,55,9.9407
1971,1,2,5,66,11.3654
1971,1,3,1,158,4.0959
1971,1,3,2,115,5.1870
1971,1,3,3,111,4.5157
1971,1,3,4,111,3.6146
1971,1,3,5,68,6.4520
1971,2,1,1,145,7.4905
1971,2,1,2,145,6.7781
1971,2,1,3,144,7.0871
1971,2,1,4,157,3.6823
1971,2,1,5,198,4.4836
1971,2,2,1,101,3.6015
1971,2,2,2,81,2.4687
1971,2,2,3,65,2.7608
1971,2,2,4,55,2.9134
1971,2,2,5,66,0.8142
1971,2,3,1,158,2.4975
1971,2,3,2,115,1.0116
1971,2,3,3,111,0.1416
1971,2,3,4,111,0.8472
1971,2,3,5,68,1.5021
1971,3,1,1,144,7.3144
1971,3,1,2,145,4.8451
1971,3,1,3,144,7.6452
1971,3,1,4,157,6.1474
1971,3,1,5,198,5.7822
1971,3,2,1,101,9.1275
1971,3,2,2,81,9.3006
1971,3,2,3,65,4.7122
1971,3,2,4,55,2.2632
1971,3,2,5,66,4.3360
1971,3,3,1,158,5.9056
1971,3,3,2,115,4.1420
1971,3,3,3,111,3.8064
1971,3,3,4,111,1.4255
1971,3,3,5,67,2.7976
1971,4,1,1,144,1.2815
1971,4,1,2,144,3.9702
1971,4,1,3,144,2.0619
1971,4,1,4,157,3.7730
1971,4,1,5,198,1.2453
1971,4,2,1,100,4.2638
1971,4,2,2,81,3.1875
1971,4,2,3,65,3.2941
1971,4,2,4,55,2.4167
