year,month,rank_ME,rank_DTV_12,nstocks,ret_vw
1969,4,1,1,728,-0.7795
1969,4,1,2,486,-0.7180
1969,4,1,3,288,0.3942
1969,4,1,4,113,-0.0752
1969,4,1,5,11,1.2168
1969,4,2,1,173,0.0962
1969,4,2,2,264,1.0857
1969,4,2,3,274,0.2163
1969,4,2,4,200,0.8056
1969,4,2,5,74,2.2356
1969,4,3,1,53,-0.2182
1969,4,3,2,141,0.4814
1969,4,3,3,236,1.2180
1969,4,3,4,307,2.3154
1969,4,3,5,294,2.4717
1969,5,1,1,730,1.4105
1969,5,1,2,481,0.7631
1969,5,1,3,290,0.1116
1969,5,1,4,110,-0.0814
1969,5,1,5,10,-6.7145
1969,5,2,1,177,1.2091
1969,5,2,2,266,0.5350
1969,5,2,3,272,0.1270
1969,5,2,4,206,-1.0507
1969,5,2,5,74,0.6847
1969,5,3,1,52,1.0009
1969,5,3,2,139,0.6888
1969,5,3,3,241,0.7974
1969,5,3,4,302,-0.1379
1969,5,3,5,293,0.5024
1969,6,1,1,739,-11.5354
1969,6,1,2,489,-13.9772
1969,6,1,3,285,-15.8201
1969,6,1,4,112,-16.8706
1969,6,1,5,13,-21.1607
1969,6,2,1,183,-7.7613
1969,6,2,2,275,-9.9679
1969,6,2,3,280,-11.9437
1969,6,2,4,211,-15.1836
1969,6,2,5,75,-16.3479
1969,6,3,1,61,-5.3412
1969,6,3,2,137,-7.0639
1969,6,3,3,235,-6.4039
1969,6,3,4,299,-7.1161
1969,6,3,5,290,-5.3108
1969,7,1,1,744,-10.2016
1969,7,1,2,493,-11.8800
1969,7,1,3,279,-12.1402
1969,7,1,4,105,-13.6218
1969,7,1,5,11,-13.5061
1969,7,2,1,185,-5.8358
1969,7,2,2,270,-7.9953
1969,7,2,3,289,-10.0577
1969,7,2,4,211,-11.8551
1969,7,2,5,80,-15.8869
1969,7,3,1,62,-4.6870
1969,7,3,2,138,-3.7589
1969,7,3,3,242,-4.9430
1969,7,3,4,304,-5.5748
1969,7,3,5,289,-6.2653
1969,8,1,1,752,4.1779
1969,8,1,2,495,4.8578
1969,8,1,3,286,6.1352
1969,8,1,4,111,6.7008
1969,8,1,5,10,3.7414
1969,8,2,1,186,3.2340
1969,8,2,2,273,5.4969
1969,8,2,3,291,7.0013
1969,8,2,4,215,9.0538
1969,8,2,5,77,10.1866
1969,8,3,1,64,1.8645
1969,8,3,2,138,2.6290
