year,month,rank_ME,rank_ISq_1,nstocks,ret_vw
1970,6,3,5,124,-3.5374
1970,7,1,1,210,6.1883
1970,7,1,2,164,4.6601
1970,7,1,3,201,3.7343
1970,7,1,4,206,4.8684
1970,7,1,5,240,3.7125
1970,7,2,1,97,9.0104
1970,7,2,2,81,8.3081
1970,7,2,3,87,7.7131
1970,7,2,4,90,8.1955
1970,7,2,5,100,5.6624
1970,7,3,1,114,5.6582
1970,7,3,2,132,8.2561
1970,7,3,3,122,8.0491
1970,7,3,4,122,7.3257
1970,7,3,5,123,8.0885
1970,8,1,1,225,7.9625
1970,8,1,2,218,5.5042
1970,8,1,3,181,6.3986
1970,8,1,4,190,6.1451
1970,8,1,5,215,4.9292
1970,8,2,1,81,7.6235
1970,8,2,2,93,5.1107
1970,8,2,3,86,7.5323
1970,8,2,4,91,6.8535
1970,8,2,5,106,7.3768
1970,8,3,1,128,3.8526
1970,8,3,2,127,6.0228
1970,8,3,3,122,5.4701
1970,8,3,4,119,4.3279
1970,8,3,5,118,4.4574
1970,9,1,1,205,15.9522
1970,9,1,2,203,15.6385
1970,9,1,3,181,15.5545
1970,9,1,4,191,18.0281
1970,9,1,5,246,14.9392
1970,9,2,1,93,13.2012
1970,9,2,2,96,12.7417
1970,9,2,3,86,9.8517
1970,9,2,4,95,12.9965
1970,9,2,5,94,11.2811
1970,9,3,1,119,2.4731
1970,9,3,2,123,5.1570
1970,9,3,3,129,3.7828
1970,9,3,4,132,4.3515
1970,9,3,5,111,4.0602
1970,10,1,1,133,-4.8360
1970,10,1,2,190,-7.7496
1970,10,1,3,154,-7.2461
1970,10,1,4,224,-8.9169
1970,10,1,5,321,-8.0102
1970,10,2,1,70,-3.1192
1970,10,2,2,83,-3.5059
1970,10,2,3,94,-3.2488
1970,10,2,4,102,-5.0677
1970,10,2,5,112,-7.0096
1970,10,3,1,139,-1.0363
1970,10,3,2,136,-1.7202
1970,10,3,3,133,-0.8356
1970,10,3,4,117,-0.2535
1970,10,3,5,99,-2.4839
1970,11,1,1,181,-2.3753
1970,11,1,2,188,-2.3305
1970,11,1,3,191,-1.8724
1970,11,1,4,208,-0.0737
1970,11,1,5,255,-3.1259
1970,11,2,1,85,3.1011
1970,11,2,2,85,3.8547
