year,month,rank_ME,rank_ADM,nstocks,ret_vw
1976,1,2,3,50,20.8626
1976,1,2,4,53,16.9806
1976,1,2,5,46,25.2066
1976,1,3,1,96,13.8711
1976,1,3,2,85,10.9960
1976,1,3,3,73,11.9514
1976,1,3,4,54,10.2418
1976,1,3,5,24,16.4979
1976,2,1,1,164,7.8862
1976,2,1,2,185,10.8660
1976,2,1,3,198,10.9755
1976,2,1,4,191,12.6905
1976,2,1,5,245,16.9101
1976,2,2,1,75,6.4712
1976,2,2,2,53,10.0714
1976,2,2,3,50,6.6415
1976,2,2,4,53,7.1759
1976,2,2,5,46,7.6890
1976,2,3,1,96,-1.9172
1976,2,3,2,85,-0.2963
1976,2,3,3,73,0.0899
1976,2,3,4,54,-1.4097
1976,2,3,5,24,5.3486
1976,3,1,1,167,1.5749
1976,3,1,2,186,1.3981
1976,3,1,3,206,3.1375
1976,3,1,4,198,2.9147
1976,3,1,5,257,1.3708
1976,3,2,1,75,1.9339
1976,3,2,2,53,1.8850
1976,3,2,3,50,2.8127
1976,3,2,4,53,2.9497
1976,3,2,5,46,1.0837
1976,3,3,1,96,3.3741
1976,3,3,2,85,3.3199
1976,3,3,3,73,1.9420
1976,3,3,4,54,2.4219
1976,3,3,5,24,3.3810
1976,4,1,1,167,-2.2447
1976,4,1,2,185,-0.7292
1976,4,1,3,198,-2.4116
1976,4,1,4,195,-1.9304
1976,4,1,5,249,-3.3539
1976,4,2,1,75,-1.6318
1976,4,2,2,53,-2.0976
1976,4,2,3,49,-1.5075
1976,4,2,4,52,-1.5285
1976,4,2,5,46,-4.4370
1976,4,3,1,96,-3.0556
1976,4,3,2,85,-2.1655
1976,4,3,3,73,-1.3027
1976,4,3,4,54,-2.3737
1976,4,3,5,24,-6.5148
1976,5,1,1,167,-1.9746
1976,5,1,2,185,-2.4567
1976,5,1,3,203,-2.9570
1976,5,1,4,197,-3.8395
1976,5,1,5,250,-5.2962
1976,5,2,1,75,1.6809
1976,5,2,2,53,-1.7907
1976,5,2,3,50,-5.0501
1976,5,2,4,52,-5.4410
1976,5,2,5,44,-5.9012
1976,5,3,1,96,-1.6343
1976,5,3,2,85,-2.8197
1976,5,3,3,73,-2.9921
1976,5,3,4,54,-2.4717
1976,5,3,5,24,-4.7020
1976,6,1,1,168,3.0807
1976,6,1,2,185,3.9468
1976,6,1,3,201,2.6332
1976,6,1,4,196,2.7039
1976,6,1,5,250,1.8111
1976,6,2,1,75,4.5018
1976,6,2,2,53,5.4690
1976,6,2,3,49,4.3633
1976,6,2,4,52,2.0450
1976,6,2,5,44,1.1364
1976,6,3,1,96,1.9670
1976,6,3,2,85,3.3872
1976,6,3,3,73,6.7450
1976,6,3,4,54,5.0201
1976,6,3,5,24,4.1637
1976,7,1,1,188,-2.1086
1976,7,1,2,192,-0.4865
1976,7,1,3,171,-0.7040
1976,7,1,4,183,-0.2047
1976,7,1,5,286,-0.9260
1976,7,2,1,73,-1.5718
1976,7,2,2,50,0.1900
1976,7,2,3,52,-0.3241
1976,7,2,4,45,0.1169
1976,7,2,5,45,1.8822
1976,7,3,1,93,-2.1530
1976,7,3,2,90,-2.4354
1976,7,3,3,66,0.4062
1976,7,3,4,50,1.2289
1976,7,3,5,23,2.4157
1976,8,1,1,187,-3.5825
1976,8,1,2,191,-3.0239
1976,8,1,3,171,-2.7173
1976,8,1,4,182,-1.1000
1976,8,1,5,285,-1.8842
1976,8,2,1,73,-4.1924
1976,8,2,2,49,-1.0253
1976,8,2,3,52,-3.4769
1976,8,2,4,45,-2.1359
1976,8,2,5,45,-0.8678
1976,8,3,1,92,-1.6041
1976,8,3,2,90,1.2233
1976,8,3,3,66,0.4592
1976,8,3,4,50,-0.1256
1976,8,3,5,23,-3.3267
1976,9,1,1,170,1.9939
1976,9,1,2,179,2.3641
1976,9,1,3,154,2.2067
1976,9,1,4,158,0.7127
1976,9,1,5,254,0.7148
1976,9,2,1,71,3.9334
1976,9,2,2,48,3.4587
1976,9,2,3,49,2.2915
1976,9,2,4,43,3.9554
1976,9,2,5,45,1.6927
1976,9,3,1,92,1.4190
1976,9,3,2,90,1.7655
1976,9,3,3,66,2.4909
1976,9,3,4,50,0.3982
1976,9,3,5,23,-0.8492
1976,10,1,1,187,-2.0674
1976,10,1,2,191,-2.5290
1976,10,1,3,169,-2.8605
1976,10,1,4,181,-3.0118
1976,10,1,5,284,-3.1286
1976,10,2,1,73,-3.6689
1976,10,2,2,49,-3.2847
1976,10,2,3,51,-1.3348
1976,10,2,4,43,0.2197
1976,10,2,5,45,-2.0455
1976,10,3,1,92,-2.9728
1976,10,3,2,90,-2.6016
1976,10,3,3,66,-2.8816
1976,10,3,4,50,-2.1877
1976,10,3,5,23,-5.4476
1976,11,1,1,184,4.0857
1976,11,1,2,191,2.9832
1976,11,1,3,168,4.1898
1976,11,1,4,179,3.2825
1976,11,1,5,280,4.0128
1976,11,2,1,73,4.1749
1976,11,2,2,49,2.4224
1976,11,2,3,51,4.1711
1976,11,2,4,43,4.0437
1976,11,2,5,43,4.3605
1976,11,3,1,92,-2.3237
1976,11,3,2,90,-1.1978
1976,11,3,3,66,2.1526
1976,11,3,4,50,-0.2576
1976,11,3,5,23,-0.4252
1976,12,1,1,183,9.8284
1976,12,1,2,191,9.6301
1976,12,1,3,168,9.3008
1976,12,1,4,180,10.0479
1976,12,1,5,284,10.3145
1976,12,2,1,73,8.9632
1976,12,2,2,49,8.7807
1976,12,2,3,50,10.3159
1976,12,2,4,43,9.4499
1976,12,2,5,45,8.8922
1976,12,3,1,92,4.1649
1976,12,3,2,90,4.5692
1976,12,3,3,66,4.0336
1976,12,3,4,50,6.4878
1976,12,3,5,23,9.5345
1977,1,1,1,183,3.3386
1977,1,1,2,190,4.0787
1977,1,1,3,168,3.5735
1977,1,1,4,180,3.1634
1977,1,1,5,284,4.3135
1977,1,2,1,72,-0.0841
1977,1,2,2,48,-0.7102
1977,1,2,3,50,-1.3370
1977,1,2,4,43,-2.0823
1977,1,2,5,45,2.2003
1977,1,3,1,92,-8.9118
1977,1,3,2,90,-7.2040
1977,1,3,3,66,-5.5587
1977,1,3,4,50,-4.0467
1977,1,3,5,23,-2.4230
1977,2,1,1,183,-0.7357
1977,2,1,2,186,0.0624
1977,2,1,3,168,0.5864
1977,2,1,4,175,0.2610
1977,2,1,5,276,-1.7440
1977,2,2,1,71,-2.1402
1977,2,2,2,46,-1.6261
1977,2,2,3,48,-1.8608
1977,2,2,4,43,-0.0121
1977,2,2,5,45,-2.3840
1977,2,3,1,92,-1.6610
1977,2,3,2,90,-1.4996
1977,2,3,3,66,-1.9576
1977,2,3,4,50,-1.3884
1977,2,3,5,23,-1.9902
1977,3,1,1,183,1.7607
1977,3,1,2,189,1.5247
1977,3,1,3,168,2.4988
1977,3,1,4,178,-0.8901
1977,3,1,5,276,0.4391
1977,3,2,1,72,2.3046
1977,3,2,2,46,0.6410
1977,3,2,3,48,0.2217
1977,3,2,4,43,-1.6448
1977,3,2,5,45,-2.7376
1977,3,3,1,92,-1.5556
1977,3,3,2,90,-1.5160
1977,3,3,3,66,-2.9016
1977,3,3,4,50,-1.2137
1977,3,3,5,23,-2.4059
1977,4,1,1,182,1.9900
1977,4,1,2,186,1.4040
1977,4,1,3,167,2.1128
1977,4,1,4,178,1.1113
1977,4,1,5,276,1.0765
1977,4,2,1,72,0.4221
1977,4,2,2,46,0.1361
1977,4,2,3,48,1.0826
1977,4,2,4,43,0.9881
1977,4,2,5,45,1.4842
1977,4,3,1,92,-2.3802
1977,4,3,2,90,-0.0104
1977,4,3,3,66,0.7088
1977,4,3,4,50,-0.1760
1977,4,3,5,23,0.0877
1977,5,1,1,181,-1.8326
1977,5,1,2,188,-0.6629
1977,5,1,3,166,1.1004
1977,5,1,4,178,0.7871
1977,5,1,5,277,1.3310
1977,5,2,1,72,-2.0592
1977,5,2,2,46,-0.2962
1977,5,2,3,48,-1.6616
1977,5,2,4,43,-0.8787
1977,5,2,5,45,1.4837
1977,5,3,1,92,-2.8768
1977,5,3,2,90,-2.6387
1977,5,3,3,66,-1.5886
1977,5,3,4,50,0.1697
1977,5,3,5,23,-2.1224
1977,6,1,1,182,6.4999
1977,6,1,2,188,4.9961
1977,6,1,3,166,6.1683
1977,6,1,4,177,6.6069
1977,6,1,5,276,5.8659
1977,6,2,1,71,9.5383
