year,month,rank_ME,rank_ETR,nstocks,ret_vw
1969,9,1,2,43,-0.4307
1969,9,1,3,28,-5.6903
1969,9,1,4,47,-0.2429
1969,9,1,5,109,-4.7331
1969,9,2,1,51,-0.8828
1969,9,2,2,36,1.3426
1969,9,2,3,39,-1.3266
1969,9,2,4,45,-0.1261
1969,9,2,5,60,0.0037
1969,9,3,1,80,-1.7176
1969,9,3,2,116,-3.5181
1969,9,3,3,113,-1.5671
1969,9,3,4,105,-1.7916
1969,9,3,5,72,-6.4658
1969,10,1,1,87,7.7152
1969,10,1,2,43,10.2668
1969,10,1,3,28,8.6191
1969,10,1,4,47,9.9201
1969,10,1,5,109,9.6516
1969,10,2,1,50,11.8785
1969,10,2,2,36,6.3265
1969,10,2,3,39,6.4105
1969,10,2,4,45,7.0975
1969,10,2,5,60,6.8895
1969,10,3,1,80,4.9847
1969,10,3,2,115,5.0215
1969,10,3,3,113,5.8108
1969,10,3,4,105,3.7561
1969,10,3,5,72,6.1941
1969,11,1,1,87,-7.2152
1969,11,1,2,43,-3.0411
1969,11,1,3,28,-4.3988
1969,11,1,4,47,-6.2964
1969,11,1,5,109,-5.6831
1969,11,2,1,51,-4.2919
1969,11,2,2,36,-4.8747
1969,11,2,3,39,-4.5380
1969,11,2,4,45,-3.0134
1969,11,2,5,60,-5.8043
1969,11,3,1,80,-4.6661
1969,11,3,2,116,-2.8112
1969,11,3,3,113,-2.3320
1969,11,3,4,105,-2.7517
1969,11,3,5,72,-4.1827
1969,12,1,1,87,-7.5180
1969,12,1,2,43,-0.4727
1969,12,1,3,28,-10.1698
1969,12,1,4,47,-5.0001
1969,12,1,5,109,-8.0131
1969,12,2,1,51,-4.7692
1969,12,2,2,36,-6.5027
1969,12,2,3,39,-3.7361
1969,12,2,4,45,-0.5756
1969,12,2,5,60,-4.7783
1969,12,3,1,80,-1.4508
1969,12,3,2,116,-3.1010
1969,12,3,3,113,-0.3205
1969,12,3,4,105,-0.5025
1969,12,3,5,72,-4.1375
1970,1,1,1,87,-2.6368
1970,1,1,2,43,-2.4447
1970,1,1,3,28,-3.4516
1970,1,1,4,47,-2.2913
1970,1,1,5,109,-3.6396
1970,1,2,1,51,-4.8817
1970,1,2,2,36,-3.8843
1970,1,2,3,39,-4.1988
1970,1,2,4,45,-3.5722
1970,1,2,5,60,-6.9992
1970,1,3,1,80,-7.4292
1970,1,3,2,116,-6.2993
1970,1,3,3,113,-8.0804
1970,1,3,4,105,-7.6283
1970,1,3,5,72,-10.4864
1970,2,1,1,87,3.5320
1970,2,1,2,43,2.6797
1970,2,1,3,28,0.6319
1970,2,1,4,46,3.2573
1970,2,1,5,109,3.5770
1970,2,2,1,51,5.3018
1970,2,2,2,36,3.8816
1970,2,2,3,39,5.9365
1970,2,2,4,45,3.1033
1970,2,2,5,60,6.9322
1970,2,3,1,80,7.6438
1970,2,3,2,116,8.4147
1970,2,3,3,113,4.6394
1970,2,3,4,104,3.8801
1970,2,3,5,72,9.1347
1970,3,1,1,87,-1.2016
1970,3,1,2,43,-2.7040
1970,3,1,3,28,-2.7073
1970,3,1,4,46,-2.7370
1970,3,1,5,109,-1.4706
1970,3,2,1,51,-1.0709
1970,3,2,2,36,1.6739
1970,3,2,3,39,-2.1222
1970,3,2,4,45,0.2072
1970,3,2,5,60,-2.0617
1970,3,3,1,80,1.6210
1970,3,3,2,116,0.2964
1970,3,3,3,113,-1.7350
1970,3,3,4,105,1.4944
1970,3,3,5,72,-0.4825
1970,4,1,1,87,-15.4213
1970,4,1,2,43,-15.2878
1970,4,1,3,28,-10.7161
1970,4,1,4,46,-13.7823
1970,4,1,5,109,-15.5244
1970,4,2,1,51,-12.3358
1970,4,2,2,36,-13.7586
1970,4,2,3,39,-11.5389
1970,4,2,4,45,-12.9446
1970,4,2,5,60,-14.7365
1970,4,3,1,80,-9.9968
1970,4,3,2,116,-8.6364
1970,4,3,3,113,-9.1291
1970,4,3,4,105,-8.9688
1970,4,3,5,72,-10.1905
1970,5,1,1,87,-7.9937
1970,5,1,2,43,-11.6853
1970,5,1,3,28,-7.2368
1970,5,1,4,46,-8.1410
1970,5,1,5,109,-9.8358
1970,5,2,1,51,-10.2369
1970,5,2,2,36,-6.7838
1970,5,2,3,39,-10.1094
1970,5,2,4,45,-6.6774
1970,5,2,5,60,-11.5008
1970,5,3,1,80,-7.0712
1970,5,3,2,116,-5.3133
1970,5,3,3,113,-7.3978
1970,5,3,4,105,-4.4033
1970,5,3,5,72,-2.6954
1970,6,1,1,87,-8.0879
1970,6,1,2,43,-5.3674
1970,6,1,3,28,-4.5352
1970,6,1,4,46,-6.6428
1970,6,1,5,109,-8.7134
1970,6,2,1,51,-5.4244
1970,6,2,2,36,-4.6632
1970,6,2,3,39,-6.6407
1970,6,2,4,45,-5.8980
1970,6,2,5,60,-7.4358
1970,6,3,1,80,-5.7947
1970,6,3,2,116,-5.9770
1970,6,3,3,113,-3.8602
1970,6,3,4,105,-4.8656
1970,6,3,5,72,-4.5185
1970,7,1,1,140,6.4621
1970,7,1,2,47,5.0127
1970,7,1,3,49,4.5222
1970,7,1,4,60,3.5079
1970,7,1,5,134,5.4711
1970,7,2,1,49,5.6478
1970,7,2,2,42,5.1473
1970,7,2,3,40,10.8437
1970,7,2,4,65,9.0848
1970,7,2,5,60,7.1986
1970,7,3,1,76,7.6559
1970,7,3,2,119,10.2327
1970,7,3,3,123,5.1209
1970,7,3,4,90,8.9671
1970,7,3,5,85,4.8817
1970,8,1,1,140,6.9170
1970,8,1,2,47,4.5423
1970,8,1,3,49,5.8170
1970,8,1,4,60,6.8594
1970,8,1,5,134,7.5304
1970,8,2,1,49,6.9752
1970,8,2,2,41,9.2727
1970,8,2,3,40,6.0437
1970,8,2,4,65,5.3647
1970,8,2,5,60,6.8505
1970,8,3,1,76,5.6437
1970,8,3,2,119,5.8535
1970,8,3,3,123,4.5064
1970,8,3,4,90,3.8559
1970,8,3,5,85,4.5466
1970,9,1,1,140,14.9017
1970,9,1,2,47,15.6397
1970,9,1,3,48,10.1390
1970,9,1,4,60,11.3068
1970,9,1,5,134,14.2151
1970,9,2,1,48,10.0767
1970,9,2,2,41,10.3397
1970,9,2,3,40,7.6360
1970,9,2,4,65,11.0185
1970,9,2,5,60,11.3665
1970,9,3,1,76,2.6410
1970,9,3,2,119,1.6338
1970,9,3,3,122,4.6905
1970,9,3,4,90,3.0928
1970,9,3,5,85,6.0329
1970,10,1,1,140,-6.6632
1970,10,1,2,47,-9.0017
1970,10,1,3,49,-6.8606
1970,10,1,4,60,-8.2342
1970,10,1,5,133,-7.4758
1970,10,2,1,47,-3.1330
1970,10,2,2,41,-5.1789
1970,10,2,3,40,-4.3617
1970,10,2,4,65,-4.7250
1970,10,2,5,60,-6.5550
1970,10,3,1,76,-1.3623
1970,10,3,2,119,-1.3528
1970,10,3,3,122,0.2894
1970,10,3,4,90,-0.9122
1970,10,3,5,85,-3.7269
1970,11,1,1,139,-0.4110
1970,11,1,2,47,-1.5644
1970,11,1,3,49,-0.2010
1970,11,1,4,60,-1.6944
1970,11,1,5,132,0.7868
1970,11,2,1,47,2.3346
1970,11,2,2,41,4.9396
1970,11,2,3,40,6.4498
1970,11,2,4,65,2.8285
1970,11,2,5,59,2.7434
1970,11,3,1,76,4.3407
1970,11,3,2,119,6.1162
1970,11,3,3,122,5.5069
1970,11,3,4,90,5.3796
1970,11,3,5,85,5.7403
1970,12,1,1,139,10.8580
1970,12,1,2,47,12.9495
1970,12,1,3,48,12.7651
1970,12,1,4,60,9.6583
1970,12,1,5,132,11.0246
1970,12,2,1,47,7.6963
1970,12,2,2,41,8.2951
1970,12,2,3,40,7.9304
1970,12,2,4,65,9.4292
1970,12,2,5,59,8.8897
1970,12,3,1,76,5.7497
1970,12,3,2,119,6.1343
1970,12,3,3,121,5.8999
1970,12,3,4,90,5.0031
1970,12,3,5,85,8.4891
1971,1,1,1,138,12.9262
1971,1,1,2,47,14.6321
1971,1,1,3,48,13.7234
1971,1,1,4,60,13.4629
1971,1,1,5,133,14.0886
1971,1,2,1,47,10.3727
