year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1969,6,2,3,19,-7.6420
1969,6,2,4,20,-12.3768
1969,6,2,5,18,-13.4859
1969,6,3,1,64,-3.0812
1969,6,3,2,62,-6.2355
1969,6,3,3,47,-8.8234
1969,6,3,4,42,-5.7822
1969,6,3,5,39,-6.4111
1969,7,1,1,1,-5.5556
1969,7,1,2,7,-7.3524
1969,7,1,3,8,-9.7995
1969,7,1,4,11,-13.8750
1969,7,1,5,16,-13.6977
1969,7,2,1,8,-9.0437
1969,7,2,2,7,-10.5784
1969,7,2,3,18,-8.4826
1969,7,2,4,21,-8.8742
1969,7,2,5,18,-6.5970
1969,7,3,1,66,-5.6529
1969,7,3,2,62,-6.0672
1969,7,3,3,49,-6.6957
1969,7,3,4,43,-6.6603
1969,7,3,5,40,-6.9384
1969,8,1,1,1,1.4706
1969,8,1,2,7,1.1749
1969,8,1,3,8,4.8216
1969,8,1,4,11,4.5493
1969,8,1,5,16,1.2712
1969,8,2,1,8,4.4422
1969,8,2,2,7,8.0768
1969,8,2,3,18,5.4129
1969,8,2,4,21,5.2703
1969,8,2,5,18,2.7066
1969,8,3,1,66,6.6414
1969,8,3,2,62,4.7066
1969,8,3,3,49,3.6918
1969,8,3,4,43,2.3991
1969,8,3,5,40,3.3475
1969,9,1,1,1,0.7729
1969,9,1,2,7,-5.2855
1969,9,1,3,8,0.6362
1969,9,1,4,11,4.3041
1969,9,1,5,16,-3.8086
1969,9,2,1,8,3.1994
1969,9,2,2,7,-7.6194
1969,9,2,3,18,-1.0932
1969,9,2,4,21,-1.0075
1969,9,2,5,18,2.5411
1969,9,3,1,66,-2.5960
1969,9,3,2,62,-3.7633
1969,9,3,3,49,-1.1295
1969,9,3,4,43,-1.9733
1969,9,3,5,40,-1.5686
1969,10,1,1,1,1.2750
1969,10,1,2,7,12.6134
1969,10,1,3,8,6.9860
1969,10,1,4,11,11.2538
1969,10,1,5,16,9.0304
1969,10,2,1,8,6.9191
1969,10,2,2,7,14.5721
1969,10,2,3,18,4.9409
1969,10,2,4,21,6.0482
1969,10,2,5,17,9.5156
1969,10,3,1,66,4.7665
1969,10,3,2,62,4.0430
1969,10,3,3,49,2.7030
1969,10,3,4,42,3.9127
1969,10,3,5,40,4.7429
1969,11,1,1,1,-3.2374
1969,11,1,2,7,-6.9872
1969,11,1,3,8,-6.1978
1969,11,1,4,11,-6.2779
1969,11,1,5,16,-8.4297
1969,11,2,1,8,-1.5532
1969,11,2,2,7,-8.5613
1969,11,2,3,18,-4.9731
1969,11,2,4,21,-4.7760
1969,11,2,5,18,-3.6151
1969,11,3,1,66,-2.2288
1969,11,3,2,62,-4.1105
1969,11,3,3,49,-4.5011
1969,11,3,4,43,-1.7281
1969,11,3,5,40,-4.2267
1969,12,1,1,1,-3.5638
1969,12,1,2,7,-3.4290
1969,12,1,3,8,-6.7520
1969,12,1,4,11,-7.9238
1969,12,1,5,16,-6.3889
1969,12,2,1,8,0.2787
1969,12,2,2,7,-3.3957
1969,12,2,3,18,-3.7287
1969,12,2,4,21,-6.1922
1969,12,2,5,18,-7.9253
1969,12,3,1,66,0.9911
1969,12,3,2,62,-0.8896
1969,12,3,3,49,-2.4577
1969,12,3,4,43,-4.9219
1969,12,3,5,40,-3.9741
1970,1,1,1,1,3.5156
1970,1,1,2,7,-5.7917
1970,1,1,3,8,1.9233
1970,1,1,4,11,-0.5144
1970,1,1,5,16,-4.9509
1970,1,2,1,8,-2.8361
1970,1,2,2,7,-3.4296
1970,1,2,3,18,-3.3235
1970,1,2,4,21,-6.4090
1970,1,2,5,18,-3.5717
1970,1,3,1,66,-8.4423
1970,1,3,2,62,-8.8061
1970,1,3,3,49,-9.2933
1970,1,3,4,43,-5.5228
1970,1,3,5,40,-6.4547
1970,2,1,1,1,2.6415
1970,2,1,2,7,11.4599
1970,2,1,3,7,4.4096
1970,2,1,4,11,-0.1846
1970,2,1,5,16,3.2698
1970,2,2,1,8,8.9379
1970,2,2,2,7,9.2512
1970,2,2,3,18,4.1591
1970,2,2,4,21,4.9681
1970,2,2,5,18,6.7135
1970,2,3,1,66,4.3618
1970,2,3,2,62,5.6375
1970,2,3,3,49,5.4990
1970,2,3,4,43,8.9637
1970,2,3,5,40,7.4945
1970,3,1,1,1,-0.8594
1970,3,1,2,7,2.8709
1970,3,1,3,7,-3.7912
1970,3,1,4,11,-0.0181
1970,3,1,5,16,1.9621
1970,3,2,1,8,-1.3486
1970,3,2,2,7,1.3878
1970,3,2,3,18,1.4464
1970,3,2,4,21,-1.0514
1970,3,2,5,18,-0.2070
1970,3,3,1,66,-1.4097
1970,3,3,2,62,0.5597
1970,3,3,3,49,0.3391
1970,3,3,4,43,3.1360
1970,3,3,5,40,1.7193
1970,4,1,1,1,0.0000
1970,4,1,2,7,-15.5532
1970,4,1,3,7,-4.5053
1970,4,1,4,11,-13.7664
1970,4,1,5,16,-14.3324
1970,4,2,1,8,-11.4829
1970,4,2,2,7,-11.1971
1970,4,2,3,18,-11.7562
1970,4,2,4,21,-10.4771
1970,4,2,5,18,-12.6039
1970,4,3,1,66,-8.8305
1970,4,3,2,62,-8.0730
1970,4,3,3,49,-9.3896
1970,4,3,4,43,-9.1907
1970,4,3,5,40,-9.1151
1970,5,1,1,1,-9.7744
1970,5,1,2,7,-3.6140
1970,5,1,3,7,-9.3710
1970,5,1,4,11,-7.3921
1970,5,1,5,16,-12.7930
1970,5,2,1,8,-5.1563
1970,5,2,2,7,-5.1293
1970,5,2,3,18,-10.2946
1970,5,2,4,21,-9.3674
1970,5,2,5,18,-10.8175
1970,5,3,1,66,-3.7365
1970,5,3,2,62,-7.2627
1970,5,3,3,49,-4.2076
1970,5,3,4,43,-4.9957
1970,5,3,5,40,-7.7897
1970,6,1,1,1,3.1817
1970,6,1,2,7,-4.9442
1970,6,1,3,7,-3.7707
1970,6,1,4,10,-9.7536
1970,6,1,5,16,-9.6434
1970,6,2,1,8,-3.1932
1970,6,2,2,7,0.7783
1970,6,2,3,18,-7.4755
1970,6,2,4,21,-8.1791
1970,6,2,5,18,-4.3395
1970,6,3,1,66,-3.9685
1970,6,3,2,62,-2.2699
1970,6,3,3,49,-2.5127
1970,6,3,4,43,-7.4887
1970,6,3,5,40,-8.6599
1970,7,1,1,0,
1970,7,1,2,6,3.6768
1970,7,1,3,9,0.3231
1970,7,1,4,10,3.0624
1970,7,1,5,17,6.5741
1970,7,2,1,8,6.0360
1970,7,2,2,3,5.7243
1970,7,2,3,19,9.2608
1970,7,2,4,18,7.0450
1970,7,2,5,23,8.1012
1970,7,3,1,68,5.4640
1970,7,3,2,66,8.8705
1970,7,3,3,48,8.8741
1970,7,3,4,47,10.1196
1970,7,3,5,35,5.3426
1970,8,1,1,0,
1970,8,1,2,6,1.2252
1970,8,1,3,9,15.7863
1970,8,1,4,10,6.1498
1970,8,1,5,17,13.3415
1970,8,2,1,8,7.8105
1970,8,2,2,3,-0.1713
1970,8,2,3,19,4.9617
